Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No, Amount ,Description,Post Code,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,INTERSERVE CONSTRUCTION LIMITED,781622," £621,460.23 ",RIS 1 Schemes,B37 7HQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Other Sprs - Ptoc,#N/A,London North Eastern Railway,2000020166," £614,846.78 ",2010 Wk4 PIS Installation cost on HST for Abellio,YO1 6DH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,06/01/2020,Other Sprs - Ptoc,#N/A,London North Eastern Railway,1500000010," £614,846.78 ",2010 Wk4 PIS Installation cost on HST for Abellio,YO1 6DH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",EVANDER GLAZING AND LOCKS LIMITED,781348," £614,058.05 ",Environment Noise Delivery,NR7 0WG,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,Contractor Costs,OPERATIONS DIRECTORATE,NETWORK INFORMATION SERVICES LTD,782634," £613,445.00 ",Customer Operations Traffic Management,B32 1AF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,10/01/2020,Cap Grt Loc Auth,"Energy,Technology & Innovation",Coventry City Council,2000020760," £603,000.00 ",Coventry CC - ULEBS 603k infrastructure,CV1 5RR,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,23/01/2020,Research,Transport Security Co-ordination & Response,DSTL,2000021804," £602,245.29 ",#,PO14 9HL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,782422," £601,311.00 ",RIS 2 Schemes,RG21 7PP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000021704," £601,250.00 ",2019/20 Integrated Transport Block fourth quarter,WR5 2NP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Bedford Borough Council,2000021720," £600,500.00 ",2019/20 Highways Maintenance Block fourth quarter,MK42 9AP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,JOHN GRAHAM CONSTRUCTION LTD,782565," £594,932.45 ",Renewals of Roads,BT26 6HX,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,08/01/2020,Non Stock Machine Consumables,Operations,Thales DIS UK Ltd,2000028138," £594,401.50 ",#,PO15 5RX,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,07/01/2020,Auc - It Equipment,Capital Control Account,Vodafone Ltd (Corporate),500261," £594,048.00 ",Auc - It Equipment,MK3 5JP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,OVE ARUP & PARTNERS,781686," £590,861.19 ",RIS 2 Schemes,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,02-01-2020,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,FIDUM,781236," £588,761.88 ",Corporate,KT11 2LA,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Cost AUC - ICT (A),MAJOR PROJECTS,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP (TR140),LOMD273607," £577,500.00 ",RIS 2 Schemes,CF10 5BT,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,781704," £575,701.41 ",SR13 Smart Motorway Scheme,SL6 4UB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,GEOFFREY OSBORNE LTD,782421," £574,051.04 ",RIS 1 Schemes,RH2 9PY,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,17/01/2020,P20070 - Phase 2,Professional Services,WSP UK LIMITED,#," £574,007.63 ",RSADS - Phase 2B 2019/20,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",RENAULT,2000021134," £571,438.43 ","PIVG Renault  November  2019 #571,438.43",WD3 9YS,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,NORFOLK COUNTY COUNCIL,2000021682," £570,000.00 ",MRN Development Costs 19-20,NR1 2UG,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,21/01/2020,Non Stock Machine Consumables,Operations,Thales DIS UK Ltd,2000029296," £567,721.93 ",#,PO15 5RX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,BUCKINGHAMSHIRE CC (REVENUE),2000021660," £564,250.00 ",2019/20 Integrated Transport Block fourth quarter,HP20 1UD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,SWINDON BC,2000021688," £563,250.00 ",2019/20 Highways Maintenance Block fourth quarter,SN1 2JH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,31/01/2020,Cap Grt Loc Auth,"Energy,Technology & Innovation",TRANSPORT FOR LONDON,2000022523," £563,200.00 ",TfL ULEBS Rte 43 buses - #563k,SE1 8NJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,OVE ARUP & PARTNERS,782468," £559,857.99 ",SR13 Smart Motorway Scheme,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,KINGSTON UPON HULL CITY COUNCIL,2000021726," £557,500.00 ",2019/20 Integrated Transport Block fourth quarter,HU1 2AB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,TA Cost AUC - Programme,IT DIRECTORATE,BENTLEY SYSTEMS (UK) LTD,781726," £554,200.00 ",Support General ICT Programme,EC3V 0BG,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,16-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS-CH2M JOINT VENTURE,782215," £552,984.38 ",Complex Schemes,W6 7EF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,SOMERSET COUNTY COUNCIL,2000021685," £552,250.00 ",2019/20 Integrated Transport Block fourth quarter,TA1 4DY,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,GATESHEAD MBC,2000021697," £551,000.00 ",2019/20 Highways Maintenance Block fourth quarter,NE8 1HH,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,28/01/2020,Software Licence Expense,Information Services,SOFTWARE AG (UK) LTD,2000027999," £548,692.80 ",#,DE24 8PU,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Newcastle City Council,2000021727," £546,000.00 ",2019/20 Highways Maintenance Block fourth quarter,NE1 8QH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,WILTSHIRE COUNCIL,2000021742," £545,250.00 ",2019/20 Integrated Transport Block fourth quarter,BA14 4DS,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,15/01/2020,000000 AUC - Phase 1,AUC - Phase 1,NETWORK RAIL INFRASTRUCTURE LTD,#," £541,944.07 ",East West Rail - Stage 2 - Enabling Works,,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,11/01/2020,Btpfsf 2007 (New) Er,Force Balance Sheet (Excl.Far),Railway Pensions Management Ltd,500654," £536,899.24 ",Btpfsf 2007 (New) Er,EC2A 2NY,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,10/01/2020,IT Ser Running Costs,"Road Safety, Standards and Services",Kainos Software Ltd,2000020751," £534,365.89 ",#,BT7 1NT,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,WOKINGHAM DC,2000021695," £534,000.00 ",2019/20 Highways Maintenance Block fourth quarter,RG40 1JW,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Southampton City Council,2000021706," £531,000.00 ",2019/20 Integrated Transport Block fourth quarter,SO14 7LY,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,J MCCANN & CO (NOTTM) LIMITED,CONF9074501541715345," £530,078.78 ",Renewals of Roads,NG9 6DQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,23/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",RENAULT,2000021817," £528,500.00 ","PICG Renault December 2019 #528,500.00",WD3 9YS,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Brighton & Hove City Council,2000021659," £527,500.00 ",2019/20 Highways Maintenance Block fourth quarter,BN1 1JE,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Leicester City Council,2000021673," £525,500.00 ",2019/20 Highways Maintenance Block fourth quarter,LE1 1FZ,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,10/01/2020,000000 AUC - Phase 1,AUC - Phase 1,NETWORK RAIL INFRASTRUCTURE LTD,#," £519,483.73 ",Old Oak Common – Essential Works – GRIP 6-8 – IPA Stage 2 Remit,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,MEDWAY COUNCIL,2000021705," £512,000.00 ",2019/20 Highways Maintenance Block fourth quarter,ME4 4TR,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,02/01/2020,Other Professional Fees,Finance & Commercial,Arvato Ltd,2000027469," £510,885.68 ",#,HU10 6DN,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40035 - Chief Finance Officer,It Services,ARES SOFTWARE UK LTD,#," £500,719.44 ","Licences, Hosting and Support Services",,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN GALLIFORD TRY SM JV,782471," £499,407.31 ",SR13 Smart Motorway Scheme,NN6 7SL,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,29/01/2020,Annual Licences - Software,Projects Rev Exp,Nice Systems Limited,500256," £499,200.00 ",Annual Licences - Software,SO30 2ZP,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,09/01/2020,Software Maintenance,Information & Communications Technology,ESyn3rgy Ltd,233082477," £498,785.50 ",Tech Service delivery - Oct-Dec 2019,NN12 7LS,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Cheshire East Council,2000021740," £496,750.00 ",2019/20 Integrated Transport Block fourth quarter,CW1 2JZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,APC203994," £495,529.48 ",Renewals of Roads,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,Contractor Costs,IT DIRECTORATE,ADVANCED 365 LIMITED,783366," £493,128.39 ",Technology Projects - Economy,SL3 9LL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,DORSET COUNTY COUNCIL,2000021666," £492,750.00 ",2019/20 Integrated Transport Block fourth quarter,DT1 1XJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LTD,783268," £490,453.42 ",RIS 1 Schemes,WD3 9SW,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CHEVRON TRAFFIC MANAGEMENT LIMITED,CONF9215503142115998," £489,871.28 ",Renewals of Roads,OX9 3XA,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LTD,783265," £489,325.13 ",RIS 1 Schemes,WD3 9SW,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Cheshire West & Chester Council,2000021741," £488,500.00 ",2019/20 Integrated Transport Block fourth quarter,CH34 9DB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,28-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,783106," £487,385.94 ",RIS 2 Schemes,RG21 7PP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,PLYMOUTH CITY COUNCIL,2000021680," £486,000.00 ",2019/20 Integrated Transport Block fourth quarter,PL1 2AA,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,28/01/2020,P30060 - Infrastructure,Engineering Services - Systems,WSP UK LIMITED,#," £485,793.82 ",FY19/20 Q2,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),APC204011," £482,690.43 ",Renewals of Roads,DL1 1TJ,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,14/01/2020,000000 AUC - Phase 1,AUC - Phase 1,OVE ARUP & PARTNERS LIMITED,#," £480,486.68 ",N3 SDSC (SDSC2161),,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Stoke-On-Trent City Council,2000021736," £478,750.00 ",2019/20 Highways Maintenance Block fourth quarter,ST4 4TS,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,07/01/2020,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000026147," £475,348.97 ",#,SL1 4LZ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Grt Aid to NDPBs,Rail NDPB's,RAIL PASSENGER COUNCIL,2000021115," £475,000.00 ",Transport Focus Rail GIA,M1 2WD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,Consultants Costs,MAJOR PROJECTS,CONNECT PLUS (M25) LTD,APC204043," £471,925.20 ",Operate S274/S278,EN6 3NP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,VOLKERFITZPATRICK LIMITED,APC204087," £471,217.85 ",Renewals of Structures,EN11 9BX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Subsidies Private Se,Local,Reading Transport Ltd,2000022246," £471,208.84 ",READING TRANSPORT LIMITED,RG1 7HH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,PLYMOUTH CITY COUNCIL,2000021680," £467,750.00 ",2019/20 Highways Maintenance Block fourth quarter,PL1 2AA,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,16/01/2020,Tel & Fax Repairs & Maintenance,Information Services,Virgin Media Business,2000028858," £467,436.91 ",#,RG27 9UP,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,16/01/2020,Tel & Fax Repairs & Maintenance,Information Services,Virgin Media Business,2000028858," £467,436.91 ",#,RG27 9UP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,781359," £463,641.45 ",RIS 1 Schemes,SW1V 1LQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Subsidies Private Se,Local,Stagecoach Services Ltd,2000021083," £463,149.89 ",STAGECOACH IN OXFORD,SK1 3SW,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Portsmouth City Council,2000021700," £462,750.00 ",2019/20 Integrated Transport Block fourth quarter,PO1 2AL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,31/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",Audi UK,2000022533," £462,000.00 ","PICG Audi December 2019 #462,000",MK14 5AN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,APC204017," £460,515.19 ",Environment Water Quality Delivery,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,London North Eastern Railway,2000020166," £460,000.00 ",2010 Wk4 Q2 Forecast Adj - London North Eastern Ra,YO1 6DH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,06/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,London North Eastern Railway,1500000010," £460,000.00 ",2010 Wk4 Q2 Forecast Adj - London North Eastern Ra,YO1 6DH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,782511," £457,249.00 ",SR13 RIP Schemes,SW1V 1LQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,CITY OF YORK COUNCIL,2000021661," £456,750.00 ",2019/20 Highways Maintenance Block fourth quarter,Y01 7WH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,24/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",Mercedes-Benz Trucks UK Ltd,2000021972," £456,528.90 ",PIVG Mercedes Trucks Dec 2019 Cat 4  #456k,MK15 8BA,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,Contractor Costs,IT DIRECTORATE,TELENT TECHNOLOGY SERVICES LIMITED,782050," £455,260.00 ",Operate General Management Costs,CV34 5AH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,North Tyneside Council,2000021677," £454,250.00 ",2019/20 Highways Maintenance Block fourth quarter,NE27 0BY,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,KINGSTON UPON HULL CITY COUNCIL,2000021726," £452,750.00 ",2019/20 Highways Maintenance Block fourth quarter,HU1 2AB,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Derby City Council,2000021663," £452,750.00 ",2019/20 Integrated Transport Block fourth quarter,DE1 2FS,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,09/01/2020,Software Licence Expense,Operations,Ricoh UK Ltd,2000028227," £449,600.32 ",#,NN4 7YL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Derby City Council,2000021663," £445,500.00 ",2019/20 Highways Maintenance Block fourth quarter,DE1 2FS,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Nottingham City Council,2000021737," £445,500.00 ",2019/20 Highways Maintenance Block fourth quarter,NG2 3NG,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),APC204002," £441,736.51 ",Renewals of Structures,DL1 1TJ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,WINDSOR & MAIDENHEAD,2000021694," £438,000.00 ",2019/20 Highways Maintenance Block fourth quarter,SL6 1RF,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,000000 AUC - Phase 1,AUC - Phase 1,WSP UK LIMITED,#," £434,244.85 ",Investment Authority under the SDSC contract.,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,15/01/2020,000000 AUC - Phase 1,AUC - Phase 1,NETWORK RAIL INFRASTRUCTURE LTD,#," £433,770.42 ",SAS Bridge Stage 1 Remit,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,BLACKPOOL COUNCIL,2000021749," £430,000.00 ",2019/20 Integrated Transport Block fourth quarter,FY3 7HW,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,07-01-2020,TA Cost AUC - ICT (A),FINANCE & BUSINESS SERVICES,INSTANT MANAGED OFFICES LTD T/A INSTANT,781426," £428,809.39 ",Support General Corporate Services,SE1 0TA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,27/01/2020,Training,Group Human Resources,Cabinet Office,100026780," £427,220.48 ",#,FY1 9JN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,31-01-2020,ICT Hardware Maintenance,IT DIRECTORATE,THALES UK LIMITED,783434," £426,196.80 ",Support General Corporate Services,KT15 2NX,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,23/01/2020,Other Professional Fees,Finance & Commercial,Government Internal Audit Agency,2000029513," £425,451.25 ",#,SW1H 0NB,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,02/01/2020,P40030 - Chief Operating Officer (COO),Business Services,TRANSPORT FOR LONDON,#," £424,120.39 ",Core management cost for TfL,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,30/01/2020,Training,Group Human Resources,Cabinet Office,2000022452," £422,397.50 ",Q3 FAST STREAM SERVICE CHARGES,FY1 9JN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LTD,783264," £419,546.56 ",RIS 1 Schemes,WD3 9SW,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,03/01/2020,Training,Group Assurance,Cabinet Office,2000020314," £418,343.00 ",Q1 & Q2 Project Delivery fast Streamer fees to Cabinet Office,NP10 8FZ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Stoke-On-Trent City Council,2000021736," £416,500.00 ",2019/20 Integrated Transport Block fourth quarter,ST4 4TS,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,08/01/2020,Post Office Charges,Finance & Commercial,Post Office Ltd,2000028126," £415,335.15 ",#,BL4 9XX,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,APC204020," £413,294.90 ",Renewals of Roads,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,COLAS LTD,CONF9102300741940362," £412,012.01 ",Renewals of Structures,RH10 4NF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,GALLIFORD TRY INFRASTRUCTURE LIMITED,781333," £411,880.49 ",Feasibility,LE10 3JH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000021721," £410,000.00 ",2019/20 Integrated Transport Block fourth quarter,HU17 9BA,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,07-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,SIR ROBERT MCALPINE LTD,781475," £408,244.46 ",RIS 1 Schemes,HP2 7TR,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,16-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,AECOM,782223," £407,010.50 ",Feasibility,B4 6AT,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,SHROPSHIRE COUNTY COUNCIL,2000021733," £406,500.00 ",2019/20 Integrated Transport Block fourth quarter,SY2 6ND,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,08/01/2020,Hire Of Consultants,Delivery Partner Btp2021,Pa Consulting Services Limited,499751," £405,694.24 ",Hire Of Consultants,SG8 6DP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,GEOFFREY OSBORNE LTD,APC204054," £403,900.50 ",Renewals of Roads,RH2 9PY,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,Abellio East Midlands Limited,2000020167," £403,629.00 ",2010 Wk4 HST Fleet Cascade-Estimated Revisions_P20,EC4A 3AG,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,North East Lincolnshire Council,2000021728," £401,500.00 ",2019/20 Highways Maintenance Block fourth quarter,DN35 8LN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,FORKERS LIMITED,CONF9075601771600379," £401,452.99 ",Renewals of Roads,B70 0TX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,THURROCK BC,2000021689," £401,000.00 ",2019/20 Highways Maintenance Block fourth quarter,RM17 6LT,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,27/01/2020,COMPUTER EQUIPMENT SERVICE CHARGE,NAS,HOME OFFICE,5100009559," £400,000.00 ",SUBSCRIPTION,SW1P 4DF,GB888816061,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY VINCI JOINT VENTURE,782282," £399,865.00 ",Innovation Safety Delivery,WR9 8FA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,MEDWAY COUNCIL,2000021705," £397,250.00 ",2019/20 Integrated Transport Block fourth quarter,ME4 4TR,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,29/01/2020,P40030 - Chief Operating Officer (COO),Business Services,TRANSPORT FOR LONDON,#," £397,030.24 ",Core management cost for TfL,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),APC204011," £396,626.80 ",Safety Delivery,DL1 1TJ,,,,,,,,,,,,,,,,,,,
