Entity,Transaction Posting Date,Merchant Name,Amount,Description
EA,21/08/2013,BROADSWORD U.K LIM,£502.85,Three-part Continuous Consignment Notes
EA,21/08/2013,BROOKRIDGE TIMBER,"£1,059.17",Various timber for Clyst Depot
EA,21/08/2013,BROOKRIDGE TIMBER,£812.02,Timber fencing for Loddiswell
EA,21/08/2013,BRUEL & KJAER UK LTD,£979.20,Calibration and repair of Bruel and Kjaer noise meter - used for compliance monitoring of Industry and Waste Regulation
EA,21/08/2013,BUCK & HICKMAN,£539.30,"Replacement tools and consumables (spray paints, tape measures, spray gun, sealants, abrasive pads) for store at Clyst Honiton Depot"
EA,21/08/2013,BUILDERS EQUIPMENT,"£1,016.79","Tools including knife, drill and driver and six diamond blade Norton clippers "
EA,21/08/2013,BUILDERS EQUIPMENT,£607.89,Assorted signage for public safety around field team site works
EA,21/08/2013,BURDENS,£779.59,Four lots of one hundred metre land drainage pipes
EA,21/08/2013,BURDENS,£593.28,450mm circular flap valve to replace broken valve on River Erewash
EA,21/08/2013,BURLINGTON HOTEL,"£2,190.00","Room hire, lunch and refreshments for sixty people attending Hazardous Waste Sector Group meeting "
EA,21/08/2013,BURLINGTON UNIFORMS LT,£813.12,Personal Protective Equipment - Environment Agency T-Shirts for operational staff 
EA,21/08/2013,BURN FENCING LTD,"£1,736.02","Temporary fencing at Wombwell Ings, erected to protect the embankment from cattle damage after carrying out embankment reprofiling to improve Health and Safety for the maintenance team"
EA,21/08/2013,BURN FENCING LTD,£852.00,Gate posts and padlock for Thorne Depot
EA,21/08/2013,CALOR GAS ACCOUNT PAYM,£902.06,Bulk gas for water heating in hatchery
EA,21/08/2013,CAMB HYDRAULICS,£694.27,Hydraulic pipes and couplings for works at Salters Lode
EA,21/08/2013,CANFORD AUDIO PLC,£702.00,CD and DVD transcription equipment for recorded interviews
EA,21/08/2013,CASH OFFICE,"£1,000.00",Leeds University course for Chemical Engineers
EA,21/08/2013,CATERING OFFICE,£513.25,Lunch and refreshments for 45 people attending Regional Flood and Coastal Committee meeting
EA,21/08/2013,"CCS MEDIA LTD,","£1,507.44",Replacement tape drive for Richard Fairclough House telemetry system
EA,21/08/2013,CEMEX UK OPS EASTERN,£792.00,Forty tonnes of reject stone 
EA,21/08/2013,CEMEX UK OPS EASTERN,"£1,080.00",31 tonnes of limestone chippings
EA,21/08/2013,CENTRAL CITY TRAINING,£645.00,Room hire and lunch for 25 people attending Flood and Coastal Risk Management meeting
EA,21/08/2013,CHAIN GANG LTD,"£1,708.20",One month internal mail courier costs from Ergon House
EA,21/08/2013,CHUBB ELECTRONIC SECUR,£876.00,CCTV security at Beverly Way Depot
EA,21/08/2013,CHURCH HOUSE CONF,"£4,723.99",Room hire plus lunch and refreshments for eighty people attending Flood Coastal Erosion Risk Management stakeholder forum
EA,21/08/2013,CITB,"£2,249.00",National Vocational Qualifications training for one person
EA,21/08/2013,CITB,"£1,050.00",Health and Safety cards to Construction Skills Certification Scheme for 35 people from Operations Field Teams
EA,21/08/2013,CITB,£720.00,Health and Safety cards to Construction Skills Certification Scheme for 24 people from Operations Field Teams
EA,21/08/2013,CIVIL SERVICE,£624.00,Venue hire for Incident Management and Community Engagement Advisory Group all-day meeting for 15 people
EA,21/08/2013,CIWEM,"£3,400.00",Fees for 34 people attending Chartered Institute of Water and Environment Management conference
EA,21/08/2013,CLAD SAFETY,£835.68,Personal Protective Equipment for field team - fourteen safety waders and three pairs of wellingtons
EA,21/08/2013,CLAD SAFETY,£629.64,"Safety footwear, gel insoles, four pairs of boots and safety waders"
EA,21/08/2013,COFFEEWORKS LTD,£554.00,"Six-month supply of Fairtrade Coffee for district office, Sir John Moore House, Bodmin, South West. Eighty 300g containers "
EA,21/08/2013,COLLEGE OF LAW SERVICE,"£1,542.00",University fees for one person to attend assorted Law modules
EA,21/08/2013,COLLINS NETS LIMITED,"£2,574.00",Two seine nets to carry out marine surveys
EA,21/08/2013,COLLINS NETS LIMITED,£537.60,One drysuit including chainsaw protection
EA,21/08/2013,COLLINS NETS LIMITED,£522.00,"Personal Protective Equipment - one pair of thigh waders, two pairs of gloves, one drysuit bag"
EA,21/08/2013,COLLINS SKIP HIRE,£552.00,Two skips hired for timber recycling
EA,21/08/2013,COMMERCIAL EQUIPMENT D,£598.80,Commercial microwave for Thames Barrier Cafe
EA,21/08/2013,COMPANIES HOUSE,£506.00,Companies House searches for the period November 2012 to July 2013
EA,21/08/2013,CONCEPT CATERING,"£1,050.00","Venue hire for meeting for thirty Area Compliance Officers, who regulate the Control of Major Accident Hazards regime, plus national staff and guests from the Scottish Environmental Protection Agency and Natural Resources Wales"
EA,21/08/2013,CONCEPT CATERING,£907.20,Room hire and catering for 28 people attending a team meeting 
EA,21/08/2013,CONCEPT CATERING,£696.00,Venue hire and catering for meeting for Virtual Deployment Team in Birmingham 
EA,21/08/2013,CONCEPT CATERING,£648.00,Room hire and lunch for twenty people attending Area Permitting Business Partner Group
EA,21/08/2013,CONCEPT CATERING,£514.80,"Room hire and refreshments for Fisheries, Regulation and Use team meeting"
EA,21/08/2013,CONFERENCE ASTON LTD,"£9,081.54",Accommodation and evening meal for three people for three nights and for three people for one night plus room hire for six people attending Advanced Auditing for Better Regulation course
EA,21/08/2013,CONFERENCE ASTON LTD,"£6,220.10",Accommodation and evening meal for four people for four nights plus two people for one further night plus room hire and refreshments for five people attending five-day Conflict Resolution for Full SAFFA (Salmon and Freshwater Fisheries Act) Warrants course
EA,21/08/2013,CONFERENCE ASTON LTD,"£4,272.39",Accommodation for one person for three nights plus room and equipment hire for eleven people attending Train the Trainer course
EA,21/08/2013,CONFERENCE ASTON LTD,"£3,795.48","Accommodation and evening meal for twelve people for one night plus room hire, refreshments and delegate day rate for seventeen people attending Auditing for Better Regulations course"
EA,21/08/2013,CONFERENCE ASTON LTD,"£3,150.00",Room hire for a two-day meeting for Field Intelligence Officers
EA,21/08/2013,CONFERENCE ASTON LTD,"£2,187.15",Accommodation and evening meal for two people for four nights and seven people for one night plus room hire and delegate day rate for a further five people attending Expert Witness conference
EA,21/08/2013,CONFERENCE ASTON LTD,"£1,398.38","Accommodation for four people for one night plus delegate day rate for 36 people plus room hire for Monitoring, Assessment and Planning Managers meeting"
EA,21/08/2013,CONFERENCE ASTON LTD,"£1,287.06",Venue hire for Asset Operational Services Awayday
EA,21/08/2013,CONFERENCE ASTON LTD,£822.00,Room hire and refreshments for 25 people attending a two-day National Operations Technical Leadership Programme event
EA,21/08/2013,CONFERENCE ASTON LTD,£732.96,Room hire for twenty people attending Fisheries Refresh Conference
EA,21/08/2013,CONFERENCE ASTON LTD,£643.46,"Room hire, lunch and refreshments for eighteen people "
EA,21/08/2013,CONFERENCE ASTON LTD,£618.44,"Room hire, lunch and refreshments for thirteen people plus dinner for seven people"
EA,21/08/2013,CONFERENCE ASTON LTD,£549.18,Health and Safety meeting with external bodies
EA,21/08/2013,CONFERENCE HERTS,"£3,432.00",Annual Operations breakfast meeting for 110 day delegates to discuss Health and Safety issues and answer questions 
EA,21/08/2013,CORNWALL COLLEGE,"£1,224.00",Fees for one person attending Crop Protection course
EA,21/08/2013,CO-STAR COMPONENTS,£954.54,Global System for Mobile Communication aerials for a Telemetry Outstation Replacement Project in South East Region
EA,21/08/2013,COUNTY HOTEL,£503.00,Room hire for Local Resilience Forum workshop
EA,21/08/2013,COUNTY LOCKSMITHS,"£1,136.80",Ten Yale padlocks for Hydrometry and Telemetry team - Romsey Depot
EA,21/08/2013,COUNTY LOCKSMITHS,"£1,136.80",Ten Yale padlocks for Asset Performance team - Romsey Depot
EA,21/08/2013,COURTYARD BY MARRIOTT,£829.84,Accommodation for one person for five nights while attending the 2013 International User Conference in San Diego
EA,21/08/2013,CP MANCHESTER,"£1,966.10",Accommodation for nine people for one night plus room hire for workshop - 2-3 July 2013
EA,21/08/2013,CRESCENT HOTELS,£548.70,Dinner for fifteen people in Scarborough for North Sea Managers.  EA's current business expenses policy allows for £25 per person for an evening meal.  It is acknowledged that this cases exceeds this value.  We consider this to be an isolated incident.
EA,21/08/2013,CREWSAVER,£883.78,Two twin-chamber lifejackets for Catchment Officer Personnel
EA,21/08/2013,CREWSAVER,"£1,047.60",Personal Protective Equipment Field Services - Shrewsbury
EA,21/08/2013,CREWSAVER,"£1,045.92",Eight new lifejackets and re-arming packs for Central Team
EA,21/08/2013,CREWSAVER,£834.22,Servicing and maintenance of 26 lifejackets for Environment Management Team and field teams in Blandford
EA,21/08/2013,CREWSAVER,£784.44,Twelve lifejacket re-arming packs for new Environment Officers
EA,21/08/2013,CREWSAVER,£582.00,Five lifejackets for new team members - Kent and South London Field Team
EA,21/08/2013,CROMWELL TOOLS,£604.89,"Tools for Rothely Depot, Leicester"
EA,21/08/2013,CSG Ltd Waste Serv,£690.00,"Safe and legal disposal of effluent from sewage systems at The Anchor, Lock Cottages and Allington Locks"
EA,21/08/2013,CURRYS T/SALES,£579.98,Supply of washing machine and dishwasher for Pennygillam Depot
EA,21/08/2013,D AND E ROBERTS,"£1,638.00",Dredgings disposal from Dapdune Wharf
EA,21/08/2013,D AND E ROBERTS,"£1,170.00",Dredgings disposal from Dapdune Wharf
EA,21/08/2013,D AND E ROBERTS,"£1,170.00",Dredgings disposal from Dapdune Wharf
EA,21/08/2013,D AND E ROBERTS,"£1,170.00",Disposal of waste from dredging operations on the River Wey
EA,21/08/2013,D B CONCRETE LTD,£660.00,Five tonnes of concrete and use of discharge conveyor
EA,21/08/2013,D B CONCRETE LTD,£640.80,Six lots of forty slumps of concrete for Rewsaills Sluice (the concrete slump test is an empirical test that measures the workability of fresh concrete)
EA,21/08/2013,D B CONCRETE LTD,£630.00,Five tonnes of concrete and use of discharge conveyor
EA,21/08/2013,D B CONCRETE LTD,£612.00,Six lots of forty slumps of concrete for Rewsaills Sluice (the concrete slump test is an empirical test that measures the workability of fresh concrete)
EA,21/08/2013,D B CONCRETE LTD,£588.00,Four and a half tonnes of concrete and hydraulic chute 
EA,21/08/2013,D B CONCRETE LTD,£588.00,Five tonnes of concrete 
EA,21/08/2013,D M CHAINSAWS LTD,£506.62,Repairs for strimmers and hedgecutters - includes new handsaw at Romsey Depot
EA,21/08/2013,DALSTON AGGREGATES LTD,"£1,386.52",Topsoil for reinstatement works at Cockermouth
EA,21/08/2013,DALSTON AGGREGATES LTD,£693.26,Topsoil for reinstatement works at Cockermouth
EA,21/08/2013,DALSTON AGGREGATES LTD,£669.02,Topsoil for reinstatement works at Cockermouth
EA,21/08/2013,DALSTON AGGREGATES LTD,£669.02,Topsoil for reinstatement works at Cockermouth
EA,21/08/2013,DANCE EAST,"£1,153.68","Room hire, refreshments and lunch for 48 people attending Breaking Ground Ceremony"
EA,21/08/2013,DARCY PRODUCTS LTD,"£1,426.31","Pollution prevention equipment for the Incidents Team - Goldcrest House, Surrey"
EA,21/08/2013,DAYS HOTEL,£952.00,Accommodation for eight people for one night attending Coastal Group Chairs meeting
EA,21/08/2013,DE VERE VENUES COL,"£2,552.50",Venue hire for Project Appraisal Guidance Workshop
EA,21/08/2013,DE VERE VENUES COL,"£1,101.60",Room hire and refreshments for 21 people attending a two-day meeting in Birmingham
EA,21/08/2013,DE VERE VENUES COL,£750.00,"Venue hire, lunch and refreshments for 24 people attending Environment Programme workshop"
EA,21/08/2013,DE VERE VENUES COL,£750.00,Training for 25 people attending Water Environment Management Framework workshop training
EA,21/08/2013,DE VERE VENUES COL,£741.70,Room hire for 22 people attending Water Framework Directive planning meeting
EA,21/08/2013,DE VERE VENUES COL,£722.50,Forecasting Training Workshop for Midlands National Capital Programme Management Service team
EA,21/08/2013,DE VERE VENUES COL,£720.00,Venue hire for nine people attending a two-day training event
EA,21/08/2013,DE VERE VENUES COL,£632.50,"Room hire, lunch and refreshments for 21 people attending National Amenity Day workshop"
EA,21/08/2013,DE VERE VENUES COL,£578.50,Venue hire for 17 people attending Water Framework Directive Regional Leads meeting in Birmingham
EA,21/08/2013,DEAFBLIND.ORG.UK,"£1,242.00","Room hire, lunch and refreshments for eighty people "
EA,21/08/2013,DEAFBLIND.ORG.UK,£532.50,Room hire and lunch for twenty people attending Workforce Plan workshop
EA,21/08/2013,DELICE DE FRANCE,£582.93,Food supplies for Thames Barrier Cafe
EA,21/08/2013,DENNIS BARNFIELD L,£945.09,Fit rear camera to excavator (Health and Safety enhancement)
EA,21/08/2013,DENNIS BARNFIELD L,£945.09,Fit rear camera to excavator (Health and Safety enhancement)
EA,21/08/2013,DESURVEY PLC,"£1,178.48",Temporary staff
EA,21/08/2013,DESURVEY PLC,"£1,112.16",Temporary staff
EA,21/08/2013,DESURVEY PLC,£961.18,Temporary staff
EA,21/08/2013,DESURVEY PLC,£839.99,Temporary staff
EA,21/08/2013,DESURVEY PLC,£644.51,Temporary staff
EA,21/08/2013,DESURVEY PLC,£557.76,Temporary staff
EA,21/08/2013,DESURVEY PLC,"£1,401.26",Temporary staff
EA,21/08/2013,DESURVEY PLC,£501.30,Temporary staff
EA,21/08/2013,DEVON CONTRACT,£607.20,Paint disposal for Manley House
EA,21/08/2013,DIRECT2U,£854.40,Safety barriers for pumps at Smethwick fire
EA,21/08/2013,DISPLAY GRAPHICS,"£1,036.80",Sixteen 'No Life-Saving Equipment' signs
EA,21/08/2013,DISPLAY GRAPHICS,"£1,036.80",Sixteen 'No Life-Saving Equipment' signs
EA,21/08/2013,DISPLAY GRAPHICS,£950.40,36 'Do Not Tamper' signs
EA,21/08/2013,DISPLAY GRAPHICS,£576.00,Twenty warning signs for various locks
EA,21/08/2013,DISPLAY GRAPHICS,£510.96,Seven 'No Entry' signs
EA,21/08/2013,DISPLAY GRAPHICS,£504.00,Twenty 'No Swimming' signs
EA,21/08/2013,DMA MAINTENANCE LTD,£624.81,Labour and materials to fit earthing strap to tanks
EA,21/08/2013,DMA MAINTENANCE LTD,£611.69,Pump station lighting repairs
EA,21/08/2013,DMA SIGNS LIMITED,"£4,982.42",One hundred CCTV cameras and signs for six regions for International Waste Systems project
EA,21/08/2013,DORMAR PRODUCTS,"£1,810.47",Materials for steps and clips - washers and bolts to replace old wooden steps on structures in the Adur Area Independent Drainage Board catchment
EA,21/08/2013,DORMAR PRODUCTS,£900.00,Mobile safety steps for South East Kent and South London reservoirs
EA,21/08/2013,DORMAR PRODUCTS,£787.69,Drag rake set and weir scraper for incident response
EA,21/08/2013,DORMAR PRODUCTS,£544.32,Handtool and drag rake for emergency standby - Amwell End Depot
EA,21/08/2013,DOUBLETREE BY HILTON B,£525.00,Venue hire for fifteen people attending Environment Agency staff training 
EA,21/08/2013,DP LOCKSMITHS LTD,£818.88,Security padlocks for structures at Draycott Depot
EA,21/08/2013,DRAINAGE SALES,"£1,008.00","Perforated land drain for Operations Delivery - Yalding Depot, Kent and South London"
EA,21/08/2013,DWP,£533.20,Health and Safety Executive site visit to Bridge End
EA,21/08/2013,DYNAMIC EMS LTD,"£1,444.80",Repair of Dynamic Logic telemetry units
EA,21/08/2013,DYNAMIC EMS LTD,£624.00,Repair of telemetry data loggers for monitoring sites
EA,21/08/2013,DYSLEXIA INSTITUTE,£510.00,Dyslexia testing for one person
EA,21/08/2013,E&JW GLENDINNING LTD,£602.21,Concrete for construction of the Loddiswell Gauging Station project
EA,21/08/2013,E&JW GLENDINNING LTD,£602.20,Concrete for construction of the Loddiswell Gauging Station project
EA,21/08/2013,EA- THAMES BARRIER CA,"£1,340.00",Room hire and refreshments for thirty people attending South East London Partnership meeting
EA,21/08/2013,EAST WEST PRVSNS,£669.60,Room hire and lunch for ProContract Training
EA,21/08/2013,EASTERN COMPRESSOR,£531.07,Replacement air dryer assembly for Parkeston Pumping Station fish dispersal device
EA,21/08/2013,EASTWOOD HALL,"£6,991.92",Accommodation for 32 people for one night plus room hire for National Project Support Officer Event
EA,21/08/2013,EEF WOODLAND GRANGE,£765.20,Venue hire for Flood Defence Consent Training Workshop
EA,21/08/2013,EEF WOODLAND GRANGE,"£1,890.00",Room hire and lunch for 35 people attending Executive Managers' meeting
EA,21/08/2013,EEF WOODLAND GRANGE,"£1,485.00",Room hire and refreshments for 45 people attending a one-day meeting 
EA,21/08/2013,EEF WOODLAND GRANGE,"£1,282.50",Venue for a meeting of the Flood Forecasting Centre’s Stakeholder User Group
EA,21/08/2013,EEF WOODLAND GRANGE,£891.60,Room hire and refreshments for Hydropower Working Group Meeting 
EA,21/08/2013,EEF WOODLAND GRANGE,£769.20,Room hire and refreshments for Delivering Penfold and Permitting meeting
EA,21/08/2013,EEF WOODLAND GRANGE,£560.76,Room hire for fourteen people attending Project Board
EA,21/08/2013,EEF WOODLAND GRANGE,£533.16,Venue costs for Insurance Team Meeting in London - 3 July 2013
EA,21/08/2013,EFE & GB Nets,£890.83,Invert nets and handles for sampling and collection
EA,21/08/2013,ELCOCKS LTD,"£1,809.30",Replacement electrical drills for Thorne Depot
EA,21/08/2013,ELE INTERNATIONAL,"£2,109.46",Repair of return gauges
EA,21/08/2013,ELECTRO FISHING SERVIC,£885.60,Repairs to electric fishing equipment for North East Region Environment Team
EA,21/08/2013,ELECTRO FISHING SERVIC,£559.20,"Servicing to electric fishing equipment, North East Region Environment Team"
EA,21/08/2013,ELECTRO FISHING SERVIC,£556.80,Servicing and testing of electric fishing equipment
EA,21/08/2013,EM SUPPLIES,"£1,167.36","Sampling equipment for six people - Bridgwater, Somerset "
EA,21/08/2013,EM SUPPLIES,£557.09,Sampling poles and jugs for sampling and collection
EA,21/08/2013,EML LEARNING,£840.00,Fees for one person attending a two-day Economics Management course 
EA,21/08/2013,EMPTEEZY LTD,"£1,428.00",Installation of flammable liquid safe-storage container at Sale Depot
EA,21/08/2013,EMS CONSOLIDATED LTD,"£1,623.76",Various knives for weedcutting bucket - Pevensey 
EA,21/08/2013,EMS CONSOLIDATED LTD,"£1,328.18",Two weed master knives for weedcutting buckets - Pevensey
EA,21/08/2013,ENTWISTLE,"£1,284.00",Reprint five thousand newsletters regarding the Warrington Flood Defence Scheme
EA,21/08/2013,ERNEST DOE POWER,£506.64,Post crete for fencing repairs on the Tidal Ouse
EA,21/08/2013,ESTUARY ENGINEERING CO,£822.60,Hydraulic seals for use on the system controlling Bottisham Pumping Station weed screen cleaner
EA,21/08/2013,EUROFFICE.CO.UK,£503.52,Suspension files for new file cabinets - Orchard House
EA,21/08/2013,EVANS FARM & COUNTRY S,£547.20,Metal gates for flood bank access - Hereford
EA,21/08/2013,EVANS FARM & COUNTRY S,£547.20,Metal gates for flood bank access - Hereford
EA,21/08/2013,FAIRHURST WARD ABBOTTS,"£4,524.00",Pier 4 grille removal and refurbishment - Thames Barrier
EA,21/08/2013,FARNELL ELECTRONIC,"£1,307.74",Batteries for running water quality monitoring equipment
EA,21/08/2013,FARNELL ELECTRONIC,£524.04,Batteries for running water quality monitoring equipment
EA,21/08/2013,FARNELL INTERNET,£541.45,Bulgin connectors for Hydrometry and Telemetry outstations
EA,21/08/2013,FARNELL INTERNET,"£1,105.86",Hand tools for site maintenance - Romsey Depot
EA,21/08/2013,FARNELL INTERNET,£534.56,Socket set and adjustable spanners for team members - Romsey Depot
EA,21/08/2013,FCC RECYCLING,£704.40,Skip hire for the disposal of debris removed from trash screen to lower flood risk to adjacent properties to site
EA,21/08/2013,FIR GROVE HOTEL,£682.70,Accommodation for two people for one night plus refreshments for eighteen people attending Hostile Situations course 
EA,21/08/2013,FIREBRAND TRAINING,"£2,522.97",Fees for one person attending Certified Information Security Management course
EA,21/08/2013,FOCUS SIGNS /LINCS,"£1,200.00",Flood warning sign on pop-up backing
EA,21/08/2013,FOCUS SIGNS /LINCS,£672.00,Eight Otter Information boards
EA,21/08/2013,FOCUS SIGNS /LINCS,£619.20,Printing of 22 Operations public safety signs
EA,21/08/2013,FORREST HILLS EVENT MA,"£1,320.00",Room and equipment hire plus lunch and refreshments for forty people attending meeting
EA,21/08/2013,FORWARD BUILDERS SUPPL,£578.00,Geometric Technical Membrane for safe and secure flooring whilst working on-site
EA,21/08/2013,FOSSE LIMITED,£601.92,Oil spill collection units for plant and equipment
EA,21/08/2013,FRIENDS HOUSE,"£1,773.84",Venue hire and refreshments for forty people attending Local Adaptation Advisory Panel
EA,21/08/2013,FRIENDS HOUSE,"£1,586.85",Venue hire for thirteen people on a three-day training course in London
EA,21/08/2013,FRIENDS HOUSE,£773.93,"Room hire, equipment and catering for Water Resources meeting "
EA,21/08/2013,FRIENDS HOUSE,£723.00,Venue hire plus lunch and refreshments for twelve people attending Executive Managers Climate Change meeting
EA,21/08/2013,FRIENDS HOUSE,£692.94,"Room hire, lunch and equipment for external workshops for Catchment Restoration Fund project"
EA,21/08/2013,FRIENDS HOUSE,£637.94,Room and equipment hire plus refreshments for fourteen people
EA,21/08/2013,FRIENDS HOUSE,£599.93,Room hire plus lunch and refreshments for eleven people attending a meeting
EA,21/08/2013,FRIENDS HOUSE,£558.95,Room and equipment hire plus catering for Water Resources meeting 
EA,21/08/2013,FRIENDS HOUSE,£558.95,Room hire and refreshments for 26 people attending Flood and Coastal Risk Management meeting
EA,21/08/2013,FRIENDS HOUSE,£528.02,"Room hire for Portfolio meeting in Euston, London"
EA,21/08/2013,FRIENDS HOUSE,£515.95,Meeting room hire for monitoring project under Strategic Alignment
EA,21/08/2013,FRIENDS HOUSE,£515.95,Room hire and catering for twelve people attending Human Resources team meeting
EA,21/08/2013,FRIENDS HOUSE,£515.95,Room hire plus lunch and refreshments for twelve people attending meeting
EA,21/08/2013,FUCHS LUBRICANTS,"£1,389.36",Oils and lubricants for Somerset teams
EA,21/08/2013,G CROOK & SONS,£859.46,"37.4 tonnes of topsoil for Badgers Bank, Brewery Field, Bridport flood defence"
EA,21/08/2013,G CROOK & SONS,£550.80,Tipper lorry hire for Salisbury Weed Boom
EA,21/08/2013,G CROOK & SONS,£550.80,Tipper lorry hire for Salisbury Weed Boom
EA,21/08/2013,G.S.S. FASTENERS L,"£1,972.08","1,560 galvanised nuts with threads for site works"
EA,21/08/2013,GALGO UK LTD,£637.20,Seven ammonia test kits for pollution response - Romsey Depot
EA,21/08/2013,GALLERY RESOURCES LTD,"£3,598.18",Temporary staff
EA,21/08/2013,GALLERY RESOURCES LTD,"£3,157.67",Temporary staff
EA,21/08/2013,GALLERY RESOURCES LTD,£842.04,Temporary staff
EA,21/08/2013,GAMART ENGINEERING,"£1,140.00","1,100 pins to hold wire down on sea wall defences to stop wildlife from burrowing"
EA,21/08/2013,GARDINER & SCARDIF,"£1,427.61","Padlocks, batteries for torches, bolts, screws, mudguard washer - all for general maintenance work on fields in the West Sussex area"
EA,21/08/2013,GARIC LTD,£772.80,Container for machine storage during site works
EA,21/08/2013,GBM WASTE MANAGEMENT,£731.40,Plant and labour to remove spoil - Great Eau Doors
EA,21/08/2013,GLADE PEST CONTROL SER,"£2,334.00",Pest control visits to sites across Hertfordshire for flood defence purposes
EA,21/08/2013,GLOBAL SIGNS & ENG,£994.00,Six safety signs
EA,21/08/2013,GLOBALTELESAT,£537.60,Five satellite trackers for Environment Monitoring Officers working in the field
EA,21/08/2013,GODFREYS,£954.15,Checks and repairs to mowers - Pevensey Bay
EA,21/08/2013,GODFREYS,£566.56,Long-reach hedge trimmer - Pevensey office
EA,21/08/2013,GOOGLE  MURLAC LTD,"£2,554.04",Two polyvinyl chloride silt curtains with foam buoyancy and chain ballast and keeder joining rails 
EA,21/08/2013,GOVNET COMMUNICATI,£594.00,Fees for one person attending a Speaking with Impact seminar
EA,21/08/2013,GOVNET COMMUNICATI,£534.00,Fees for one person attending an Influential Analysis training course
EA,21/08/2013,GRAEME COOPER,"£1,217.23",Relocation and purchase of new kiosk for electrical meter at Freebridge Tidal Telemetry site
EA,21/08/2013,GRAND CONNAUGHT ROOMS,"£1,470.00",Room and equipment hire plus lunch for fifteen people attending a two-day event
EA,21/08/2013,GRAPHIC AD,£786.00,Four Environment Agency display banners for public events
EA,21/08/2013,GRAPHIC AD,£624.00,Printing of posters for insurance exhibition
EA,21/08/2013,GREENAWAY AMENITY LTD,"£1,278.00",Herbicide for field teams to treat invasive species 
EA,21/08/2013,GREENAWAY AMENITY LTD,£618.00,New sprayer bought for herbicide treatment - Sunbury-on-Thames
EA,21/08/2013,GREENHAM TRADING LTD,"£1,077.36","Plant nappy liners, sledgehammer and fencing barriers for field teams at Thorne Depot "
EA,21/08/2013,GREENHAM TRADING LTD,"£1,065.49","Monthly janitorial supplies for stores at Thames Barrier. Used by in-house cleaning staff for employees (one hundred on site) and public areas including the visitors' café.  Supplies included liquid soap, toilet roll, hand towels, heavy duty waste bags, cleaning and washing products."
EA,21/08/2013,GREENSTRIPE GARDEN MAC,£807.03,Servicing and spares for small powered hand tools at Owsten Ferry Depot
EA,21/08/2013,GUILDBOURNE PRINTI,"£2,178.00",Vehicle defect books and driver's hours books for North area
EA,21/08/2013,GUOMAN TOWER,£750.00,Accommodation for three people for two nights while attending conference in London
EA,21/08/2013,H M LAND REGISTRY,£636.00,Land Registry costs
EA,21/08/2013,H R WALLINGFORD,"£2,889.60",National Flood Risk Assessment consultancy work
EA,21/08/2013,H R WALLINGFORD,£828.00,Room hire for peer review for project
EA,21/08/2013,H. ELLIS & SONS(1899),"£1,031.76",24 padlocks and thirty keys (includes extra) for team use at Thorne Depot
EA,21/08/2013,H10 HOTEL WATERLOO,"£1,822.00",Accommodation for eight people for one night plus room hire for fifteen people attending Invasive Species Action Group meeting
EA,21/08/2013,HALCROW GROUP LIMI,"£1,824.40",Consultancy work on National Flood Risk Assessment
EA,21/08/2013,HAMMOND DRYSUITS LTD,"£1,260.00",Two summer-weight drysuits 
EA,21/08/2013,HAMMOND DRYSUITS LTD,£593.20,Repairs to two drysuits
EA,21/08/2013,HANSON QUARRY PRODUCTS,"£1,353.60","Ready-mix concrete for ten-foot road repairs in Pett, East Sussex"
EA,21/08/2013,HAWKSMERE LTD,"£2,760.68",Finance training by Kaplan - update for key staff
EA,21/08/2013,HEALEY TOOL HIRE &SALE,£865.50,One medium-sized concrete breaker for general use by Chelmsford Field Team
EA,21/08/2013,HEAVYHAUL /CHELMSF,£744.00,Haulage of weed boat from Amwell End Depot - Rammey Boom replacement
EA,21/08/2013,HEAVYHAUL /CHELMSF,£744.00,Haulage of weed boat from Amwell End Depot - Rammey Boom replacement
EA,21/08/2013,HERTS. DRIVETRAIN LTD,"£1,189.00",Heavy Goods Vehicle training for one person at Rye Scots Float Depot
EA,21/08/2013,HEWARD & DEAN (BD) LTD,"£1,484.30","Hand tools - lopping shears, allen key sockets, rakes - for Amwell End Depot"
EA,21/08/2013,HEWARD & DEAN (BD) LTD,£595.68,Screwdriver set and sealant for operatives for pressure gauges
EA,21/08/2013,HEWARD & DEAN (BD) LTD,£568.45,"Joint sealant, fixings, fastenings, spray paints - for Amwell End Depot"
EA,21/08/2013,HINGLEY & CALLOW O,"£1,433.16",1400 litres of Derv (fuel) for tractors and plant
EA,21/08/2013,HOL INN BIRM CITY,£646.25,Venue hire for National Trading and Regulatory Services Management Team meeting
EA,21/08/2013,HOLIDAY INN EXPRESS,£764.30,Accommodation including evening meal for two people for two nights and nine people for one night while attending Base Controller Development Programme 
EA,21/08/2013,HOLIDAY INN EXPRESS,£756.00,Meeting room hire plus lunch for 35 people attending Regional Leadership Group 
EA,21/08/2013,HOLTITE LIMITED,"£1,099.20",Eighteen snatch blocks for team winching equipment
EA,21/08/2013,HOTEL DU VIN,£898.23,Venue hire plus delegate day rate for fifteen people attending July Board meeting
EA,21/08/2013,HOTEL IBIS,£876.00,Accommodation for four people for three nights attending Water Resources Geographical Information Systems Training in Reading
EA,21/08/2013,HOWARTH TMBR MERCH,£952.99,Fencing materials for flood defence reinforcement and bank protection at Harringworth
EA,21/08/2013,HSD ONLINE,£613.19,Hot water boiler for staff kitchen
