Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2017,VO Code,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR,S44a,S49,Local Discount,Occupied
1.45288E+13,AQUACHECK ENGINEERING LTD       ,                                ,15.07.2009                                               ,EDWARDS AND BRYNING LTD         ,                                ,ROYLE BARN ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3DT,38500,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.43513E+14,AQUAMARK BATHROOMS LTD          ,                                ,25.11.2012                                               ,                                ,                                ,UNIT 1 ALISON HOUSE                ,REGENT STREET                      ,ROCHDALE                        ,                                ,OL12 0HQ,9400,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
3.1528E+13,ARAMEX (UK) LTD                 ,                                ,01.04.2009                                               ,UNIT P6                         ,                                ,PARKLANDS HEYWOOD DISTRIBUTION PARK,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TT,357500,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.37167E+13,ARAN SERVICES LIMITED           ,T/A ARAN ENERGY SERVICES        ,20.02.2017                                               ,UNITS 12-13 GLOBE PARK          ,                                ,MOSS BRIDGE ROAD                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5HG,10750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.47598E+13,ARC MULTI-METAL SERVICES LTD    ,                                ,18.04.2018                                               ,UNIT 8                          ,SHAWCLOUGH INDUSTRIAL ESTATE    ,SHAWCLOUGH ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6ND,44250,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
3.21224E+13,ARCHBOLD LOGISTICS LTD          ,                                ,01.04.2005                                               ,UNIT H BIRCH INDUSTRIAL ESTATE  ,                                ,WHITTLE LANE                       ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2SX,238000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
3212240006004A     ,ARCHBOLD LOGISTICS LTD          ,                                ,15.07.2015                                               ,UNIT F                          ,                                ,BIRCH INDUSTRIAL ESTATE            ,WHITTLE LANE                       ,HEYWOOD                         ,                                ,OL10 2SX,15250,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
2.15761E+13,ARCHWAY BUILDING SERVICES LLP   ,                                ,01.04.2017                                               ,                                ,                                ,GND FLR SYSTEMS HOUSE              ,MORTON STREET                      ,MIDDLETON                       ,MANCHESTER                      ,M24 6AN ,13000,CW   ,Warehouse and Premises                                      ,Y    ,01.04.2017                                               , ,0,0, , , , , 
2.15761E+13,ARCHWAY BUILDING SERVICES UK LTD,                                ,01.04.2017                                               ,                                ,                                ,1ST FLR COMPEX                     ,MORTON STREET                      ,MIDDLETON                       ,MANCHESTER                      ,M24 6AN ,6600,CW   ,Warehouse and Premises                                      ,     ,                                                         , ,0,0,Y, , , , 
2.14024E+13,ARCHWOOD ACCOUNTANTS LTD        ,                                ,01.04.2008                                               ,                                ,                                ,46-48 LONG STREET                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 3UQ ,11250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.43879E+13,ARGOS DISTRIBUTORS LTD          ,                                ,01.01.2009                                               ,ARGOS LTD CENTRAL RETAIL PARK   ,                                ,OLDHAM ROAD                        ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1DZ,159000,CS10 ,RETAIL WAREHOUSE AND PREMISES                               ,     ,                                                         , ,0,0, , , , , 
3.1528E+13,ARGOS DISTRIBUTORS LTD          ,                                ,01.04.2005                                               ,UNIT P4                         ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TT,1730000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.55231E+13,ARGOS DISTRIBUTORS LTD          ,                                ,01.04.2005                                               ,UNIT 28                         ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,43750,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
2.01036E+13,ARGOS DISTRIBUTORS LTD          ,                                ,01.04.2005                                               ,UNIT 10S MIDDLETON SHOPPING     ,CENTRE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 4EL ,40250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
21741999149999B    ,ARGYLE HOUSE SOLUTIONS LTD      ,                                ,10.06.2013                                               ,                                ,                                ,1ST FLR WARWICK COURT              ,ARGYLE HOUSE                       ,PARK ROAD                       ,MIDDLETON                       ,M24 1AE ,5600,CO   ,OFFICE                                                      ,     ,                                                         , ,0,0,Y, , , , 
3003730041006A     ,ARGYLE STREET MEDICAL CENTRE    ,                                ,01.04.2014                                               ,                                ,                                ,141 ARGYLE STREET                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3SD,27500,MH   ,SURGERY AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
13937X92180078     ,ARH INVESTMENTS LTD             ,                                ,01.04.2010                                               ,OFFICE 8 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,1625,CO   ,OFFICE                                                      ,Y    ,01.04.2010                                               , ,0,0, , , , , 
13937X93100031     ,ARH INVESTMENTS LTD             ,                                ,01.04.2010                                               ,OFFICE 7 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,1750,CO   ,OFFICE                                                      ,Y    ,01.04.2010                                               , ,0,0, , , , , 
1.27827E+13,ARIEN DISTRIBUTION LTD          ,                                ,01.01.2016                                               ,                                ,                                ,BST & GND FLR ARIEN REFRIGERATION  ,JOHN STREET                        ,ROCHDALE                        ,                                ,OL16 2HP,31250,IF3  ,"WORKSHOP, SHOWROOM AND PREMISES                             ",     ,                                                         , ,0,0, , , , , 
1.56729E+13,ARLINENS LTD                    ,                                ,26.10.2015                                               ,UNIT 4N                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,5500,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
3.15279E+13,ARMCLAIM LIMITED                ,                                ,13.12.2013                                               ,UNIT P1/6 PARKLANDS             ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TA,23750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
2.01036E+13,ARMCLAIM LTD T/A SIMON ONE      ,                                ,01.04.2010                                               ,                                ,                                ,UNITS 21G & 22G                    ,MIDDLETON SHOPPING CENTRE          ,MIDDLETON                       ,MANCHESTER                      ,M24 4EL ,35500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
3.07663E+13,ARMSTRONG INTERIORS LTD         ,                                ,01.04.2015                                               ,                                ,                                ,ARMSTRONG INTERIORS                ,AT 151 GREEN LANE                  ,HEYWOOD                         ,                                ,OL10 2EW,10500,CW   ,Warehouse and Premises                                      ,     ,                                                         , ,0,0,Y, , , , 
2.1532E+13,ARQIVA LIMITED                  ,                                ,01.04.2005                                               ,SITE 10385                      ,                                ,NTL LARK HILL MIDDLETON VIEW       ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2JU ,9500,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, , , , , 
40115X92458009     ,ARQIVA LIMITED                  ,                                ,01.04.2005                                               ,NTL COMMUNICATION SITE (10322)  ,                                ,BLACKSTONE EDGE OLD ROAD           ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 0JN,27500,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, , , , , 
1.55484E+13,ARQIVA LIMITED                  ,                                ,01.04.2005                                               ,NTL SITE NO 10388               ,                                ,WHITTAKER MOSS                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5UY,10250,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, , , , , 
6004190001008B     ,ARQIVA LIMITED                  ,                                ,01.04.2005                                               ,NTL SITE NO 10387               ,                                ,BANK LANE                          ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9NE,5700,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, , , , , 
3.2237E+13,ARRAS SERVICES LTD              ,                                ,01.04.2005                                               ,ARRAS HOUSE                     ,                                ,47 YORK STREET                     ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4NN,6700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
1.42647E+13,ARROW MILL MANAGEMENT LTD       ,                                ,14.10.2015                                               ,                                ,                                ,PT 4TH FLR ARROW MILL              ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2PX,46000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
2.10399E+13,ARTHUR MORGAN KITCHENS &        ,BEDROOMS LTD                    ,26.09.2014                                               ,                                ,                                ,UNIT 4F BIRCH MILL                 ,HEYWOOD OLD ROAD                   ,HEYWOOD                         ,                                ,OL10 2QQ,4200,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
1386280011002B     ,ARTISAN INNS LIMITED            ,                                ,17.07.2017                                               ,GRAPES INN                      ,                                ,69 NORDEN ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5PN,18500,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, , , ,Y, 
1.29116E+13,ASDA STORES LIMITED             ,                                ,01.04.2015                                               ,                                ,                                ,ATM AT UNIT 2 KINGSWAY RETAIL PARK ,KINGSWAY                           ,ROCHDALE                        ,                                ,OL16 5AF,11250,CX   ,SITE OF ATM                                                 ,     ,                                                         , ,0,0, , , , , 
1137894761447A     ,ASDA STORES LTD                 ,                                ,01.04.2005                                               ,ASDA FILLING STATION            ,                                ,DANE STREET                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EZ,46500,CG   ,PETROL FILLING STATION AND PREMISES                         ,     ,                                                         , ,0,0, , , , , 
1137894191645A     ,ASDA STORES LTD                 ,                                ,01.04.2005                                               ,ASDA SUPERSTORE                 ,                                ,DANE STREET                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EZ,1790000,CS9  ,SUPERSTORE AND PREMISES                                     ,     ,                                                         , ,0,0, , , , , 
1.14613E+13,ASDA STORES LTD                 ,                                ,07.12.2012                                               ,                                ,                                ,ASDA STORES LTD                    ,PLOT J JOHN MILNE AVENUE           ,KINGSWAY BUSINESS PARK          ,ROCHDALE                        ,OL16 4NG,3090000,CX   ,COLD STORE AND PREMISES                                     ,     ,                                                         , ,0,0, , , , , 
1137899313867C     ,ASDA STORES LTD                 ,                                ,01.04.2010                                               ,                                ,                                ,ATM SITE (BARCLAYS) AT ASDA        ,SUPERSTORE                         ,DANE STREET                     ,ROCHDALE                        ,OL11 4EZ,16500,CX   ,SITE OF ATM                                                 ,     ,                                                         , ,0,0, , , , , 
1.1379E+13,ASDA STORES LTD                 ,                                ,01.04.2010                                               ,                                ,                                ,ATM SITE (BANK MACHINE) AT         ,ASDA SUPERSTORE                    ,DANE STREET                     ,ROCHDALE                        ,OL11 4EZ,8300,CX   ,SITE OF ATM                                                 ,     ,                                                         , ,0,0, , , , , 
1.29116E+13,ASDA STORES LTD                 ,                                ,01.04.2015                                               ,                                ,                                ,UNIT 2 KINGSWAY RETAIL PARK        ,KINGSWAY                           ,ROCHDALE                        ,                                ,OL16 5AF,97500,CS10 ,Retail Warehouse and Premises                               ,     ,                                                         , ,0,0, , , , , 
20946X95667975     ,ASH TIMBER LTD                  ,                                ,27.03.2007                                               ,ASH TIMBER LTD                  ,                                ,107 GRIMSHAW LANE                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2BR ,10500,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
15812X0058001A     ,ASHFIELD VALLEY PRIMARY SCHOOL  ,                                ,01.04.2005                                               ,ASHFIELD VALLEY PRIMARY SCHOOL  ,                                ,NEW BARN LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1TD,39250,EL   ,SCHOOL AND PREMISES                                         ,     ,                                                         , ,0,0, , , , , 
2.10399E+13,ASHFORRD CONTRACT LTD           ,                                ,25.06.2010                                               ,UNIT 3A BIRCH MILL              ,                                ,HEYWOOD OLD ROAD                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 2QQ,1500,CO   ,OFFICE AND PREMISES                                         ,     ,                                                         , ,0,0,Y, , , , 
1.02743E+13,ASHWORTH VIEW LIMITED           ,                                ,16.09.2013                                               ,                                ,                                ,ASHWORTH VIEW NURSERY              ,EDENFIELD ROAD                     ,ROCHDALE                        ,                                ,OL12 7TY,17250,EN1  ,DAY NURSERY AND PREMISES                                    ,     ,                                                         , ,0,0, , , , , 
1.03581E+13,ASIF GHAFOOR ARAIN              ,                                ,06.04.2010                                               ,                                ,                                ,28 BARON STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1SJ,5700,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
1.0115E+13,ASPDEN & MIDDLETON PROPERTIES   ,LTD                             ,01.04.2007                                               ,BOUNDARY WORKS                  ,                                ,BOUNDARY STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1QX,1675,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2007                                               , ,0,0, , , , , 
1.47023E+13,ASPDEN & MIDDLETON PROPERTIES   ,LTD                             ,01.04.2005                                               ,ASPDEN & MIDDLETON PROPERTIES   ,                                ,SCHOOL LANE                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QP,11000,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y, , , , 
1.47023E+13,ASPDEN & MIDDLETON PROPERTIES   ,LIMITED                         ,12.01.2017                                               ,                                ,                                ,1ST FLR MEETING ROOM               ,SCHOOL LANE                        ,ROCHDALE                        ,LANCS                           ,OL16 1QP,2750,CL2  ,CLUB AND PREMISES                                           ,Y    ,12.01.2017                                               , ,0,0, , , , , 
2204476876956B     ,ASPRAY TRANSPORT LTD            ,                                ,01.10.2013                                               ,UNIT 63 STAKEHILL INDUSTRIAL    ,ESTATE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2FL ,150000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
3177119915809A     ,ASR PROPERTIES (UK) LTD         ,                                ,30.10.2013                                               ,TYRONE BRICK LTD                ,                                ,SEFTON STREET                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2SZ,21000,CW1  ,LAND USED FOR STORAGE AND PREMISES                          ,Y    ,30.10.2013                                               , ,0,0, , , , , 
3177119917309A     ,ASR PROPERTIES (UK) LTD         ,                                ,30.10.2013                                               ,AMES CROSTA MILLS AND CO LTD    ,                                ,SEFTON STREET                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2JF,6000,CP   ,CAR PARK AND PREMISES                                       ,Y    ,30.10.2013                                               , ,0,0, , , , , 
3.17712E+13,ASR PROPERTIES (UK) LTD         ,                                ,17.01.2017                                               ,                                ,                                ,UNIT ADJ RILEY & SONS              ,SEFTON STREET                      ,HEYWOOD                         ,                                ,OL10 2JF,33000,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,17.01.2017                                               , ,0,0, , , , , 
1350580010005B     ,ASSOC OF UKRAINIANS IN GREAT    ,BRITAIN                         ,01.04.2005                                               ,ELMFIELD                        ,                                ,MERE STREET                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1HJ,9000,CL2  ,CLUB AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.55618E+13,ASTRA ALARM SYSTEMS LTD         ,                                ,01.04.2005                                               ,UNIT F5                         ,                                ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0AB,6700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
1.07907E+13,ATEC PRINT LTD                  ,                                ,14.07.2016                                               ,                                ,                                ,UNITS 6-8                          ,BUCKLEY ROAD INDUSTRIAL ESTATE     ,ROCHDALE                        ,                                ,OL12 9DJ,35000,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
1.52754E+13,ATFX SYSTEMS LTD                ,                                ,01.04.2011                                               ,                                ,                                ,GND FLR                            ,40 TWEEDALE STREET                 ,ROCHDALE                        ,                                ,OL11 1HH,6800,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.55818E+13,ATHENA ROOFING SERVICES         ,(ROCHDALE) LTD                  ,01.07.2010                                               ,                                ,                                ,26 WILSON STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0PW,3450,CG2  ,GARAGE AND PREMISES                                         ,     ,                                                         , ,0,0,Y, , , , 
1.4865E+13,ATHERTON STANDRING TAYLOR       ,                                ,01.04.2005                                               ,                                ,                                ,7 SOUTH PARADE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1LR,15750,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
2.09845E+13,ATL TRANSFORMERS LIMITED        ,                                ,01.04.2005                                               ,BOSLEDGE LTD                    ,                                ,HANSON CLOSE                       ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2HD ,23000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
2.09846E+13,ATL TRANSFORMERS LTD            ,                                ,03.11.2017                                               ,UNIT E3 HANSON PARK HANSON      ,CLOSE                           ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2HD ,9900,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
3203560006004A     ,ATLANTIC EXECUTIVE TRAVEL LTD   ,                                ,01.04.2005                                               ,ATLANTIC EXECUTIVE TRAVEL LTD   ,                                ,BRADSHAW STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1PQ,7500,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y, , , , 
15026X78161787     ,ATLANTIS CORPORATION            ,(IMPORTS) LTD                   ,01.08.2015                                               ,                                ,                                ,VACANT UNITS                       ,STUART STREET                      ,ROCHDALE                        ,                                ,OL16 5NB,1325,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,01.08.2015                                               , ,0,0, , , , , 
1.15104E+13,ATLANTIS CORPORATION (IMPORTS)  ,LTD                             ,18.09.2015                                               ,                                ,                                ,RIVERSIDE QUILTERS                 ,DODGSON STREET                     ,ROCHDALE                        ,                                ,OL16 5SH,27250,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
2.20238E+13,ATLAS CLEANING LTD              ,DIRECTORS PENSION SCHEME        ,31.12.2016                                               ,K/A UNIT 3 SPRING GARDENS MILL  ,                                ,UNIT 6 SPRINGFIELD MILL            ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6DQ ,3150,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,31.12.2016                                               , ,0,0, , , , , 
2.20238E+13,ATLAS CLEANING LTD DIRECTORS    ,PENSION SCHEME -FAO IRIS SHOTTON,01.04.2009                                               ,UNIT 5 SPRINGFIELD MILL         ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 6DQ ,1900,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2009                                               , ,0,0, , , , , 
2.20238E+13,ATLAS CLEANING LTD DIRECTORS    ,PENSION SCHEME                  ,01.04.2009                                               ,UNIT 3A SPRINGFIELD MILL        ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 6DQ ,2900,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2009                                               , ,0,0, , , , , 
2.20238E+13,ATLAS CLEANING LTD DIRECTORS    ,PENSION SCHEME                  ,01.04.2007                                               ,UNIT 4 SPRINGFIELD MILL         ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 6DQ ,4100,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2007                                               , ,0,0, , , , , 
307645000400X8     ,ATLAS SECURITY PRODUCTS LTD     ,                                ,01.04.2017                                               ,UNIT 4                          ,                                ,PHOENIX CLOSE                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2JG,4350,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
3.09798E+13,ATRIUM TELECOM LTD              ,                                ,01.05.2014                                               ,                                ,                                ,FF01 & FF02 OFFICE THE OLD POLICE  ,STATION BUSINESS CENTRE            ,HIND HILL STREET                ,HEYWOOD                         ,OL10 1AQ,5700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
1.58009E+13,ATS EUROMASTER LTD              ,                                ,01.04.2005                                               ,ATS NORTH WESTERN LTD           ,                                ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DT,48500,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, , , , , 
2.11771E+13,AUDIO MAINTENANCE LTD           ,                                ,12.02.2010                                               ,NEXT 2                          ,                                ,CHEETHAM AVENUE                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2LR ,3150,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
5.02024E+13,AUQUA LTD                       ,                                ,21.04.2015                                               ,UNIT 2 BURNEDGE MILL            ,                                ,BROAD LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4PU,2650,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
1.47022E+13,AUTO BATTERY SERVICE LTD        ,                                ,01.04.2005                                               ,AUTO BATTERY SERVICE LTD        ,                                ,SCHOOL LANE                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QP,11500,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
13649X0003002A     ,AUTO BATTERY SERVICE LTD        ,                                ,01.04.2005                                               ,AUTO BATTERY SERVICE LTD        ,                                ,MOORE STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QN,10000,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
1.43401E+13,AUTOCORE LTD                    ,                                ,01.11.2016                                               ,UNIT 13 CALDERSHAW BUSINESS     ,CENTRE                          ,INGS LANE                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7LQ,8300,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
1.47598E+13,AUTOMOTIVATED LIMITED           ,                                ,15.11.2014                                               ,UNIT 10                         ,                                ,SHAWCLOUGH INDUSTRIAL ESTATE       ,SHAWCLOUGH ROAD                    ,ROCHDALE                        ,LANCASHIRE                      ,OL12 6ND,6600,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
2.10426E+13,AVASHA INVESTMENTS GROUP (NO.3) ,LTD                             ,20.06.2016                                               ,TAPIOS                          ,                                ,342 HEYWOOD OLD ROAD               ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4QG ,0,CL   ,BUILDING UNDERGOING RECONSTRUCTION                          ,Y    ,20.06.2016                                               , ,0,0, , , , , 
3.08081E+13,AVIVA INVESTORS PENSION LTD     ,                                ,19.01.2018                                               ,                                ,                                ,LINK 95 HARESHILL DISTRIBUTION PARK,HARESHILL ROAD                     ,HEYWOOD                         ,                                ,OL10 2TP,605000,CW   ,Warehouse and Premises                                      ,Y    ,19.01.2018                                               , ,0,0, , , , , 
3.07663E+13,AVONSIDE ROOFING LIMITED        ,                                ,19.04.2011                                               ,THE COURTYARD                   ,                                ,GREEN LANE                         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2EX,36250,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
3.07662E+13,AVONSIDE ROOFING LIMITED        ,EXECUTIVE PENSION SCHEME        ,06.03.2017                                               ,                                ,                                ,PT GND & PT 1ST FLRS OPTIMA ENERGY ,"SOLUTIONS, THE COURTYARD           ",GREEN LANE                      ,HEYWOOD                         ,OL10 2EX,32000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
5.06827E+13,AVS FIRE PROTECTION LTD         ,                                ,14.12.2016                                               ,UNIT 3 ADJ NEWHEY GARAGE        ,                                ,HUDDERSFIELD ROAD                  ,NEWHEY                             ,ROCHDALE                        ,LANCS                           ,OL16 3QD,4650,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
312853001200X3     ,A-Z SCAFFOLDING NORTH WEST LTD  ,                                ,01.03.2017                                               ,                                ,                                ,UNIT 2 MILLER STREET WORKS         ,MILLER STREET                      ,HEYWOOD                         ,                                ,OL10 4HJ,7700,IF3  ,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y, , , , 
1.58009E+13,AZAM PROPERTY INVESTMENTS LTD   ,                                ,31.01.2017                                               ,GND FLR                         ,                                ,87 YORKSHIRE STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1DW,23000,CS   ,SHOP AND PREMISES                                           ,Y    ,31.01.2017                                               , ,0,0, , , , , 
1.58009E+13,AZAM PROPERTY INVESTMENTS LTD   ,                                ,14.08.2017                                               ,1ST FLR                         ,                                ,87-89 YORKSHIRE STREET             ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1DW,8100,CO   ,OFFICES AND PREMISES                                        ,Y    ,14.08.2017                                               , ,0,0, , , , , 
3076451522109A     ,B & G (FOOD PRODUCTS) LTD       ,                                ,01.04.2005                                               ,UNIT 1-3                        ,                                ,PHOENIX CLOSE                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2JG,11750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
12641X00130077     ,B & J PAINTERS & DECORATORS LTD ,                                ,01.04.2011                                               ,B AND J HOUSE                   ,                                ,HOWARD STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0LU,5300,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
1.58008E+13,B & M RETAIL LTD                ,                                ,20.09.2010                                               ,                                ,                                ,41-43 YORKSHIRE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BT,249000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
