Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Partnership Management,Corporate Travel Management (North) Ltd,99782556,1.6,14/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Partnership Management,Corporate Travel Management (North) Ltd,99782556,74,14/07/2022--Mercure Nottingham-East Midlands-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Partnership Management,Corporate Travel Management (North) Ltd,99782556,0.48,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,06/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,06/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,12/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,12/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,19/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,19/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,20/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,20/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,21/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,21/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,28/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,28/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,0.25,12/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,35,12/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,0.25,21/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,35,21/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,0.25,26/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,35,26/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,0.25,27/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99782556,35,27/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Central Services Management,Corporate Travel Management (North) Ltd,99782556,0.25,27/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Central Services Management,Corporate Travel Management (North) Ltd,99782556,77.5,27/07/2022--Nottingham-ZONE U1* LONDN-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Corporate Finance,Corporate Travel Management (North) Ltd,99782556,0.25,14/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Corporate Finance,Corporate Travel Management (North) Ltd,99782556,35,14/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Corporate HR,Corporate Travel Management (North) Ltd,99782556,0.25,14/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Corporate HR,Corporate Travel Management (North) Ltd,99782556,35,14/07/2022--Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,D&I Management,Corporate Travel Management (North) Ltd,99782556,5,13/06/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,D&I Management,Corporate Travel Management (North) Ltd,99782556,-301.6,13/06/2022--Billingham (cleveland)-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,D&I Management,Corporate Travel Management (North) Ltd,99782556,5,20/06/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,D&I Management,Corporate Travel Management (North) Ltd,99782556,-301.6,20/06/2022--Billingham (cleveland)-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99782556,0.25,08/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99782556,40.7,08/07/2022--Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99782556,0.25,12/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99782556,40.7,12/07/2022-Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,ERP Support,Corporate Travel Management (North) Ltd,99782556,0.25,15/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,ERP Support,Corporate Travel Management (North) Ltd,99782556,40.7,15/07/2022--Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,ERP Support,Corporate Travel Management (North) Ltd,99782556,0.25,19/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,ERP Support,Corporate Travel Management (North) Ltd,99782556,40.7,19/07/2022--Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,01/08/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,01/08/2022--Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,13/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,13/07/2022--Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,0.25,13/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99782556,35,13/07/2022--Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Services,Corporate Travel Management (North) Ltd,99782556,5,13/06/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Finance Services,Corporate Travel Management (North) Ltd,99782556,-96.6,13/06/2022--Swindon (wilts)-Manchester Piccadilly-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Operational Procurement,Corporate Travel Management (North) Ltd,99782556,0.5,19/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Operational Procurement,Corporate Travel Management (North) Ltd,99782556,158.7,19/07/2022--Swindon (wilts)-London Zones 1-6-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Operational Procurement,Corporate Travel Management (North) Ltd,99782556,157.2,19/07/2022--Swindon (wilts)-ZONE U1* LONDN-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Operational Purchasing and Functional Support,Corporate Travel Management (North) Ltd,99782556,5,17/06/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Operational Purchasing and Functional Support,Corporate Travel Management (North) Ltd,99782556,-22.5,17/06/2022--Cathays-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,0.25,01/08/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,264,01/08/2022--Peterborough-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,0.5,14/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,41.4,14/07/2022--Peterborough-Nottingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,11.5,14/07/2022--Whittlesea-Nottingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,0.25,15/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,28.5,15/07/2022--Nottingham-Whittlesea-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,0.25,11/08/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,35,11/08/2022--Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,0.25,11/08/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,35,11/08/2022--Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,0.25,11/08/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,35,11/08/2022--Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,0.25,11/08/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,35,11/08/2022--Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,0.25,11/08/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99782556,35,11/08/2022--Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,Computer Software,Production Services,Circle IT Solutions Ltd,99783269,"8,270.72",Computer Consumables,CF23 8AB
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,Recruitment Costs,Corporate HR,Agenda Resource Management Ltd,99783312,689.86,Professional Services,HU12 8YJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Agency Staff,ROE Application Upgrade,Alexander Mann Solutions Ltd,99776484,"12,271.32",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,99782120,18,SR-11229360 SSC THIRD PARTY PAYMENTS July2022,SM3 8DY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Union Deductions,Balance Sheet,PCS Union,99782121,919.36,SR-11229360 SSC THIRD PARTY PAYMENTS July2022,SW11 2LN
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Voluntary Deductions,Balance Sheet,Swindon Office Sports and Social Club,99782122,176,SR-11229360 SSC THIRD PARTY PAYMENTS July2022,SN2 1EU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Ees Pension Deductions - JSS,Balance Sheet,RCPS Pension,99782123,"81,899.42",SR-11229360 RCPS monthly contributions for SSC July2022,SN2 1UY.
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Ers Pension Deductions - JSS,Balance Sheet,RCPS Pension,99782124,"368,923.78",SR-11229360 RCPS monthly contributions for SSC July2022,SN2 1UY.
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Other Pension Deductions,Balance Sheet,Scottish Widows,99782125,100,SR-11229360 SSC THIRD PARTY PAYMENTS July2022,EH16 5BU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Partnership Pension Deductions,Balance Sheet,Scottish Widows,99782126,"3,771.20",SR-11229360 SSC THIRD PARTY PAYMENTS July2022,EH16 5BU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Partnership Pension Deductions,Balance Sheet,Standard Life Assurance Ltd,99782127,391.31,SR-11229360 SSC THIRD PARTY PAYMENTS July2022,EH1 2DH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Ees Pension Deductions - MRC,Balance Sheet,JLT Pensions Administration Ltd T/A JLT Employee Benefits,99782128,"3,841.36",SR-11229360 SSC THIRD PARTY PAYMENTS July2022,PRINCIPAL SECTI
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Ers Pension Deductions - MRC,Balance Sheet,JLT Pensions Administration Ltd T/A JLT Employee Benefits,99782129,"9,987.52",SR-11229360 SSC THIRD PARTY PAYMENTS July2022,PRINCIPAL SECTI
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Voluntary Deductions,Balance Sheet,BHCA (Services) Ltd,99782130,59.15,SR-11229360 SSC THIRD PARTY PAYMENTS July2022,NN14 1UE
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Ees Pension Deductions - MyCSP,Balance Sheet,Cabinet Office RM Shared Services,99782131,145.36,SR-11229360 UKSBS THIRD PARTY PAYMENTS July 2022,FY5 3TA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Ers Pension Deductions - MyCSP,Balance Sheet,Cabinet Office RM Shared Services,99782132,722.78,SR-11229360 UKSBS THIRD PARTY PAYMENTS July 2022,FY5 3TA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99783548,"11,086.63",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Contract Staff,Project Office,Alexander Mann Solutions Ltd,99783553,"3,649.14",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Contract Staff,Corporate HR,Alexander Mann Solutions Ltd,99783557,"3,780.36",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Contract Staff,Corporate Commercial,Alexander Mann Solutions Ltd,99783947,"6,303.12",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99783966,"3,387.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/08/2022,T&S - Mileage,SIAM,Unspecified,99784154,45,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/08/2022,Computer Software Licences,Production Services,Softcat plc,99770294,388.79,Computer Consumables,SL7 1LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/08/2022,Computer Software Licences,Production Services,Softcat plc,99770294,"2,586.33",Computer Consumables,SL7 1LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/08/2022,Health & Safety (inc. Medicals & Opticians),People,Swindon Occupational Medical Services Ltd,99780182,"2,090.00",Professional Services,GL7 7AL
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/08/2022,Consultancy Services,Interfaces & API Mgmt,Software AG (UK) Ltd,99780782,14.47,Computer Consumables,DE24 8BY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/08/2022,Consultancy Services,Interfaces & API Mgmt,Software AG (UK) Ltd,99780782,"3,547.44",Computer Consumables,DE24 8BY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/08/2022,T&S - Subsistence,D&I Infrastructure & Network Services,Unspecified,99784512,24.2,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/08/2022,T&S - Vehicle Hire,D&I Infrastructure & Network Services,Unspecified,99784512,37.18,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99784930,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99784932,504,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99784935,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99784939,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99784941,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,T&S - Vehicle Hire,Production Services,Enterprise Rent-A-Car UK Ltd,99785033,5.08,SR 11236910 CAR HIRE,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,T&S - Vehicle Hire,Production Services,Enterprise Rent-A-Car UK Ltd,99785033,25.39,,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Mobile Phone Costs,Production Services,Telefonica UK Ltd (O2),99785041,"1,788.93",CALL CHARGES,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Recruitment Costs,Corporate HR,Agenda Resource Management Ltd,99785080,637.36,Professional Services,HU12 8YJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Computing Consumables,Production Services,Dell Corporation Ltd,99785713,"8,750.40",Computer Consumables,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,Health & Safety (inc. Medicals & Opticians),Tier 1 ROE Transactions,Unspecified,99785818,55,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,17/08/2022,UK - Professional Memberships & Subscriptions,Resourcing,Unspecified,99785819,167,Professional Subscriptions (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,18/08/2022,T&S - Vehicle Hire,Board,Non Employee Expenses Supplier,99785199,66.6,SR-11206214 T&S Attended meetings as UK SBS Board member,BACS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,18/08/2022,Printing & Stationery,Finance Operations 1,Banner Group Ltd,99785936,13.32,Office Supplies,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,18/08/2022,Safety Materials & Equipment,Finance Operations 1,Banner Group Ltd,99785937,17.69,Safety Equipment & Materials,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/08/2022,Hardware/Software Maintenance,Production Services,KTSL Ltd,99779837,146.26,Computer Consumables,SN13 0ZQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/08/2022,T&S - Other Charges,"D&I Digital, Data & Analytics",Unspecified,99785523,45,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/08/2022,UK - Professional Memberships & Subscriptions,Facilities,Unspecified,99785524,370,Professional Subscriptions (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99785605,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/08/2022,Other Staff Benefits,Resourcing,BMI Healthcare Limited,99786400,564.2,ZZ-Employee Benefits,SE3 9LG
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/08/2022,Other Staff Benefits,People,Amazon EU SARL,99786424,150,ZZ-Employee Benefits,EC2A 2FA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99778341,340.96,Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99785607,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99785611,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99785613,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99785615,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99785820,-498,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Protective Clothing,Executive Function,Unspecified,99785820,498,GPC_Clothing - Protective,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99786547,"2,835.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Contract Staff,Project Office,Alexander Mann Solutions Ltd,99786800,"3,649.14",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/08/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99786802,"3,387.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Computer Software Licences,Production Services,Phoenix Software Ltd,99771388,"7,011.73",Computer Consumables,YO42 1NS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Computer Software Licences,Production Services,Phoenix Software Ltd,99772110,3.31,Computer Consumables,YO42 1NS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99776475,"7,696.44",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Agency Staff,ROE Application Upgrade,Alexander Mann Solutions Ltd,99779918,"4,090.44",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Hardware/Software Maintenance,ISS Recoverable Charges – UKRI,Ogel IT Ltd,99781270,"8,726.01","Technical Assurance, Support and Escalation Services",SG1 2FS
