Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods (Purpose of expenditure look up),Service/Department   (SAP Hierarchy Position),Expense Area (cost centre desc),Net Order Value Over £5000.00 (line item value shown here),GL Code,Cost Centre/WBS
07/07/2020,ZZH680015,3,8944,P88017 Chadsfield Medical Prac,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,519.00,561704,12748
07/07/2020,ZZH680015,4,8944,P88017 Chadsfield Medical Prac,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"1,441.00",530348,12748
07/07/2020,ZZH680016,1,8945,P88018 Park View Group Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,247.00",530348,12735
07/07/2020,ZZH680016,2,8945,P88018 Park View Group Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"3,049.00",530348,12737
07/07/2020,ZZH680016,3,8945,P88018 Park View Group Practic,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"3,987.00",561704,12748
07/07/2020,ZZH680016,4,8945,P88018 Park View Group Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"5,697.00",530348,12748
07/07/2020,ZZH680017,1,8932,P88019 Woodley Health Centre A,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"1,996.00",530348,12735
07/07/2020,ZZH680017,2,8932,P88019 Woodley Health Centre A,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,680.00",530348,12737
07/07/2020,ZZH680017,3,8932,P88019 Woodley Health Centre A,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"1,139.00",561704,12748
07/07/2020,ZZH680017,4,8932,P88019 Woodley Health Centre A,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"1,891.00",530348,12748
07/07/2020,ZZH680018,1,8948,P88020 Cheadle Medical Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,619.00",530348,12735
07/07/2020,ZZH680018,2,8948,P88020 Cheadle Medical Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,492.00",530348,12737
07/07/2020,ZZH680018,3,8948,P88020 Cheadle Medical Practic,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"1,876.00",561704,12748
07/07/2020,ZZH680018,4,8948,P88020 Cheadle Medical Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"6,940.00",530348,12748
07/07/2020,ZZH680019,1,8964,P88021 Marple Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,901.00",530348,12735
07/07/2020,ZZH680019,2,8964,P88021 Marple Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,300.00",530348,12737
07/07/2020,ZZH680019,3,8964,P88021 Marple Medical Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"1,826.00",561704,12748
07/07/2020,ZZH680019,4,8964,P88021 Marple Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"1,608.00",530348,12748
07/07/2020,ZZH680020,1,8960,P88023 Heald Green Health Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,358.00",530348,12735
07/07/2020,ZZH680020,2,8960,P88023 Heald Green Health Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,260.00",530348,12737
07/07/2020,ZZH680020,3,8960,P88023 Heald Green Health Cent,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,419.00,561704,12748
07/07/2020,ZZH680020,4,8960,P88023 Heald Green Health Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"2,301.00",530348,12748
07/07/2020,ZZH680021,1,8929,P88024 Gatley Medical Centre (,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,623.00",530348,12735
07/07/2020,ZZH680021,2,8929,P88024 Gatley Medical Centre (,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,523.00",530348,12737
07/07/2020,ZZH680021,4,8929,P88024 Gatley Medical Centre (,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"3,632.00",530348,12748
07/07/2020,ZZH680022,1,8921,P88025 Hulme Hall Medical Grou,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,501.00",530348,12735
07/07/2020,ZZH680022,2,8921,P88025 Hulme Hall Medical Grou,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,125.00",530348,12737
07/07/2020,ZZH680022,3,8921,P88025 Hulme Hall Medical Grou,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"1,541.00",561704,12748
07/07/2020,ZZH680022,4,8921,P88025 Hulme Hall Medical Grou,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"1,127.00",530348,12748
07/07/2020,ZZH680023,1,8914,P88026 Heaton Moor Medical Gro,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"16,134.00",530348,12735
07/07/2020,ZZH680023,2,8914,P88026 Heaton Moor Medical Gro,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"11,168.00",530348,12737
07/07/2020,ZZH680023,3,8914,P88026 Heaton Moor Medical Gro,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"9,184.00",561704,12748
07/07/2020,ZZH680023,4,8914,P88026 Heaton Moor Medical Gro,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"8,789.00",530348,12748
07/07/2020,ZZH680024,1,8928,P88031 Bracondale Medical Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,055.00",530348,12735
07/07/2020,ZZH680024,2,8928,P88031 Bracondale Medical Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,493.00",530348,12737
07/07/2020,ZZH680024,3,8928,P88031 Bracondale Medical Cent,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"1,709.00",561704,12748
07/07/2020,ZZH680024,4,8928,P88031 Bracondale Medical Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"3,414.00",530348,12748
07/07/2020,ZZH680028,1,8922,P88042 Heald Green Health Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,354.00",530348,12735
07/07/2020,ZZH680028,2,8922,P88042 Heald Green Health Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,250.00",530348,12737
07/07/2020,ZZH680028,3,8922,P88042 Heald Green Health Cent,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"1,340.00",561704,12748
07/07/2020,ZZH680028,4,8922,P88042 Heald Green Health Cent,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"3,047.00",530348,12748
07/07/2020,ZZH680029,1,3789,"P88043 Brinnington Surgery, Br",320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,774.00",530348,12735
07/07/2020,ZZH680029,2,3789,"P88043 Brinnington Surgery, Br",320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"5,160.00",530348,12737
07/07/2020,ZZH680029,3,3789,"P88043 Brinnington Surgery, Br",999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"9,382.00",561704,12748
07/07/2020,ZZH680029,4,3789,"P88043 Brinnington Surgery, Br",320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"5,989.00",530348,12748
07/07/2020,ZZH680035,1,8930,P88625 Woodley Health Centre -,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,242.00",530348,12735
07/07/2020,ZZH680035,2,8930,P88625 Woodley Health Centre -,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,329.00",530348,12737
07/07/2020,ZZH680035,3,8930,P88625 Woodley Health Centre -,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"2,161.00",561704,12748
07/07/2020,ZZH680035,4,8930,P88625 Woodley Health Centre -,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,986.00,530348,12748
07/07/2020,ZZH680036,1,8957,P88632 Stockport Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"5,651.00",530348,12735
07/07/2020,ZZH680036,2,8957,P88632 Stockport Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"5,678.00",530348,12737
07/07/2020,ZZH680036,3,8957,P88632 Stockport Medical Group,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"9,600.00",561704,12748
07/07/2020,ZZH680036,4,8957,P88632 Stockport Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"10,082.00",530348,12748
07/07/2020,ZZH680038,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"6,105.00",401007,C.01172.202
07/07/2020,ZZH680040,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"34,890.00",401007,C.00620.201
07/07/2020,ZZH680041,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"31,096.70",401007,C.01179.202
08/07/2020,ZZH680083,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,#N/A,#N/A,"17,323.06",200121,C.10941
09/07/2020,ZZH680097,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,MOS - Mosaic Mngmnt,"26,000.00",500402,11430
09/07/2020,ZZH680102,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"11,139.80",401600,C.00621.201
09/07/2020,ZZH680103,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"9,727.80",401600,C.00621.203
09/07/2020,ZZH680105,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"42,042.28",401600,C.00621.203
09/07/2020,ZZH680107,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"25,352.00",401600,C.00950.203
09/07/2020,ZZH680108,1,3529,Totally Local Company Ltd,391114,"Works - Construction, Repair & Maintenance Buildings Surveys",Capital Expenditure - Fees,#N/A,#N/A,"5,843.09",200316,C.01273.202
09/07/2020,ZZH680111,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Network Assets Staff,"10,080.00",401007,11959
09/07/2020,ZZH680138,1,4765,Johnnie Johnson Housing Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Extra Care Hsg Block,"6,843.72",530328,12219
09/07/2020,ZZH680139,1,4765,Johnnie Johnson Housing Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Extra Care Hsg Block,"6,843.72",530328,12219
10/07/2020,ZZH680157,1,35,CBC Computer Systems Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,IT Infrastructure,945.00,400999,11324
10/07/2020,ZZH680157,2,35,CBC Computer Systems Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,IT Infrastructure,725.00,400999,11324
10/07/2020,ZZH680157,3,35,CBC Computer Systems Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,IT Infrastructure,"2,545.00",400999,11324
10/07/2020,ZZH680157,4,35,CBC Computer Systems Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,IT Infrastructure,"3,715.00",400999,11324
10/07/2020,ZZH680157,5,35,CBC Computer Systems Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,IT Infrastructure,"4,275.00",400999,11324
10/07/2020,ZZH680157,6,35,CBC Computer Systems Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,IT Infrastructure,"1,580.00",400999,11324
10/07/2020,ZZH680157,7,35,CBC Computer Systems Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,IT Infrastructure,196.00,400999,11324
10/07/2020,ZZH680158,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"11,037.00",402001,11324
10/07/2020,ZZH680158,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,70.00,402001,11324
10/07/2020,ZZH680158,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,70.00,402001,11324
10/07/2020,ZZH680158,4,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,244.40,402001,11324
10/07/2020,ZZH680166,1,10657,Tales Toolkit Ltd,150000,Consultancy   ,Professional Fees,Services to People,SI M&B Grant,"5,600.00",401007,13041
10/07/2020,ZZH680167,1,14292,Full Support Healthcare Limite,#N/A,#N/A,#N/A,Services to People,PH-Health Protection,"6,420.00",400999,12739
10/07/2020,ZZH680167,2,14292,Full Support Healthcare Limite,#N/A,#N/A,#N/A,Services to People,PH-Health Protection,145.00,400999,12739
10/07/2020,ZZH680167,3,14292,Full Support Healthcare Limite,#N/A,#N/A,#N/A,Services to People,PH-Health Protection,575.00,400999,12739
10/07/2020,ZZH680167,4,14292,Full Support Healthcare Limite,#N/A,#N/A,#N/A,Services to People,PH-Health Protection,"2,445.00",400999,12739
10/07/2020,ZZH680167,5,14292,Full Support Healthcare Limite,#N/A,#N/A,#N/A,Services to People,PH-Health Protection,35.00,400999,12739
10/07/2020,ZZH680173,1,11539,Bolinda UK Limited,171113,Education Library Books ,Library Equipment,Corporate and Support Services,Library Dev & Res,"20,373.15",400202,11328
10/07/2020,ZZH680173,2,11539,Bolinda UK Limited,171113,Education Library Books ,Library Equipment,Corporate and Support Services,Library Dev & Res,"2,500.00",400202,11328
10/07/2020,ZZH680176,1,14289,Reveal Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,765.00,402040,10005
10/07/2020,ZZH680176,2,14289,Reveal Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,"2,880.00",402040,10005
10/07/2020,ZZH680176,3,14289,Reveal Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,0.00,402040,10005
10/07/2020,ZZH680176,4,14289,Reveal Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,0.00,402040,10005
10/07/2020,ZZH680176,5,14289,Reveal Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,320.00,402040,10005
10/07/2020,ZZH680176,6,14289,Reveal Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,"5,904.00",402040,10005
10/07/2020,ZZH680176,7,14289,Reveal Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,20.00,402040,10005
12/07/2020,ZZH680179,1,1900,Broxap Ltd,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,Public Realm Inspect,"13,580.00",201202,10879
12/07/2020,ZZH680180,1,3529,Totally Local Company Ltd,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,Public Realm Inspect,"10,000.00",201202,10879
12/07/2020,ZZH680181,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"7,140.00",400401,10864
12/07/2020,ZZH680186,1,3529,Totally Local Company Ltd,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,Public Realm Inspect,"10,000.00",201202,10879
13/07/2020,ZZH680236,1,3529,Totally Local Company Ltd,391114,"Works - Construction, Repair & Maintenance Buildings Surveys",Capital Expenditure - Fees,#N/A,#N/A,"5,581.24",200316,C.01289.202
13/07/2020,ZZH680246,1,13567,Pettitt Sports,240000,Horticultural  ,Grounds Maintenance,Services to Place,Play,"9,267.50",202032,11267
13/07/2020,ZZH680257,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"58,625.78",401600,C.00950.203
13/07/2020,ZZH680258,1,757,Transport for Greater Manchest,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"58,000.00",202054,C.01068.203
13/07/2020,ZZH680259,1,7820,GMCA - GMUTC,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"29,000.00",202054,C.01068.203
15/07/2020,ZZH680301,1,10985,Broadstones School Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"34,000.00",401024,10372
15/07/2020,ZZH680318,1,7030,MANCHESTER CITY COUNCIL SHARED,202000,Financial Services Rents ,Rents,Services to People,RAA Adoption Count,"99,000.00",200700,12957
15/07/2020,ZZH680319,1,9511,TRAFFORD MB COUNCIL,999999,Third party payments - Public Sector,Third party payments - Public Sector,Services to People,RAA Adoption Count,"350,000.00",500303,12957
15/07/2020,ZZH680320,1,7167,Cheshire East Borough Council.,999999,Third party payments - Public Sector,Third party payments - Public Sector,Services to People,RAA Adoption Count,"300,000.00",500303,12957
15/07/2020,ZZH680321,1,3707,Salford City Council/Finance,999999,Third party payments - Public Sector,Third party payments - Public Sector,Services to People,RAA Adoption Count,"350,000.00",500303,12957
15/07/2020,ZZH680322,1,7030,MANCHESTER CITY COUNCIL SHARED,999999,Third party payments - Public Sector,Third party payments - Public Sector,Services to People,RAA Adoption Count,"650,000.00",500303,12957
15/07/2020,ZZH680341,1,11089,Ian Shaftoe,390000,Supplies and services,Supplies and services,#N/A,#N/A,"6,580.00",401600,C.01311.201
15/07/2020,ZZH680342,1,7820,GMCA - GMUTC,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"58,000.00",202054,C.01068.203
16/07/2020,ZZH680346,1,5131,FUTURE DESIGN CONSULTANTS,#N/A,#N/A,#N/A,Services to Place,Investing in Growth,"91,838.00",400999,10102
16/07/2020,ZZH680368,1,8729,IS Consultancy (UK) Ltd t/a,#N/A,#N/A,#N/A,Services to Place,Investing in Growth,"26,550.00",400999,10102
16/07/2020,ZZH680380,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"31,747.65",200304,C.01068.203
17/07/2020,ZZH680389,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,Highway Structs R+R,"8,720.85",401600,11975
17/07/2020,ZZH680401,1,9894,TLT LLP,390000,Supplies and services,Supplies and services,#N/A,#N/A,"30,000.00",401600,C.00718.203
17/07/2020,ZZH680402,1,9894,TLT LLP,390000,Supplies and services,Supplies and services,#N/A,#N/A,"45,000.00",401600,C.00718.203
17/07/2020,ZZH680415,1,2104,Central Manchester University,202000,Financial Services Rents ,Rents,Services to People,PH-Sexual Health,"4,172,910.00",200700,12736
17/07/2020,ZZH680428,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"22,291.00",401007,C.01179.202
17/07/2020,ZZH680429,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"5,290.00",401007,C.01179.202
17/07/2020,ZZH680432,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"22,257.50",401007,C.01179.202
20/07/2020,ZZH680447,1,9862,Jacobs Consulting Engineers,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Ins: Property Perils,"28,000.00",401020,11159
20/07/2020,ZZH680453,1,10349,InterWorks Europe Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Business Intelligenc,"15,628.00",402001,11872
20/07/2020,ZZH680454,1,11930,Mereside Education Trust Focus,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Specific support,"6,487.00",401024,10300
20/07/2020,ZZH680479,1,5292,NPOWER (Electricity),370000,Utilities   ,Utilities,Services to Place,Street Lighting Ener,"2,000,000.00",200514,12031
21/07/2020,ZZH680488,1,14011,Baltimore Consulting,#N/A,#N/A,#N/A,Services to People,MCA Grant,"31,220.00",100999,11691
21/07/2020,ZZH680492,1,14298,Lagan's Foundation,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,DP - Respite,"28,080.00",530335,11513
21/07/2020,ZZH680502,1,8246,DJS Research Limited,150000,Consultancy   ,Professional Fees,Services to Place,Town deal Cheadle,"6,500.00",401007,13057
22/07/2020,ZZH680535,1,11897,SENSE CAS FINANCE TEAM,#N/A,#N/A,#N/A,Services to People,DP - Respite,"6,858.00",400999,11513
22/07/2020,ZZH680566,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"33,954.20",401007,C.00620.201
23/07/2020,ZZH680621,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Special Project 6,"6,060.89",202032,11272
27/07/2020,ZZH680669,1,2927,XMA Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,Bentax,"6,622.20",400999,11139
27/07/2020,ZZH680669,2,2927,XMA Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,Bentax,42.00,400999,11139
27/07/2020,ZZH680669,3,2927,XMA Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,Bentax,42.00,400999,11139
27/07/2020,ZZH680669,4,2927,XMA Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,Bentax,146.64,400999,11139
27/07/2020,ZZH680669,5,2927,XMA Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,Bentax,"1,521.00",400999,11139
27/07/2020,ZZH680712,1,1799,Stockport Homes,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Corporate and Support Services,Public Libraries Gen,"13,963.32",561704,11329
27/07/2020,ZZH680721,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"27,424.96",401600,C.01310.203
28/07/2020,ZZH680754,1,12182,Ladybird Childcare Brinnington,240000,Horticultural  ,Grounds Maintenance,Services to People,Brinnigton CC,"10,000.00",202030,12295
28/07/2020,ZZH680779,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"4,386.34",400401,10864
28/07/2020,ZZH680779,2,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"4,270.91",400401,10864
28/07/2020,ZZH680790,1,1339,Stockport NHS Foundation Trust,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Start Well Ops Staff,"19,225.00",401024,12880
29/07/2020,ZZH680792,1,14243,Keys PCE Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"30,000.00",401024,10372
30/07/2020,ZZH680835,1,10798,Cludo UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,"7,000.00",402010,12503
30/07/2020,ZZH680843,1,13495,Pell Frischmann Consultants Lt,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"20,867.20",401007,C.01231.202
30/07/2020,ZZH680844,1,5214,WSP GROUP PLC,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"49,421.65",401020,11965
30/07/2020,ZZH680845,1,1642,Blachere Illumination UK Ltd,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Borough Festive Ligh,"71,332.57",401801,12654
30/07/2020,ZZH680855,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"630,000.00",200304,C.01179.100
31/07/2020,ZZH680876,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"336,000.00",200304,C.01179.100
31/07/2020,ZZH680882,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"70,000.00",200304,C.01179.100
31/07/2020,ZZH680883,1,2025,BT Plc (Openreach),230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"6,133.29",202055,C.01231.202
31/07/2020,ZZH680884,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"132,128.31",200304,C.01179.100
31/07/2020,ZZH680885,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"110,000.00",200304,C.01179.100
31/07/2020,ZZH680886,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"169,133.24",401600,C.01179.100
31/07/2020,ZZH680887,1,8202,The Fountain Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,St Peter's Square,"18,104.00",200126,11979
31/07/2020,ZZH680887,2,8202,The Fountain Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,St Peter's Square,"1,896.00",200126,11979
31/07/2020,ZZH680888,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Network Assets Staff,"10,560.00",401007,11959
31/07/2020,ZZH680889,1,8646,MPH INSPECTION SERVICES,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,Struc Test of Column,"28,713.00",201202,11995
31/07/2020,ZZH680906,1,1799,Stockport Homes,150000,Consultancy   ,Professional Fees,Services to People,Preventative Tech'Gy,"375,500.00",401020,11011
31/07/2020,ZZH680907,1,1799,Stockport Homes,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Extra Care Hsg Block,"18,808.00",530328,12219
03/08/2020,ZZH680926,1,433,Mott MacDonald Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Land Dev-Werneth Os,"5,578.00",200123,11280
03/08/2020,ZZH680970,1,216,Manchester City Council,202100,Financial Services Subscriptions ,Third party payments - Public Sector,Corporate and Support Services,Electoral Registn,"8,466.00",500305,11102
05/08/2020,ZZH681038,1,10289,STOCKPORT SAMARITANS,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to People,PH-Mental Wellbeing,"10,000.00",500530,12734
05/08/2020,ZZH681040,1,304,Massey and Harris(Engineering),240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,"5,255.00",202032,C.10775
05/08/2020,ZZH681041,1,221,Ludus Leisure Ltd,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,"7,227.00",202032,C.10775
05/08/2020,ZZH681042,1,364,Sutcliffe Play Ltd,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,"19,437.60",202032,C.10775
05/08/2020,ZZH681059,1,7025,CBRE Limited,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"30,000.00",401007,C.10932.004
05/08/2020,ZZH681065,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"202,343.14",200304,C.01172.203
