A3131. Expenditure Over Threshold (AP),,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"1,579.47",C&M-GMS PCN DES Participation,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"6,533.47",C&M-GMS PCN DES Physiotherapist,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"10,621.08",C&M-GMS PCN DES Soc Prescribing,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"19,925.00",C&M-GMS Prem Actual Rent,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"7,329.61",C&M-GMS QOF Aspiration,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"4,180.50",ME-GMS GP Pension EEs Adjustments,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"4,385.88",ME-GMS GP Pension ERs Adjustments,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,"56,436.35",C&M-GMS Global Sum,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,"1,183.83",C&M-GMS PCN DES Participation,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,250.13,C&M-GMS Prem Water Rates,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,"5,721.20",C&M-GMS QOF Aspiration,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,"1,633.97",ME - GMS GP Prior Year ERs,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,"2,410.55",ME-GMS GP Pension EEs Adjustments,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,"1,118.44",ME-GMS GP Pension ERs Adjustments,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,37541302,"2,678.97",ME-GMS GP Prior Year EEs,G05000006119
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Clinical Other,GP FORWARD VIEW,GENERATING HEALTHCARE LTD,37369965,"42,873.49",Clinical&Medical-Clinical Other,FSEN07210008
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,37401953,"68,534.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072108
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,37401955,"179,312.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072109
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- IIF ACHIEVEMENT,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"22,384.04",C&M- IIF ACHIEVEMENT,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE COORDINATOR,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"9,231.97",C&M- PCN DES CARE COORDINATOR,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"2,270.00",C&M- PCN DES CARE HOME PREMIUM,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"5,089.44",C&M-GMS DES Extended Hours Access,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,280.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"69,653.10",C&M-GMS Global Sum,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"9,289.90",C&M-GMS PCN DES Clin Pharmacist,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"2,601.27",C&M-GMS PCN DES Clinical Director,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"1,499.79",C&M-GMS PCN DES Participation,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"4,639.17",C&M-GMS PCN DES Physiotherapist,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"5,731.85",C&M-GMS PCN DES Soc Prescribing,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"2,139.12",C&M-GMS Prem Actual Rent,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"8,311.55",C&M-GMS QOF Aspiration,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-PCN DES DIETICIANS,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"4,469.00",C&M-PCN DES DIETICIANS,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-PCN DES HEALTH AND WELLBEING COACH,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"2,949.08",C&M-PCN DES HEALTH AND WELLBEING COACH,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-PCN DES PHARMACY TECHNICIANS,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"2,237.58",C&M-PCN DES PHARMACY TECHNICIANS,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,987.08,ME-GMS GP Pension EEs,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,37554172,"1,234.28",ME-GMS GP Pension ERs,G05000006062
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541272,140.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000005997
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541272,"121,189.73",C&M-GMS Global Sum,G05000005997
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541272,"2,357.39",C&M-GMS PCN DES Participation,G05000005997
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541272,"26,237.50",C&M-GMS Prem Notional Rent,G05000005997
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541272,"13,410.79",C&M-GMS QOF Aspiration,G05000005997
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541273,-710.40,C&M-GMS QOF Achievement,G05000005999
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541273,"-4,450.99",ME - GMS GP Prior Year ERs,G05000005999
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension Added Years EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541273,"-3,086.80",ME-GMS GP Pension Added Years EEs,G05000005999
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541273,"-22,087.74",ME-GMS GP Pension EEs,G05000005999
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541273,"-22,444.78",ME-GMS GP Pension ERs,G05000005999
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,37541273,"-4,575.44",ME-GMS GP Prior Year EEs,G05000005999
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,37541266,280.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000005973
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,37541266,"87,599.30",C&M-GMS Global Sum,G05000005973
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,37541266,"1,737.52",C&M-GMS PCN DES Participation,G05000005973
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,37541266,"13,215.00",C&M-GMS Prem Actual Rent,G05000005973
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,37541266,"7,889.84",C&M-GMS QOF Aspiration,G05000005973
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,37401956,"4,210,868.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072110
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Cont Care- Prior Year Payments,CHC CHILDREN,HERTFORDSHIRE COUNTY COUNCIL,37272978,"25,000.00",Cont Care- Prior Year Payments,1803144090
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,37290710,"50,000.00",Clinical&Medical-Othe Public Sector,1803358264
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,37486563,"357,092.00",Clinical&Medical-Othe Public Sector,1803364651
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Accruals <1Yr-Non-NHS PeriodEndAccrual,BALANCE SHEET,HERTFORDSHIRE COUNTY COUNCIL,37507294,"48,746.00",Accruals <1Yr-Non-NHS PeriodEndAccrual,1803368545
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Othe Public Sector,REABLEMENT,HERTFORDSHIRE COUNTY COUNCIL,37507294,"29,447.00",Clinical&Medical-Othe Public Sector,1803368545
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH SERVICES - OTHER,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,37401959,"6,955,693.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072111
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,37303621,"804,907.02",Clinical&Medical-Independent Sector,6651
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Clinical Other,NHS 111,HERTS URGENT CARE,37303713,"103,000.00",Clinical&Medical-Clinical Other,6671
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,URGENT CARE,HERTS URGENT CARE,37326185,"71,769.17",Clinical&Medical-Independent Sector,0000006644
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE COORDINATOR,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,"16,862.45",C&M- PCN DES CARE COORDINATOR,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,360.00,C&M- PCN DES CARE HOME PREMIUM,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,"3,799.20",C&M-GMS DES Extended Hours Access,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,"41,655.18",C&M-GMS Global Sum,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,"5,186.42",C&M-GMS PCN DES Clin Pharmacist,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,"1,941.81",C&M-GMS PCN DES Clinical Director,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,837.50,C&M-GMS PCN DES Participation,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,"2,683.59",C&M-GMS PCN DES Physiotherapist,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HIGH ST SURGERY,37554176,"4,514.99",C&M-GMS QOF Aspiration,G05000006089
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,HOLLY HOUSE HOSPITAL,37326078,"38,847.33",Clinical&Medical-Independent Sector,06K07216TH
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,37401961,"123,981.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072112
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Hardware Purch,PRIMARY CARE IT,INSIGHT DIRECT (UK) LTD,37284619,"10,300.00",Computer Hardware Purch,5345349
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Hardware Purch,PRIMARY CARE IT,INSIGHT DIRECT (UK) LTD,37284619,"18,778.85",Computer Hardware Purch,5345349
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Hardware Purch,PRIMARY CARE IT,INSIGHT DIRECT (UK) LTD,37284619,"23,704.56",Computer Hardware Purch,5345349
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Hardware Purch,PRIMARY CARE IT,INSIGHT DIRECT (UK) LTD,37284619,"10,556.68",Computer Hardware Purch,5345349
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Maintenance,PRIMARY CARE IT,ITS DIGITAL,37379574,"104,766.45",Computer Maintenance,17398
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KELLER P & PARTNERS,37541250,"97,787.17",C&M-GMS Global Sum,G05000005077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KELLER P & PARTNERS,37541250,"1,846.26",C&M-GMS PCN DES Participation,G05000005077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,KELLER P & PARTNERS,37541250,"2,307.60",C&M-GMS PCO Doctors Ret Scheme,G05000005077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,KELLER P & PARTNERS,37541250,"27,000.00",C&M-GMS Prem Notional Rent,G05000005077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KELLER P & PARTNERS,37541250,"10,108.00",C&M-GMS QOF Aspiration,G05000005077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,KELLER P & PARTNERS,37541250,"4,924.45",ME - GMS GP Prior Year ERs,G05000005077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,KELLER P & PARTNERS,37541250,"5,241.62",ME-GMS GP Prior Year EEs,G05000005077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541285,840.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000006059
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541285,"154,672.89",C&M-GMS Global Sum,G05000006059
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541285,"2,309.26",C&M-GMS PCN DES Participation,G05000006059
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541285,"9,900.00",C&M-GMS Prem Actual Rent,G05000006059
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541285,167.62,C&M-GMS Prem Water Rates,G05000006059
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541285,"11,635.62",C&M-GMS QOF Aspiration,G05000006059
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541286,"-7,492.15",ME - GMS GP Prior Year ERs,G05000006061
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541286,"-5,542.43",ME-GMS GP Pension EEs,G05000006061
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541286,"-5,965.78",ME-GMS GP Pension ERs,G05000006061
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,KING GEORGE SURGERY,37541286,"-8,524.64",ME-GMS GP Prior Year EEs,G05000006061
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KNEBWORTH AND MARYMEAD PRACTICE,37541234,"99,642.74",C&M-GMS Global Sum,G05000005016
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KNEBWORTH AND MARYMEAD PRACTICE,37541234,"1,889.11",C&M-GMS PCN DES Participation,G05000005016
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,KNEBWORTH AND MARYMEAD PRACTICE,37541234,"7,737.50",C&M-GMS Prem Notional Rent,G05000005016
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KNEBWORTH AND MARYMEAD PRACTICE,37541234,"10,975.50",C&M-GMS QOF Aspiration,G05000005016
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LEA VALLEY HEALTH LTD,37343280,"77,846.07",C&M-APMS Contract Value,G05000003822
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,LEA VALLEY HEALTH LTD,37343280,36.96,C&M-APMS OOH Opt Outs,G05000003822
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LEA VALLEY HEALTH LTD,37343280,"6,762.70",C&M-APMS QOF Aspiration,G05000003822
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,LEA VALLEY HEALTH LTD,37343280,61.09,C&M-APMS Voluntary Levy,G05000003822
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,LEA VALLEY HEALTH LTD,37343280,895.95,C&M-PMS GP Statutory Levy,G05000003822
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LISTER HOUSE SURGERY HATFIELD,37541224,"100,832.27",C&M-GMS Global Sum,G05000004987
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LISTER HOUSE SURGERY HATFIELD,37541224,"1,952.22",C&M-GMS PCN DES Participation,G05000004987
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,LISTER HOUSE SURGERY HATFIELD,37541224,"28,850.00",C&M-GMS Prem Notional Rent,G05000004987
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LISTER HOUSE SURGERY HATFIELD,37541224,"9,211.82",C&M-GMS QOF Aspiration,G05000004987
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,LISTER HOUSE SURGERY HATFIELD,37541224,60.00,ME-GMS GP Pension AVCs,G05000004987
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,LISTER HOUSE SURGERY HATFIELD,37541224,135.00,ME-GMS GP Pension EEs Adjustments,G05000004987
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,LISTER HOUSE SURGERY HATFIELD,37541224,143.79,ME-GMS GP Pension ERs Adjustments,G05000004987
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,37401963,"70,944.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072113
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- IIF ACHIEVEMENT,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"11,272.01",C&M- IIF ACHIEVEMENT,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE COORDINATOR,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"5,056.38",C&M- PCN DES CARE COORDINATOR,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"1,460.00",C&M- PCN DES CARE HOME PREMIUM,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"5,474.16",C&M-GMS DES Extended Hours Access,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"84,901.93",C&M-GMS Global Sum,G05000006000
