Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number,Purchase Invoice Number
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,481.68,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,127.87,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,15.44,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,35.88,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"3,493.38",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,3.74,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,76.04,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,6.42,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,895.25,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,45331269,"97,233.56",706163456,111391
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,45331269,"19,446.72",706163456,111391
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Fleet Vehicle Leases,Patient Transport In House,DE LAGE LANDEN LEASING LTD,45331352,"24,372.14",621784929,24412200000298
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,FM Computer Contracts,ICT - Community - SH and C,ACCESS UK LTD,45332409,"99,714.00",GB108221356,1535501
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,FM Computer Contracts,ICT - Community - SH and C,ACCESS UK LTD,45332409,"19,942.80",GB108221356,1535501
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-FoundationTrust,SWL Pathology,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45341167,"1,427,120.00",654943703,78789089
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Remdesivir,OXFORD HEALTH NHS FOUNDATION TRUST,45341195,"34,583.04",654935896,451041
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Remdesivir,OXFORD HEALTH NHS FOUNDATION TRUST,45341197,"34,583.04",654935896,451042
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contractual Clinical Srv,S Unit Crawley (STH),DIAVERUM UK LTD,45341323,"47,563.20",,155622
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contractual Clinical Srv,S Unit Crawley (STH),DIAVERUM FACILITIES MANAGEMENT,45341326,"56,246.40",,352337
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,45341340,"53,554.00",290885854,1123231360
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contractual Clinical Srv,Renal Capd (STH),BAXTER HEALTHCARE LTD,45341403,"114,515.16",GB103222439,22346693
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Services from Local Auth,SH and C @ Home - Start - LBS,LONDON BOROUGH OF SUTTON,45341407,"740,000.00",216200420,3190407612
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Services from Local Auth,SH and C @ Home - Start - LBS,LONDON BOROUGH OF SUTTON,45341413,"740,000.00",216200420,3190531856
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Services from Local Auth,SH and C @ Home - Start - LBS,LONDON BOROUGH OF SUTTON,45341415,"740,000.00",216200420,3190482081
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,45368049,"101,687.00",918599762,1065065
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,45368049,"20,337.40",918599762,1065065
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,45368050,"51,595.00",918599762,1065144
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,45368050,"12,906.75",918599762,1065144
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,45368050,"12,900.35",918599762,1065144
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Postage & Carriage,Postage Trustwide,QUADIENT UK LTD,45370261,"46,018.65",GB 597 2654 89,807631137
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Services from Local Auth,SDH and C - Management,PRINCESS ALICE HOSPICE TRUST LTD,45371686,"33,616.00",467009933,SIN006145
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-FoundationTrust,SH and C @ Home - Mental Health - SWLSTG,SOUTH WEST LONDON AND ST GEORGE`S MENTAL HEALTH NHS TRUST,45375804,"25,482.00",654964789,P0070591
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Bldg/Eng Equip Maint Cont,Horizon Building Corp Offices,CLASSIC LIFTS LTD,45396110,579.37,548511242,239842
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Bldg/Eng Equip Maint Cont,Lombard Road - In House Transport,CLASSIC LIFTS LTD,45396110,579.37,548511242,239842
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Bldg/Eng Equip Maint Cont,Manorgate Property Svs,CLASSIC LIFTS LTD,45396110,579.37,548511242,239842
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Bldg/Eng Equip Maint Cont,Property Maintenance EPS,CLASSIC LIFTS LTD,45396110,"12,746.14",548511242,239842
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Bldg/Eng Equip Maint Cont,Property Maintenance STH,CLASSIC LIFTS LTD,45396110,"12,403.84",548511242,239842
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Med & Surg Maint Contract,Ophthal Med Staff (STH),MEDISOFT LTD,45396348,"23,350.21",686519781,103368
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Electricity,Energy (EPS),EDF ENERGY CUSTOMERS PLC,45408920,"60,252.12",GB 523041202,000013808678
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,FP10S,Pharmacy (STH),NHS BUSINESS SERVICES AUTHORITY,45409011,"129,151.84",GB 654 4347 29,1000075614
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Remdesivir,OXFORD HEALTH NHS FOUNDATION TRUST,45409033,"34,583.04",654935896,452446
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Gen Supplies & Srv,Tissue Typing (STH),VIAPATH ANALYTICS LLP,45409309,"48,676.72",201216183,1133013611
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Clinical Costs,Med Staff Card (EPS),ALLIANCE MEDICAL LTD,45416395,"33,403.00",523318667,ESCS002211
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,45417332,"80,426.18",,631624
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,BAYER PLC,45420283,"54,747.36",641958611,824C468219
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-Other NHS,Procurement,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45424730,"148,354.00",654943703,78789582
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-Other NHS,Procurement,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45424730,"155,643.18",654943703,78789582
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-Other NHS,Procurement,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45424732,"37,088.61",654943703,78789583
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Estate Management,Project Services (STH),NFS MEETINGS TECHNOLOGY LTD,45434125,"42,854.40",,M3900
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Transport Costs,Patient Transport In House,KB RADIO CARS,45434207,"31,251.50",,185A
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Med & Surg Maint Contract,ECG (STH),CHANGE HEALTHCARE UK HOLDINGS LTD,45434442,"29,132.66",GB174668567,141926
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,HANEVO LTD,45437830,"54,886.36",135115742,3678
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Rent,JUBILEE HEALTH CENTRE E and F,NHS PROPERTY SERVICES LTD,45438976,"63,823.74",156725100,H652587
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Gas,Energy (EPS),TOTALENERGIES GAS & POWER LTD,45438984,"59,104.04",GB689638949,28613209322
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Managed Service,Electrical Medical Engineering (STH),DRIVE DEVILBISS SIDHIL LTD,45459244,"22,362.07",296056867,779973
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Electricity,Energy (EPS),EDF ENERGY CUSTOMERS PLC,45475400,"70,709.02",GB 523041202,000013928096
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Commercial Sector,Cath Lab (EPS),REGENTS PARK CARDIOVASCULAR SOLUTIONS LTD,45475552,"124,020.00",GB810 2241 91,449
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Commercial Sector,Cath Lab (EPS),REGENTS PARK HEART CLINICS LTD,45475559,"85,800.00",,16160
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-FoundationTrust,Asst Conception (STH),CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,45477597,"53,380.00",654915415,N0052279
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,ERet Provn Staff OB Cu,Balance Sheet,NHS BUSINESS SERVICES AUTHORITY,45477604,"59,113.23",GB 654 4347 29,2000008107
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,45477689,"262,245.00",290885854,1123236281
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,HANEVO LTD,45502045,"52,831.10",135115742,3679
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,HANEVO LTD,45502045,"10,566.22",135115742,3679
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,45502067,"-291,315.83",,631650
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,45502747,"218,228.12",290885854,1123246067
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,WILLMOTT DIXON INTERIORS LTD,45502922,"403,133.31",GB197737796,08002725
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,WILLMOTT DIXON INTERIORS LTD,45502922,"80,626.66",GB197737796,08002725
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Computer Software/License,SDH and C - IT and Digital,BOOKWISE SOLUTIONS LTD,45502970,"30,687.00",106319833,2318
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Computer Software/License,SDH and C - IT and Digital,BOOKWISE SOLUTIONS LTD,45502970,"6,137.40",106319833,2318
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,45502973,"291,315.83",,631646
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,45502976,"40,525.00",,631651
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,45502979,"49,192.00",,631647
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Oth Provn BF Cu,Balance Sheet,CAPSTICKS SOLICITORS,45520705,"2,620,467.40",340301321,JSB154048
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,External Consultancy Fees,Finance Director,KEYSTREAM GROUP LTD,45522342,"56,700.00",GB 105919025,76489
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-FoundationTrust,SWL Pathology,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45523298,"27,766.96",654943703,78789588
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Liabilities - Curr,Balance Sheet,10008721,5563141351012570,"78,637.26",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Trade Local Debtors Adj,Balance Sheet,10008721,BAC 699802 03603,"84,015.60",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Trade Local Debtors Adj,Balance Sheet,10008721,BAC 699802 04828,"30,971.38",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Trade Local Debtors Adj,Balance Sheet,10008721,BAC 699802 12027,"38,481.59",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Trade Local Debtors Adj,Balance Sheet,10008721,BAC 699802 98369,"25,360.53",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Blood Products,Blood Products (STH),10008721,NHSBT-P157-JAN,"58,115.25",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,CNST contributions,CNST Contributions,10008721,NHSLACONT-T489,"2,062,424.30",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Rates,Rent and Rates (EPS),10008721,000100892642,"62,537.00",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Rates,Rent and Rates (STH),10008721,5000006496,"50,983.00",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,FM Computer Contracts,SBS Contract,10008721,ES-27674,"31,659.80",NULL,n/a
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,FM Computer Contracts,SBS Contract,10008721,F&A-27674,"46,213.01",NULL,n/a
