UID,Council,Contract Status,Classification,Name,STAR Category Manager,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postcode,Supplier Type,Customer Name
8826,Stockport Metropolitan Borough Council,Live (On-going),120000 - Cemetery & Crematorium,Mortuary Services - Body Storage, Michael Halsall,OJEU Tender, Contract,01/10/2021,30/09/2024,30/09/2028,"£130,000.00","£390,000.00",Stockport NHS Foundation Trust,-,SK2 7JE,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management, SMBC - CSS Citizen Services"
10520,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,"Children’s Rights, Independent Visiting and Advocacy", Rachael Tither,RBS - Med/High - Advanced (Open), Contract,01/04/2022,31/03/2025,31/03/2027,"£30,000.00","£87,998.58",Coram Voice,-,WC1N 1AZ,-,"SMBC - PPL Children's Social Care , TAME - Commissioning"
11107,Stockport Metropolitan Borough Council,Live (On-going),261300 - Human Resources - Recruitment & Assessment,Stockport Jobs Match,Gary Lee,Mini Competition (External), Contract,03/01/2022,02/01/2024,-,"£80,000.00","£160,000.00",Grassroots Recruitment,-,SK7 5DP,-,"SMBC - PLA Economy, Work and Skills, STAR"
9428,Stockport Metropolitan Borough Council,Live (On-going),182011 - Environmental Services - Waste Management - Consumables,Purchase of Litter Bins, Jamie Cooper,RBS - Low/Med - Simple (RFQ), Contract,03/01/2022,28/11/2024,-,"£40,000.00","£120,000.00",Wybone Limited,952455,S74 9TF,-,"Stockport Metropolitan Borough Council, SMBC - PLA Neighbourhoods"
10528,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Independent  Support Service to Birth Parents, Rachael Tither,RBS - Med/High - Advanced (Open), Contract,01/11/2021,31/10/2024,31/10/2026,"£49,727.10","£149,181.30",Family Action,-,N1 7GR,-,"SMBC - PPL Adult Social Care, STAR"
10415,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Prevention and Early Help - Lot 2 - Smoking Cessation and Weight Management, Peter Walpole,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2027,-,"£333,000.00","£2,331,000.00",ABL Health,-,BL4 0JL,-,"Stockport Metropolitan Borough Council, SMBC - Public Health, TAME - Childrens"
10415,Stockport Metropolitan Borough Council,Live (On-going),321020 - Social Community Care Supplies & Services - Adult - Alcohol & Drug Rehabilitation,Prevention and Early Help - Lot 1 - Adult Substance Misuse, Peter Walpole,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2027,-,"£1,675,841.00","£11,730,890.00",Pennine Care NHS Foundation Trust,-,OL6 7SR,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10415,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Prevention and Early Help - Lot 3 - Boroughwide Support Services, Shirella Simms,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2027,-,"£970,000.00","£6,790,000.00",Stockport Homes Ltd,-, SK1 3NQ,-,"Stockport Metropolitan Borough Council, SMBC - Public Health, STAR"
10415,Stockport Metropolitan Borough Council,Live (On-going),171010 - Education - Adult & Further Education Services,Prevention and Early Help - Lot 4 - Community Hub, Shirella Simms,OJEU Tender, Contract,01/04/2022,31/03/2027,-,"£400,000.00","£2,800,000.00",Pure Innovations Limited,-,SK7 5DA,-,"Stockport Metropolitan Borough Council, SMBC - Public Health, STAR"
10415,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Prevention and Early Help - Lot 5 - Community Transport, Shirella Simms,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2027,-,"£140,000.00","£980,000.00",Stockport Car Scheme,-, SK4 3LD,-,"Stockport Metropolitan Borough Council, SMBC - Public Health, STAR"
10415,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Prevention and Early Help - Lot 6 - Help in the Home, Shirella Simms,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2027,-,"£340,000.00","£2,380,000.00",Age UK Stockport,7413632,SK1 3AQ,-,"Stockport Metropolitan Borough Council, SMBC - Public Health, STAR"
10415,Stockport Metropolitan Borough Council,Live (On-going),322100 - Social Community Care Supplies & Services - Adult - Services for Carers,Prevention and Early Help - Lot 7 - Carer Support Service, Shirella Simms,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2027,-,"£200,000.00","£1,400,000.00",Signpost Stockport for Carers,-,SK4 3LD,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care, STAR"
8758,Stockport Metropolitan Borough Council,Live (One Off),271440 - Information Communication Technology - Software,Hublet Purchase,Gary Lee,Exemption, Contract,01/12/2020,31/12/2023,-,"£4,666.66","£14,000.00",2CQR LIMITED,5005987,NG23 5HD,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - People, SMBC - Corporate & Support Services, SMBC - PPL Adult Social Care, SMBC - Public Health, SMBC - PPL Children's Social Care , SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - PPL Education, Work & Skills, SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration, SMBC - PLA Estates & Asset Management, STAR"
11713,Stockport Metropolitan Borough Council,Live (On-going),"150000 - Consultancy, 151000 - Consultancy - Business",Staff Engagement Survey , Samantha Power,RBS - Low/Med - Simple (RFQ), Contract,01/04/2022,31/03/2024,-,"£13,000.00",£0.00,M E L Research,-,B2 5DP,-,SMBC - CSS People & Organisational Development
8768,Stockport Metropolitan Borough Council,Live (On-going),171060 - Education - Library Services,Library Hublets, Samantha Power,Exemption, No Contract,01/12/2020,31/12/2023,-,"£14,000","£42,000.00",2CQR LIMITED,5005987,NG23 5HD,-,SMBC - CSS Technical (IT)
8793,Stockport Metropolitan Borough Council,Live (On-going),272000 - Information Communication Technology - Software - Mobile App Development,Mobile recording App linked to staff plan, Samantha Power,Call Off (External), Contract,01/03/2021,29/02/2024,29/02/2024,"£8,178.30","£24,535.00",Everylife Technologies Limited,9233570,GU14 0LX,-,"SMBC - PPL Adult Social Care, SMBC - CSS Technical (IT), STAR"
8759,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Synergy – Education System, Samantha Power,Modification, Contract,26/01/2021,25/01/2023,25/01/2023,"£46,000.00","£670,504.40",Servelec Synergy Ltd,10002545,NR4 6DJ,-,"SMBC - CSS Technical (IT), STAR"
9260,Stockport Metropolitan Borough Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance",Lisburne SEND Primary School – Contractor Appointment , Paul Atherton,Mini Competition (External), Contract,01/10/2020,29/09/2023,29/09/2023,"£12,500,000.00","£12,500,000.00",Kier Construction,-,-,-,"SMBC - PLA Neighbourhoods, STAR"
11814,Stockport Metropolitan Borough Council,Live (On-going),271499 - Information Communication Technology - Software - Not Elsewhere Classified,Supply of PTX Bacs Service, Samantha Power,Call Off (External), Contract,01/04/2022,31/03/2024,31/03/2024,"£28,937.02","£28,937.02",Bottomline Technologies,-,-,-,"Stockport Metropolitan Borough Council, SMBC - CSS Technical (IT)"
8459,Stockport Metropolitan Borough Council,Live (On-going),131310 - Cleaning & Janitorial - Cleaning Service,The Supply and Delivery of Cleaning and Janitorial Products, Farooq Rashid,Call Off (External), Call-off Contract,01/02/2019,31/03/2023,31/01/2023,"£40,000.00","£160,000.00",Arrow County Supplies,-,SY3 9AE,-,"SMBC - CSS Business Support (Commissioning & Contracts), STAR"
8445,Stockport Metropolitan Borough Council,Live (On-going),171060 - Education - Library Services,Open Library System / Stockport  ,Gary Lee,Call Off (External), Call-off Contract,01/04/2020,31/03/2024,31/03/2024,"£9,000.00","£117,995.00",Bibliotheca,-,SK8 7BS,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management, SMBC - CSS Citizen Services"
10807,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Stockport Independent Regulation 44 Visiting Service, Rachael Tither,Procured by Other, Contract,01/04/2022,31/03/2024,31/03/2024,"£8,600.00","£17,200.00",Kev Dowd,-,L23 2RS      ,-,"SMBC - PPL Children's Social Care , STAR"
10186,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Healthwatch Services, Shirella Simms,OJEU Tender, Contract,01/04/2022,31/03/2025,-,"£150,000.00","£750,000.00",Healthwatch Stockport Limited,8442532,SK1 3DL,-,"SMBC - PPL Adult Social Care, STAR"
11122,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,Registrars Calendar and Ceremonies System, Samantha Power,RBS - Med/High - Advanced (Open), Contract,02/05/2022,02/05/2025,-,-,"£39,400.00",Stopford ,-,CH3 5AN,-,SMBC - CSS Technical (IT)
11117,Stockport Metropolitan Borough Council,Live (On-going),"391314 - Works - Construction, Repair & Maintenance - Open Spaces - Surveys",Topographical Survey Framework 2022, Farooq Rashid,OJEU Tender, Framework Agreement,18/07/2022,17/07/2025,17/07/2026,"£50,000.00","£200,000.00",(multiple),-,-,-,"Stockport Metropolitan Borough Council, SMBC - PLA Highways & Transport"
8126,Stockport Metropolitan Borough Council,Live (On-going),121300 - Cemetery & Crematorium - Body Transport Service,Coroners Body Removal Service, Farooq Rashid,OJEU Tender, Contract,01/04/2022,31/03/2026,31/03/2029,"£108,000.00","£432,000.00",Bate & Holland,10703888,WA10 2JJ,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management, Greater Manchester Combined Authority"
6375,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,"Call-off from AGMA: Electoral Management System (AGMA Framework, led by Trafford...UID 6000", Samantha Power,Call Off (Internal), Call-off Contract,08/01/2019,07/01/2023,07/01/2023,"£11,500.00","£69,000.00",XPRESS SOFTWARE SOLUTIONS,4152280,SE1 9LQ,-,"SMBC - CSS Technical (IT), STAR"
8810,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Chat Health, Samantha Power,Call Off (External), Call-off Contract,01/05/2021,30/04/2023,30/04/2025,"£14,544.00","£14,544.00",Leicestershire Partnership NHS Trust,-,LE12 8LR,-,"SMBC - CSS Technical (IT), STAR"
8969,Stockport Metropolitan Borough Council,Live (On-going),199999 - Facilities & Management Services - Not Elsewhere Classified,The provision of Management Services and Delivery of a Business Support Service for Stockport Council’s Business Innovation Centres,Gary Lee,OJEU Tender, Contract,21/07/2022,20/07/2027,20/07/2029,"£900,000.00","£693,608.00",Oxford Innovation Ltd,-,OX1 1BY,-,"Stockport Metropolitan Borough Council, SMBC - PLA Economy, Work and Skills"
11721,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,CHARMS SaaS (Software as a Service), Samantha Power,Mini Competition (External), Contract,24/08/2021,24/08/2024,-,"£4,825.00","£4,825.00",Social Care Network Solutions Ltd,-,M1 3HY,-,"Stockport Metropolitan Borough Council, Tameside Metropolitan Borough Council"
4801,Stockport Metropolitan Borough Council,Live (On-going),"151510 - Healthcare - Public Health, 151515 - Healthcare - Public Health - Not Elsewhere Classified, 151514 - Healthcare - Public Health - Specialist Services",Integrated Sexual Health Services for Stockport & Tameside, Peter Walpole,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2027,31/03/2032,"£1,551,900.00","£7,759,000.00",Locala Community Partnerships CIC ,-,WF17 5PW ,-,Stockport Metropolitan Borough Council
11921,Stockport Metropolitan Borough Council,Live (On-going),271200 - Information Communication Technology - Hardware,Stopford refurb and replace equipment. , Samantha Power,-, Call-off Contract,01/10/2022,30/11/2022,-,-,"£246,408.60",CBC Computer Systems Ltd,-,S1 2BS,-,"SMBC - CSS Technical (IT), STAR"
11835,Stockport Metropolitan Borough Council,Live (On-going),"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services, 271800 - Information Communication Technology - Telecommunications - Mobile",Mobile Voice and Data Services, Samantha Power,Mini Competition (External), Call-off Contract,07/02/2022,06/02/2024,05/02/2025,"£71,365.63","£214,126.90",Gamma Telecom Limited,-,-,-,SMBC - CSS Technical (IT)
8877,Stockport Metropolitan Borough Council,Live (On-going),201800 - Financial Services - Insurance,Rechargeable Work for Damage to the Highway and Street Furniture,Gary Lee,RBS - Low/Med - Simple (RFQ), Contract,15/09/2022,14/09/2027,14/09/2027,"£10,000.00","£50,000.00",OPUS Claim Solutions Ltd,-,WR2 6NJ,-,"Stockport Metropolitan Borough Council, SMBC - PLA Highways & Transport"
11829,Stockport Metropolitan Borough Council,Live (On-going),311410 - Healthcare - Occupational Therapy Services,Provision of Physiotherapy Services ,Gary Lee,RBS - Low/Med - Simple (RFQ), Contract,01/10/2022,30/09/2024,30/09/2025,"£25,000.00","£75,000.00",Physio.co.uk,-,M3 4DN,-,"Stockport Metropolitan Borough Council, SMBC - CSS People & Organisational Development"
10673,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Learning Disability Supported Tenancies - Lot 1, Shirella Simms,Mini Competition (External), Contract,18/07/2022,17/07/2025,-,"£360,600.44","£360,600.40",Home Focus,-,M30 0DL,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10673,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Learning Disability Supported Tenancies - Lot 2, Shirella Simms,Mini Competition (External), Contract,18/07/2022,17/07/2025,-,"£796,017.00","£796,017.00",Community Integrated Care,-,WA8 7SP,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10673,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Learning Disability Supported Tenancies - Lot 3, Shirella Simms,Mini Competition (External), Contract,18/07/2022,17/07/2025,-,"£343,849.48","£343,849.50",Home Focus,-,M30 0DL,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10673,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Learning Disability Supported Tenancies - Lot 4, Shirella Simms,Mini Competition (External), Contract,18/07/2022,17/07/2025,-,"£492,280.00","£492,280.00",United Response,-,-,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10673,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Learning Disability Supported Tenancies - Lot 5, Shirella Simms,Mini Competition (External), Contract,18/07/2022,17/07/2025,-,"£492,280.00","£1,234,029.00",Community Integrated Care,-,WA8 7SP,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10673,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Learning Disability Supported Tenancies - Lot 6, Shirella Simms,Mini Competition (External), Contract,18/07/2022,17/07/2025,-,"£952,761.00","£952,761.00",Creative Support,-,SK1 3TS,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10673,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Learning Disability Supported Tenancies - Lot 7, Shirella Simms,Mini Competition (External), Contract,18/07/2022,17/07/2025,-,"£1,050,763.00","£1,050,763.00",Creative Support,-,SK1 3TS,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
10650,Stockport Metropolitan Borough Council,Live (On-going),151510 - Healthcare - Public Health,Suicide Prevention Services, Peter Walpole,RBS - Low/Med - Simple (RFQ), Contract,01/04/2022,31/03/2024,###############################################################################################################################################################################################################################################################,"£10,000.00","£20,000.00",Samaritans of Stockport and District,-,SK4 3LD,-,"Stockport Metropolitan Borough Council, SMBC - Public Health, STAR"
3849,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Greater Manchester Learning Disability and Autism FPS (Stockport), Shirella Simms,Procured by Other, Flexible Purchasing System,01/08/2017,31/07/2024,-,£0.00,£0.00,Various Suppliers,-,Various,-,"SMBC - PPL Adult Social Care, RBC - Adult Services"
4579,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Stockport Nursing and Residential Care Homes (FPS), Shirella Simms,Call Off (External), Flexible Purchasing System,01/07/2022,30/06/2027,30/06/2029,"£55,671,000.00","£453,271,000.00",Various Suppliers,-,Various,-,"SMBC - PPL Adult Social Care, RBC - Adult Services"
4269,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Stockport Support at Home (FPS), Shirella Simms,Call Off (External), Flexible Purchasing System,20/08/2018,19/08/2028,-,"£10,000,000.00","£80,000,000.00",Various Suppliers,-,Various,-,"SMBC - PPL Adult Social Care, RBC - Adult Services"
-,Stockport Metropolitan Borough Council,Live (One Off),150000 - Consultancy,"Support for implementation of a service redesign for Speech, Language and Communication, based on a Balanced System®",Gary Lee,Exemption, Contract,31/10/2022,30/10/2024,-,"£21,094.00","£42,188.00",Better Communication CIC,-,AL5 4EE,-,"Stockport Metropolitan Borough Council, SMBC - PPL Education, Work & Skills"
8807,Stockport Metropolitan Borough Council,Live (On-going),"270000 - Information Communication Technology, 271516 - Information Communication Technology - Services - Cloud Services",Support of Intelligence Collection of Business Rates,Gary Lee,Mini Competition (External), Contract,01/09/2021,31/08/2023,-,"£160,000.00","£160,000.00",Inform CPI Ltd,-,M1 4JB,-,"Stockport Metropolitan Borough Council, SMBC - CSS Revenues & Benefits"
8981,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,Stockport Employee Benefits Platform,Gary Lee,Call Off (External), Contract,01/07/2021,30/06/2024,-,"£6,300.00","£18,900.00",SME HCI Limited (trading as Vivup),-,RM2 5SH,-,"Stockport Metropolitan Borough Council, SMBC - CSS People & Organisational Development"
11849,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,SLA Online, Samantha Power,Exemption, Contract,01/06/2022,31/05/2025,-,-,"£42,295.00",Frontline Data Ltd,5427762,CO4 9AD,-,SMBC - CSS Accountancy
9459,Stockport Metropolitan Borough Council,Live (On-going),182100 - Environmental Services - Weather Forecasts,Winter Bureau Service and Maintenance, Sarah Keating,OJEU Tender, Framework Agreement,01/09/2022,31/08/2025,-,-,"£634,231.50",Vaisala Limited,-,B37 7YB,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - People, SMBC - Corporate & Support Services, SMBC - PPL Adult Social Care, SMBC - Public Health, SMBC - PPL Children's Social Care , SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - PPL Education, Work & Skills, SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration, SMBC - PLA Estates & Asset Management, STAR"
10274,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Stockport Mental Health & Vulnerable Adults FPS, Shirella Simms,Procured by Other, Flexible Purchasing System,01/04/2021,30/06/2025,-,£0.00,£0.00,Various Suppliers,-,Various,-,"SMBC - PPL Adult Social Care, RBC - Adult Services"
10414,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Stockport Day Services FPS, Shirella Simms,Procured by Other, Flexible Purchasing System,01/04/2022,31/03/2024,-,£0.00,£0.00,Various Suppliers,-,Various,-,"SMBC - PPL Adult Social Care, RBC - Adult Services"
10651,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Physiotherapy for pupil at Pictor Academy, Rachael Tither,RBS - Low - Quick Quote, Contract,27/09/2021,31/07/2026,-,-,"£12,344.00",Tots2Teens Therapy,-,SK67AR,-,"SMBC - PPL Children's Social Care , STAR"
10664,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Occupational Therapy for pupil at Pictor Academy, Rachael Tither,RBS - Low - Quick Quote, Contract,11/10/2021,31/07/2026,31/07/2026,-,"£12,418.28",Manchester Occupational Therapy Services,9873589,M41 9JQ ,-,"SMBC - PPL Children's Social Care , STAR"
10610,Stockport Metropolitan Borough Council,Live (One Off),321111 - Social Community Care Supplies & Services - Children - Specialist Needs - Adoption Services,Adopter Voice, Rachael Tither,RBS - Low/Med - Simple (RFQ), Contract,01/07/2022,31/05/2027,-,"£14,268.00","£42,804.70",Adoption Counts,-,OX16 9UX,-,"STAR, TAME - Childrens, TAME - Childrens, TAME - Education"
8882,Stockport Metropolitan Borough Council,Live (On-going),301200 - Mail Services - Postage,Provision of Mail services (collection and delivery., Samantha Power,Mini Competition (External), Contract,01/01/2022,31/12/2023,31/12/2026,"£100,000.00","£200,000.00",Whistl Ltd,-,-,-,"SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management"
11923,Stockport Metropolitan Borough Council,Live (On-going),150000 - Consultancy,The Big Word Group Limited – Telephone and Spoken Video Interpreting,Gary Lee,Call Off (External), Call-off Contract,01/08/2022,31/07/2024,31/07/2024,"£100,000.00","£100,000.00",thebigword Group Limited,-,LS12 6LL,-,"Stockport Metropolitan Borough Council, SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
7910,Stockport Metropolitan Borough Council,Live (On-going),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Alternative Provision Flexible Procurement System-Stockport, Rachael Tither,-, Flexible Purchasing System,01/12/2020,01/12/2024,-,-,"£1,936,129.00",Various Suppliers,-,Various,-,"SMBC - PPL Children's Social Care , STAR, TRAFF - Children, Families and Wellbeing"
11935,Stockport Metropolitan Borough Council,Live (On-going),381210 - Vehicle Management - Hire,Stockport Pay-As-You-Go Car Club Access for Council Staff,Gary Lee,Call Off (External), Call-off Contract,01/09/2022,31/08/2024,01/09/2026,"£2,400.00","£9,600.00",Enterprise Rent-A-Car UK Limited,-,TW20 9FB,-,"Stockport Metropolitan Borough Council, SMBC - CSS People & Organisational Development"
14006,Stockport Metropolitan Borough Council,Live (One Off),150000 - Consultancy,Coaching Consultancy,Gary Lee,Call Off (External), Call-off Contract,03/01/2023,31/05/2023,-,"£25,000.00","£25,000.00",Hapus Ltd,-,WA14 5 NU,-,"Stockport Metropolitan Borough Council, SMBC - CSS People & Organisational Development"
10657,Stockport Metropolitan Borough Council,Live (On-going),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Specialist Learning and Training Resources, Rachael Tither,Exemption, Contract,01/01/2022,31/12/2023,31/12/2023,-,"£19,140.20",Autism Education Trust,-,EC1V 1NG,-,"SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills, STAR"
10894,Stockport Metropolitan Borough Council,Live (One Off),111200 - Catering - Food & Beverages,Provision of Catering Services to Stockport Metropolitan Council (Events), Peter Walpole,Exemption, Contract,01/09/2022,31/08/2023,31/08/2023,"£152,572.00","£152,572.50",MOSAIC BRAMALL LTD,-,SK7 3NX,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - People, SMBC - Corporate & Support Services, SMBC - PPL Adult Social Care, SMBC - Public Health, SMBC - PPL Children's Social Care , SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - PPL Education, Work & Skills, SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration, SMBC - PLA Estates & Asset Management"
11155,Stockport Metropolitan Borough Council,Live (On-going),"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services","Annual support and maintenance for SAP, SMBC’s financial system.", Samantha Power,Exemption, Contract,01/01/2022,31/12/2023,-,-,"£137,398.00",SAP UK Limited,-,TW14 8HD,-,STAR
10937,Stockport Metropolitan Borough Council,Live (One Off),321000 - Social Community Care Supplies & Services - Adult,Stockport - Pre-placement agreement for the purchase of services from registered care homes (PPA) and Individual Service Agreement (ISA), Shirella Simms,Modification, Contract,31/03/2022,01/08/2023,01/08/2023,-,"£35,967.18",Anchor Hanover Group,-,EC1E 7J,-,SMBC - PPL Adult Social Care
11982,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,AI Chatbot for Stockport Council, Samantha Power,Call Off (External), Call-off Contract,08/01/2023,07/01/2024,-,-,"£41,760.00",Britannic Technologies Ltd,-,GU4 7WA,-,"SMBC - CSS Technical (IT), SMBC - CSS Citizen Services"
8486,Stockport Metropolitan Borough Council,Live (On-going),201300 - Financial Services - Cash Collection,Cash Collection (Stockport),Gary Lee,Mini Competition (External), Call-off Contract,01/01/2021,31/12/2023,31/12/2024,"£25,000.00","£100,000.00",Security Plus,-,WN7 3XJ,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management"
11986,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,One.Network,Gary Lee,Call Off (External), Contract,01/02/2023,31/01/2024,31/01/2026,"£18,750.00","£18,750.00",Roadworks Information Ltd (trading as one.network),7589848,EC4A 4EN,-,"Stockport Metropolitan Borough Council, SMBC - PLA Highways & Transport"
14039,Stockport Metropolitan Borough Council,Live (One Off),261300 - Human Resources - Recruitment & Assessment,Recruitment of Director of Public Health,Gary Lee,RBS - Low - Quick Quote, Contract,03/01/2023,30/04/2023,-,"£11,000.00","£11,000.00",Starfish Search Ltd    ,-,EC2V 6DN,-,"Stockport Metropolitan Borough Council, SMBC - Public Health"
9736,Stockport Metropolitan Borough Council,Live (One Off),192300 - Facilities & Management Services - Storage,Tree Stock Purchase, Sarah Keating,Exemption, Contract,01/09/2022,01/09/2023,-,-,"£149,000.00",JA Jones tree Nursery,-,PR9 7NT,-,"SMBC - PLA Highways & Transport, STAR"
