Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,506.88
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,496.32
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,485.76
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,401.28
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,401.28
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,390.72
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,369.6
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,369.6
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,369.6
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,359.04
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,359.04
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,348.48
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,337.92
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,286.63
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,242.88
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,221.76
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,200.64
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,126.72
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,126.72
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,105.6
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,84.48
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,73.92
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,73.92
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,73.92
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,63.36
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,42.24
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,42.24
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,21.12
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,10.56
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,10.56
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,-105.6
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,-200.64
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,-211.2
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,559.68
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,422.4
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,369.6
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,274.56
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,168.96
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,158.4
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,105.6
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,95.04
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,73.92
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,12/12/2023,31.68
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,580.8
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,274.56
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,105.6
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,81.46
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,652.61
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,580.8
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,285.12
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,116.16
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,1256.64
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,1182.72
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,369.6
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,221.76
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,179.52
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,2376
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,834.24
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,739.2
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,739.2
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,306.24
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,221.76
Social Care Services,Care 24,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,612.48
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,369.6
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,887.04
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,887.04
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,770.88
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,739.2
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,739.2
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,739.2
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,707.52
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,644.16
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,617.76
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,596.64
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,570.24
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,517.44
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,475.2
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,432.96
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,417.12
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,411.84
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,380.16
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,380.16
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,337.92
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,337.92
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,285.12
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,269.28
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,269.28
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,258.72
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,258.72
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,253.44
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,232.32
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,221.76
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,221.76
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,211.2
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,184.8
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,158.4
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,158.4
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,158.4
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,142.56
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,116.16
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,63.36
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,63.36
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,52.8
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,42.24
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,42.24
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,42.24
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,36.96
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,36.96
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,31.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,10.56
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,454.08
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,163.68
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,887.04
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,570.24
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,570.24
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,517.44
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,517.44
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,211.2
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,168.96
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,84.48
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Angel Home Care Services,Services to People,Care Payments,12/12/2023,126.72
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,686.4
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,248.16
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,-42.24
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,1182.72
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,813.12
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,686.4
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,517.44
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,-591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,902.88
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,628.32
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,601.92
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Prolife Healthcare Services,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,232.32
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,601.92
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,422.4
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,105.6
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,18.1
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,-211.2
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,-211.2
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,211.2
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,168.96
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,126.72
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,126.72
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,84.48
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,84.48
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,1203.84
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,887.04
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,168.96
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,126.72
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,12/12/2023,126.72
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,665.28
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,665.28
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,475.2
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,-38.16
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,739.2
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,591.36
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,221.76
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,147.84
Recruitment / Staffing,Routes Healthcare(North),Services to People,Care Payments,12/12/2023,73.92
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,264
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,739.2
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,739.2
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,654.72
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,633.6
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,601.92
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,601.92
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,559.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,559.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,517.44
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,517.44
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,517.44
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,506.88
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,422.4
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,380.16
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,362.06
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,359.04
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,359.04
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,359.04
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,348.48
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,316.8
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,306.24
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,158.4
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,142.56
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,137.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,126.72
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,42.24
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,42.24
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,675.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,549.12
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,475.2
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,432.96
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,327.36
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,306.24
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,221.76
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,221.76
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,137.28
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,95.04
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,31.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,31.68
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,26.4
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,84.48
Social Care Services,Smartway Health and Social Care Ltd,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,327.36
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,960.96
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,628.32
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,538.56
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,253.44
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,887.04
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,887.04
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,887.04
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,770.88
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,749.76
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,665.28
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,591.36
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,580.8
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,570.24
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,443.52
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,295.68
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,253.44
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,147.84
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,144.82
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,90.51
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,813.12
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,813.12
Social Care Services,AMB Care Ltd T/A My Homecare,Services to People,Care Payments,12/12/2023,686.4
