Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode,
DFI,Department for Infrastructure,25/07/2022,C - Contract Other Services,FP MCCANN LTD,49749,"£35,593.08",BT45 8QA,
DFI,Department for Infrastructure,05/07/2022,C - Contract Other Services,HIGHWAY BARRIER SOLUTIONS LTD,37878,"£35,281.36",BT8 6SA,
DFI,Department for Infrastructure,21/07/2022,Cost Pass-Through Control,NORTHSTONE (NI) LTD,IS220055,"£35,279.45",BT17 9NU,
DFI,Department for Infrastructure,11/07/2022,A - Legal Costs - fees,TLT NI LLP,X221815,"£35,000.00",BT1 4NX,
DFI,Department for Infrastructure,21/07/2022,P - Hire of Plant & Equipment (non-lease),FULCRUM  AUTOMOTIVE SOLUTIONS LTD,INV-60120,"£34,664.97",LE33 AW,
DFI,Department for Infrastructure,29/07/2022,Cost Pass-Through Control,FP MCCANN LTD,49804,"£34,411.78",BT45 8QA,
DFI,Department for Infrastructure,29/07/2022,Cost Pass-Through Control,FP MCCANN LTD,49802,"£34,277.40",BT45 8QA,
DFI,Department for Infrastructure,20/07/2022,P - Hire of Plant & Equipment (non-lease),FULCRUM  AUTOMOTIVE SOLUTIONS LTD,INV-59286,"£34,011.40",LE33 AW,
DFI,Department for Infrastructure,07/07/2022,C - Contract Other Services,WHITEMOUNTAIN QUARRIES LTD,I022091,"£33,486.72",BT28 3RD,
DFI,Department for Infrastructure,29/07/2022,P - Contract Roads,FP MCCANN LTD,49780,"£32,394.20",BT45 8QA,
DFI,Department for Infrastructure,29/07/2022,Cost Pass-Through Control,FP MCCANN LTD,49805,"£32,221.01",BT45 8QA,
DFI,Department for Infrastructure,14/07/2022,P - Contract Minor Maintenance,TREVOR GRAHAM & SONS LIMITED,001/220622,"£31,336.00",BT34 4AY,
DFI,Department for Infrastructure,19/07/2022,C - Contract Other Services,FP MCCANN LTD,49665,"£31,075.42",BT45 8QA,
DFI,Department for Infrastructure,07/07/2022,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,I022078,"£30,809.70",BT28 3RD,
DFI,Department for Infrastructure,14/07/2022,Cost Pass-Through Control,GREENTOWN ENVIRONMENTAL LTD,8113,"£30,495.22",BT92 1DE,
DFI,Department for Infrastructure,26/07/2022,Cost Pass-Through Control,FP MCCANN LTD,49746,"£30,045.85",BT45 8QA,
DFI,Department for Infrastructure,20/07/2022,Subsidies to the Private sector (Current),SOUTH ANTRIM COMMUNITY TRANSPORT*GRANTEE,ERS-DFI-GRBT399EBQ-ERS-132,"£29,467.75",BT39 9EB,
DFI,Department for Infrastructure,06/07/2022,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,I022066,"£29,022.11",BT28 3RD,
DFI,Department for Infrastructure,21/07/2022,P - Contract Roads,PETER FITZPATRICK LTD,4064,"£28,924.88",BT34 5TJ,
DFI,Department for Infrastructure,15/07/2022,A - Other Communications Costs,DEPARTMENT OF FINANCE,10064446,"£28,900.00",BT1 4NN,
DFI,Department for Infrastructure,06/07/2022,Grant in Aid- Covid19,A1 COACH TRAVEL LTD*ANON-9N2X-EZ9K-M,DFI-BOFASS3-042,"£28,847.77",BT48 0NE,
DFI,Department for Infrastructure,27/07/2022,C - Building / Landscaping Materials,ARDSTRAW QUARRIES LTD,10020,"£28,828.67",BT82 9JL,
DFI,Department for Infrastructure,19/07/2022,P - Contract Roads,CONDUENT PUBLIC SECTOR UK LIMITED,1645027,"£28,469.97",PO6 4TY,
DFI,Department for Infrastructure,19/07/2022,P - Contract Roads,CONDUENT PUBLIC SECTOR UK LIMITED,1645028,"£28,314.06",PO6 4TY,
DFI,Department for Infrastructure,14/07/2022,Cost Pass-Through Control,SHANNON ROADMARKINGS LTD,BNMAY2022,"£28,251.14",BT11 9NP,
DFI,Department for Infrastructure,29/07/2022,P - Building / Landscaping Materials,AMELIO UTILITIES LTD,11506,"£27,884.82",BT11 8BU,
DFI,Department for Infrastructure,27/07/2022,Grants to private sector - Persons and NPISH (Current),RATHLIN ISLAND FERRY LTD*GRANTEE,ERS-DFI-EF00371281-ERS-159,"£27,864.70",BT54 6BT,
DFI,Department for Infrastructure,15/07/2022,P - Contract Roads,YUNEX LTD,1120014722,"£27,583.28",BH17 7ER,
DFI,Department for Infrastructure,25/07/2022,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,I022151,"£27,382.59",BT28 3RD,
DFI,Department for Infrastructure,21/07/2022,C - Contract Other Services,FP MCCANN LTD,49720,"£26,836.18",BT45 8QA,
DFI,Department for Infrastructure,21/07/2022,"Other Creditor (Non-Imprest Deposits, holding deposits, and damage deposits)",DTL CONSTRUCTION LTD,EF06136619,"£26,810.00",BT45 7JN,
DFI,Department for Infrastructure,11/07/2022,C - Contract Other Services,FOX BUILDING & CIVIL ENGINEERING LTD,SIN004694,"£26,717.74",BT79 9PU,
DFI,Department for Infrastructure,15/07/2022,"Other Creditor (Non-Imprest Deposits, holding deposits, and damage deposits)",KAP PROPERTIES LTD,EF06136246,"£25,900.00",BT30 9UP,
DFI,Department for Infrastructure,06/07/2022,C - Contract Other Services,FP MCCANN LTD,49433,"£25,804.18",BT45 8QA,
DFI,Department for Infrastructure,18/07/2022,P - Contract Roads,NORTHERN ROAD MARKINGS LTD,13271A,"£25,373.64",BT51 5TE,
DFI,Department for Infrastructure,11/07/2022,Cost Pass-Through Control,DEPARTMENT OF FINANCE,10064377,"£25,360.84",BT1 4NN,
DFI,Department for Infrastructure,07/07/2022,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,I022101,"£25,225.23",BT28 3RD,
DFI,Department for Infrastructure,18/07/2022,C - Contract Other Services,PETER FITZPATRICK LTD,4060,"£24,976.45",BT34 5TJ,
DFI,Department for Infrastructure,07/07/2022,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,I022091,"£21,575.89",BT28 3RD,
DFI,Department for Infrastructure,28/07/2022,C - Contract Other Services,WHITEMOUNTAIN QUARRIES LTD,49068,"£19,536.13",BT28 3RD,
DFI,Department for Infrastructure,18/07/2022,P - Contract Roads,PETER FITZPATRICK LTD,4060,"£13,484.37",BT34 5TJ,
DFI,Department for Infrastructure,15/07/2022,P - Contract Roads,KEENAN P (CONTRACTOR),0069-ARN-2016,"£11,005.28",BT45 8QE,
DFI,Department for Infrastructure,28/07/2022,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,49068,"£8,372.63",BT28 3RD,
DFI,Department for Infrastructure,08/07/2022,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,I022090,"£7,032.07",BT28 3RD,
DFI,Department for Infrastructure,18/07/2022,C - Contract Other Services,KEENAN P (CONTRACTOR),0062-MIW-2016,"£4,857.78",BT45 8QE,
DFI,Department for Infrastructure,18/07/2022,P - Contract Roads,PETER FITZPATRICK LTD,4059,"£4,790.52",BT34 5TJ,
DFI,Department for Infrastructure,25/07/2022,P - Contract Roads,PETER FITZPATRICK LTD,4069,"£3,796.98",BT34 5TJ,
DFI,Department for Infrastructure,27/07/2022,P - Contract Roads,PETER FITZPATRICK LTD,4070,"£1,097.65",BT34 5TJ,
DFI,Department for Infrastructure,07/07/2022,P - Interest - Other,TAMNADEESE ASSET MANAGEMENT LTD,EF06135859,£170.02,BT47 4DE,
DFI,Department for Infrastructure,07/07/2022,P - Interest - Other,TAMNADEESE ASSET MANAGEMENT LTD,EF06135824,£168.06,BT47 4DE,
DFI,Department for Infrastructure,19/07/2022,P - Interest - Other,EARLSFORT PROPERTY & DEVELOPMENT LTD,EF06136433,£134.80,BT28 2HJ,
DFI,Department for Infrastructure,14/07/2022,P - Interest - Other,NICOR CONTRACTS LTD,EF06136281,£123.88,BT48 7SE,
DFI,Department for Infrastructure,21/07/2022,P - Interest - Other,DTL CONSTRUCTION LTD,EF06136619,£120.83,BT45 7JN,
DFI,Department for Infrastructure,29/07/2022,CIS - Tax Creditor,AMELIO UTILITIES LTD,11506,"-£3,717.98",BT11 8BU,
DFI,Department for Infrastructure,08/07/2022,CIS - Tax Creditor,AMELIO UTILITIES LTD,11505,"-£6,985.75",BT11 8BU,
DFI,Department for Infrastructure,18/07/2022,C - Contract Other Services,PETER FITZPATRICK LTD,4056C,"-£108,754.98",BT34 5TJ,
