Entity,Posted Date,Merchant name, Amount ,Description
Core Defra,15/03/2012,GRAND HOTEL MERCURE ALFA 1616LUXEMBOU ,£917.92,Accommodation for two people staying three nights attending the Eurostat Task Force and Working Party in Luxembourg
Core Defra,15/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,623.04",Return air travel for one person attending the UN Environmental Programme Governing Council (UNEP) meeting in Nairobi
Core Defra,15/03/2012,PUBLIC POLICY EXCH       LONDON SE11  ,£588.00,Training course for two people
Core Defra,15/03/2012,WESTLANDS HOTELS LIMITED NAIROBI      ,£698.21,Accommodation for one person staying four nights attending a UN General Council meeting in Nairobi 
Core Defra,15/03/2012,THE GROSVENOR HOTE       LONDON       ,£501.88,Accommodation for one person staying four nights while attending a training course in London
Core Defra,19/03/2012,STARLIGHT SUITEN         WIEN         ,£506.37,Accommodation for one person staying five nights attending Intergovernmental Negotiating Committee on Forests in Europe being held in Vienna
Core Defra,19/03/2012,DAYS HOTEL               LONDON .     ,£516.00,Accommodation for two people staying two nights attending knowledge transfer training in London
Core Defra,19/03/2012,ROYAL SOCIETY OF CHEMI   CAMBRIDGE    ,£510.00,Publication cost for advertising three inspector vacancies in the Royal Society of Chemistry journal.
Core Defra,19/03/2012,ROYAL HORTICULTURAL HA   LONDON       ,£998.22,Hospitality for 35 people attending the UK Chemicals Stakeholder Forum 
Core Defra,19/03/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£511.43,Return rail travel for three people attending an Information Technology Services meeting in York 
Core Defra,21/03/2012,GOVNET COMMUNICATI       MANCHESTER   ,£534.00,Training for one person
Core Defra,21/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£742.85,Return air travel for one person attending a fisheries meeting in Iceland  
Core Defra,21/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£996.89,Return air travel for one person attending a fisheries meeting in Svalbard
Core Defra,21/03/2012,WESTIN NOVA SCOTIAN HOTELHALIFAX      ,£684.62,Accommodation for one person staying for five nights attending the  annual North West Atlantic Fisheries Organistaion (NAFO) meeting in Nova Scotia
Core Defra,21/03/2012,Hotel City ApS           K benhavn    ,£528.89,Accommodation for one person staying four nights attending the EU Greenland negotiations in Copenhagen
Core Defra,21/03/2012,HOTEL BERLAYMONT SANV    BRUSSEL      ,£768.92,Accommodation for one person staying five nights attending the EU greenland meeting in Brussels
Core Defra,23/03/2012,TRFSA   TCD SMG          08456009355  ,"£1,320.00",Legal Library
Core Defra,27/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£975.97,Return air travel for one person attending the UN Framework Convention on Climate Change Intersessional meeting in Panama
Core Defra,27/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£651.15,Return air travel for one person attending the UN Framework Convention on Climate Change intersessional meeting in Bonn.
Core Defra,27/03/2012,HOTEL BERLAYMONT SANV    BRUSSEL      ,£955.58,Accommodation for two people staying one night attending the EC Regulatory Commitee meeting in Brussels 
Core Defra,27/03/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£553.66,Return rail travel for four people attending the Department of Energy and Climate Change (DECC) Account Manager meeting 
Core Defra,27/03/2012,WHITEHALL & INDUST       LONDON SW1H  ,"£1,800.00",Training course for one person 
Core Defra,29/03/2012,WWW.ILXGROUP.COM         01270 615653 ,"£1,140.00",Training course for one person
Core Defra,30/03/2012,DOD`S PARLIAMENTARY CO   LONDON  SE1  ,£576.00,Two training courses for two people 
Core Defra,01/04/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£669.70,Return train fare for two people attending the Scottish Government Committee Enquiry in Edinburgh
Core Defra,01/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,694.41",Return air fare to attend Gulfood Expo in Dubai 
Core Defra,02/04/2012,HOTEL DUMINY             75PARIS 01   ,£515.83,Accommodation deposit for two people staying two nights attending General Assembly of the International Organisation of Vine and Wine (OIV) in Paris
Core Defra,02/04/2012,Chantilly Manotel SA (KipGeneve       ,£837.19,Accommodation for one person staying five nights attending the Executive Body of the Convention Long Range on Transboundary Air Pollution in Geneva 
Core Defra,12/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£5,874.46",Return air fare for one person attending the United Nations Conference on Sustainable Development in Rio - to be reimbursed
Core Defra,12/04/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£556.77,Rail tickets for three people for a Shared Services onboarding meeting at Weybridge
Core Defra,12/04/2012,GRAND CENTRAL            SNDLND ON TRA,£500.00,Return rail travel for five people from York-London attending various meetings
Core Defra,12/04/2012,BRITISH A   1252488302849LONDON       ,£554.14,Return air fare for two people attending Internet Portal Research project initiation meeting in Edinburgh.  
Core Defra,12/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,379.04",Return air ticket for one person to attend UK Export Certifcation Partnership (UKECP) meetings in Johannesburg
Core Defra,12/04/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£820.20,Return rail fare for six people who were assessors for a promotion board in York 
Core Defra,12/04/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,"£1,499.60",Return rail fare for six people who were assessors for a promotion board in York refunded due to a cheaper ticket being found
Core Defra,16/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,495.68",Return air fare for one person attending the Intergovernmental Science-policy Platform for the bio-diversity and ecosystem services (IPBES) interface plenary meeting in Panama
Core Defra,16/04/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£539.18,Return rail fare for two people attending the Personal Development Review (PDR) Editorial Committee Annual Reports and Accounts (ARA) in London
Core Defra,16/04/2012,UNI CAM ESALES           01223 766733 ,"£1,239.30",Conference fee for one person attending Science Veterinary and Engineering Risk (SVE) and Uncertainty Conference in London
Core Defra,16/04/2012,DOD`S PARLIAMENTARY CO   LONDON  SE1  ,£588.00,Training for two people
Core Defra,16/04/2012,WWW.ROYALMAIL.COM        INTERNET     ,£959.66,Pre-paid envelopes  
Core Defra,16/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£5,371.02",Return air fare for one person attending the International Monitoring Control and Surveillance (IMCS) Network meeting in Santiago
Core Defra,18/04/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£684.94,Return rail fare for two people attending the Estates and Finance meeting in London 
Core Defra,18/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,£524.03,Return air fares for one person attending the Skaggerak Working Group meetings on discard bans in Stockholm
Core Defra,18/04/2012,RS CHEMISTRY/ACCOUNTS    CAMBRIDGE    ,£500.00,"Additional Defra contribution to cost of UK Chemicals Forum  Royal Society of Chemistry (UKCSF/RSC) workshop on socio-economic assessment for Registration, Evaluation, Authorisation and Restriction of Chemicals (REACH) Authorisation "
Core Defra,20/04/2012,AIR CANADA  0142106383489PARIS        ,£724.79,"Return ticket for one person attending the Global Research Alliance on Agri Green House Gas Emissions Council meeting in Saskatoon, Canada"
Core Defra,20/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,£836.96,Return air fare for one person attending the Agreement on the Conservation of Albatrosses and Petrels (ACAP) meeting in Lima
Core Defra,20/04/2012,CENTRAL DESKTOP INC.     6266894420   ,£695.83,Annual charge for the use of the United Knigdom Marine Monitoring and Assessment Strategy (UKMMAS) Central Desk top service.
Core Defra,20/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,627.60",Return air fare for one person attending the Agricultural Market Information Forum (AMIS) Rapid Response Forum and Mexican G20 meeting in Mexico City
Core Defra,20/04/2012,THE FALCON HOTEL         FARNBOROUGH  ,£595.00,Accommodation for two people staying three and two nights respectively while carrying out fieldwork at IBM Farnborough
Core Defra,20/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,245.26",Return air fare for one person attending Rio +20 negotiations and  Rio+20  in New York and Rio 
Core Defra,20/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,000.00",Return air fare for one person attending Rio +20 negotiations and  Rio+20  in New York and Rio 
Core Defra,20/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,000.00",Return air fare for one person attending Rio +20 negotiations and  Rio+20  in New York and Rio 
Core Defra,20/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,000.00",Return air fare for one person attending Rio +20 negotiations and  Rio+20  in New York and Rio 
Core Defra,24/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,£725.65,Return air fare for one person attending Rio +20 negotiations and  Rio+20  in  Rio 
Core Defra,24/04/2012,MALVERNSPA LTD DCC       MALVERN      ,£869.00,Accommodation for six people staying for eleven nights attending the EU Task Force meeting in Worcester
Core Defra,26/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,£600.29,Return air fare for one person attending the Executive Committee of the Multilateral Fund for the implementation of the Montreal Protocol in Montreal
Core Defra,30/04/2012,WWW.QA-IQ.COM            INTERNET     ,£828.00,Training course for 2 people
Core Defra,30/04/2012,NEW OTANI HOTELS         CHIBA        ,"£1,029.47","Return air fare for one person attending the UN Mercury  Intergovernmental Negotiating Committee (INC) meeting in Chiba, Japan "
Core Defra,30/04/2012,HOTEL BLOOM-FIDELIO      BRUXELLES    ,£525.72,Accommodation for one person staying three nights attending a meeting with European Commission in Brussels
Core Defra,30/04/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£515.21,Training course for 2 people
Core Defra,30/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,£875.55,Return air fare for one person attending the a nanotechnology conference in Berlin
Core Defra,30/04/2012,HOTEL TROCADERO 8338727  75PARIS      ,£536.82,Accommodation for one person staying three nights attending the Organisation for Economic Co-operation and Development (OCED) Working Party on Manufactured Nanomaterials meeting in Paris
Core Defra,30/04/2012,BRITISH A   1252488234153LONDON       ,£906.79,"Return Air Travel for one  to Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA16) meeting in Montreal. "
Core Defra,30/04/2012,REDFERN TRAVEL LTD       BRADFORD     ,£521.28,Return air fare for one person attending the Untied Nations Commission on Trade and Development (UNCTAD) meeting on Green House Gas reporting in Geneva
Core Defra,02/05/2012,MERCURE BRASILIA         BRASILIA     ,£671.64,Accommodation for one person staying five nights attending regarding the Development of National Biodiversity strategies and action plans workshop in Brazil
Core Defra,02/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£822.39,Return air fare for one person attending the Rio+20 preparation meeting in New York and Rio +20 meeting in Rio
Core Defra,02/05/2012,EUROSTAR INTERNET        LONDON       ,£623.00,Return rail travel for two people attending the Commission discards conference in Brussels
Core Defra,02/05/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£690.17,Return rail travel for three people attending the Seafish Board Appointments Panel in Edinburgh
Core Defra,02/05/2012,IBIS BXL ST.CATH.BAR     BRUXELLES/BRU,£705.76,Accommodation for two people staying for three nights attending the Rural Development Committee and Evaluation Expert Committee in Brussels
Core Defra,04/05/2012,EXPEDIA CO UK            0871 226 0808,"£1,277.36",Accommodation for one person staying eight nights attending UN Working Group meeting on conservation and sustainable use of Biodiversity Beyond National Jurisdiction (BBNJ) in New York
Core Defra,04/05/2012,VOICEACTIVE.COM          01844 318361 ,£590.34,Headphones for using in Webinars to reduce the need for travel.
Core Defra,04/05/2012,EXPERIAN                 ACCOUNT RECEI,£600.00,Payment for insolvencies data 
Core Defra,04/05/2012,CWL-T        615500129052WOL'HPTON  02,£549.61,Return rail fare for one person attending the Working Party meeting on International Environmental Issues (WPIEI) in Brussels
Core Defra,04/05/2012,VIR ATL     9323706320331UK T/AGENT   ,"£2,150.07",Return air fare for one person attending the Subsiddiary Body on Scientific Technical and Technological Advice of the Convention on Biological Diversity (SBSTTA)(CBD) meeting In Nairobi
Core Defra,04/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£584.87,Return rail travel for two people attending the Commission Working Group on Pet Travel Rules in Brussels
Core Defra,04/05/2012,VIR ATL     2158739374   VIRATLCOM/UK ,£655.25,Return air fare for one person attending the Conference on the use of geospatial information in government in Johannesburg - to be reimbursed 
Core Defra,04/05/2012,PENTA HOTEL READING      READING      ,"£1,083.00",Facitilies hire and hospitality for twenty people attending the UK Location Council meeting
Core Defra,10/05/2012,"DEFRA, NOBEL HOUSE       SMITH SQ, LON",£554.76,Hospitality for fifty four people attending a Marine Protection Agency meeting
Core Defra,10/05/2012,BEST WESTERN SHIP HOTE   WEYBRIDGE    ,£683.45,Accommodation costs for three people staying two and one night respectively attending the workshop for Shared Services Directorate onboarding of Veterinary Laboratories Agency in Weybridge 
Core Defra,10/05/2012,VIR ATL     2161195399   VIRATLCOM/UK ,"£2,385.44",Return air fare for one person attending the Global Tiger Initiative in New Delhi
Core Defra,10/05/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£545.98,Return rail fare for four staff attending a Governance meeting regarding Shared Services Directorate Oracle Business Suite in  London
Core Defra,10/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£508.18,Return rail travel for one person attending the the Agriculture Council meeting in Brussels
Core Defra,10/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£508.18,Return rail travel for one person attending the the Agriculture Council meeting in Brussels
Core Defra,14/05/2012,WWW.BENCHCOM.CO.UK       INTERNET     ,£552.00,Training course for one person
Core Defra,14/05/2012,WWW.COMBINED-KNOWLEDGE   INTERNET     ,£834.00,Three day training course for one person
Core Defra,14/05/2012,CONGRESS CHARGES         SINGAPORE    ,£715.05,Conference fee for two person attending the International Congress on Infectious Diseases for four days 
Core Defra,14/05/2012,ATTON SAN ISIDRO SAC SOLELIMA         ,£592.23,Accommodation for one person staying six nights attending the Agreement on the Conservation of Albatrosses and Petrels in Lima
Core Defra,14/05/2012,EDEN BABYLON HOTEL       DEN HAAG     ,"£1,371.03",Accommodation for three people staying five nights and one night respectively attending the Committee on Environmental Impacts of Human Activities in The Hague
Core Defra,14/05/2012,WWW.IGD.COM              01923857141  ,£600.00,Conference fee for one person attending the IGD Conference on Sustainability in the Food and Grocery Industry
Core Defra,14/05/2012,HOLIDAY INN BLOOMSBURY   LONDON       ,£540.00,Accommodation for one person staying for three nights attending the Food and Green Economy Transition Planning Project meeting in London
Core Defra,14/05/2012,HOLIDAY INN BLOOMSBURY   LONDON       ,£540.00,Accommodation for one person staying for three nights attending the Food and Green Economy Transition Planning Project meeting in London
Core Defra,14/05/2012,INTERCONTINENTAL HOTELS  BELFAST      ,£561.00,Accommodation for six people staying one night attending the Governments Red Tape Challenge in Belfast
Core Defra,14/05/2012,RIU PMA PLAZA RECEPCION  PANAMA       ,£905.04,Accommodation for one person staying eight nights attending the Intergovernmental Panel on Biodiversity and Ecosystems Services (IPBES) meeting in Panama
Core Defra,14/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£723.45,Return air fare for two people attending  the Agriculture Council in Luxembourg
Core Defra,14/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£777.44,Return air fare for two people attending  the Environment Council in Luxembourg
Core Defra,16/05/2012,RIU PMA PLAZA RECEPCION  PANAMA       ,£828.30,Accommodation for one person staying seven nights attending the Intergovernmental Platform for Biodiversity and Ecosystems Science (IPBES) policy inerface plenary meeting in Panama
Core Defra,16/05/2012,S A C                    EDINBURG EH9 ,£816.00,Conference fee for one person for two days attending the Scottish Agricultral College Conference in Edinburgh
Core Defra,16/05/2012,SQUARE PHILLIPS HOTEL    MONTREAL     ,£900.73,Accommodation for one person staying seven nights attending the Executive Committee of Multilateral Fund for the Implementation of the Montreal Protocol in Montreal.
Core Defra,16/05/2012,EUROSTAR INTERNET        LONDON       ,£580.00,Return rail travel for two people attending the Regulatory Committee for Driers meeing in Brussels
Core Defra,16/05/2012,R.H.S MEDIA              PETERBOROUGH ,£973.20,Hire of room for UK Chemicals Stakeholder Forum
Core Defra,16/05/2012,COMPASS SERVICES UK LT   BIRMINGHAM   ,"£1,105.44",Hospitality for forty people attending the UK Chemicals Stakeholder Forum
Core Defra,16/05/2012,R.H.S MEDIA              PETERBOROUGH ,"£1,278.00",Hire of room and hospitality for twenty five people attending the Advisory Committee on Hazardous Substances
Core Defra,16/05/2012,FIRST GTR WESTERN        BRISTOL      ,£555.00,Return rail travel for two people attending the Ecobuild meeting and one person attending a training course in London
Core Defra,16/05/2012,CATERING ACADEMY LTD     BIRMINGHAM   ,"£1,500.00",Contribution to venue hire for Local Authority event in Birmingham 
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,500.00",Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,500.00",Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,809.47",Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,500.00",Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,809.47",Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£757.33,Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£752.22,Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£757.33,Return air fare for one person attending Rio+20 conference in Rio
Core Defra,16/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£731.05,Return air fare for one person for preparation meeting for Rio+20 in Stockholm
Core Defra,16/05/2012,EUROSTAR INTERNET        LONDON       ,£693.00,Return rail fare for two people attending a bilateral meeting with the French Fisheries Authority in Paris
Core Defra,18/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£655.14,Return air fare for one person attending the International Congress on Infectious Diseases and the Global Network Consortium meetings in Bangkok
Core Defra,18/05/2012,BRITISH A   1252488472241LONDON       ,£703.71,Return air fare for one person attending the Global Network Project concerned with Co-ordination of Animal Health research in Bangkok
Core Defra,18/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£655.11,Return air fare for one person attending the International Congress ion Infectious Diseases and the Global Network Consortium meetings in Bangkok
Core Defra,18/05/2012,WWW.ARK-GROUP.COM        0121 355 0900,£811.20,Training course for one person
Core Defra,18/05/2012,RESIDUA LTD              INTERNET     ,£650.00,Subscription for sixty three users for the Resource Recovery Forum.
Core Defra,18/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£574.26,Return air fare for one person attending the Stockholm +40 meeting in Stockholm
Core Defra,18/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,155.68",Return air fare for one person attending the Environment Informal Council meeting in Denmark
Core Defra,18/05/2012,EUROSTAR INTERNET        LONDON       ,£562.00,Return rail travel for two people attending the Environmental Policy Committee of the Organisation for Economic Co-operation and Development (OCED) in Paris
Core Defra,22/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,601.02",Return air fare for one person attending the Office Internationale des Epizooties (OIE) Food and Agriculture Organistion (FAO) on conference on the global control of Foot and Mouth Disease meeting in Bangkok
Core Defra,22/05/2012,BIRKBECK COLLEGE         LONDON WC1E  ,£600.00,Training course for one person
Core Defra,22/05/2012,ECOMOD LLC               4132109004   ,£584.55,Registration fees for two people attending the International Conference on Economic Modelling (EcoMod2012) for three days in Seville
Core Defra,22/05/2012,PARADISE HOTEL BUSAN     BUSAN        ,£688.42,"Accommodation for one person staying seven days attending the Intergovernmental Platform on Biodiversity and Ecosystems Services (IPBES) meeting in Busan, South Korea"
Core Defra,22/05/2012,MERCURE BRASILIA         BRASILIA     ,£671.64,Accommodation for one person staying three nights attending the workshop on global progress on national biodiversity strategies and action plans in Brazil
Core Defra,22/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£684.62,Return air fares for two people attending the Genetically Modified Organisms meeting in the Hague
Core Defra,22/05/2012,RIU PMA PLAZA RECEPCION  PANAMA       ,£820.80,Accommodation for one person staying eight nights attending the Intergovernmental Platform on Biodiversity and Ecosystems Services (IPBES) meeting in Panama
Core Defra,24/05/2012,BUSINESS FORUMS INT.     SHANKLIN     ,"£2,160.00",Training course for four people 
Core Defra,24/05/2012,AERLING     23XTQS CLORLEDUBLIN       ,"£1,408.04",Return air fare for one person attending the UN Working Group meeting on conservation and sustainable use of Biodiversity Beyond National Jurisdiction (BBNJ) in New York
Core Defra,24/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£603.27,Return rail travel for two people attending the Fisheries Council in Brussels
Core Defra,24/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£611.56,Return air fare for one person attending the EU Stockholm Group meeting  in Berlin and the EU Direct Payments Working Group meeting in Brussels
Core Defra,24/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£553.52,Return rail tavel for two people attending the European Commission Working Party on International Environmental Issues in Brussels
Core Defra,24/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£621.02,Return air fare for one person attending the EU Rural Directors meeting in Denmark
Core Defra,28/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,611.25",Return air fare for one person attending the Mexico G20 meeting in Mexico City
Core Defra,30/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,610.73",Return air fare for one person attending the G20 meeting in Mexico City
Core Defra,30/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£588.19,Return air fare for one person attending the Stockholm +40 meeting in Stockholm
Core Defra,30/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,627.09",Return air fare for one person attending the G20 meeting in Mexico City
Core Defra,30/05/2012,NOVOTEL BERCY   2022747  PARIS        ,£912.64,Accommodation for one person staying six nights attending the Codex Committee meeting in Paris
Core Defra,30/05/2012,REDFERN TRAVEL LTD       BRADFORD     ,£642.53,Return air fare for one person attending the China Mission meeting in Shanghai
Core Defra,30/05/2012,DLC TRAINING             DURHAM       ,£937.00,Training course for one person and membership of professional body
Core Defra,07/06/2012,HOTEL BERLAYMONT SANV    BRUSSEL      ,£507.18,Accommodation for one person staying three nights attending the Dental Amalgam and Working Party on International Environment Issues (WPIEI) meetings in  Brussels
Core Defra,07/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,£545.28,Return air flight for one person attending the International Whaling Commission Annual Meeting in Panama
Core Defra,07/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,£621.21,Return air fare for one person attending an Expert Group meeting in Budapest
Core Defra,07/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,486.55",Return air flight for one person attending the International Whaling Commission Annual Meeting in Panama
Core Defra,07/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,486.55",Return air flight for one person attending the International Whaling Commission Annual Meeting in Panama
Core Defra,11/06/2012,PARLIAMENT HOUSE         EDINBURGH    ,£637.95,Accommodation for two people staying four nights attending a Quota Catch Management Practioners workshop in Edinburgh
Core Defra,11/06/2012,WWW.CIPS.ORG             01780 761515 ,£972.00,Trainign course for one person
Core Defra,11/06/2012,CIVIL SERVICE LEARNING   INTERNET     ,"£1,022.40",Three day training course for one person
Core Defra,11/06/2012,CONSERVATION BY DE       BEDFORD      ,"£1,050.00",Stationary
Core Defra,11/06/2012,CONSERVATION BY DE       BEDFORD      ,"£1,050.00",Stationary
Core Defra,11/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,486.55","Return air flight for one person attending the International Whaling Commission Annual Meeting in Panama - booked in error, this cost was refunded"
Core Defra,13/06/2012,HILTON MX CITY REFORMA   CIUDAD DE ME ,£570.44,Accommodation for two people staying two and three nights (respectively) attending the Rapid Response Forum and G20 meeting in Mexico
Core Defra,13/06/2012,SOCIETY OF CHEMICA       LONDON SW1X  ,£670.00,Training course for one person
Core Defra,13/06/2012,CIPD ENTERPRISES         LONDON  SW19 ,£696.00,Training course for one person
Core Defra,13/06/2012,DIGBY TROUT RESTAU       MACCLESFIELD ,£861.96,Hospitality for seventy people attending a Private Water Supply Workshop for Local Authoritues in  Macclesfield
Core Defra,13/06/2012,SOCIETY OF CHEMICA       LONDON SW1X  ,£930.00,Training course for one person
Core Defra,13/06/2012,WWW.BONDSOLON.COM        01213 550900 ,"£1,008.00",Training course for two people
Core Defra,13/06/2012,CHART INST OF ENV        LONDON SE1   ,"£1,814.40",Conference fees for 56 delegates attending the Private Water Supply Workshop in Macclesfield
Core Defra,13/06/2012,WWW.BONDSOLON.COM        01213 550900 ,"£2,506.80",Training course for ten people
Core Defra,13/06/2012,WWW.BONDSOLON.COM        01213 550900 ,"£2,506.80",Training course for ten people
Core Defra,15/06/2012,COMPASS SERVICES UK LT   BIRMINGHAM   ,£699.36,Hospitality for sixty two people attending an EU Task Force meeting
Core Defra,15/06/2012,RADISSON SAS             LONGYEARBYEN ,£699.37,Accommodation for one person staying five nights attending an International fisheries meeting in Svalbard
Core Defra,15/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,£837.06,Return air and rail fare for delegation attending the Stockholm+40 and Agriculture Council in Brussels and Luxembourg
Core Defra,15/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,£869.08,Return air fare for a delegation attending the Agriculture Council meeting in Luxembourg
Core Defra,15/06/2012,"DEFRA, NOBEL HOUSE       SMITH SQ, LON",£930.00,Hospitality for 100 delegates attending the Defra organised EU LIFE Information Day  in London
Core Defra,19/06/2012,KENYAAIR                 NAIROBI      ,£748.50,Return air fares for one person from African Union Inter-African Bureau for Animal Resources to attend the EU -funded Global Network on the co-ordination of Animal Disease Research (STAR-IDAZ). Funded from EU project Grant
Core Defra,19/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,833.54",Return air fare for one person attending UN International Mercury negotiations in Uruguay
Core Defra,21/06/2012,OSTERIA DELL'ANGOLO LT   LONDON SW1P  ,£587.81,Hospitality for Danish delegation attending an Emergency Planning meeting
Core Defra,21/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,071.23",Return air fare for one person attending UN  International Mercury negotiations in Uruguay
Core Defra,21/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,075.82",Return air fare for one person attending UN International Mercury negotiations in Uruguay
Core Defra,25/06/2012,STATIONERY OFFICE BOOK   LONDON SW8   ,£500.00,Payment for two Parliamentary Publications
Core Defra,25/06/2012,ALOFT BRUSSELS SCHUMAN   BRUSSELS     ,£529.68,Accommodation for one person staying three nights attending the Pollutant Release and Transfer Register (PRTR) Article 19 and United Nations Economic Commission (UNECE) Pollutant Release and Transfer Register (PRTR) Bureau meetings in  Brussels
Core Defra,25/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,£689.11,Return air fare for five people visiting the Mineral Water Bottling Plant and Food Standards Agency in Belfast
Core Defra,25/06/2012,GOVERNMENT KNOWLEDGE L   LONDON       ,£828.00,Training course for two people
Core Defra,27/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,813.80",Return air fare for one person attending the rio+20 meeting in Panama
Core Defra,27/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,237.53",Return air fare for one person attending the rio+20 meeting in Rio
Core Defra,27/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,252.21",Return air fare for one person attending the rio+20 meeting in Rio
Core Defra,27/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,699.05",Return air fare for one person attending the rio+20 meeting in Rio
Core Defra,29/06/2012,EUROSTAR ACC             ASHFORD      ,£868.00,Return rail fare for three people attending a meeting with the European Commission Colleagues
Core Defra,29/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,110.27","Return air flight for one person attending the International Whaling Commission Annual Meeting in Panama - booked in error, this cost was refunded"
Core Defra,29/06/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£6,204.08",Return air fares for two people attending the International Whaling Commission (IWC) in Panama
Core Defra,03/07/2012,BRITISH A   1252490094508LONDON       ,£844.29,Return air travel for  one person attending various meetings in Washington USA 
