Id,Indicator,CollectionFrequency,YearType,Year,Total,Apr,May,Jun,Q1,Jul,Aug,Sep,Q2,Oct,Nov,Dec,Q3,Jan,Feb,Mar,Q4,Polarity
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2009/2010,5,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2010/2011,5,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2011/2012,5,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2012/2013,3.8,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2013/2014,3.5,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2014/2015,2.9,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2015/2016,2.8,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2016/2017,2.5,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2017/2018,3.4,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2018/2019,4.6,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2019/2020,3.9,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2020/2021,3.5,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2021/2022,2.8,,,,,,,,,,,,,,,,,Up is Bad
CHP01,"Infant mortality rate (under 1 year old), per 1,000 live births",Annual,Financial Year,2022/2023,3.1,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2011/2012,NA,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2012/2013,12.87,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2013/2014,10.79,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2014/2015,10.28,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2015/2016,9.32,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2016/2017,12.37,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2017/2018,12.46,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2018/2019,13.53,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2019/2020,NA,,,,,,,,,,,,,,,,,Up is Bad
CHP02,"Child mortality rate (1-17 years), per 100,000 population",Annual,Financial Year,2020/2021,NA,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2011/2012,24.72,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2014/2015,16.4,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2015/2016,NA,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2016/2017,15.9,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2017/2018,NC,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2018/2019,NC,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2019/2020,NC,,,,,,,,,,,,,,,,,Up is Bad
CHP18,"Children with one or more decayed, missing or filled teeth",Five Years,Financial Year,2020/2021,NC,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2010/2011,0.9,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2011/2012,1,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2012/2013,1.3,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2013/2014,1.3,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2014/2015,0.7,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2015/2016,0.9,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2016/2017,0.8,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2017/2018,0.9,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2018/2019,0.6,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2019/2020,0.9,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2020/2021,0.9,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2021/2022,NC,,,,,,,,,,,,,,,,,Up is Bad
CHP21,Teenage mothers (delivery episodes aged under 18),Annual,Financial Year,2022/2023,1,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2010/2011,53.14,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2011/2012,61,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2012/2013,62.86,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2013/2014,62.48,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2014/2015,70.17,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2015/2016,90.07,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2016/2017,97.7,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2017/2018,85.4,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2018/2019,80,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2019/2020,68.4,,,,,,,,,,,,,,,,,Up is Bad
CHP23,"Hospital admissions due to substance misue (15-24 years), per 100,000 population",Annual,Financial Year,2020/2021,63.7,,,,,,,,,,,,,,,,,Up is Bad
CHP25,% of mothers who give their babies breast milk in the first 48 hours after delivery (breastfeeding initiation),Annual,Financial Year,2010/2011,73.66,,,,,,,,,,,,,,,,,Neutral
CHP25,% of mothers who give their babies breast milk in the first 48 hours after delivery (breastfeeding initiation),Annual,Financial Year,2011/2012,73.36,,,,,,,,,,,,,,,,,Neutral
CHP25,% of mothers who give their babies breast milk in the first 48 hours after delivery (breastfeeding initiation),Annual,Financial Year,2012/2013,73.99,,,,,,,,,,,,,,,,,Neutral
CHP25,% of mothers who give their babies breast milk in the first 48 hours after delivery (breastfeeding initiation),Annual,Financial Year,2013/2014,69,,,,,,,,,,,,,,,,,Neutral
CHP25,% of mothers who give their babies breast milk in the first 48 hours after delivery (breastfeeding initiation),Annual,Financial Year,2014/2015,NA,,,,,,,,,,,,,,,,,Neutral
CHP25,% of mothers who give their babies breast milk in the first 48 hours after delivery (breastfeeding initiation),Annual,Financial Year,2016/2017,77.1,,,,,,,,,,,,,,,,,Neutral
CHP25,% of mothers who give their babies breast milk in the first 48 hours after delivery (breastfeeding initiation),Annual,Financial Year,2017/2018,NC,,,,,,,,,,,,,,,,,Neutral
CHP27,"A&E attendances (0-4 years), per 1,000 attendances",Annual,Financial Year,2021/2022,603.6,,,,,,,,,,,,,,,,,Up is Bad
CHP27,"A&E attendances (0-4 years), per 1,000 attendances",Annual,Financial Year,2022/2023,600.4,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2010/2011,108.8,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2011/2012,103.3,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2012/2013,109.4,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2013/2014,111.2,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2014/2015,121.9,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2015/2016,140.8,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2016/2017,136.4,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2017/2018,136.8,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2018/2019,126.7,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2019/2020,94.7,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2020/2021,84,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2021/2022,91.6,,,,,,,,,,,,,,,,,Up is Bad
CHP29,"Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15-24 years), per 10,000 population",Annual,Financial Year,2022/2023,81.4,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2013/2014,142.7,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2014/2015,129.7,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2015/2016,103.7,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2016/2017,143.3,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2017/2018,157.3,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2018/2019,132.4,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2019/2020,119.4,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2020/2021,39.9,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2021/2022,80.2,,,,,,,,,,,,,,,,,Up is Bad
CHP30,"Hospital admissions for asthma (0-18 years), per 100,000 population",Annual,Financial Year,2022/2023,106.8,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2010/2011,42.4,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2011/2012,55.6,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2012/2013,111.6,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2013/2014,97.3,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2014/2015,111,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2015/2016,180.7,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2016/2017,111.6,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2017/2018,98.5,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2018/2019,127.4,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2019/2020,99.1,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2020/2021,114.1,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2021/2022,173,,,,,,,,,,,,,,,,,Up is Bad
CHP31,"Hospital admissions for mental health conditions (0-17 years), per 100,000 population",Annual,Financial Year,2022/2023,144.4,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2011/2012,338.81,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2012/2013,435,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2013/2014,407.79,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2014/2015,562.5,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2015/2016,692.03,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2016/2017,658.1,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2017/2018,565.64,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2018/2019,508.04,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2019/2020,365.08,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2020/2021,457.38,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2021/2022,390.86,,,,,,,,,,,,,,,,,Up is Bad
CHP32,"Hospital admissions as a result of self harm (10-24 years), per 100,000 population",Annual,Financial Year,2022/2023,254.51,,,,,,,,,,,,,,,,,Up is Bad
CHP34a,Absolute gap in % of children totally or partially breastfeeding at 6-8 weeks between highest and lowest York ward (4 year aggregated ward data),Annual,Financial Year,2020/2021,36.5,,,,,,,,,,,,,,,,,Up is Bad
CHP34a,Absolute gap in % of children totally or partially breastfeeding at 6-8 weeks between highest and lowest York ward (4 year aggregated ward data),Annual,Financial Year,2021/2022,36.7,,,,,,,,,,,,,,,,,Up is Bad
CHP34a,Absolute gap in % of children totally or partially breastfeeding at 6-8 weeks between highest and lowest York ward (4 year aggregated ward data),Annual,Financial Year,2022/2023,38.98,,,,,,,,,,,,,,,,,Up is Bad
CHP34a,Absolute gap in % of children totally or partially breastfeeding at 6-8 weeks between highest and lowest York ward (4 year aggregated ward data),Annual,Financial Year,2023/2024,39.3,,,,,,,,,,,,,,,,,Up is Bad
CMHD02,"IAPT Referrals (18+), per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2013/2014,153.23,,,,,,,,132.92,,,,140.04,,,,153.23,Up is Good
CMHD02,"IAPT Referrals (18+), per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2014/2015,307.08,,,,158.83,,,,153.54,,,,248.84,,,,307.08,Up is Good
CMHD02,"IAPT Referrals (18+), per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2015/2016,468.52,,,,314.67,,,,458.03,,,,492.99,,,,468.52,Up is Good
CMHD02,"IAPT Referrals (18+), per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2016/2017,538,,,,548,,,,453,,,,458,,,,538,Up is Good
CMHD02,"IAPT Referrals (18+), per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2017/2018,454,,,,373,,,,372,,,,418,,,,454,Up is Good
CMHD02,"IAPT Referrals (18+), per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2018/2019,482,,,,412,,,,455,,,,435,,,,482,Up is Good
CMHD02,"IAPT Referrals (18+), per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2019/2020,504,,,,443,,,,504,,,,,,,,,Up is Good
CMHD03,"% of people who have completed IAPT treatment who achieved reliable improvement"" - (VoY CCG)""",Quarterly,Financial Year,2013/2014,55.88,,,,,,,,59.84,,,,57.32,,,,55.88,Up is Good
CMHD03,"% of people who have completed IAPT treatment who achieved reliable improvement"" - (VoY CCG)""",Quarterly,Financial Year,2014/2015,61.4,,,,60.98,,,,58.06,,,,60.98,,,,61.4,Up is Good
CMHD03,"% of people who have completed IAPT treatment who achieved reliable improvement"" - (VoY CCG)""",Quarterly,Financial Year,2015/2016,63.64,,,,60.67,,,,61.06,,,,58.54,,,,63.64,Up is Good
CMHD03,"% of people who have completed IAPT treatment who achieved reliable improvement"" - (VoY CCG)""",Quarterly,Financial Year,2016/2017,67.8,,,,53.2,,,,59.3,,,,62.1,,,,67.8,Up is Good
CMHD03,"% of people who have completed IAPT treatment who achieved reliable improvement"" - (VoY CCG)""",Quarterly,Financial Year,2017/2018,65.1,,,,68.2,,,,67.6,,,,66.1,,,,65.1,Up is Good
CMHD03,"% of people who have completed IAPT treatment who achieved reliable improvement"" - (VoY CCG)""",Quarterly,Financial Year,2018/2019,70.4,,,,74.6,,,,71.7,,,,63,,,,70.1,Up is Good
CMHD05,People entering IAPT (in month) as % of those estimated to have anxiety/depression (VoY CCG) - (Snapshot),Monthly,Financial Year,2016/2017,7.5,,,,,,,,,,,,,13.2,8.4,7.5,7.5,Neutral
CMHD05,People entering IAPT (in month) as % of those estimated to have anxiety/depression (VoY CCG) - (Snapshot),Monthly,Financial Year,2017/2018,15.5,7.7,8.6,11.3,11.3,9.8,11.1,10.4,10.4,10.6,12.5,10.6,10.6,16.1,14.6,15.5,15.5,Neutral
CMHD05,People entering IAPT (in month) as % of those estimated to have anxiety/depression (VoY CCG) - (Snapshot),Monthly,Financial Year,2018/2019,14.4,14.6,11.5,14.8,14.8,15,15.4,13.4,13.4,15.7,1.2,16.7,16.7,16.3,13.2,14.4,14.4,Neutral
CMHD05,People entering IAPT (in month) as % of those estimated to have anxiety/depression (VoY CCG) - (Snapshot),Monthly,Financial Year,2019/2020,18,,,,13.4,,,,18,,,,,,,,,Neutral
CMHP15A,"Number of bed days in secondary mental health care hospitals, per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2013/2014,4786.44,,,,4976.02,,,,4975.66,,,,5069.74,,,,4786.44,Up is Bad
CMHP15A,"Number of bed days in secondary mental health care hospitals, per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2014/2015,8285.59,,,,5022.71,,,,5282.14,,,,6566.94,,,,8285.89,Up is Bad
CMHP15A,"Number of bed days in secondary mental health care hospitals, per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2015/2016,4989.34,,,,6522.5,,,,5971.82,,,,5997.17,,,,4989.34,Up is Bad
CMHP15A,"Number of bed days in secondary mental health care hospitals, per 100,000 population - (VoY CCG)",Quarterly,Financial Year,2016/2017,4252.32,,,,4413.08,,,,4285.16,,,,4324.92,,,,4252.32,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2006/2007,2.6,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2007/2008,2.3,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2008/2009,2.2,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2009/2010,2.2,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2010/2011,2.2,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2011/2012,1.6,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2012/2013,2.2,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2013/2014,2.3,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2014/2015,3,,,,2,,,,1.4,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2015/2016,1.7,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2016/2017,2.6,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2017/2018,2.4,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2018/2019,3.5,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2019/2020,2.7,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2020/2021,1.5,,,,,,,,,,,,,,,,,Up is Bad
CSB14,% of total births where low birth weight recorded (under 2500g) - (term babies),Quarterly,Financial Year,2021/2022,1.8,,,,,,,,,,,,,,,,,Up is Bad
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2011/2012,95.25,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2012/2013,96.25,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2013/2014,95.78,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2014/2015,95.15,,,,95.7,,,,94.3,,,,NC,,,,96.3,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2015/2016,96,,,,95.8,,,,93.6,,,,94.6,,,,95.1,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2016/2017,96.3,,,,76.4,,,,95.6,,,,96.4,,,,95.5,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2017/2018,95.61,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2018/2019,95.86,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2019/2020,95.17,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2020/2021,95.59,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2021/2022,93.54,,,,,,,,,,,,,,,,,Up is Good
CSB15,Population vaccination coverage - Dtap / IPV / Hib (2 year old),Quarterly,Financial Year,2022/2023,94.5,,,,,,,,,,,,,,,,,Up is Good
CSB16,Hospital admissions for dental caries ages 1-4 years (‘children presenting at York ED with dental issues’ until 2016),Quarterly,Financial Year,2014/2015,52,,,,18,,,,20,,,,10,,,,4,Up is Bad
CSB16,Hospital admissions for dental caries ages 1-4 years (‘children presenting at York ED with dental issues’ until 2016),Quarterly,Financial Year,2015/2016,22,,,,6,,,,7,,,,8,,,,1,Up is Bad
CSB16,Hospital admissions for dental caries ages 1-4 years (‘children presenting at York ED with dental issues’ until 2016),Quarterly,Financial Year,2017/2018,43,,,,11,,,,6,,,,8,,,,18,Up is Bad
CSB16,Hospital admissions for dental caries ages 1-4 years (‘children presenting at York ED with dental issues’ until 2016),Quarterly,Financial Year,2018/2019,NC,,,,,,,,,,,,,,,,,Up is Bad
CSB16,Hospital admissions for dental caries ages 1-4 years (‘children presenting at York ED with dental issues’ until 2016),Quarterly,Financial Year,2019/2020,,,,,,,,,NA,,,,,,,,,Up is Bad
CSB16a,"Hospital admissions for dental caries (0-4 years), per 100,000 population",Annual,Financial Year,2014/2015,368.7,,,,,,,,,,,,,,,,,Up is Bad
