Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,BROOK STREET (UK) LIMITED,2000012743,941.36,#,AL1 4JB
Department for Transport,Department for Transport,20/10/2017,Management Consultan,Group Commercial Services,MACE Limited,2000012763,1040.4,#,EC2M 6X
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,BROOK STREET (UK) LIMITED,2000012743,1050.74,#,AL1 4JB
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,BROOK STREET (UK) LIMITED,2000012743,1060.2,#,AL1 4JB
Department for Transport,Department for Transport,20/10/2017,Cars Maintenance,"Road Safety, Standards and Services",DJW Coachworks Ltd,2000012755,1281.62,#,SE1 5JX
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012730,2000.16,#,DL1 9HN
Department for Transport,Department for Transport,20/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012740,2165,#,BS24 9BP
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,Major Projects,CAPITA BUSINESS SERVICES LTD,2000012730,2525.66,Interim resource,DL1 9HN
Department for Transport,Department for Transport,20/10/2017,Support Services,Group Human Resources,Edenred,2000012726,2762.96,#,SW1V 2RS
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,DG_RAIL - Network Services,CAPITA BUSINESS SERVICES LTD,2000012730,3120,Interim resource,DL1 9HN
Department for Transport,Department for Transport,20/10/2017,Support Services,Aviation,FCO Foreign and Commonwealth Office,2000012746,3250.59,#,MK10 1PX
Department for Transport,Department for Transport,20/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012740,3775,#,BS24 9BP
Department for Transport,Department for Transport,20/10/2017,Legal Consultancy,Airport Capacity,Government Legal Department,2000012728,4089,#,WC2B 4TS
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,HSR Phase 2 Sponsor,CAPITA BUSINESS SERVICES LTD,2000012730,4130.16,#,DL1 9HN
Department for Transport,Department for Transport,20/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012730,4547.16,#,DL1 9HN
Department for Transport,Department for Transport,20/10/2017,Prog&ProjMgmt Consul,Group Commercial Services,MACE Limited,2000012763,13209.6,#,EC2M 6X
Department for Transport,Department for Transport,20/10/2017,Mobile Phone charges,Group Commercial Services,VODAFONE LTD,2000012744,16997.4,Vodafone - 287 Mobiles - 01.05 to 31.07.2017,RG14 5FF
Department for Transport,Department for Transport,20/10/2017,Data Supply - TD,Group Human Resources,ECA International Ltd,2000012731,17260.8,#,WC2B 5DG
Department for Transport,Department for Transport,20/10/2017,Transport  Consult,Corporate Finance,Watling Fosse Limited,2000012760,17600,#,SW19 7DT
Department for Transport,Department for Transport,20/10/2017,Transport  Consult,Local,Bus Users UK Ltd,2000012753,33349.33,Bus Users - Transport Consultation,TW17 8AS
Department for Transport,Department for Transport,20/10/2017,Mobile Phone charges,Group Commercial Services,VODAFONE LTD,2000012744,37606.62,Vodafone - 2367 mobs - 604232420 - 14 Oct 17,RG14 5FF
Department for Transport,Department for Transport,20/10/2017,Computer equipment,Air Accident Investigation Branch,DFT ONE TIME VENDOR,2000012762,42336,#,SW1P 4DR
Department for Transport,Department for Transport,20/10/2017,Mobile Phone charges,Group Commercial Services,EE Ltd,2000012756,42666.4,98871186 - Oct 2017,S98 1PS
Department for Transport,Department for Transport,20/10/2017,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000012735,86160,National Travel Survey,EC1V 0AX
Department for Transport,Department for Transport,20/10/2017,CurrGrtOth to NDPBs,"Road Safety, Standards and Services",Newcastle City Council,2000012745,101120,Traffic and Technology NCC Grant Oct,NE1 8QH
Department for Transport,Department for Transport,20/10/2017,CurrGrtOth to NDPBs,"Road Safety, Standards and Services",CITY OF YORK COUNCIL,2000012725,165000,Traffic and Technology YCC Grant Oct,Y01 7WH
Department for Transport,Department for Transport,20/10/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,Auria Solutions UK Ltd,2000012761,1005469.01,#,B46 1JU
Department for Transport,Department for Transport,20/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Tesla Motors Limited,2000012754,3051000,"""PICG Tesla September 2017 #3,051,000""",UB7 8JD
Department for Transport,Department for Transport,20/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",NISSAN MOTOR GB LTD,2000012750,3593640.94,"""PICG Nissan September 2017 #3,593,640.94""",WD3 9YS
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",AW Matthews Heating & Plumbing Ltd,2000012858,500,EVHS AW Matthews Sep 17 #500,HR4 0EH
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Baird Electrical Contractors Ltd,2000012860,500,EVHS Baird Electrical Contractors Jul 17 #500,BT42 1EL
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Bluebuild Energy Ltd,2000012866,500,EVHS Bluebuild Energy Jun 17 #500,BT23 7SZ
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Corin Dudley Electrical Services,2000012864,500,EVHS Corin Dudley Electrical Services July 17 #500,BN26 6JF
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Doyle Electrical Services Ltd,2000012851,500,EVHS Doyle Electrical Services Aug 17 #500,IP5 3RY
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Goodwin Electrical,2000012873,500,EVHS Goodwin Electrical Sep 17 #500,PL21 9BN
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Juuce Ltd t/a EO Charging,2000012867,500,EVHS Juuce Aug 17 #500,IP6 8QG
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",O'Connor Electrical Ltd,2000012863,500,EVHS O'Connor Electrical Aug 17 #500,DE14 1RW
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Power Pac Ltd,2000012857,500,EVHS Power Pac Sep 17 #500,LE67 5DJ
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Power Pac Ltd,2000012857,500,EVHS Power Pac Aug 17 #500,LE67 5DJ
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SRG Electrical Ltd,2000012854,500,SRG Electrical Jul 17 #500,CR8 1HA
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SRG Electrical Ltd,2000012854,500,SRG Electrical Aug 17 #500,CR8 1HA
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Stratford Energy Solutions Limited,2000012846,500,EVHS Stratford Energy Solutions May 17 #500,CV37 0HR
Department for Transport,Department for Transport,23/10/2017,Cars Maintenance,"Road Safety, Standards and Services",Cannon's MSA Ltd,2000012837,544.5,#,CR4 4NB
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000012828,647.1,Agency staff,AL1 4JB
Department for Transport,Department for Transport,23/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000012822,660.54,#,UB8 1PH
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,Group Commercial Services,BROOK STREET (UK) LIMITED,2000012828,817.63,#,AL1 4JB
Department for Transport,Department for Transport,23/10/2017,Conferences / Semina,Group Finance,Calder Conferences Limited,2000012850,870,#,LS16 6RF
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,BROOK STREET (UK) LIMITED,2000012828,901.8,#,AL1 4JB
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,BROOK STREET (UK) LIMITED,2000012828,929.15,#,AL1 4JB
Department for Transport,Department for Transport,23/10/2017,Cars Maintenance,"Road Safety, Standards and Services",Beadles (Sidcup) Ltd,2000012835,966.92,#,DA14 6PB
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Actemium,2000012870,1000,EVHS Actemium Aug 17 #1000,CV3 3LH
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",BMM Contracts Ltd,2000012853,1000,EVHS BMM Energy Solutions Aug 17 #1000,ML6 8NY
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",JDM Earth Ltd,2000012872,1000,JDM Earth Aug 17 #1000,TS26 0JP
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Juuce Ltd t/a EO Charging,2000012867,1000,Juuce Mar 17 #1000,IP6 8QG
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Oakrange Engineering Ltd,2000012868,1000,EVHS Oakrange Engineering May 17 #1000,S66 9JG
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,BROOK STREET (UK) LIMITED,2000012828,1060.2,#,AL1 4JB
Department for Transport,Department for Transport,23/10/2017,IT Ser Running Costs,Group Commercial Services,ITO World Ltd,2000012826,1310.4,#,IP4 1AQ
Department for Transport,Department for Transport,23/10/2017,Car Hire and Leasing,"Road Safety, Standards and Services",Saltco Ltd T/A Kelly Executive,2000012838,1512.5,#,SE15 4RF
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",JDM Earth Ltd,2000012872,2000,JDM Earth Sep 17 #2000,TS26 0JP
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Oakrange Engineering Ltd,2000012868,2000,EVHS Oakrange Engineering Jul 17 #2000,S66 9JG
Department for Transport,Department for Transport,23/10/2017,Training,Strategic Roads,Lumia Development,2000012841,2230,#,EC1V 2NX
Department for Transport,Department for Transport,23/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012827,2285,#,BS24 9BP
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Oakrange Engineering Ltd,2000012868,2500,EVHS Oakrange Engineering Aug 17 #2500,S66 9JG
Department for Transport,Department for Transport,23/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012827,2500,#,BS24 9BP
Department for Transport,Department for Transport,23/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012827,2670,#,BS24 9BP
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012823,2759.8,#,DL1 9HN
Department for Transport,Department for Transport,23/10/2017,Travel Expenses UK,DG_Rail - Passenger Services,RAIL STAFF TRAVEL LTD,2000012829,2908.72,#,WC1N 1BY
Department for Transport,Department for Transport,23/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012827,3065,#,BS24 9BP
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,Aviation,CAPITA BUSINESS SERVICES LTD,2000012823,3123.66,#,DL1 9HN
Department for Transport,Department for Transport,23/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012827,3285,#,BS24 9BP
Department for Transport,Department for Transport,23/10/2017,Support Services,DG_Rail - Passenger Services,UK Trade & Investment,2000012874,3291.35,#,NP10 8QQ
Department for Transport,Department for Transport,23/10/2017,Conferences / Semina,DG_IS - ISE DG Office,Calder Conferences Limited,2000012850,3712,#,LS16 6RF
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Stratford Energy Solutions Limited,2000012846,4000,EVHS Stratford Energy Solutions Jun 17 #4000,CV37 0HR
Department for Transport,Department for Transport,23/10/2017,Support Services,Local,HM REVENUE & CUSTOMS,2000012825,4090.39,Staff costs reimbursements from Other Government departments,BN12 4XH
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012823,4114.74,#,DL1 9HN
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000012823,4178.09,#,DL1 9HN
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012823,4386.3,#,DL1 9HN
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Cawoods Electricians,2000012843,4500,EVHS Cawoods Aug 17 #4500,PE6 8FD
Department for Transport,Department for Transport,23/10/2017,IT Ser Running Costs,Group Commercial Services,People Source Consulting Ltd,2000012849,4500,#,BS1 6BA
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012823,5353.2,#,DL1 9HN
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",EV Charging Solutions,2000012842,5500,EVHS EV Charging Solutions Jul 17 #5500,NG7 3EN
Department for Transport,Department for Transport,23/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000012823,5926.32,#,DL1 9HN
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Armstrong Renewables,2000012845,8000,EVHS Armstrong Renewables Aug 17 #8000,NE37 2SH
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Stratford Energy Solutions Limited,2000012846,8000,Stratford Energy Solutions Jul 17 #8000,CV37 0HR
Department for Transport,Department for Transport,23/10/2017,Transport  Consult,DG_Rail - Passenger Services,Steer Davies Gleave,2000012830,16980,#,SE1 9PD
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Chargemaster,2000012839,19500,"""EVHS Chargemaster Apr 17 #19,500""",LU1 3LU
Department for Transport,Department for Transport,23/10/2017,Management Consultan,DG_Rail - Passenger Services,Accelarated Procurement Solutions,2000012855,22176,#,CA12 4LR
Department for Transport,Department for Transport,23/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",McNally Electrical Yorkshire,2000012861,24000,"""EVHS McNally Electrical Yorkshire Sep 17 #24,000""",BD22 7AA
Department for Transport,Department for Transport,23/10/2017,Small Software,Analysis & Strategy,PTV (UK) Ltd,2000012871,27600,#,B37 7HB
Department for Transport,Department for Transport,23/10/2017,Traffic Survey & Cou,Local,Jenoptik Traffic Solutions UK Ltd,2000012862,62313.2,Traffic Survey,GU16 7SG
Department for Transport,Department for Transport,23/10/2017,Support Services,Group Finance,Irwin Mitchell,2000012840,151410,Industrial Injury Claim - SR 9000568352,S3 8DT
Department for Transport,Department for Transport,23/10/2017,CurrGrt Las in AEF/A,Regional Transport Strategies,Greater Manchester Combined,2000012852,5000000,Development for setting up Transport for North,M60 2LA
Department for Transport,Department for Transport,24/10/2017,Car Tax & Insurance,"Road Safety, Standards and Services",LEX AUTOLEASE LTD,2000012923,693,#,SK3 0RB
Department for Transport,Department for Transport,24/10/2017,Financial Consultanc,Aviation,GOVERNMENT ACTUARY'S DEPARTMENT,2000012932,1746,#,EC4A 1AB
Department for Transport,Department for Transport,24/10/2017,Publications for Res,DG_Rail - Passenger Services,Domarn Limited,2000012933,1900,#,EC1A 4EN
Department for Transport,Department for Transport,24/10/2017,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000012928,2256.96,#,DL1 9HN
Department for Transport,Department for Transport,24/10/2017,Printing,"Energy, Technology and International",Williams Lea,2000012942,2333.92,#,NR3 1PD
Department for Transport,Department for Transport,24/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012928,2650.8,#,DL1 9HN
Department for Transport,Department for Transport,24/10/2017,Support Services,Aviation,Civil Aviation Authority,2000012930,2888,#,RH6 0YR
Department for Transport,Department for Transport,24/10/2017,IT Ser Running Costs,Group Commercial Services,People Source Consulting Ltd,2000012949,3120,#,BS1 6BA
Department for Transport,Department for Transport,24/10/2017,Further Educ Cost,"Energy, Technology and International",Northumbria University Newcastle,2000012953,3325,#,E1 7HT
Department for Transport,Department for Transport,24/10/2017,L&B Excl Dwellings,Maritime,Apex Air Conditioning Ltd,2000012951,3714.6,#,BS21 6XU
Department for Transport,Department for Transport,24/10/2017,Support Services,Marine Accident Investigation Branch,1st Diving Ltd T/A Apex Diving,2000012954,4050,#,DT5 1DX
Department for Transport,Department for Transport,24/10/2017,Computer equipment,Group Communications,Probrand Limited,2000012929,4113,#,B1 3BP
Department for Transport,Department for Transport,24/10/2017,IT Ser Running Costs,Group Commercial Services,People Source Consulting Ltd,2000012949,4500,#,BS1 6BA
Department for Transport,Department for Transport,24/10/2017,IT Ser Running Costs,Group Commercial Services,People Source Consulting Ltd,2000012949,4560,#,BS1 6BA
Department for Transport,Department for Transport,24/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000012928,4804.08,#,DL1 9HN
Department for Transport,Department for Transport,24/10/2017,Treasury Solicitors,Group Commercial Services,Government Legal Department,2000012925,6340.32,#,WC2B 4TS
Department for Transport,Department for Transport,24/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000012936,9975,#,BS24 9BP
Department for Transport,Department for Transport,24/10/2017,Research Grant-PS,Analysis & Strategy,E-Cargobikes.com,2000012952,13500,Innovation Challenge Fund Dec 2016 Interim Payment,IP16 4AQ
Department for Transport,Department for Transport,24/10/2017,Legal Consultancy,DG_Rail - Passenger Services,ADDLESHAW GODDARD LIMITED,2000012940,18002.4,#,M2 3AB
Department for Transport,Department for Transport,24/10/2017,Transport  Consult,DG_Rail - Passenger Services,Steer Davies Gleave,2000012937,21596.97,#,SE1 9PD
Department for Transport,Department for Transport,24/10/2017,Agency Staff Costs,Major Projects,Experis Ltd,2000012931,22953.6,Interim resource,EC2M 2RB
Department for Transport,Department for Transport,24/10/2017,IT Ser Running Costs,Group Commercial Services,SOFTWARE BOX LTD,100018213,24434.21,#,YO61 1ET
Department for Transport,Department for Transport,24/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000012927,32366.46,#,UB8 1PH
Department for Transport,Department for Transport,24/10/2017,L&B Excl Dwellings,Maritime,ARTHUR McKAY,2000012945,32847.46,#,EH20 9LZ
Department for Transport,Department for Transport,24/10/2017,Training,Group Human Resources,CABINET OFFICE,100018214,36000,#,SW1A 2WH
Department for Transport,Department for Transport,24/10/2017,Research,"Road Safety, Standards and Services",TRL Limited,2000012950,45322.91,#,RG40 3GA
Department for Transport,Department for Transport,24/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",TOYOTA (GB) PLC,2000012944,92500,"""PICG Toyota September 2017 #92,500""",KT18 5XS
Department for Transport,Department for Transport,24/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000012947,116750,#,HU10 6DN
Department for Transport,Department for Transport,24/10/2017,Transport  Consult,DG_Rail - Passenger Services,STEER DAVIES & GLEAVE LTD,2000012934,126147.74,#,SE1 9PD
Department for Transport,Department for Transport,24/10/2017,Grt Aid to NDPBs,Strategic Roads,RAIL PASSENGER COUNCIL,2000012955,136000,Payment October Roads,M1 2WD
Department for Transport,Department for Transport,24/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000012947,191391,#,HU10 6DN
Department for Transport,Department for Transport,24/10/2017,Cap Grt NDPBs & CG,Rail NDPB's,Network Rail,2000012939,451144.88,HS2 Phase 2 HS2 NR Interfaces - 1214343,M60 7WY
Department for Transport,Department for Transport,24/10/2017,Grt Aid to NDPBs,Rail NDPB's,RAIL PASSENGER COUNCIL,2000012955,460000,Payment October Rail,M1 2WD
Department for Transport,Department for Transport,24/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Volkswagen UK,2000012948,695500,"""PICG Volkswagen August 2017 #695,500""",MK14 5AN
Department for Transport,Department for Transport,24/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Volkswagen UK,2000012948,1559000,"""PICG Volkswagen September 2017 #1,559,000""",MK14 5AN
Department for Transport,Department for Transport,24/10/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,UNIVERSITY COLLEGE LONDON,2000012926,8046678.9,#,WC1E 6BT
Department for Transport,Department for Transport,25/10/2017,Conferences / Semina,DG_RAIL - Network Services,Calder Conferences Limited,2000013038,502.5,Staff training venue costs,LS16 6RF
Department for Transport,Department for Transport,25/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000013028,537.82,#,DL1 9HN
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,574.78,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,604,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,858,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,895.99,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,902.13,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000013035,909.2,#,BS24 9BP
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,1039,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,1063,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,1071,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,IT Ser Running Costs,Group Commercial Services,BT Payment SVCS Ltd (T/phone Bills),2000013006,1094.4,#,DH98 1BT
Department for Transport,Department for Transport,25/10/2017,Investigation Servic,Group Assurance,CH&I Associates Ltd,2000013037,1109.16,Payment to Independent Complaints Commissioner,SK11 8AA
Department for Transport,Department for Transport,25/10/2017,Services prov by OGD,Group Assurance,Cabinet Office,2000013026,2000,Reimbursment to Cabinet Office for Gateway Review on Samrt Ticketing.,FY5 3TA
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,2142,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,IT Ser Running Costs,Group Commercial Services,BT Payment SVCS Ltd (T/phone Bills),2000013006,2250,#,DH98 1BT
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,2504.72,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Agency Staff Costs,HSR Programme and Funding,CAPITA BUSINESS SERVICES LTD,2000013028,2555.33,#,DL1 9HN
Department for Transport,Department for Transport,25/10/2017,Agency Staff Costs,HSR Programme and Funding,CAPITA BUSINESS SERVICES LTD,2000013028,2896.99,#,DL1 9HN
Department for Transport,Department for Transport,25/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000013028,2963.16,#,DL1 9HN
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,3700,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,3960,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,4451,25 Day Training Course,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Recruitment,DG_RAIL - Rail Corporate Centre,HM REVENUE & CUSTOMS,2000013030,4540,#,BN12 4XH
Department for Transport,Department for Transport,25/10/2017,Recruitment Advertis,HSR Commercial Operations Sponsor,HM REVENUE & CUSTOMS,2000013030,4593.9,#,BN12 4XH
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,4627.94,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Prog&ProjMgmt Consul,Maritime,The University of Nottingham,2000013005,5000,#,NG7 2RD
Department for Transport,Department for Transport,25/10/2017,Agency Staff Costs,HSR Programme and Funding,CAPITA BUSINESS SERVICES LTD,2000013028,5333.69,#,DL1 9HN
Department for Transport,Department for Transport,25/10/2017,Infrastructure Maint,Group Commercial Services,Distributor Systems International,2000013022,6442.15,#,DA1 4BF
Department for Transport,Department for Transport,25/10/2017,Investigation Servic,Group Assurance,CH&I Associates Ltd,2000013037,7077.72,Payment to Independent Complaints Commissioner,SK11 8AA
Department for Transport,Department for Transport,25/10/2017,Training,Analysis & Strategy,Capita Business Services Ltd,2000013027,7804.88,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Training,Analysis & Strategy,Capita Business Services Ltd,2000013027,7804.88,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Other Advertising,Local,Penna Communications,2000013018,12457.69,Statutory Advertising,EC4M 7RD
Department for Transport,Department for Transport,25/10/2017,Training,Group Human Resources,Capita Business Services Ltd,2000013027,12472.73,#,B24 9FD
Department for Transport,Department for Transport,25/10/2017,Transport  Consult,Corporate Finance,Watling Fosse Limited,2000013041,19800,#,SW19 7DT
Department for Transport,Department for Transport,25/10/2017,Support Services,Aviation,BAE SYSTEMS (OPERATIONS) LTD,2000013004,32299.8,#,NP15 1XL
Department for Transport,Department for Transport,25/10/2017,Research,Transport Security Co-ordination & Response,HOME OFFICE SHARED SERVICE CENTRE,2000013024,43790,#,NP20 9BB
Department for Transport,Department for Transport,25/10/2017,Transport  Consult,DG_Rail - Passenger Services,ATKINS LTD (TRANSPORT PLANNING),2000013003,102660.76,#,WR5 1TX
Department for Transport,Department for Transport,25/10/2017,Support Services,"Energy, Technology and International",DRIVER & VEHICLE LICENSING AGENCY,2000013036,261309.02,#,SA6 7JL
Department for Transport,Department for Transport,25/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Go Green Fuels Ltd,2000013021,601460,Go Green Fuels 2017 October,SN3 4DE
Department for Transport,Department for Transport,25/10/2017,Cap Grt Loc Auth,Local,BEDFORD BC,2000013007,663500,Highway Maintenance Block 2017/18 third quarter,MK40 1SJ
Department for Transport,Department for Transport,25/10/2017,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000013001,729750,Integrated Transport Block 2017/18 third quarter,BN7 1UE
Department for Transport,Department for Transport,25/10/2017,Cap Grt Loc Auth,Local,Brighton & Hove City Council,2000012981,764750,Integrated Transport Block 2017/18 third quarter,BN1 1JE
Department for Transport,Department for Transport,25/10/2017,Cap Grt Loc Auth,Local,NORTHAMPTONSHIRE CC,2000012993,769500,Integrated Transport Block 2017/18 third quarter,NN4 7DB
Department for Transport,Department for Transport,25/10/2017,Cap Grt Loc Auth,Local,Lincolnshire County Council,2000013019,828000,Integrated Transport Block 2017/18 third quarter,LN1 1YL
