Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000500,1328.06
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000500,113.29
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000500,805.19
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000500,399.94
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000500,1165.47
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 4,HCL NURSING,HNSI0000500,240.37
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 4,HCL NURSING,HNSI0000500,1449.16
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000500,306.42
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000500,4641.01
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,"East Planned Care - Oadby,Wigston & Harborough",HCL NURSING,HNSI0000500,3212.83
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000500,2783.22
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000500,5173.59
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Lough Swithland Ward,HCL NURSING,HNSI0000500,406.23
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000500,2020.82
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000500,110.77
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000500,3375.86
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000500,402.03
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000500,4324.86
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Welford Ward,HCL NURSING,HNSI0000500,605.16
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000494,2093.86
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000494,726.13
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - East,HCL NURSING,HNSI0000494,18395.06
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - West,HCL NURSING,HNSI0000494,10523.05
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,Nurse - Band 6 -Agency,City West CMHT MHSOP,HCL NURSING,HNSI0000494,2116.04
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000494,213.27
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000494,1313.47
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000494,1068.46
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000494,1347.40
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000494,533.86
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000494,1780.75
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000494,875.59
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000494,2063.25
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Dalgliesh Ward,HCL NURSING,HNSI0000494,110.77
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Dalgliesh Ward,HCL NURSING,HNSI0000494,318.21
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,"East Planned Care - Oadby,Wigston & Harborough",HCL NURSING,HNSI0000494,3845.64
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000494,1469.91
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000494,1275.14
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,H&B Comm Hosp East Ward,HCL NURSING,HNSI0000494,-119.86
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000494,390.95
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000494,888.10
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Lough Swithland Ward,HCL NURSING,HNSI0000494,56.25
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000494,426.54
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000494,779.41
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,St Lukes Stroke Ward,HCL NURSING,HNSI0000494,26.23
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000494,650.65
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000494,2095.57
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000494,573.76
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000494,3633.62
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Welford Ward,HCL NURSING,HNSI0000494,1088.86
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,West Planned Care  - Charnwood Hub,HCL NURSING,HNSI0000494,1404.22
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Nurse - Band 6 -Agency,AMH - Central Access Point,HCL NURSING,HNSI0000510,3186.80
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Nurse - Band 6 -Agency,Adult City East CMHT - Merlyn Vaz,HCL NURSING,HNSI0000510,4986.35
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Nurse - Band 6 -Agency,Adult County Charnwood CMHT - Loughborough Base,HCL NURSING,HNSI0000510,1069.88
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Nurse - Band 6 -Agency,Adult County West Leicestershire CMHT,HCL NURSING,HNSI0000510,1069.88
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Agnes Unit Management,HCL NURSING,HNSI0000510,5435.70
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Agnes Unit Management,HCL NURSING,HNSI0000510,4898.12
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Ashby Ward (Bradgate Unit),HCL NURSING,HNSI0000510,319.70
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Aston Ward (Bradgate Unit),HCL NURSING,HNSI0000510,429.61
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Aston Ward (Bradgate Unit),HCL NURSING,HNSI0000510,644.78
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Beaumont Ward - Bradgate Unit,HCL NURSING,HNSI0000510,1001.57
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Beaumont Ward - Bradgate Unit,HCL NURSING,HNSI0000510,329.81
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Belvoir Psychiatric Intensive Care Unit,HCL NURSING,HNSI0000510,1110.27
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Belvoir Psychiatric Intensive Care Unit,HCL NURSING,HNSI0000510,676.53
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Nurse - Band 6 -Agency,Crisis Resolution,HCL NURSING,HNSI0000510,4419.90
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Griffin Ward (HPC),HCL NURSING,HNSI0000510,2672.54
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Heather Ward,HCL NURSING,HNSI0000510,426.54
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Heather Ward,HCL NURSING,HNSI0000510,329.81
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Nurse - Band 6 -Agency,Leicestershire Psych-oncology Service,HCL NURSING,HNSI0000510,427.95
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Nurse - Band 6 -Agency,Mental Health Triage Team,HCL NURSING,HNSI0000510,2066.79
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Mill Lodge,HCL NURSING,HNSI0000510,605.17
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Mill Lodge,HCL NURSING,HNSI0000510,624.96
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Stewart House,HCL NURSING,HNSI0000510,119.48
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 2 - AGENCY,Watermead Ward (Bradgate Unit),HCL NURSING,HNSI0000510,388.00
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,NURSE - BAND 5 - AGENCY,Watermead Ward (Bradgate Unit),HCL NURSING,HNSI0000510,939.19
Department of Health,Leicestershire Partnership NHS Trust,19/10/20,Patients_Money - LT1y - Stewart House.,Balance Sheet Collection,URGENT PAYMENTS,129839RMBURNETT,32312.63
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,GP IT Expenditure,Area Team,DELL COMPUTERS,7402651835,28980.00
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,GP IT Expenditure,Area Team,DELL COMPUTERS,7402651836,28980.00
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,GP IT Expenditure,Area Team,DELL COMPUTERS,7402651837,28980.00
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Med GP Trainees,Medical Trainees,ST.HELENS & KNOWSLEY NHS TRUST,16800176,75000.00
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Beaumont Leys Health Centre (P94, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,396.59
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Belgrave Health Centre (CHP),VIRGIN MEDIA BUSINESS,853083001/004/1020,341.57
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Bennion Centre (including Forest Grange Day Unit) (P8, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,7.74
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Bradgate Unit (including Glenvale day Unit) (P7, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,9419.41
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Braunstone Health and Social Care Centre (Part) (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,1095.06
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Bridge Park Plaza - First Floor (LPT),VIRGIN MEDIA BUSINESS,853083001/004/1020,4534.93
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Coalville Community Hospital (P138, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,1497.07
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Coalville Health Centre (P121, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,160.76
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,County Hall,VIRGIN MEDIA BUSINESS,853083001/004/1020,1157.28
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Estates & Facilities Central,VIRGIN MEDIA BUSINESS,853083001/004/1020,4966.59
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Evington Centre (P6, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,1878.24
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,HIS,VIRGIN MEDIA BUSINESS,853083001/004/1020,3571.78
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Hawthorne Centre - Coalville (P14, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,548.36
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Hinckley & District Hospital (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,1308.29
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Hinckley and Bosworth Community Hospital (Sunnyside) (P133, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,953.42
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Hood Park Leisure Centre Clinic,VIRGIN MEDIA BUSINESS,853083001/004/1020,23.22
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Hynca Lodge (P33, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,378.56
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Legion House, Ashby",VIRGIN MEDIA BUSINESS,853083001/004/1020,57.07
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Loughborough Health Centre (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,11.02
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Loughborough Hospital (P136, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,5166.62
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Mawson House (LPT),VIRGIN MEDIA BUSINESS,853083001/004/1020,530.83
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Melbourne Centre (Pt Grnd flr) (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,6.45
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Melton Mowbray Hospital (previously St. Mary's) (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,1737.35
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Merlyn Vaz Centre (CHP),VIRGIN MEDIA BUSINESS,853083001/004/1020,1537.01
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Mett Centre (P49, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,77.95
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,NSPCC Training Cente,VIRGIN MEDIA BUSINESS,853083001/004/1020,159.96
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,New Parks Health Centre (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,1769.17
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"OSL House (P54, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,2346.91
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Orchard Resource Centre (P15, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,811.19
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Pasley Road Health Centre (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,154.82
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Prince Philip House (P96, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,1544.60
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Rushey Mead Health Centre (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,104.03
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Shepshed Health Centre (P123, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,9.04
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Springfield Road Health Centre (P92, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,479.32
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"St Peters Health Center (Part 1st and 2nd floors) (P66, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,1932.89
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Stewart House (P61, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,7.74
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Swithland House - London Road 352 (P44, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,518.16
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"The Cedars (P19, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,819.43
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"The Willows - Cordelia Close (P22, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,450.62
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Uppingham Road Health Centre (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,242.02
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Valentine Centre (P3, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,2504.46
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Warren Park Way 25 (PROPCO),VIRGIN MEDIA BUSINESS,853083001/004/1020,737.26
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Westcotes Group -Westcotes House (P78, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,1707.47
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,Westcotes Health Centre (CHP),VIRGIN MEDIA BUSINESS,853083001/004/1020,896.64
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Landline Telephone Rental / Calls,"Winstanley Drive Health Centre (P8, LPT)",VIRGIN MEDIA BUSINESS,853083001/004/1020,469.40
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,CHP Estates Management,Merlyn Vaz Centre (CHP),COMM HLTH PARTNERSHIPS LTD,0060168853,31975.24
Department of Health,Leicestershire Partnership NHS Trust,20/10/20,Internal Printing (machines and ink),Estates & Facilities Central,LEXMARK INTERNATIONAL LTD,900650009145,33970.66
Department of Health,Leicestershire Partnership NHS Trust,21/10/20,GP IT Expenditure,Area Team,DELL COMPUTERS,7402652028,28980.00
Department of Health,Leicestershire Partnership NHS Trust,21/10/20,GP IT Expenditure,Area Team,DELL COMPUTERS,7402652026,28980.00
Department of Health,Leicestershire Partnership NHS Trust,21/10/20,GP IT Expenditure,Area Team,DELL COMPUTERS,7402652027,28980.00
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Beaumont Leys Health Centre (P94, LPT)",TOTAL GAS & POWER LTD,223213875/20,274.39
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Bradgate Unit (including Glenvale day Unit) (P7, LPT)",TOTAL GAS & POWER LTD,223213875/20,7869.73
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,Bridge Park Plaza - First Floor (LPT),TOTAL GAS & POWER LTD,223213875/20,482.07
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Bridge Park Road - Units 2 and 3 (P148, LPT)",TOTAL GAS & POWER LTD,223213875/20,150.16
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Coalville Community Hospital (P138, LPT)",TOTAL GAS & POWER LTD,223213875/20,4088.53
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Coalville Health Centre (P121, LPT)",TOTAL GAS & POWER LTD,223213875/20,255.13
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Evington Centre (P6, LPT)",TOTAL GAS & POWER LTD,223213875/20,478.32
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Farm Lodge (P34, LPT)",TOTAL GAS & POWER LTD,223213875/20,100.40
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Feilding Palmer Hospital (Lutterworth) (P131, LPT)",TOTAL GAS & POWER LTD,223213875/20,775.02
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Frith Cottages 3 & 4 (P36, LPT)",TOTAL GAS & POWER LTD,223213875/20,83.57
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,HIS,TOTAL GAS & POWER LTD,223213875/20,18.61
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Hawthorne Centre - Coalville (P14, LPT)",TOTAL GAS & POWER LTD,223213875/20,191.44
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Hinckley and Bosworth Community Hospital (Sunnyside) (P133, LPT)",TOTAL GAS & POWER LTD,223213875/20,2855.86
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Hynca Lodge (P33, LPT)",TOTAL GAS & POWER LTD,223213875/20,199.86
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"LGH - Gwendolen House (P4, LPT)",TOTAL GAS & POWER LTD,223213875/20,326.32
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Loughborough Hospital (P136, LPT)",TOTAL GAS & POWER LTD,223213875/20,17436.93
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Mett Centre (P49, LPT)",TOTAL GAS & POWER LTD,223213875/20,130.32
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Narborough Health Centre (P117, LPT)",TOTAL GAS & POWER LTD,223213875/20,200.09
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"OSL House (P54, LPT)",TOTAL GAS & POWER LTD,223213875/20,466.90
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Orchard Resource Centre (P15, LPT)",TOTAL GAS & POWER LTD,223213875/20,269.48
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Rubicon Close 3 (P56, LPT)",TOTAL GAS & POWER LTD,223213875/20,65.90
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Rutland Memorial Hospital (P134, LPT)",TOTAL GAS & POWER LTD,223213875/20,9071.06
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Shepshed Health Centre (P123, LPT)",TOTAL GAS & POWER LTD,223213875/20,244.19
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Springfield Road Health Centre (P92, LPT)",TOTAL GAS & POWER LTD,223213875/20,206.24
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Stewart House (P61, LPT)",TOTAL GAS & POWER LTD,223213875/20,1513.06
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Swithland House - London Road 352 (P44, LPT)",TOTAL GAS & POWER LTD,223213875/20,372.61
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"The Agnes Unit (AKA Assessment and Treatment Centre) (P85, LPT)",TOTAL GAS & POWER LTD,223213875/20,1520.66
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"The Cedars (P19, LPT)",TOTAL GAS & POWER LTD,223213875/20,107.38
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"The Grange 1 (P4, LPT)",TOTAL GAS & POWER LTD,223213875/20,72.47
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"The Grange 2 (P41, LPT)",TOTAL GAS & POWER LTD,223213875/20,96.98
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"The Willows - Cordelia Close (P22, LPT)",TOTAL GAS & POWER LTD,223213875/20,1411.75
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Westcotes Group -Westcotes House (P78, LPT)",TOTAL GAS & POWER LTD,223213875/20,430.64
Department of Health,Leicestershire Partnership NHS Trust,22/10/20,Gas,"Winstanley Drive Health Centre (P8, LPT)",TOTAL GAS & POWER LTD,223213875/20,215.57
Department of Health,Leicestershire Partnership NHS Trust,23/10/20,Electricity,Estates & Facilities Central,UHL NHS TRUST (RWE),L0245248,37515.15
Department of Health,Leicestershire Partnership NHS Trust,23/10/20,UHL Facilities Management SLA,Estates Central Invoices To Recharge,UHL NHS TRUST (RWE),L0245249,927445.43
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,Crs_NHS_LT1y -Resus Inventory Supplied.,Balance Sheet Collection,SUPPLY CHAIN CO LTD,1121118012,30528.09
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,Rent,"St Peters Health Center (Part 1st and 2nd floors) (P66, LPT)",LEICESTER LIFT CO,LEP1/SI0590,32920.14
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000504,432.73
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000504,891.46
