Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,0.32,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,21/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,138.00,21/11/2022-Hampton By Hilton Stockton On-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,21/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,158.00,21/11/2022-Hampton By Hilton Stockton On-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.80,23/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,92.50,23/11/2022-Premier Inn Stocktonontees Teess-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,1.60,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.25,02/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,35.00,02/11/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.25,15/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,35.00,15/11/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.80,16/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.25,16/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,35.00,16/11/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,130.50,16/11/2022-Village Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.16,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,01/12/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,26.20,01/12/2022-Bristol Temple Meads-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,08/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,26.20,08/11/2022-Bristol Parkway-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,08/12/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,35.00,08/12/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,10/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,18.10,10/11/2022-Bristol Parkway-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,15/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,26.20,15/11/2022-Bristol Parkway-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,15/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,49.20,15/11/2022-Bridgend-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,26.20,17/11/2022-Bristol Parkway-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,22/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,26.20,22/11/2022-Bristol Parkway-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,29/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,26.20,29/11/2022-Bristol Parkway-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,0.25,30/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Category and Continuous Improvement,Corporate Travel Management (North) Ltd,99861945,35.00,30/11/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Central Services Management,Corporate Travel Management (North) Ltd,99861945,5.00,21/09/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Central Services Management,Corporate Travel Management (North) Ltd,99861945,-72.50,21/09/2022-Nottingham-ZONE U1* LONDN-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Core Services,Corporate Travel Management (North) Ltd,99861945,0.25,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Core Services,Corporate Travel Management (North) Ltd,99861945,42.40,17/11/2022-Llanishen-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Corporate Finance,Corporate Travel Management (North) Ltd,99861945,0.25,30/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Corporate Finance,Corporate Travel Management (North) Ltd,99861945,35.00,30/11/2022-Pontypool And New Inn-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Management,Corporate Travel Management (North) Ltd,99861945,0.25,10/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Management,Corporate Travel Management (North) Ltd,99861945,40.70,10/11/2022-Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,0.08,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,158.70,17/11/2022-Swindon (wilts)-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,0.25,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,158.70,17/11/2022-Swindon (wilts)-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,0.08,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,158.70,17/11/2022-Swindon (wilts)-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,0.09,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,158.70,17/11/2022-Swindon (wilts)-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,0.25,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,158.70,17/11/2022-Swindon (wilts)-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,0.25,22/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,40.70,22/11/2022-Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,0.50,23/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,D&I Operations,Corporate Travel Management (North) Ltd,99861945,317.40,23/11/2022-Swindon (wilts)-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99861945,0.50,08/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99861945,40.70,08/11/2022-Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99861945,57.40,08/11/2022-Swansea-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99861945,0.50,15/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99861945,40.70,15/11/2022-Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,DDaT,Corporate Travel Management (North) Ltd,99861945,57.40,15/11/2022-Gowerton-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Executive Function,Corporate Travel Management (North) Ltd,99861945,0.25,16/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Executive Function,Corporate Travel Management (North) Ltd,99861945,56.60,16/11/2022-Andover-ZONE U1* LONDN-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.25,14/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,35.00,14/11/2022-Abergavenny-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.25,21/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,363.80,21/11/2022-Swindon (wilts)-Billingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.13,21/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,363.80,21/11/2022-Swindon (wilts)-Billingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.25,21/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,363.80,21/11/2022-Bristol Temple Meads-Billingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.12,21/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Ops,Corporate Travel Management (North) Ltd,99861945,363.80,21/11/2022-Swindon (wilts)-Billingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Training & Specialists,Corporate Travel Management (North) Ltd,99861945,0.25,29/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,HR Training & Specialists,Corporate Travel Management (North) Ltd,99861945,158.70,29/11/2022-Swindon (wilts)-London Zones 1-6-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,New System Evaluation,Corporate Travel Management (North) Ltd,99861945,0.25,15/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,New System Evaluation,Corporate Travel Management (North) Ltd,99861945,46.75,15/11/2022-Stonehouse-Reading Station-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,0.25,29/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,35.00,29/11/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,0.08,09/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,35.00,09/11/2022-Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,0.08,09/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,35.00,09/11/2022-Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,0.09,09/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,35.00,09/11/2022-Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99861945,0.25,08/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99861945,269.00,08/11/2022-Peterborough-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99861945,0.25,29/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99861945,77.90,29/11/2022-Nottingham-ZONE U12* LONDN-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Payroll,Corporate Travel Management (North) Ltd,99861945,5.00,21/09/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Payroll,Corporate Travel Management (North) Ltd,99861945,-71.60,21/09/2022-Swindon (wilts)-London Zones 1-6-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Procurement Policy & Strategy,Corporate Travel Management (North) Ltd,99861945,0.25,22/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Procurement Policy & Strategy,Corporate Travel Management (North) Ltd,99861945,35.00,22/11/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99861945,0.25,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99861945,112.00,17/11/2022-Chippenham-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99861945,0.25,17/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99861945,112.00,17/11/2022-Chippenham-London Paddington-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99861945,0.25,21/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Project Office,Corporate Travel Management (North) Ltd,99861945,84.20,21/11/2022-Swindon (wilts)-Reading Station-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,"Risk, Information & Security Compliance",Corporate Travel Management (North) Ltd,99861945,0.25,24/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,"Risk, Information & Security Compliance",Corporate Travel Management (North) Ltd,99861945,35.00,24/11/2022-Newport S.wales-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,SIAM,Corporate Travel Management (North) Ltd,99861945,0.25,10/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,SIAM,Corporate Travel Management (North) Ltd,99861945,40.70,10/11/2022-Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,SIAM,Corporate Travel Management (North) Ltd,99861945,0.25,22/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,SIAM,Corporate Travel Management (North) Ltd,99861945,40.70,22/11/2022-Cardiff Central-Swindon-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.25,21/11/2022---Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,363.80,21/11/2022-Swindon (wilts)-Billingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,0.25,28/11/2022---Rail Fee,BD1 5HQ
