Property Reference,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Liable From,RV,Property Description,Charity Y/N,Disc %,Mand %,SBRR Y/N,s44a Y/N,Hardship Y/N,Local Discount,Retail Relief Y/N
1.10E+13,BAMFORD CONTRACT SERVICES LTD   ,                                ,                                ,                                ,17 CHEETHAM STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,01.04.2005                                               ,9100,OFFICES AND PREMISES                                        ,N,0,0,Y,N,N,N,N
1.10E+13,21ST CENTURY TATTOO LTD         ,                                ,                                ,                                ,1-5 CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PQ,04.07.2008                                               ,6300,TATOO STUDIO & PREMISES                                     ,N,0,0,Y,N,N,N,N
1.10E+13,WATSON PROPERTY SERVICES LTD T/A,MARTIN & CO                     ,                                ,                                ,15B CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,01.01.2010                                               ,8400,SHOP AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1.10E+13,GAETANO HAIRDRESSING LIMITED    ,                                ,R/O 15                          ,                                ,CHEETHAM STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,01.07.2013                                               ,7600,SHOP AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1.10E+13,SCARSDALE SOLICITORS LTD        ,                                ,                                ,                                ,13 CHEETHAM STREET                 ,ROCHDALE                           ,                                ,                                ,OL16 1DG,01.05.2019                                               ,6000,SHOP AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1.10E+13,KEENANS ESTATE AGENTS LIMITED   ,                                ,                                ,                                ,11 CHEETHAM STREET                 ,ROCHDALE                           ,                                ,                                ,OL16 1DG,19.03.2019                                               ,5300,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.10E+13,BURFORD & BROOKS ESTATES LTD    ,                                ,                                ,                                ,15 CHEETHAM STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,02.10.2017                                               ,6400,SHOP AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1.10E+13,A PROPERTIES HOLDINGS LTD       ,                                ,SPREAD EAGLE 10                 ,                                ,CHEETHAM STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DL,07.04.2016                                               ,0,Property undergoing development                             ,N,0,0,N,N,N,N,N
1.11E+13,SUEZ RECYCLING AND RECOVERY     ,UK LTD                          ,G M WASTE DISPOSAL AUTHORITY    ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,01.06.2019                                               ,23250,CIVIC AMENITY SITE AND PREMISES                             ,N,0,0,N,N,N,N,N
1.11E+13,EDWARD KEIRBY & CO LTD          ,                                ,E KEIRBY AND CO LTD             ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,01.04.2005                                               ,29500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
110734000400X4     ,STEADPLAN LTD                   ,                                ,STEADPLAN LTD                   ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,27.04.2010                                               ,25250,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,JAMES GAUGHAN & SONS LTD        ,                                ,PLOT                            ,                                ,8 CHICHESTER STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,01.04.2005                                               ,10250,LAND USED FOR STORAGE AND PREMISES                          ,N,0,0,N,N,N,N,N
1.11E+13,JAMES GAUGHAN & SONS LTD        ,                                ,PLOT                            ,                                ,9 CHICHESTER STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,28.10.2011                                               ,7600,LAND USED FOR STORAGE AND PREMISES                          ,N,0,0,N,N,N,N,N
1.11E+13,ALLPARTS SCRAP METAL LTD        ,                                ,UNIT 10-11                      ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,01.04.2015                                               ,28000,SCRAP METAL / BREAKERS YARD AND PREMISES                    ,N,0,0,N,N,N,N,N
1107340011002B     ,ALTERNATIVE CONSTRUCTION        ,EDUCATION LTD                   ,                                ,                                ,COBURN'S HOUSE                     ,CHICHESTER STREET                  ,ROCHDALE                        ,                                ,OL16 2AU,01.05.2015                                               ,40000,WAREHOUSE AND PREMISES                                      ,Y,20,80,N,N,N,N,N
1.11E+13,HOVINGTON LTD                   ,                                ,                                ,                                ,5-7 CHICHESTER STREET              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,01.04.2005                                               ,43750,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.11E+13,TRELLEBORG ROCHDALE LIIMITED    ,                                ,UNIT 14 CHICHESTER BUSINESS     ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AR,19.07.2016                                               ,63500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,Y,N
1.11E+13,TAYLOR ENGINEERING & PLASTICS   ,(HOLDINGS) LTD                  ,TAYLOR ENGINEERING & PLASTICS   ,LTD                             ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2BD,01.04.2005                                               ,74000,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,Y,N
1107347194054A     ,DACHSER LTD T/A LEACH           ,DISTRIBUTION                    ,J A LEACH TRANSPORT LTD         ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 2AU,27.04.2010                                               ,207000,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.11E+13,BEVA INVESTMENTS LTD            ,                                ,OFFICE B CHICHESTER BUSINESS    ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AR,30.11.2012                                               ,11750,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.11E+13,AMTOLL LIMITED                  ,                                ,UNIT 12                         ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 2AR,01.03.2017                                               ,16000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,THE CHESHIRE & GREATER          ,MANCHESTER CRC LTD              ,UNIT 20 CHICHESTER              ,BUSINESS CENTRE                 ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AR,27.10.2016                                               ,43250,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.11E+13,BEVA INVESTMENTS LTD            ,                                ,                                ,                                ,UNIT 15C CHICHESTER BUSINESS CENTRE,CHICHESTER STREET                  ,ROCHDALE                        ,                                ,OL16 2AU,19.04.2019                                               ,12750,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,PARADOX IT LTD                  ,                                ,                                ,                                ,UNIT 15D CHICHESTER BUSINESS CENTRE,CHICHESTER STREET                  ,ROCHDALE                        ,                                ,OL16 2AU,01.05.2019                                               ,9200,Offices and Premises                                        ,N,0,0,Y,N,N,N,N
1.11E+13,CARTER COLLINS & MYER LIMITED   ,                                ,                                ,                                ,CAR SPACES 1-2                     ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,04.07.2016                                               ,400,Car Parking Spaces                                          ,N,0,0,N,N,N,N,N
1.11E+13,CARTER COLLINS & MYER LIMITED   ,                                ,                                ,                                ,CAR SPACES 15-16                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,04.07.2016                                               ,400,Car Parking Spaces                                          ,N,0,0,N,N,N,N,N
1.11E+13,CARTER COLLINS & MYER LIMITED   ,                                ,                                ,                                ,CAR SPACES 17-19                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,04.07.2016                                               ,600,Car Parking Spaces                                          ,N,0,0,N,N,N,N,N
1.11E+13,BEVA INVESTMENTS LTD            ,                                ,                                ,                                ,2ND FLOOR (LEFT)                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,20500,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,BEVA INVESTMENTS LTD            ,                                ,                                ,                                ,2ND FLOOR (RIGHT)                  ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,20500,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,BEVA INVESTMENTS LTD            ,                                ,                                ,                                ,ROOM 1 2ND FLOOR                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,2700,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,BEVA INVESTMENTS LTD            ,                                ,                                ,                                ,ROOM 2 2ND FLOOR                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,2850,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,BEVA INVESTMENTS LTD            ,                                ,OFFICE C CHICHESTER BUSINESS    ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AR,30.11.2012                                               ,20500,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.11E+13,NEMA LTD                        ,                                ,                                ,                                ,UNITS 15A 15B & 16                 ,CHICHESTER BUSINESS CENTRE         ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AR,01.04.2017                                               ,68000,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.11E+13,TAYLOR ENGINEERING & PLASTICS   ,(HOLDINGS) LIMITED              ,                                ,                                ,UNIT 9                             ,CHICHESTER BUSINESS CENTRE         ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AR,12.07.2017                                               ,7500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,SUEZ RECYCLING AND RECOVERY     ,UK LTD                          ,VIRIDOR WASTE RECYCLING         ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AU,01.06.2019                                               ,79000,WASTE TRANSFER STATION AND PREMISES                         ,N,0,0,N,N,N,N,N
1.11E+13,INKTECH LIMITED                 ,                                ,                                ,                                ,UNIT 8                             ,CHICHESTER BUSINESS CENTRE         ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AR,01.07.2017                                               ,15000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,GROUND FLOOR (LEFT)                ,CHICHESTER HOUSE                   ,2 CHICHESTER STREET             ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,20500,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,CARTER COLLINS & MYER LIMITED   ,                                ,                                ,                                ,GROUND FLOOR (RIGHT)               ,CHICHESTER HOUSE                   ,2 CHICHESTER STREET             ,ROCHDALE                        ,OL16 2AX,04.07.2016                                               ,20250,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,1ST FLOOR (LEFT)                   ,CHICHESTER HOUSE                   ,2 CHICHESTER STREET             ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,21750,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,1ST FLOOR (RIGHT)                  ,CHICHESTER HOUSE                   ,2 CHICHESTER STREET             ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,21750,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,MESS ROOM 1ST FLOOR                ,CHICHESTER HOUSE                   ,2 CHICHESTER STREET             ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,2850,MESS ROOM                                                   ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,OFFICE 1 1ST FLOOR                 ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,2850,Offices and Premises                                        ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,CAR SPACES 3-5                     ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,600,Car Parking Space and Premises                              ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNESHIP                  ,                                ,                                ,CAR SPACES 6-8                     ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,600,Car Parking Space and Premises                              ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,CAR SPACES 9-14                    ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,1200,Car Parking Space and Premises                              ,N,0,0,N,N,N,N,N
1.11E+13,FREUDENBERG HOUSEHOLD PRODUCTS  ,LTD PARTNERSHIP                 ,                                ,                                ,CAR SPACES 20-39                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.04.2015                                               ,4000,Car Parking Space and Premises                              ,N,0,0,N,N,N,N,N
1.11E+13,NEMA LTD                        ,                                ,                                ,                                ,CAR SPACES 40-49                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.11.2016                                               ,2000,Car Parking Space and Premises                              ,N,0,0,N,N,N,N,N
1.11E+13,NEMA LTD                        ,                                ,                                ,                                ,CAR SPACES 50-52                   ,CHICHESTER HOUSE                   ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AX,01.11.2016                                               ,600,Car Parking Space and Premises                              ,N,0,0,N,N,N,N,N
1.11E+13,GRAHAM POOLE ROAD TRANSPORT LTD ,                                ,                                ,                                ,REAR OF UNIT 10 AND BUILDINGS 11-14,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.08.2013                                               ,142000,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,Y,N
1.11E+13,AFFORD A STORE LTD              ,                                ,                                ,                                ,MANAGEMENT OFFICE BUILDING 1       ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.05.2017                                               ,3950,OFFICES AND PREMISES                                        ,N,0,0,Y,N,N,N,N
1.11E+13,MAILGRAIN LTD                   ,                                ,                                ,                                ,UNIT A BUILDING 2                  ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,27.04.2013                                               ,12500,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.11E+13,JAMES GAUGHAN & SONS LTD        ,                                ,                                ,                                ,UNIT B BUILDING 2                  ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.06.2015                                               ,12500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,GRAHAM POOLE ROAD TRANSPORT LTD ,                                ,                                ,                                ,BUILDING 9                         ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.09.2015                                               ,39500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,SNOOZELAND LTD                  ,                                ,                                ,                                ,UNITS 3-4 BUILDING 1 THE KLONDIKE  ,CHICHESTER STREET                  ,ROCHDALE                        ,                                ,OL16 2AU,10.10.2018                                               ,6100,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.11E+13,GLOBEPARK SOLUTIONS LIMITED     ,                                ,                                ,                                ,UNITS A & B BUILDING 1             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,07.05.2018                                               ,5100,OFFICES AND PREMISES                                        ,N,0,0,Y,N,N,N,N
1.11E+13,DIRECT SAMEDAY SERVICES (NW) LTD,                                ,                                ,                                ,UNITS E & F BUILDING 1             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,04.05.2015                                               ,3800,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.11E+13,FOOD SERVICE EQUIPMENT SPARES   ,LTD                             ,                                ,                                ,UNITS G & H BUILDING 1             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.11.2018                                               ,3700,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.11E+13,PGC ESTATES LTD                 ,                                ,                                ,                                ,UNIT J BUILDING 1 THE KLONDIKE     ,CHICHESTER STREET                  ,ROCHDALE                        ,                                ,OL16 2AU,01.04.2019                                               ,1750,OFFICES AND PREMISES                                        ,N,0,0,Y,N,N,N,N
1.11E+13,SOS ELITE LTD                   ,                                ,                                ,                                ,LEFT SIDE UNIT C BUILDING 2        ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,09.09.2013                                               ,5800,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.11E+13,FRUTIGER (UK) LTD               ,                                ,                                ,                                ,RIGHT SIDE UNIT C BUILDING 2       ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,09.09.2013                                               ,5400,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.11E+13,PAK KASHMIR CARGO SERVICES LTD  ,                                ,                                ,                                ,UNIT 2 BUILDING 1                  ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,13.02.2017                                               ,6700,Workshop and Premises                                       ,N,0,0,Y,N,N,N,N
1.11E+13,AFFORD-A-STORE LTD              ,                                ,                                ,                                ,YARD 1                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,16.05.2017                                               ,16500,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,GRAHAM POOLE ROAD TRANSPORT LTD ,                                ,                                ,                                ,YARD 17                            ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,15.08.2016                                               ,14000,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,AFFORD-A-STORE LTD              ,                                ,                                ,                                ,YARD 2                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,16.05.2017                                               ,21500,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,SOUNDS TRAVEL LTD               ,                                ,                                ,                                ,YARD 3                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.05.2018                                               ,1750,Land Used for Storage and Premises                          ,N,0,0,Y,N,N,N,N
1.11E+13,STONEACRE MOTOR GROUP LTD       ,                                ,                                ,                                ,YARD 4B                            ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.02.2017                                               ,2600,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,UTILITYPROVIDA LIMITED          ,                                ,                                ,                                ,YARD 5                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,04.10.2018                                               ,1775,Land Used for Storage and Premises                          ,N,0,0,Y,N,N,N,N
1.11E+13,APRITE (GB) LIMITED             ,T/A WESTWAY NISSAN              ,                                ,                                ,YARD 7                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,15.08.2016                                               ,4600,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,DIRECT SAME DAY SERVICES (NW)   ,LIMITED                         ,                                ,                                ,YARD 8                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.02.2017                                               ,7300,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,AFFORD-A-STORE LIMITED          ,                                ,                                ,                                ,YARD 10                            ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.04.2019                                               ,4200,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,AFFORD-A-STORE LIMITED          ,                                ,                                ,                                ,YARD 11                            ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.04.2019                                               ,4750,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,AFFORD-A-STORE LIMITED          ,                                ,                                ,                                ,YARD 12                            ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.04.2019                                               ,2700,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,AFFORD-A-STORE LIMITED          ,                                ,                                ,                                ,YARD 14                            ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.04.2019                                               ,750,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,AFFORD-A-STORE LTD              ,                                ,                                ,                                ,YARD 15                            ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,01.04.2019                                               ,8500,Land Used for Storage and Premises                          ,N,0,0,N,N,N,N,N
1.11E+13,REPAIR MAINTENANCE SOLUTIONS LTD,                                ,                                ,                                ,FRONT PT UNIT 10 THE KLONDIKE      ,CHICHESTER STREET                  ,ROCHDALE                        ,                                ,OL16 2AU,01.08.2013                                               ,34250,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,N,0,0,N,N,N,Y,Y
1.11E+13,OFFICE BLINDS AND GLAZING       ,LIMITED                         ,UNIT 6 CHICHESTER BUSINESS      ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AR,01.04.2005                                               ,21000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,OFFICE BLINDS AND GLAZING       ,LIMITED                         ,UNIT 5 CHICHESTER BUSINESS      ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 2AU,01.07.2008                                               ,11250,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,RICHMOND INTERIOR SUPPLIES LTD  ,                                ,UNIT 2-4 CHICHESTER BUSINESS    ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AR,01.12.2014                                               ,29250,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,BEVA BUILD LTD                  ,                                ,UNIT 1 CHICHESTER BUSINESS      ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,14.06.2017                                               ,8900,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
1.11E+13,NEMA LTD                        ,                                ,                                ,                                ,UNITS 10 & 11                      ,CHICHESTER BUSINESS CENTRE         ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AR,01.04.2017                                               ,18000,Workshop and Premises                                       ,N,0,0,N,N,N,N,N
1.11E+13,AMTOLL LTD                      ,                                ,UNIT 13 CHICHESTER BUSINESS     ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AR,01.04.2005                                               ,10750,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,ROCHDALE MBC                    ,                                ,RMBC                            ,                                ,CHURCH LANE                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NR,01.04.2005                                               ,2850,CAR PARK AND PREMISES                                       ,N,0,0,N,N,N,N,N
1107500002005B     ,MAKIN DIXON SOLICITORS LTD      ,                                ,                                ,                                ,7 CHURCH LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NR,17.08.2018                                               ,5800,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
110750000400XA     ,CENTURY DEVELOPMENTS & PROPERTY ,MANAGEMENT LTD                  ,                                ,                                ,19-21 CHURCH LANE                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NR,01.06.2018                                               ,0,PREMISES UNDER RE DEVELOPMENT TO DOMESTIC                   ,N,0,0,N,N,N,N,N
1.11E+13,FIRST 4 RECRUITMENT LTD         ,                                ,                                ,                                ,1A CHURCH LANE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NR,18.02.2017                                               ,4850,OFFICES AND PREMISES                                        ,N,0,0,Y,N,N,N,N
1.11E+13,ROCHDALE MBC                    ,                                ,RMBC UPPER                      ,BROADFIELD                      ,CHURCH LANE                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NR,01.04.2005                                               ,7600,CAR PARK AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.11E+13,ROCHDALE PETRUS COMM            ,                                ,                                ,                                ,1ST FLR CRAIGLEE HOUSE             ,25 CHURCH LANE                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1NR,01.04.2005                                               ,5200,OFFICES AND PREMISES                                        ,Y,20,80,N,N,N,N,N
1.11E+13,ROCHDALE PETRUS COMM            ,                                ,GND FLR CRAIGLEE HOUSE          ,                                ,25 CHURCH LANE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NR,01.04.2005                                               ,5300,OFFICES AND PREMISES                                        ,Y,20,80,N,N,N,N,N
1107850007001A     ,STEVEN BAINES OSTEOPATH LTD     ,                                ,                                ,                                ,34 CHURCH STILE                    ,ROCHDALE                           ,                                ,                                ,OL16 1QE,02.11.2007                                               ,4950,CONSULTING ROOMS AND PREMISES                               ,N,0,0,Y,N,N,N,N
1.11E+13,RECRUITMENT SOLUTIONS (NW) LTD  ,                                ,                                ,                                ,35 CHURCH STILE                    ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1QE,03.11.2007                                               ,5000,OFFICES AND PREMISES                                        ,N,0,0,Y,N,N,N,N
1.11E+13,SEEROS CENTRAL DAYCARE LIMITED  ,                                ,                                ,                                ,28 CHURCH STILE                    ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1QE,01.04.2016                                               ,5300,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.11E+13,STEPPING STONE PROJECT          ,                                ,ST. CHADS HOUSE                 ,                                ,32 CHURCH STILE                    ,ROCHDALE                           ,                                ,                                ,OL16 1QE,10.08.2009                                               ,19000,OFFICES AND PREMISES                                        ,Y,20,80,N,N,N,N,N
