Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,708.4
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,1119.21
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,693.99
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,648.55
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,688.43
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,655.64
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,723.83
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,822.14
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,668.82
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,804.11
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,936.6
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,703.39
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,770.76
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,631.03
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,1036.75
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,958.38
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,1210.26
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,763.56
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,980.38
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,1250.96
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,724.67
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,731.37
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,675.41
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,1146.61
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,897.85
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,822.7
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,947.57
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,539.73
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,634.86
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,954.61
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,640.45
Construction / Building Services,J Cooney Ltd,Highways & Transport Services,Capital Expenditure - Works,18/09/2017,1884.28
Construction / Building Services,J Cooney Ltd,Capital Expenditure,Capital Expenditure - Works,25/09/2017,19230.08
Construction / Building Services,J GREENWOOD (BUILDERS) LTD,Capital Expenditure,Capital Expenditure - Works,01/09/2017,2881.04
Construction / Building Services,J GREENWOOD (BUILDERS) LTD,Capital Expenditure,Capital Expenditure - Fees,29/09/2017,1031
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,01/09/2017,157505.95
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,06/09/2017,40137.61
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,06/09/2017,88467.61
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,13/09/2017,63523.2
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,12/09/2017,15789.4
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,12/09/2017,15809.92
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,18/09/2017,2101.12
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,20/09/2017,2831.88
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,14/09/2017,52338.15
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,22/09/2017,3529.51
Construction / Building Services,"JACKSON, JACKSON & SONS LTD",Capital Expenditure,Capital Expenditure - Works,20/09/2017,63037.87
Social Care Services,JAH-JIREH (CHARITY) HOMES,Adult Social Care,Care Payments,25/09/2017,-653.5
Social Care Services,JAH-JIREH (CHARITY) HOMES,Adult Social Care,Care Payments,25/09/2017,2017.4
Mobility Equipment / Supplies,JAMES LECKEY DESIGN LTD,Childrens & Educational Services,Furniture and Equipment,11/09/2017,2853
Mobility Equipment / Supplies,JAMES LECKEY DESIGN LTD,Childrens & Educational Services,Furniture and Equipment,11/09/2017,3479
Social Care Services,Jasmine House,Adult Social Care,Care Payments,25/09/2017,7440.2
Childcare Provision,Jennifer Hindle: Jenny's Childming,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1382.59
Equipment Supplies,Johnson Stalbridge Linen Services,Cultural & Related Services,Catering Supplies,15/09/2017,632.85
Design Services,Jon Roberts,Central Support Costs,Publicity and Promotion,07/09/2017,600
Construction / Building Services,Joseph Percival & Co,Central Support Costs,Repairs and Maintenance,28/09/2017,980
Construction / Building Services,JR FOY & SON LTD,Childrens & Educational Services,Repairs and Maintenance,06/09/2017,1920
Construction / Building Services,JR FOY & SON LTD,Capital Expenditure,Capital Expenditure - Works,15/09/2017,13158
Construction / Building Services,JR FOY & SON LTD,Capital Expenditure,Repairs and Maintenance,15/09/2017,4998.4
Construction / Building Services,JR FOY & SON LTD,Capital Expenditure,Repairs and Maintenance,29/09/2017,15980
Software Supplier,JTRS Ltd,Capital Expenditure,Information and Communications Technology,22/09/2017,8898.9
Software Supplier,JTRS Ltd,Capital Expenditure,Information and Communications Technology,22/09/2017,1529.17
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,21/09/2017,8824.86
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,-673.2
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,-653.5
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,-653.5
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,-3684.05
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,2823
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,2823
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,2753
Social Care Services,JTV CARE HOMES LTD,Adult Social Care,Care Payments,25/09/2017,16817
Childcare Provision,Jubilee Childcare (Pre-School) Ltd,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,5516.96
Sports/Outdoor Activities,Jump Heaven,Childrens & Educational Services,Publicity and Promotion,08/09/2017,1000
Childcare Provision,Just 4 Two's (Adswood),Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,21161.02
Childcare Provision,Just 4 Two's (Bridgehall),Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,14356.91
Charity/Third Sector,K & D Residents Committee,Corporate & Democratic Core,Publicity and Promotion,14/09/2017,500
Software Supplier,Kana Software Ireland Limited,Central Support Costs,Staff Training,20/09/2017,900
Software Supplier,Kana Software Ireland Limited,Central Support Costs,Staff Training,20/09/2017,900
Software Supplier,Kana Software Ireland Limited,Central Support Costs,Staff Training,28/09/2017,600
Arts / Cultural Services,Karen Allerton - Artist,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,22/09/2017,2500
Childcare Provision,Kathy's Caterpillars (CM Network),Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1875.51
Local Authority,KENT COUNTY COUNCIL,Central Support Costs,Third party payments - Public Sector,07/09/2017,1251
Social Care Services,Keswick Care Ltd,Childrens & Educational Services,Care Payments,27/09/2017,17500
Building Services,Kevin Dalton t/a Hazelwood Builders,Childrens & Educational Services,Care Payments,25/09/2017,7600
Retail Goods,KEYCRAFT,Cultural & Related Services,Publicity and Promotion,19/09/2017,160.8
Retail Goods,KEYCRAFT,Cultural & Related Services,Publicity and Promotion,19/09/2017,94.5
Retail Goods,KEYCRAFT,Cultural & Related Services,Publicity and Promotion,19/09/2017,377.28
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Care Payments,27/09/2017,14657.14
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Care Payments,27/09/2017,27000
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Care Payments,27/09/2017,17500
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Fees and Charges,29/09/2017,3150
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Fees and Charges,29/09/2017,3360
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Fees and Charges,29/09/2017,3990
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Fees and Charges,29/09/2017,3150
Childcare Provision,KEYS CHILDCARE LTD,Childrens & Educational Services,Fees and Charges,29/09/2017,2850
Engineering Services,KHites Limited,Capital Expenditure,Capital Expenditure - Works,28/09/2017,4785
Childcare Provision,Kiddie Kloud Day Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,9203.5
Childcare Provision,KIDS ALLOWED CHEADLE,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,89921.19
Childcare Provision,Kids Allowed Stockport,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,103904.21
Childcare Provision,Kids Planet Day Nurseries Limited,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,56336.4
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,11.49
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,67.2
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,42.4
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,13.36
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,82.52
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,523.16
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,31.5
Environmental Services,KILLGERM CHEMICALS LTD,Environmental & Regulatory Services,Furniture and Equipment,20/09/2017,7.36
Social Care Services,Kingsley Healthcare,Adult Social Care,Care Payments,25/09/2017,-3915.36
Social Care Services,Kingsley Healthcare,Adult Social Care,Care Payments,25/09/2017,8748
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,11/09/2017,1127.6
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,11/09/2017,5330
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,11/09/2017,-5330
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,11/09/2017,-1127.6
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,11/09/2017,5330
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,11/09/2017,1127.6
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,11/09/2017,21160
Advertising / Marketing,KMS Media,Childrens & Educational Services,Office Expenses,26/09/2017,1400
Office Equipment,KONICA MINOLTA BUSINESS SOLUTIONS (,Planning Services,Printing and Photocopying,01/09/2017,3863.01
Office Equipment,KONICA MINOLTA BUSINESS SOLUTIONS (,Planning Services,Printing and Photocopying,01/09/2017,-3947.13
Office Equipment,KONICA MINOLTA BUSINESS SOLUTIONS (,Planning Services,Printing and Photocopying,27/09/2017,6890.22
Office Equipment,KONICA MINOLTA BUSINESS SOLUTIONS (,Cultural & Related Services,Office Expenses,01/09/2017,1047.69
Office Equipment,KONICA MINOLTA BUSINESS SOLUTIONS (,Cultural & Related Services,Office Expenses,01/09/2017,1188.93
Social Care Services,L & M Healthcare Ltd,Adult Social Care,Care Payments,25/09/2017,2690
Education Services,LADYBARN HOUSE SCHOOL,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,44304.63
Childcare Provision,Ladybird Childcare Brinnington,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,27854.82
Education Services,Ladybird Childcare Ltd,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,40432.1
Landscape / Gardening,Landscape Engineering Ltd,Cultural & Related Services,Grounds Maintenance,28/09/2017,1290.4
Social Care Services,LANGLEY HOUSE TRUST (FLEETWOOD),Adult Social Care,Care Payments,18/09/2017,2560
Social Care Services,LANGLEY HOUSE TRUST (FLEETWOOD),Adult Social Care,Care Payments,22/09/2017,2560
Construction / Building Services,LAUDERDALE BUILDERS,Capital Expenditure,Capital Expenditure - Works,25/09/2017,7779
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,18/09/2017,3800
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,18/09/2017,3121.43
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,-609.75
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,-831.5
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,-1111.35
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,-2548.45
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,-5756.4
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,-1275.6
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,2823
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,5755
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,2503
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,5520
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,10995.72
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,33620
Social Care Services,LAUREL BANK,Adult Social Care,Care Payments,25/09/2017,5576
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,18/09/2017,3192.85
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,18/09/2017,5363.14
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,1903.15
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,-1909.6
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,-631.5
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,-654.45
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,-997.85
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,-2935.6
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,-989.93
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,3628.75
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,4459.75
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,2449.3
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,2372.65
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,775.25
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,6831.7
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,8180
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,-622.45
Social Care Services,LAUREL COURT,Adult Social Care,Care Payments,25/09/2017,2118.25
Local Authority,LEEDS CITY COUNCIL,Childrens & Educational Services,Care Payments,19/09/2017,24924
Communications and Technology,Legacy Telecom Ltd,Planning Services,Information and Communications Technology,15/09/2017,1200
Communications and Technology,Legacy Telecom Ltd,Planning Services,Information and Communications Technology,15/09/2017,10
Legal Services,Lena Amartey,Central Support Costs,Professional Fees,01/09/2017,962.5
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,21/09/2017,23904.64
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,-402.25
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,5191.5
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,-402.25
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,4243.9
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,-623.45
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,4340
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,-319.75
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,5027.7
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,-402.25
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,5492.95
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,-400.6
Social Care Services,LEONARD CHESHIRE DISABILITY,Adult Social Care,Care Payments,25/09/2017,4331.55
Publishing,LEXISNEXIS BUTTERWORTHS,Environmental & Regulatory Services,Furniture and Equipment,19/09/2017,6585.14
Professional / Consultancy Services,Libby Spencer - Housing,Housing (General Fund) Services,Agency Staff,14/09/2017,3147.58
Sports/Outdoor Activities,Life Leisure,Cultural & Related Services,Fees and Charges,12/09/2017,1100
Sports/Outdoor Activities,Life Leisure,Public Health,Service Contract Payments,08/09/2017,14759.28
Sports/Outdoor Activities,Life Leisure,Public Health,Service Contract Payments,15/09/2017,14857
Sports/Outdoor Activities,Life Leisure,Public Health,Service Contract Payments,15/09/2017,14857
Sports/Outdoor Activities,Life Leisure,Public Health,Service Contract Payments,21/09/2017,14759.28
Sports/Outdoor Activities,Life Leisure,Cultural & Related Services,Capital financing costs,21/09/2017,49655
Childcare Provision,Lilac Frog Day Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,45429.23
Translation / Interpreter,LINKUP TRANSLATION LTD,Childrens & Educational Services,Professional Fees,11/09/2017,540.76
Childcare Provision,LITTLE ACORNS,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,22121.16
Childcare Provision,LITTLE DARLINGS DAY NURSERY,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,23620.8
Childcare Provision,Little Faces Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,77122.24
Childcare Provision,Little Gems Childminding,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,515.25
Childcare Provision,Little Giggles Nursery Great Moor,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,3940.65
Childcare Provision,Little Giggles Private Day Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,87762.67
Childcare Provision,Little Giggles Private Day Nursery,Capital Expenditure,Third party payments - Private/Voluntary Sector,07/09/2017,23550
Childcare Provision,Little Green Day Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,38621.83
Childcare Provision,Little Green Day Nursery @ Scout Hu,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,40218.3
Childcare Provision,Little Legends Daycare LLP,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,29089.99
Childcare Provision,Little Legends Daycare LLP,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,27615.81
Childcare Provision,Little Peeps UK Ltd,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Social Care Services,LITTLE SISTERS OF THE POOR,Adult Social Care,Care Payments,25/09/2017,-665
Social Care Services,LITTLE SISTERS OF THE POOR,Adult Social Care,Care Payments,25/09/2017,2783.92
Childcare Provision,Little Tinkers Childminder,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,3438.44
Childcare Provision,Little Treasures Daycare,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,25501.05
Social Care Services,LIVABILITY,Adult Social Care,Care Payments,25/09/2017,-500.75
Social Care Services,LIVABILITY,Adult Social Care,Care Payments,25/09/2017,4740
ICT Supplies,LLOYDS BUSINESS COMMUNICATIONS LTD,Planning Services,Capital Expenditure - Works,01/09/2017,700
Charity/Third Sector,Loch Arthur Camphill Community,Adult Social Care,Care Payments,06/09/2017,2240
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,18/09/2017,2556.57
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,18/09/2017,1425
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,18/09/2017,3750.79
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,18/09/2017,9421.97
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,18/09/2017,5104
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,18/09/2017,1731.71
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,-25558.86
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,-535.95
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,100168.8
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,3221.25
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,3051
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,775.25
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,2082.1
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,531.6
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,25073.8
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,9413.75
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,775.25
Social Care Services,London and Manchester Healthcare(Ro,Adult Social Care,Care Payments,25/09/2017,775.25
Childcare Provision,LONG LANE PRE-SCHOOL,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,10353.49
Healthcare Supplies,Lynch Healthcare Ltd,Adult Social Care,Furniture and Equipment,21/09/2017,1511.46
Healthcare Supplies,Lynch Healthcare Ltd,Adult Social Care,Office Expenses,21/09/2017,35
Stationery Supplies,Lyreco UK Ltd,Childrens & Educational Services,Library Equipment,28/09/2017,508.5
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,7.78
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,6
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,0.96
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,18.54
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,21.91
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,14.71
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,34.6
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,39
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,29.8
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,0.44
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,0.44
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,254.13
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,178
Stationery Supplies,Lyreco UK Ltd,Central Services to the public,Office Expenses,28/09/2017,12.72
Estate Agent,MAIN & MAIN,Adult Social Care,Rents,08/09/2017,875
Local Authority,MANCHESTER CITY COUNCIL,Taxation & Non Specific Grant Income,Payments to central govt.,15/09/2017,113228
Local Authority,MANCHESTER CITY COUNCIL,Corporate & Democratic Core,Third party payments - Public Sector,19/09/2017,539224
Translation / Interpreter,MANCHESTER DEAF CENTRE LTD,Childrens & Educational Services,Professional Fees,04/09/2017,1353.99
Translation / Interpreter,MANCHESTER DEAF CENTRE LTD,Childrens & Educational Services,Professional Fees,28/09/2017,1882.8
Building Services,Manchester Security Fencing Ltd,Central Support Costs,Capital Expenditure - Works,28/09/2017,2550
Mobility Equipment / Supplies,MANGAR INTERNATIONAL LTD,Adult Social Care,Furniture and Equipment,07/09/2017,710
Mobility Equipment / Supplies,MANGAR INTERNATIONAL LTD,Adult Social Care,Office Expenses,07/09/2017,10.21
Construction / Building Services,MANOR HOME IMPROVEMENTS LTD,Capital Expenditure,Capital Expenditure - Works,25/09/2017,3735
Construction / Building Services,MANOR HOME IMPROVEMENTS LTD,Capital Expenditure,Capital Expenditure - Works,29/09/2017,3838
Social Care Services,MARIA MALLABAND LTD,Adult Social Care,Care Payments,25/09/2017,-1298.85
Social Care Services,MARIA MALLABAND LTD,Adult Social Care,Care Payments,25/09/2017,4375
Property Management,Market Place Management Ltd,Planning Services,Professional Fees,04/09/2017,5593
Property Management,Market Place Management Ltd,Planning Services,Professional Fees,04/09/2017,3862.5
Property Management,Market Place Management Ltd,Planning Services,Professional Fees,04/09/2017,500
Property Management,Market Place Management Ltd,Planning Services,Professional Fees,04/09/2017,363
Health Services,MARPLE BRIDGE SURGERY,Public Health,Publicity and Promotion,05/09/2017,1089
Professional / Trade Body,MARPLE BUSINESS FORUM,Corporate & Democratic Core,Publicity and Promotion,14/09/2017,500
Social Care Services,Marple Lodge Care Home,Adult Social Care,Care Payments,18/09/2017,2221.71
Social Care Services,Marple Lodge Care Home,Adult Social Care,Care Payments,25/09/2017,-845.71
Social Care Services,Marple Lodge Care Home,Adult Social Care,Care Payments,25/09/2017,-6357.7
Social Care Services,Marple Lodge Care Home,Adult Social Care,Care Payments,25/09/2017,2339.43
Social Care Services,Marple Lodge Care Home,Adult Social Care,Care Payments,25/09/2017,21997.29
