Entity,GL Date,Merchant name,Amount,Description
EA,20/05/2015,CREWSAVER,985.75,Six lifejackets and spare capsules and re-arming packs for Lower Colne team for incident response
EA,20/05/2015,CREWSAVER,1790.49,"Twelve lifejackets for Chichester Field Team, and rearming of gas canisters for twelve more"
EA,20/05/2015,CREWSAVER,557.64,Fees for eight people attending a one-day training course on Lifejacket Maintenance at Oxford Depot.  Included trainer's travel costs.
EA,20/05/2015,CSG Ltd Waste Serv,519.6,"Sewage removal from Allington Locks and No 3 Lock Cottage, Allington Lock Site"
EA,20/05/2015,D C HANDRAILS & IRONWO,1133.14,Handrailing tube for Dymchurch sea wall
EA,20/05/2015,D C HANDRAILS & IRONWO,1562.4,Key Klamp fittings for Dymchurch sea wall handrail
EA,20/05/2015,D C HANDRAILS & IRONWO,1114.56,Steel tube for Dymchurch sea wall handrail
EA,20/05/2015,D C HANDRAILS & IRONWO,1114.56,Hand rail for Dymchurch sea wall
EA,20/05/2015,DARCY PRODUCTS LTD,686.34,Pump service and spare parts for Hampshire Fire Rescue Service
EA,20/05/2015,DAVID MUSSON FENCING,1386.66,"Restock of timber, including rails and posts, for Rothley Depot"
EA,20/05/2015,DEBEN BUILDBASE,499.2,Sharp sand and cement for repairs to defence wall
EA,20/05/2015,DELICE DE FRANCE,928.8,"Breads, pastries and other food to be sold at the Thames Barrier Café"
EA,20/05/2015,DESURVEY PLC,1789.32,Temporary staff
EA,20/05/2015,DESURVEY PLC,1376.4,Temporary staff
EA,20/05/2015,DESURVEY PLC,864.3,Temporary staff
EA,20/05/2015,DESURVEY PLC,532.19,Temporary staff
EA,20/05/2015,DESURVEY PLC,1161.77,Temporary staff
EA,20/05/2015,DESURVEY PLC,813.1,Temporary staff
EA,20/05/2015,DESURVEY PLC,669.2,Temporary staff
EA,20/05/2015,DESURVEY PLC,662.86,Temporary staff
EA,20/05/2015,DESURVEY PLC,601.19,Temporary staff
EA,20/05/2015,DEVON 4X4 CENTRE LTD,815.5,"New strop for tractor winch, and an anti-fowling winching plate for Land Rover"
EA,20/05/2015,DHS TOOL SUPPLY CO LTD,533.16,22 chainsaw chains for Osney Stores
EA,20/05/2015,DIGITALID.CO.UK,613.2,Green net tags for printer
EA,20/05/2015,DORMAR PRODUCTS,876,Fibregrip panel to fix to steps to provide grip to prevent slips on wet steps
EA,20/05/2015,DORMAR PRODUCTS,622.8,Weed rakes for South Ferriby Depot
EA,20/05/2015,DRUCK LTD,775.2,Repair and calibration of equipment used to calibrate site level-monitoring equipment
EA,20/05/2015,DRUCK LTD,3672.96,"Ten pressure transducers for measuring water pressure and converting this value electronically to a water level shown and transmitted by telemetry from an outstation, for sites including Vinyl Sluice and Brede Sluice"
EA,20/05/2015,DRURYS TRANSPORT LTD,1268.28,Emptying of six skips from the Egmere Depot over a three-month period
EA,20/05/2015,E A TECHNOLOGY,750,Registration fees for one person to attend the National Electrical Industrial forum 
EA,20/05/2015,E PURSLOW & SON LTD,833.93,"Forty tonnes of Type 1 stone to Uckinghall for hardstanding at Uckinghall Flood Bank, at works to include the raising of flood bank"
EA,20/05/2015,E PURSLOW & SON LTD,741.92,Forty tonnes of aggregate to Kempsey to bank reinforcement and bed re-profiling
EA,20/05/2015,EAST ANGLIAN ELECTRICA,1213.32,Quarterly service of electro-fishing equipment
EA,20/05/2015,EASTERN CONCRETE,708,Concrete for hydrometry and telemetry base at Iceni House
EA,20/05/2015,EB CRAYFISH CONFERENC,730,Fees for two people to attend three-day National Crayfish Conference 2015
EA,20/05/2015,EB WORKFORCE PLANNING,747.5,Fee for one person attending a two-day Human Resources Society Workforce Planning Masterclass.  Included lunch and training materials.
EA,20/05/2015,EBSCO INTERNATIONAL IN,2410.63,Five copies of 'Archbold Criminal Pleading and Evidence 2015' publication required by Agency lawyers to undertake prosecutions
EA,20/05/2015,EDF ENERGY CUSTOMERS P,2480.19,Electricity supply to Lutra House -  1-28 February 2015
EA,20/05/2015,EEC,1826,One-day room hire plus lunch and refreshments for sixty people  attending a combined team briefing in London
EA,20/05/2015,EEF WOODLAND GRANGE,1365.12,One-day hire of three rooms plus lunch and refreshments for sixteen people attending a Personal Impact and Presence training course
EA,20/05/2015,ELECTRAFISH LIMITE,540,Quarterly electric fishing equipment safety checks
EA,20/05/2015,ELECTRAFISH LIMITE,540,Quarterly inspection and servicing of electric fishing equipment
EA,20/05/2015,ELECTRAFISH LIMITE,530.4,Repairs to one anode and two cathodes used during electric fishing as part of fish population surveys
EA,20/05/2015,ELECTRICAL LIGHTING SU,721.55,Water heaters and disabled pull extras for the Yalding volunteer project shower block build
EA,20/05/2015,ELECTRO FISHING SERVIC,617.18,Repairs to two anode switches and control modules used in fish surveys
EA,20/05/2015,ELECTRO FISHING SERVIC,739.8,Quarterly servicing costs for electric fishing equipment for the Kent and South London Fish Monitoring Team
EA,20/05/2015,ELECTRO FISHING SERVIC,852.3,"Quarterly servicing and repairs to electric fishing equipment in Northumberland, Durham and Tees area"
EA,20/05/2015,EM SUPPLIES,770.5,Seven standard handle sampling poles and seven one-litre sampling containers for Rotherham office
EA,20/05/2015,EMAP LTD AWARDS,1436.4,Fees for submitting three projects to the British Construction Industry awards
EA,20/05/2015,ENGLISH WOODLANDS,756.74,New hedging plants for Barcombe Mills fence line project
EA,20/05/2015,ENTERPRISE RENT-A-CAR,636.72,28-day hire of a six-seater workshop van
EA,20/05/2015,ERNEST DOE / SONS,521.85,"Two fuel cans, one five-litre can of black satinbarn paint, painting equipment and a broom head and handle for maintenance of the Upper Stour Ely Ouse gates"
EA,20/05/2015,ERNEST DOE POWER,598.23,"Stock fencing, staples and hand tools for use in the Sussex Ouse area"
EA,20/05/2015,EUROWASTE,821.69,Fee for one person to attend and present a paper at the Sardinia Waste Symposium 2015
EA,20/05/2015,EVANDER GLAZING &,3504,Final payment for replacement window and doors at Dog in a Doublet lock house
EA,20/05/2015,EVERARK WELDTRONICS LI,637.15,"Gas cutting gear equipment inspection, repair and certification for Haddiscoe Workshop and Suffolk Depots"
EA,20/05/2015,EXELIS VISUAL INFO SOL,2746.8,Annual renewal of maintenance and support for IDL and ENVI image processing software used for image analysis to turn image data into environmental land cover maps
EA,20/05/2015,EXETER MWSA,508.8,375.21 litres of diesel for an articulated lorry at Bradney Depot
EA,20/05/2015,EXPRESS VALVE SVCS,784.8,One 500mm flap valve
EA,20/05/2015,FAIRFIELD CONTRACT,1188,Temporary staff
EA,20/05/2015,FAIRFIELD CONTRACT,1188,Temporary staff
EA,20/05/2015,FAIRFIELD CONTRACT,1188,Temporary staff
EA,20/05/2015,FAIRFIELD CONTRACT,950.4,Temporary staff
EA,20/05/2015,FAIRFIELD CONTRACT,950.4,Temporary staff
EA,20/05/2015,FARNELL INTERNET,523.9,12V batteries for ongoing telemetry kiosk upgrades across the whole of the Kent and South London hydrometric monitoring network
EA,20/05/2015,FIXINGS & POWERTOOL CE,543.51,"Makita Sander including thirty sanding belts, two Makita 18V batteries and two battery chargers for Holmwood Depot"
EA,20/05/2015,FLOODGATE AMERICA,706.8,Floodgate for Crossmoor Pumping Station door
EA,20/05/2015,FORBOFLOORING.COUK,656.19,Carpet tiles for new meeting room
EA,20/05/2015,FRIENDS HOUSE,556.1,"One-day room hire plus lunch, refreshments and equipment for six people attending a Human Resources Strategy meeting and training session"
EA,20/05/2015,FRIENDS HOUSE,838.75,"One-day room hire plus lunch, refreshments and equipment for fifteen people attending a Research Project Progress meeting"
EA,20/05/2015,FRIENDS HOUSE,1416,"One-day room hire plus lunch, refreshments and equipment for 32 people attending a Resilience Team meeting"
EA,20/05/2015,FRIENDS HOUSE,1716,One-day room hire plus lunch and refreshments for 37 people attending a National Services Flood and Coastal Risk Management leadership meeting
EA,20/05/2015,FRIENDS HOUSE,558.4,One-day hire of two rooms plus lunch and refreshments for four people attending the recruitment process of a Deputy Director
EA,20/05/2015,FRIENDS HOUSE,1339.3,One-day room hire plus lunch and refreshments for 26 people attending an ASPIRE workshop
EA,20/05/2015,G CROOK & SONS,742.07,Portland stone for a trackway at Swanage Reservoir
EA,20/05/2015,GALGO UK LTD,562.8,Six ammonia field test kits for Derwent and Erewash Team
EA,20/05/2015,GATECGB LTD,3036,Heavy-duty racking system for flood stop logs in storage containers at Holme Sluices
EA,20/05/2015,GB HYDRAULICS(S'AM,1558.6,Sluice gate ram refurbish and two lock gate ram refurbishments for Abingdon Lock
EA,20/05/2015,GB HYDRAULICS(S'AM,1209.41,Ram bearings and one lock gate ram refurbishment
EA,20/05/2015,GB HYDRAULICS(S'AM,4317.4,"Two hydraulic control valves, two check valves, two new lock gate rams with eyes supplied and five bearings for refurbishment work at Abingdon Lock"
EA,20/05/2015,GB HYDRAULICS(S'AM,3189.77,Refurbishment and modification of five lock gate sluice rams at Romney Lock
EA,20/05/2015,GB HYDRAULICS(S'AM,1523.37,Refurbishment of two lock gate sluice rams and one gate operating ram at Marlow Lock site
EA,20/05/2015,GB HYDRAULICS(S'AM,1951.92,Refurbishment of two small lock gate rams and purchase of two large lock gate rams
EA,20/05/2015,GEORGE H CARNALL LEISU,1998.15,Yearly membership of heath centre for a Occupational Health programme for seven people
EA,20/05/2015,GEORGE LAW PLT LTD,657.4,"Hire of a dumper for remedial work to Kempsey flood scheme, South Worcestershire - 10 March-29 April 2015"
EA,20/05/2015,GLANVILLE CLEANSING,3470.71,Jet wash cleaning of cattle grids and survey of confined space entry of culvert
EA,20/05/2015,GLASDON U K LTD,932.4,Replacement lifebuoy covers for damaged and worn-out covers that are over 25 years old
EA,20/05/2015,GLOBALTELESAT,861.6,Rental deposit for satellite communications system for field trials
EA,20/05/2015,GODFREYS,900,1.8m ballast roller
EA,20/05/2015,GODFREYS,856.1,"Annual service of ride-on mower, including fitting new blades and repair to sump"
EA,20/05/2015,GPL,1284.72,"Manufacture and installation of gate end identification signage on each pier and gate end, North and South, at the Thames Barrier"
EA,20/05/2015,GPL,1188,Manufacture of health and safety caution signs with metal hanging straps for the Thames Barrier
EA,20/05/2015,GRAEME COOPER,1352.87,"Installation of electric supply to new biodiesel tank and additional electric sockets in container at Kings Lynn office, and the provision of additional health and safety lighting at Tail Sluice"
EA,20/05/2015,GRAPHIC AD,1440,Editing of Thames Barrier technical tour DVD for public information centre
EA,20/05/2015,GRAPHIC AD,936,Filming of Thames Barrier technical tour for public information centre
EA,20/05/2015,GRAPHIC AD,679.2,"Exhibition services for two contractors to travel, build and then dismantle an exhibition area for an open data lunch and learn in the atrium of Horizon House"
EA,20/05/2015,GRAPHIC AD,576,"Exhibition services for two contractors to travel, build and then dismantle an exhibition area for an open data workshop at Thames Barrier 'View' café"
EA,20/05/2015,GREYHOUND CHROM.,589.15,Quality standard reference materials and internal standards used in the analysis of triclosan by gas chromatography mass spectroscopy in routine waters
EA,20/05/2015,GUILDBOURNE PRINTING S,675,Printing fifty agenda and paper packs for the Southern Regional Flood and Coastal meeting
EA,20/05/2015,H M LAND REGISTRY,798,Land Registry searches for embankment repairs in Edenbridge
EA,20/05/2015,H M LAND REGISTRY,1307.4,Welwick Land Registry search
EA,20/05/2015,H. ELLIS & SONS(1899),986.98,Twelve two-inch union padlocks in size 428 and 206
EA,20/05/2015,H. ELLIS & SONS(1899),1664.16,Forty 428 padlocks for changing from 206s for increased security
EA,20/05/2015,HALL MANOR LTD,570,One-day lorry hire with driver for collection of stone chips from access tracks
EA,20/05/2015,HALL PLANT HIRE LTD,652.8,Repairs to hired plant safe unit following break-in
EA,20/05/2015,HEAVYHAUL /CHELMSF,514.08,One-day lorry hire with driver for moving storage container onto site
EA,20/05/2015,HEWARD & DEAN (BD) LTD,896.35,Tools and equipment for use in Field Teams during incident response and standby and maintenance in South East area
EA,20/05/2015,HEWARD & DEAN (BD) LTD,1166.32,"Incident response tools and equipment, including socket sets, ratchet spanners, security padlocks, stainless welding rods, heavy-duty degreaser, black cable ties and five long-handled lopper shears"
EA,20/05/2015,HEWARD & DEAN (BD) LTD,718.49,"Replacement tools for Amwell End Depot, including Makita drill set, pliers, drain rod set, drill bit set, club hammer, jack saw, junior hacksaw, fibreglass pick handle, trenching fork and two shovels"
EA,20/05/2015,Hilti (Gt. Britain) Lt,1068,Two cordless angle grinders used to remove wire from tractor flails and remove foreign padlocks
EA,20/05/2015,Hilti (Gt. Britain) Lt,1690.8,Hilti Diamond coring drill for core concrete in construction maintenance jobs
EA,20/05/2015,Hilti (Gt. Britain) Lt,662.94,"Sanding disc, P60 grit, three circular saw blades and an electric sander"
EA,20/05/2015,Hilti (Gt. Britain) Lt,732.78,Replacement Hilti tools for South Ferriby Depot 
EA,20/05/2015,Hilti Centre Plymouth,513.64,"Ten cartridges of injectable mortar, four hammer drill bits and one hundred screw anchors for Millbrook flood recovery scheme"
EA,20/05/2015,HILTON,694.61,Accommodation for one person for five nights whilst attending a European Standards Organisation meeting in Prague to discuss biological monitoring methods for implementation of the Water Framework Directive
EA,20/05/2015,HOBS REPROGRAPHICS PLC,676.8,Production of signs to inform the public during site investigation work for the River Thames Scheme
EA,20/05/2015,HOL INN BIRM CITY,1087,One-day hire of five rooms plus lunch and refreshments for twelve people attending a centralised National Permitting recruitment day for installations regime
EA,20/05/2015,HOL INN BIRM CITY,1200,Two-day room hire plus lunch and refreshments for fifteen people attending a Technical Leadership Pilot Programme
EA,20/05/2015,HOL INN BIRM CITY,726,"Two-day room hire plus lunch, refreshments and equipment for nine people attending an Area Leadership Team strategic meeting"
EA,20/05/2015,HOLIDAY INNS,7174.35,Accommodation for fifteen River and Coastal Foundation Degree trainees for five nights during Study Week at The University of the West of England 
EA,20/05/2015,HSE LIMITED,571.16,Two ten-tonne securing hooks fitted to the front of the new HGV low-loader trailer to enable the drivers to secure long-reach excavators from the front of the trailer
EA,20/05/2015,HSS HIRE GROUP LTD,800,Three-day hire of two compressors to power grease pumps to carry out lubrication of the flood gate operating chains on the Dartford Creek Barrier
EA,20/05/2015,HUBBLE & CO LTD,557.63,"Various bolts, nuts, washers and studding for structure maintenance in South East area"
EA,20/05/2015,HYDRO LOGIC LTD,1930.2,"Installation and calibration of a data logger and telemetry unit at New Mill Lane, Tamworth, used to measure the brook level and provide indication on whether the adjacent flood door is open or closed"
EA,20/05/2015,HYDROKIT,516.55,Replacement water meter for measuring ground water levels
EA,20/05/2015,HYDROKIT,922.41,Three daily splayed base copper raingauges which are used as part of a voluntary rainfall network
EA,20/05/2015,I M G LTD,1680.32,"Six cases of Biokill, twelve aerosols of Clear Reflections cleaner, four rolls of Great White Wipes and two hundred litres of vehicle detergent wash for Kettering Field Team vans and plant"
EA,20/05/2015,IAIN MACKIE LIMITED,834,Service of bio tank to keep up to safe condition and prevent corrosion
EA,20/05/2015,IAIN MACKIE LIMITED,552,Annual inspection by The Oil Firing Technical Association of two static fuel tanks
EA,20/05/2015,IET SERVICES LTD,1843.68,Two-day hire of six rooms plus lunch and refreshments for eleven Environment Agency and Local Authority assessors undertaking assessment of thirty candidates for the Foundation Degree programme
EA,20/05/2015,IET SERVICES LTD,576,One-day room hire plus lunch and refreshments for fifteen people attending a meeting on the Agile Improvement Project
EA,20/05/2015,IET SERVICES LTD,721.8,One-day room hire plus lunch and refreshments for twenty people attending an Introduction to Collaborative Working course
EA,20/05/2015,IMPLEMENTATION MANAGEM,2390.06,Fee for one person attending a four-day training course with one-to-one follow-up coaching and one-year access to research and online tools to gain Accelerated Implementation Methodology accreditation for taking businesses through transformational change on a short timescale
EA,20/05/2015,INTERLIFT,2953.91,Installation of a lifting beam onto a wagon for the safe lifting of a 24-inch emergency pump
EA,20/05/2015,INTERLINE SERVICES,4002.04,Two portable storage units for on-site secure storage of tools and equipment at Clyst Honiton Depot
EA,20/05/2015,IZ  CHILLED EVENTS LIM,1326,One-day room hire plus lunch and refreshments for forty people attending a Flood and Coastal Risk Management department meeting
EA,20/05/2015,J K H DRAINAGE UNITS L,1555.2,"Precast headwall with flap for erosion protection works at Coventry Road, Kingsbury"
EA,20/05/2015,J K H DRAINAGE UNITS L,780,Two newly designed rain gauge bases for testing
EA,20/05/2015,JACOBIJAYNE.CO.UK,1240.75,Twelve bat boxes with additional inspection hatch and four roosting blocks installed in the Esplanade culvert in Rochdale
EA,20/05/2015,JACTONE PRODUCTS LTD,1622.53,Public safety signs for Environment Agency-maintained assets to meet health and safety requirements
EA,20/05/2015,JACTONE PRODUCTS LTD,1952.78,Eighty Environment Agency logo signs for use on perimeter fencing in and around the Northwich flood defence scheme
EA,20/05/2015,JACTONE PRODUCTS LTD,556.63,Public safety signs for various locations in the Yorkshire area to make Environment Agency structures public safety compliant
EA,20/05/2015,JEREMY BENN ASSOC,504,Survey and planning of future maintenance and conservation work on the River Eau for Flood and Coastal Risk Management team
EA,20/05/2015,JEWSON LTD,2280.86,Timber for Goring weir fence construction
EA,20/05/2015,JEWSON LTD,3681.91,Concrete rocker pipes and fittings for replacement culvert at Northmoor
EA,20/05/2015,JEWSON NORTHIAM,738.48,"Cement to be used in various construction projects out of Rye Scots Float Depot, and geotextile membrane used to lay under a pumping station road as part of a maintenance programme"
EA,20/05/2015,JOHN FREEMAN SALES,628.97,Annual maintenance of a boat at Shepperton Lock
EA,20/05/2015,JOHN MILLER/CORSHAM/LT,1081.07,Servicing and parts for four chainsaws and four brushcutters
EA,20/05/2015,JOHNSONS MOVING SE,1793.87,"Transfer of furniture from storage to Lateral House, Leeds"
EA,20/05/2015,KASS STEEL STK HLDR LT,725.34,Hand railing for South Ferriby Depot for new and improved yard usage
EA,20/05/2015,KEMPSTON CONTROLS,925.92,Replacement undervoltage and mains monitoring relays at Leigh Barrier
EA,20/05/2015,KENT INVICTA CHAMBER O,1482.96,One-day room hire plus lunch and refreshments for seventy people attending a Team Leader and Area Management Team Leadership event
EA,20/05/2015,KENT INVICTA CHAMBER O,516.78,One-day room hire plus lunch and refreshments for 41 people attending a Flood and Coastal Risk Management Team Leader training day
EA,20/05/2015,KEYLINE,688.82,"Hazard tape, polypipe, buckets, couplings and tools for works at Huish"
EA,20/05/2015,KNIGHT FRANK,1500,Specialist valuation report to determine the potential adverse impact to the value of a Grade 2 listed property near to the sight of a planned flood defence scheme
EA,20/05/2015,KNOWLTON & NEWMAN,1086.89,"Portable Appliance Testing of environmental crime, environment management, and hydrology and telemetry electrical equipment"
EA,20/05/2015,KOREC,2334,Annual Norfolk Global Positioning System (GPS) Trimble licence
EA,20/05/2015,KROLL ONTRACK LIMITED,1387.38,Data recovery from a hard drive that had become corrupted containing photographs and information relating to the 2013-14 winter floods.
EA,20/05/2015,L & SONS (BECKENHA,1008,Disposal of rubbish removed from River Ravensbourne by lorry for recycling
EA,20/05/2015,LANCASHIRE CC (W),735.75,Footpath closure for Dock Bridge tidal desilt construction works
EA,20/05/2015,LEICA GEOSYSTEMS LIMIT,592.2,"Annual Leica maintenance package for Global Positioning System (GPS) survey equipment including service, software upgrades and customer support"
EA,20/05/2015,LINCOLN SECURITY LTD,2644.68,"Thirty Abloy 330-25 padlocks, one-inch high with 8mm diameter shackle, and ten Abloy 330-50 padlocks, two-inches high with 8mm diameter shackle, for the Mechanical, Electrical, Instrumentation, Control and Automation Team at Lincoln"
EA,20/05/2015,LINCOLN SECURITY LTD,690.96,Replacement padlocks for pipe line chambers on the Trent Witham Ancholme transfer scheme at Short Ferry
EA,20/05/2015,LITTLEWOOD FENCING,663.41,Installation of fifteen metres of post and rail fencing with stock netting at Tollgate Outfall
EA,20/05/2015,LODESTAR MARKETING,576,Fee for one person to attend a two-day UK water leakage conference.  Included lunches and refreshments.
EA,20/05/2015,LOXSTON GARDEN MACHINE,555.86,Servicing of two brushcutters at Bradney Depot
EA,20/05/2015,M K SCALES LTD,3905.88,Vehicle weighing pads and control unit for Chichester Depot to enable the testing of vehicles and trailers for weight limits and overloading
EA,20/05/2015,M U ENTERPRISES,643,"One-day room hire plus lunch, refreshments and equipment for ten people attending a meeting regarding an internal change project for staff and managers at the Thames Barrier"
EA,20/05/2015,M U ENTERPRISES,638.8,"One-day hire of two rooms, plus lunch and refreshments, for four interviewers carrying out London area Flood and Coastal Risk Manager interviews"
EA,20/05/2015,M U ENTERPRISES,819,"One-day room hire plus lunch, refreshments and equipment for 22 people attending an Industrial Emissions Directive Implementation Team meeting"
EA,20/05/2015,MACHINE MART LTD,793.14,Cement mixer for South Ferriby Depot
EA,20/05/2015,MALCOLM SMITH POWER CL,928.8,Pressure washer for Bell Weir lock
EA,20/05/2015,MASSON SEELEY & CO,1680,'Warning - Low Level' signage for lock structures on River Great Ouse
EA,20/05/2015,MASSON SEELEY & CO,726,Stanchions and signage for bank repairs
EA,20/05/2015,MASSON SEELEY & CO,1680,Twenty 'Low Level' signs
EA,20/05/2015,MASSON SEELEY & CO,954,Twenty 'Navigation Caution' signs for various lock sites along the Great Ouse system that can be changed and turned around depending on the state of the river
EA,20/05/2015,MAXWELLAMEN,879.54,Round up pro active for the use of spraying Japanese knotweed on river banks around the north west
EA,20/05/2015,MBS - CANTERBURY,902.93,Five cubic metres of Readymix concrete for parking bay
EA,20/05/2015,MBS - CANTERBURY,571.18,Four cubic metres of C25 concrete ramp for boat
EA,20/05/2015,MEMBRSH,648,"One-day room hire plus lunch, refreshments and equipment for twenty people attending a joint team meeting between the Water Resources Abstractor Management Team and the Abstraction Reform Team."
EA,20/05/2015,Mercure Wien City,512.43,Accommodation for one person for five nights while attending the International Atomic Energy Agency work on decommissioning and environmental remediation in Austria
EA,20/05/2015,MID UK RECYCLING LTD,690,Skips for Swineshead Depot
EA,20/05/2015,MILL HILL QUARRIES,632.4,Two tonnes of small building stone for Millbrook flood recovery scheme
EA,20/05/2015,MILLENNIUM HOTELS,1200,Two-day room hire plus lunch and refreshments for twenty people attending training on the Industrial Emissions Directive Cost-Benefit Assessment tool
EA,20/05/2015,MINES RESCUE SERVICE,686.4,Annual service of two confined-space breathing apparatus escape sets and three gas detectors
EA,20/05/2015,MMO,1400,"Marine licence for Swanscombe Marsh Outfall Structure works, North Kent"
EA,20/05/2015,MOLE VALLEY FEEDS SOL.,2322.5,Grass seed as part of works for engine rhyne desilting to re-seed areas of silt spreading to land
EA,20/05/2015,NATIONAL WATER SPO,525,One-day room hire plus refreshments for fifteen people attending a Flood and Coastal Risk Management Technical Leadership training day
EA,20/05/2015,NBBMATTING.CO.UK,2160,Installation of a canopy shelter at Alverdiscott Depot in North Devon to prevent rainwater ingress into Environment Agency property
EA,20/05/2015,NCH UK LTD,598.32,One hundred 100mm cutting discs for Gloucester Field Services Team
EA,20/05/2015,NEWEY & EYRE,2189.12,Twenty LED floodlights for King George V floodgate compound
EA,20/05/2015,NHBS LTD,1025.64,Fifteen handheld phosphate checkers and reagents to extend the range and quality of water quality testing
EA,20/05/2015,NHBS LTD,2366.66,"Various materials for the reconnecting Woodgate Valley biodiversity project including stream flow meter, dissolved oxygen meter, twelve large sampling trays, six bat boxes, twelve telescopic pond nets and a beginner's bat detecting kit"
EA,20/05/2015,NORTHERN POWERTOOLS &,1530,Portable generators for Abbeytown Depot
EA,20/05/2015,NORTHERN POWERTOOLS &,672,Power saw for Abbeytown Depot
EA,20/05/2015,NOVOTEL BIRMINGHAM CIT,670,"One-day room hire plus lunch and refreshments for five people, and accommodation for five people for one night, while attending a Service Delivery Management Team workshop"
EA,20/05/2015,OCEAN SCIENTIFIC INTL,618,High purity Atlantic seawater for use in analysis for quality and standards by Leeds Laboratory Organics Team
EA,20/05/2015,ORION HEATING,1804.8,Portable winch and two 50m winch ropes used for tree and blockage removal to prevent flooding
EA,20/05/2015,OTT HYDROMETRY LTD,1050.14,Repairs to two data loggers used for surface water readings
EA,20/05/2015,P TUCKWELL LTD,1354,Steel loader bucket to be used on tractors
EA,20/05/2015,PAREX LTD,618.44,Thirty 25kg bags of Tecfast concrete and five 25kg bags of rapid-setting high-build mortar for use on Carnwood Gauging Station scheme and Millbrook Flood Recovery Scheme
EA,20/05/2015,PARK INN YORK,957,One-day room hire plus lunch and refreshments for fifty people attending the April Yorkshire Regional Flood and Coastal Committee meeting 
EA,20/05/2015,PARMLEY GRAHAM LTD,1870.8,Upgrade of Supervisory Control and Data Acquisition dedicated software to allow the viewing of remote sites including King George V floodgate and Barking Barrier
EA,20/05/2015,PAYPAL  BRADANLIMIT,799.5,Vikron tablets for Hertfordshire and North London teams to disinfect for biosecurity purposes
EA,20/05/2015,PAYPAL  CHERWELLFIR,818.46,Fifteen different sized anti-slip cleats for Cley East Bank public safety work
EA,20/05/2015,PAYPAL  CIWEMSERVIC,1860.5,Two-day room hire plus lunch and refreshments for twenty people attending a UK Registry Administrators Due Diligence workshop
EA,20/05/2015,PAYPAL  CIWEMSERVIC,718.8,One-day room hire plus refreshments for nineteen people attending a Suppliers Building Information Modelling meeting
EA,20/05/2015,PCC FOR LANCASHIRE,3000,Funding for Local Resilience Forum Secretary Post 2015-16
EA,20/05/2015,PERSONNEL HYGIENE SERV,1570.6,Final payment following termination of a contract for three water coolers at Sentinel House
EA,20/05/2015,PHENOMENEX LTD,562.79,Analytical column for liquid chromatography instrument used in the analysis of glyphosates in routine waters
EA,20/05/2015,PHILLIPS ANIMAL HE,1059.23,Twelve gates and fifteen posts for various jobs in Shortferry Depot area
EA,20/05/2015,PIGGOTTS COMPANY LTD,978.43,Servicing of Thames Barrier flag masts and replacement halyards
EA,20/05/2015,PIPE/CLIMATE CENTER BW,3595.88,Kee klamp safety fencing to protect work area and machinery whilst working on and maintaining flood defence systems in Dorset
EA,20/05/2015,PITCHCARE ONLINE,642.65,Spray equipment for protecting public health and safety
EA,20/05/2015,PLAN TO DIG,896.92,Utility searches for earth works
EA,20/05/2015,PLUMBINGIT LTD,1200,"Replacement shower cubicle, shower and plumbing repairs to Pinkhill Lock mess room"
EA,20/05/2015,PLVGeorge Utterson Ele,516.96,Repairs to store lights and floodlights at Romsey
EA,20/05/2015,PLVGeorge Utterson Ele,859.08,Reactive electrical works carried out in Romsey server room following failure
EA,20/05/2015,POWERHOUSE MARINE LTD,688,Two drysuits for Cramlington Depot
EA,20/05/2015,PREMIER HOSE TECH,564.6,Tool tags for Lifting Operations and Lifting Equipment Regulations tagging of equipment
EA,20/05/2015,PRESS TO PRINT,1108,"45 copies of approximately one hundred A4 and A3 documents printed, folded and bound into a wire-ring booklet for an external meeting with the Thames Regional Flood and Coastal Committee"
EA,20/05/2015,PRINTERBASE,865.31,Eleven replacement ink cartridges for printer in Duty House
EA,20/05/2015,PRIORY ROOMS (BULL STR,702,One-day room hire plus lunch and refreshments for thirty people attending a quarterly National Investigation Team meeting
EA,20/05/2015,PRIORY ROOMS (BULL STR,510,One-day room hire plus lunch and refreshments for fourteen people attending a Water Quality Regime Leadership Team meeting in Birmingham
EA,20/05/2015,PROACTIVE UK LTD,4980.56,Recording equipment for filming flood and coastal risk management schemes for training purposes
EA,20/05/2015,PS MARSDEN LMOWER SVS,713.5,"Servicing of five strimmers from Derbyshire, Nottinghamshire and Leicestershire area"
EA,20/05/2015,PSI MARINE LIMITED,2419.24,"Garmin fish finder sonar chart plotter with charts and transducer with receiver used to find, view and provide sonar pictures used by Environment Agency patrol boat"
EA,20/05/2015,PTE,636.51,"Four flood-it work lights, four spare batteries and two five-metre ratchet strap stanchions"
EA,20/05/2015,R & S PAINE,1387.2,Electrical repairs to Strand Quay toilet heating and column lighting at visitors' jetty
EA,20/05/2015,R W GREEN LIMITED,2886,Tree planting and stump grinding in south shore gardens at the Thames Barrier
EA,20/05/2015,RADMORE & TUCKER,684.04,"Servicing of three brushcutters, one hedge trimmer and one blower"
EA,20/05/2015,RED SNAPPER LTD,1376.56,Temporary staff
EA,20/05/2015,RED SNAPPER LTD,724.5,Temporary staff
EA,20/05/2015,RED SNAPPER LTD,693.46,Temporary staff
