Supplier Name,Company Registration Number,Supplier Postcode,UID,Council,Contract Status,Classification,Name,Route to Market,Contract Type Detail,Start Date,End Date,Annual Contract Value (average),Value,Customer Name
Insight Direct,-,S9 2BU,8691,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Network monitoring service,-,Contract,01/09/2020,01/09/2021,"£38,986.75","£38,986.75","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
CRIF Decision Solutions Ltd,-,EC2M 1RX,8706,Stockport Metropolitan Council,Live,200000 - Financial Services,Claims Underwriting Claims Provider,-,Contract,01/10/2020,01/10/2023,"£3,300.00","£9,900.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Looking Local Ltd,-,HD1 2NF,8728,Stockport Metropolitan Council,Live (On-going),270000 - Information Communication Technology,Scan Station Installation and Subscription,-,Contract,19/10/2020,18/10/2021,"£22,000.00","£66,000.00","Stockport Metropolitan Borough Council, Place, People, Corporate and Support Services, Adult Social Care, Public Health, Childrens Social Care , SPEND Hub, ICT, Education, HR Services, Insurance, Revenues and Benefits, Accountancy, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration, Estates and Asset Management"
Shoppertainment Management Ltd,-,M2 2BY,8735,Stockport Metropolitan Council,Live (On-going),291000 - Arts & Leisure Services - Events,The Management & Promotion of Stockport Town Centre managed Sites,RBS - Low/Med - Simple (RFQ),Concession,01/04/2021,,"£56,400.00","£169,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Be the Best Communications Ltd,-,-,8849,Stockport Metropolitan Council,Live,150000 - Consultancy,Communications Consultant,-,Contract,01/04/2021,31/03/2022,"£30,000.00","£28,920.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Marketing Stockport Ltd,-,SK7 5DP,8864,Stockport Metropolitan Council,Live (On-going),150000 - Consultancy,MDC Marketing and Communications Support,RBS - Low - Quick Quote,Contract,15/02/2021,15/02/2023,"£12,000.00","£24,000.00",Stockport Metropolitan Borough Council
Manchester Deaf Centre,-,M13 9GH,8897,Stockport Metropolitan Council,Live (On-going),261100 - Human Resources - Interpretation & Translation,British Sign Language,RBS - Low/Med - Simple (RFQ),Contract,01/07/2021,30/06/2024,"£12,987.00","£38,961.00","Stockport Metropolitan Borough Council, Education"
Manchester Deaf Centre,-,M13 9GH,8897,Stockport Metropolitan Council,Live (On-going),261100 - Human Resources - Interpretation & Translation,Provision of Communication Support,RBS - Low/Med - Simple (RFQ),Contract,01/07/2021,30/06/2024,"£12,987.00","£38,961.00","Stockport Metropolitan Borough Council, People"
behavioural insights team,-,SW1H 9NP,8901,Stockport Metropolitan Council,Live (One Off),"150000 - Consultancy, 151900 - Consultancy - Management",Care Leavers Work Experience LGA Behavioural Insights Project,-,Contract,11/06/2021,31/12/2021,"£35,425.00","£35,425.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
Environmental Health on the Move Ltd,-,PR26 7ST,8913,Stockport Metropolitan Council,Live,150000 - Consultancy,Licensing Project Officer,RBS - Low - Quick Quote,Contract,01/04/2021,01/10/2021,"£23,000.00","£23,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Design by Future,-,WA1 1NN,8936,Stockport Metropolitan Council,Live (One Off),150000 - Consultancy,One Stockport - Design and Marketing Partner,RBS - Low - Quick Quote,Contract,16/04/2021,30/04/2022,"£90,000.00","£90,000.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
ECS Consultants,-,SK8 2DP,8961,Stockport Metropolitan Council,Live,"391500 - Works - Construction, Repair & Maintenance - Consultancy",Mechanical & Electrical Design Services for Schools Capital Program,Call Off (External),Contract,01/06/2021,01/12/2022,"£97,595.00","£180,000.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
Rider Levett Bucknall UK Ltd.,-,B3 2BH,8962,Stockport Metropolitan Council,Live,"391114 - Works - Construction, Repair & Maintenance - Buildings - Surveys",Building Surveying Design Services for Schools Capital Program,Call Off (External),Contract,01/06/2021,01/12/2022,"£71,029.60","£160,000.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
Hatch Associates Ltd,-,EC4A 3AG,8988,Stockport Metropolitan Council,Live (One Off),"150000 - Consultancy, 151900 - Consultancy - Management",Stockport Economic Plan,-,Contract,28/06/2021,31/12/2021,"£62,080.00","£62,080.00","Stockport Metropolitan Borough Council, Economy, Work and Skills"
Planit-IE Ltd Manchester Studio 2 Back Grafton Street Altrincham Cheshire WA14 1DY,-,WA14 1DY,8994,Stockport Metropolitan Council,Live (On-going),151911 - Consultancy - Management - Organisation & Planning,Re-work Stockport Residential Design Guide,Exemption,Contract,01/09/2021,30/11/2021,"£13,200.00","£13,200.00","Stockport Metropolitan Borough Council, Development and Regeneration"
Project Plan Services,-,LS15 4LG,8997,Stockport Metropolitan Council,Live (On-going),271440 - Information Communication Technology - Software,Portfolio Project Management (PPM) Tool,Call Off (External),Call-off Contract,28/06/2021,27/06/2023,"£29,500.00","£59,000.00","ICT, STAR"
Npower,-,WF17 9NE,9067,Stockport Metropolitan Council,Live,370000 - Utilities,Supply of Electricity Half Hourly,-,Contract,01/09/2019,30/08/2022,"£1,678,000.00","£5,034,000.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
TG&Power,-,NG17 2JZ,9068,Stockport Metropolitan Council,Live,370000 - Utilities,Supply of Electricity Non Half Hourly,-,Contract,01/09/2019,30/08/2022,"£610,000.00","£1,830,000.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Gazprom,-,M15 4RP,9069,Stockport Metropolitan Council,Live,370000 - Utilities,Supply of Gas 2,-,Contract,01/10/2019,30/09/2022,"£833,000.00","£2,499,000.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
The Fountain Company,-,SK13 1BE,9115,Stockport Metropolitan Council,Live,181900 - Environmental Services - Testing & Inspection,Fountain Repair & Maintenance 1,-,Contract,01/11/2020,31/10/2024,"£13,461.00","£53,844.00","Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Conlon Construction,-,PR5 6BE,9148,Stockport Metropolitan Council,Live,"390000 - Works - Construction, Repair & Maintenance",Stockport School Condition Works,-,Contract,01/04/2020,01/09/2022,"£320,940.49","£320,940.50",Place
Seddon Construction,-,BL4 0NN,9151,Stockport Metropolitan Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance",Great Moor Infants - Electrical Works,-,Contract,31/05/2021,10/06/2022,"£230,000.00","£230,000.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
J Greenwood Builders Ltd,-,M24 1SW,9163,Stockport Metropolitan Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance",Ludworth Primary School- Extension,RBS - Low/Med - Simple (RFQ),Contract,18/10/2021,17/10/2022,"£1,765,050.00","£1,765,050.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
Rider Levett Bucknall UK Ltd.,-,B3 2BH,9182,Stockport Metropolitan Council,Live,150000 - Consultancy,"Lisburne SEND - Project Manager, Quantity Surveyor and Employers Agent Services",-,Contract,12/05/2020,31/08/2022,"£60,586.00","£136,320.00",Place
Broadgrove Planning and Development Ltd,-,SK8 5AF,9183,Stockport Metropolitan Council,Live,150000 - Consultancy,Planning Consultant Services for the the delivery of the new build Lisburne SEND Primary School,-,Contract,17/03/2020,16/03/2022,"£12,249.00","£24,999.00",Corporate and Support Services
H.H. Smith & Sons Co Ltd,-,M45 7AY,9187,Stockport Metropolitan Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance",Winters 23-27 Little under bank,-,Contract,01/03/2021,01/11/2021,"£600,000.00","£600,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Belle Vue (Mcr) Ltd,-,SK4 5DZ,9218,Stockport Metropolitan Council,Live,361300 - Public Transport - Passenger Transport,School Swimming Transport (2020),-,Contract,01/09/2020,31/08/2022,"£132,732.25","£265,464.50",Education
ISG Construction,-,EC3N 1AG,9260,Stockport Metropolitan Council,Live,"390000 - Works - Construction, Repair & Maintenance",Lisburn SEND Primary School,-,Contract,30/10/2020,29/09/2023,"£1,344,244.72","£12,500,000.00","Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
J Hopkins (Contractors) Ltd,1112562,-,9349,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Planned Structural Maintenance,OJEU Tender,Contract,01/01/2021,31/12/2024,"£500,000.00","£5,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Eurovia Infrastructure Ltd,7388667,-,9350,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Surface Dressing/ Slurry/Micro Seal,OJEU Tender,Contract,01/01/2021,31/12/2024,"£1,500,000.00","£15,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Tarmac Ltd,-,M6 6JH,9351,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Surfacing,-,Framework Agreement,01/01/2021,31/12/2024,"£3,000,000.00","£30,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
WJ North Ltd,2884681,-,9352,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Lining,OJEU Tender,Contract,01/01/2021,31/12/2024,"£100,000.00","£1,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
WJ North Ltd,2884681,-,9353,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Anti-Skid/Coloured Surfacing,OJEU Tender,Contract,01/01/2021,31/12/2024,"£100,000.00","£1,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Jones Lighting,-,-,9354,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Street Lighting and Signing,OJEU Tender,Contract,01/01/2021,31/12/2024,"£500,000.00","£5,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
George Cox and Sons Ltd,-,BL4 7QF,9355,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Civils,-,Framework Agreement,01/01/2021,31/12/2024,"£3,000,000.00","£30,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Sapphire Utility Solutions Ltd,8368213,-,9356,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",CCTV – Jetting/Inspection,OJEU Tender,Contract,01/01/2021,31/12/2024,"£100,000.00","£1,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
George Cox and Sons Ltd,-,BL4 7QF,9357,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Structures Maintenance <£50k,-,Framework Agreement,01/01/2021,31/12/2024,"£150,000.00","£1,500,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Bethell Constructions Ltd,-,M26 1GE,9358,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Structures >50k <500k,-,Framework Agreement,01/01/2021,31/12/2024,"£500,000.00","£5,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Story Contracting Ltd,-,-,9359,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Structures >500k,OJEU Tender,Contract,01/01/2021,31/12/2024,"£1,000,000.00","£10,000,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Pavement Testing Services Ltd,-,-,9360,Stockport Metropolitan Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Coring,OJEU Tender,Contract,01/01/2021,31/12/2024,"£30,000.00","£300,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Wave,-,EH7 4NS,9375,Stockport Metropolitan Council,Live (On-going),371300 - Utilities - Water,Supply of Water and Ancillary Services in Stockport,Call Off (External),Call-off Contract,01/09/2021,30/04/2024,"£1,061,720.00","£3,185,160.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
Permicoat Ltd,-,PR1 5LN,9389,Stockport Metropolitan Council,Live,"390000 - Works - Construction, Repair & Maintenance",Re-roofing of Avondale Leisure Centre,-,Contract,03/05/2021,03/09/2021,"£489,746.83","£489,746.80",Stockport Metropolitan Borough Council
PP O'Connor,-,M17 1GJ,9447,Stockport Metropolitan Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance",Lisburne SEND Demolition,RBS - Low/Med - Simple (RFQ),Contract,15/06/2021,15/08/2021,"£151,080.57","£151,080.60","Stockport Metropolitan Borough Council, Neighbourhoods"
Groundwork Landscapes Limited,-,BL8 4NR,9482,Stockport Metropolitan Council,Live,"391310 - Works - Construction, Repair & Maintenance - Open Spaces - Construction",St Thomas Speedway Velodrome Fencing,-,Contract,14/06/2021,16/08/2021,"£32,755.00","£32,755.00",Stockport Metropolitan Borough Council
Truline Construction & Interior Services,2131606,WN5 0LD,9492,Stockport Metropolitan Council,Live,"391111 - Works - Construction, Repair & Maintenance - Buildings - Repair & Maintenance",Music Services at Werneth YPC – Refurbishment works,-,Contract,15/09/2021,29/10/2021,"£58,743.16","£58,743.16",Stockport Metropolitan Borough Council
Colas Ltd,-,RH10 4NF,9507,Stockport Metropolitan Council,Live (One Off),"391300 - Works - Construction, Repair & Maintenance - Open Spaces, 391310 - Works - Construction, Repair & Maintenance - Open Spaces - Construction","Mini Competition under Lot 2 ( Slurry Sealing, Microasphalt & Surface Dressing ) of the Highways Related Services Framework",Mini Competition (Internal),Contract,15/09/2021,13/03/2022,"£642,215.15","£642,215.10","Stockport Metropolitan Borough Council, Neighbourhoods"
Draft Fabrications Limited,-,OL14 1LE,9508,Stockport Metropolitan Council,Live,"391110 - Works - Construction, Repair & Maintenance - Buildings - Construction",Market Place Fire Escape,-,Contract,01/09/2021,29/10/2021,"£10,600.00","£10,600.00",Stockport Metropolitan Borough Council
BikeRight! Ltd,-,M5 3EQ,10011,Stockport Metropolitan Council,Live (On-going),171011 - Education - School Services,Bikeability Cycle Training - Stockport (2),-,Contract,01/09/2020,31/03/2023,"£120,000.00","£120,000.00","Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
N-Compass,-,-,10020,Stockport Metropolitan Council,Live (One Off),321000 - Social Community Care Supplies & Services - Adult,Independent Mental Capacity Advocacy service 2,OJEU Tender,Contract,01/04/2020,31/03/2025,"£88,739.00","£298,198.00","Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Stockport Advocacy,-,SK1 3DL,10030,Stockport Metropolitan Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Statutory Advocacy Services,-,Contract,01/04/2020,31/03/2023,"£280,000.00","£1,400,000.00","Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
SH:24,-,SE1 7JB,10035,Stockport Metropolitan Council,Live,310000 - Healthcare,HIV Self-Sampling Service (Public Health England) 2,-,Framework Agreement,01/10/2019,31/03/2022,"£8,703.00","£21,757.50","People, Adult Social Care, Childrens Social Care , Education"
Together Trust,301722,SK8 1JE,10041,Stockport Metropolitan Council,Live,401501 - Social Community Care Supplies & Services - Children - Support Services & Advocacy Services,"SEND Information, Advice and Support Service (SENDIASS)",-,Contract,01/04/2021,31/03/2023,"£90,000.00","£180,000.00",Education
Project Inc,-,M13 9PL,10136,Stockport Metropolitan Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,SEN Post 16,-,Contract,01/09/2020,21/07/2021,"£25,000.00","£25,000.00","Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Progress Schools,-,L3 1BP,10138,Stockport Metropolitan Council,Live,321100 - Social Community Care Supplies & Services - Children,Block-purchase of 15 full-time educational placements for children with SEMH,-,Contract,01/09/2020,31/08/2021,"£300,000.00","£300,000.00",Education
Ross Auto Engineering Ltd T/a Ross Care,-,SK16 4PW,10199,Stockport Metropolitan Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living 2,-,Contract,01/04/2021,31/03/2026,"£429,072.86","£2,145,364.00","Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Pennine Care NHS Foundation Trust,8436885,OL6 7SR,10228,Stockport Metropolitan Council,Live (One Off),311600 - Healthcare - Services,Part Time Clinical Psychologist,-,Contract,01/09/2020,30/08/2022,"£42,914.00","£85,828.00","Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Liberty Support Services,-,OL9 0EW,10277,Stockport Metropolitan Council,Live,321000 - Social Community Care Supplies & Services - Adult,Provision of supported living services 2,-,Contract,17/09/2018,16/09/2021,"£112,910.78","£451,643.10","People, Adult Social Care, Childrens Social Care , Education"
Pure Innovations Ltd,-,SK7 5ER,10295,Stockport Metropolitan Council,Live,321100 - Social Community Care Supplies & Services - Children,Independent Travel Training 2021 - Stockport,-,Contract,16/10/2021,31/08/2022,"£135,000.00","£119,000.00",Education
KIDS,-,N1 8HX,10320,Stockport Metropolitan Council,Live,322002 - Social Community Care Supplies & Services - Children - Early Intervention Health Services - Advice & Counselling,Mediation and Disagreement Resolution Service 2021,-,Contract,04/05/2021,31/03/2024,"£5,000.00","£15,000.00",Education
The Proud Trust,-,M15 6SE,10434,Stockport Metropolitan Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Stockport Youth LGBT Provision,Procured by Other,Contract,01/04/2021,31/03/2024,"£9,652.00","£9,652.00","Stockport Metropolitan Borough Council, Childrens Social Care"
Rider Levett Bucknall UK Ltd.,-,B3 2BH,11004,Stockport Metropolitan Council,Live (One Off),150000 - Consultancy,11004 - Quantity Surveying and Employers Agent services - CAMHS,RBS - Low/Med - Simple (RFQ),Contract,31/08/2021,31/03/2022,"£14,700.00","£14,700.00","Stockport Metropolitan Borough Council, Development and Regeneration"
CJ Founds Associates,-,CH64 4 AD,11011,Stockport Metropolitan Council,Live (One Off),"270000 - Information Communication Technology, 271440 - Information Communication Technology - Software",Deep Dive for Superfast Broadband Project Closure,RBS - Low - Quick Quote,Contract,01/05/2021,31/12/2021,"£20,000.00","£20,000.00","Stockport Metropolitan Borough Council, ICT"
Genesis Steel,-,WA9 3NP,11012,Stockport Metropolitan Council,Live (One Off),151510 - Healthcare - Public Health,UV Room Sanitiser,-,Contract,21/06/2021,21/09/2021,"£9,000.00","£9,000.00","Stockport Metropolitan Borough Council, Public Health"
Venn Group,-,M2 5ND,11026,Stockport Metropolitan Council,Live (One Off),261300 - Human Resources - Recruitment & Assessment,Litigation Locum,-,Contract,21/07/2021,29/07/2022,"£90,000.00","£90,000.00","Stockport Metropolitan Borough Council, HR Services"
CDW Limited,-,EC4M 9AF,11034,Stockport Metropolitan Council,Live (One Off),202100 - Financial Services - Subscriptions,Nuntanix Subscription - Ransomware Protection Contract,Call Off (External),Call-off Contract,01/10/2021,30/09/2022,"£72,181.50","£72,181.50","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management, STAR"
Stockport NHS Foundation Trust,-,SK2 7JE,-,Stockport Metropolitan Council,Live,401409 - Social Community Care Supplies & Services - Children - Specialist Needs - Speech & Language,Provision of Speech and Language Services for Virtual School Team,-,Contract,01/04/2021,31/03/2022,"£22,957.00","£22,957.00",Education
The Networking People Ltd,-,LA1 3PE,-,Stockport Metropolitan Council,Live (On-going),"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services",Managed Security Service,Call Off (External),Call-off Contract,01/10/2021,30/09/2024,"£54,300.00","£90,500.00","STAR, Finance and Systems"
Arrow County Supplies,-,SY3 9AE,-,Stockport Metropolitan Council,Live,"130000 - Cleaning & Janitorial, 131000 - Cleaning & Janitorial - Cleaning Materials, 131010 - Cleaning & Janitorial - Cleaning Materials - Chemical, 131011 - Cleaning & Janitorial - Cleaning Materials - Janitorial",Janitorial Supplies,-,Call-off Contract,01/03/2020,28/02/2022,"£80,000.00","£80,000.00",SPEND Hub
Various Suppliers,-,Various,-,Stockport Metropolitan Council,Live,321200 - Social Community Care Supplies & Services - Children - Disabled Children,The provision of Short Breaks for children and young people with disabilities,-,Flexible Purchasing System,01/11/2019,31/08/2026,,"£5,400,000.00",Childrens Social Care
Various Suppliers,-,Various,-,Stockport Metropolitan Council,Live,321117 - Social Community Care Supplies & Services - Children - Residential Services - Residential Care,2018 North West Residential Placements FPS,-,Flexible Purchasing System,04/01/2018,04/01/2028,£0.00,"£57,890,620.00",Childrens Social Care
Various Suppliers,-,Various,-,Stockport Metropolitan Council,Live,401305 - Social Community Care Supplies & Services - Children - Residential Services - Semi-Independent Living & Leaving Care,2020 North West Regional Supported and Independent Living Services (SAILS) FPS (16+),-,Flexible Purchasing System,01/01/2020,31/12/2029,£0.00,£0.00,"Adult Social Care, Childrens Social Care"
Various Suppliers,-,Various,-,Stockport Metropolitan Council,Live,401303 - Social Community Care Supplies & Services - Children - Residential Services - Foster Care,2018 North West Foster Care FPS,-,Flexible Purchasing System,04/01/2018,03/01/2028,£0.00,"£16,273,320.00",Childrens Social Care
Pure Insight,-,SK7 5ER,-,Stockport Metropolitan Council,Live,401501 - Social Community Care Supplies & Services - Children - Support Services & Advocacy Services,Care Leavers Mentoring and Forum Service,-,Contract,01/04/2020,31/03/2023,"£47,400.00","£142,200.00",Childrens Social Care
Depaul UK,2440093,SE1 4QQ,-,Stockport Metropolitan Council,Live,321899 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Not Elsewhere Classified,Post 18 Supported Accommodation support,-,Contract,20/01/2020,19/01/2023,£0.00,"£525,000.00",Childrens Social Care
ATG Access Ltd,-,WA11 9TP,-,Stockport Metropolitan Council,Live,230000 - Highway Equipment & Materials,Automatic Bollards in Stockport Town Centre,-,Contract,10/06/2019,09/06/2024,"£8,000.00","£40,421.00",Place
Crossroads,-,BL2 6PH,-,Stockport Metropolitan Council,Live,321810 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Extra Care,Extra Care Housing Support Lot 1,-,Please Select,01/11/2019,31/08/2022,"£493,517.28","£1,974,069.00",Adult Social Care
Human Support Group,-,M20 3JG,-,Stockport Metropolitan Council,Live,321810 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Extra Care,Extra Care Housing Support Lot 2,-,Please Select,05/11/2020,31/08/2022,"£312,678.76","£1,250,715.00",Adult Social Care
Crossroads,-,BL2 6PH,-,Stockport Metropolitan Council,Live,321810 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Extra Care,Extra Care Housing Support Lot 3,-,Contract,01/11/2019,31/08/2022,"£501,599.37","£2,006,398.00",Adult Social Care
Creative Support,0027440IP,SK1 3TS,-,Stockport Metropolitan Council,Live,321810 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Extra Care,Extra Care Housing Support Lot 4,-,Contract,01/11/2019,31/08/2022,"£501,599.37","£2,006,398.00",Adult Social Care
Royal Mencap Society,-,M14 7HR,-,Stockport Metropolitan Council,Live,321800 - Social Community Care Supplies & Services - Adult - Independent Supported Living,Supported Living phase 7,-,Contract,01/08/2020,01/07/2021,"£443,850.00","£443,850.00","Stockport Metropolitan Borough Council, Adult Social Care"
Creative Support,0027440IP,SK1 3TS,-,Stockport Metropolitan Council,Live,321800 - Social Community Care Supplies & Services - Adult - Independent Supported Living,Supported Living phase 10,-,Contract,27/07/2017,28/07/2021,"£451,825.03","£1,807,300.00","Stockport Metropolitan Borough Council, Adult Social Care"
Stockport Advocacy,-,SK1 3DL,-,Stockport Metropolitan Council,Live,"321010 - Social Community Care Supplies & Services - Adult - Advice, Advocacy & Counselling Services, 401501 - Social Community Care Supplies & Services - Children - Support Services & Advocacy Services",Statutory Advocacy Contract,-,Contract,01/04/2020,31/03/2023,"£280,000.00","£840,000.00",Stockport Metropolitan Borough Council
Pennine Care NHS Foundation Trust,8436885,OL6 7SR,-,Stockport Metropolitan Council,Live,321020 - Social Community Care Supplies & Services - Adult - Alcohol & Drug Rehabilitation,Clinical psychology lead for the Family Drug and Alcohol Court,-,Contract,01/09/2020,31/12/2022,"£42,494.00","£84,987.00","Stockport Metropolitan Borough Council, Adult Social Care, Childrens Social Care"
Family Action,-,N1 7GR,-,Stockport Metropolitan Council,Live,321111 - Social Community Care Supplies & Services - Children - Specialist Needs - Adoption Services,Special Guardianship Support Service,-,Contract,31/07/2020,31/07/2021,"£4,950.00","£4,950.00",Childrens Social Care
Depaul UK,2440093,SE1 4QQ,-,Stockport Metropolitan Council,Live,321119 - Social Community Care Supplies & Services - Children - Youth Services - Youth Offending Services,PACE bed (GM contract),-,Contract,15/08/2020,14/08/2021,"£3,536.00","£3,536.00",Childrens Social Care
Welfare Call,-,S72 8RP,-,Stockport Metropolitan Council,Live,401501 - Social Community Care Supplies & Services - Children - Support Services & Advocacy Services,Attendance and Exclusion Monitoring Service for Looked After Children 2020,-,Contract,01/04/2020,31/03/2022,"£10,803.31","£21,606.62",Education
Togetherall Ltd,-,EC4Y 8BQ,-,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Digital Mental Health Service,-,Call-off Contract,14/04/2021,13/04/2022,"£57,962.50","£57,962.50","Stockport Metropolitan Borough Council, People, Adult Social Care, ICT"
