Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,6510,Contract Costs,27/10/2016,0000203324,69433.88,Capital,Szerelmey Conservation Ltd,14193
Rushmoor Borough Council,Community,2549,Materials,27/10/2016,0000203327,1513.06,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,27/10/2016,0000203328,336.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Democratic Services,1327,Security Services,27/10/2016,0000203330,546.98,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2537,Security Services,27/10/2016,0000203331,2228.52,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2518,Snap Discos,20/10/2016,0000203333,854.75,Revenue,Tango Security Ltd,01412
Rushmoor Borough Council,Democratic Services,1327,Postages,27/10/2016,0000203334,4750.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Community,2517,Electricity,27/10/2016,0000203337,384.59,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Electricity,27/10/2016,0000203338,402.38,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2537,Electricity,27/10/2016,0000203339,453.29,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1212,Electricity,27/10/2016,0000203348,405.78,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2551,Gas,27/10/2016,0000203361,3090.62,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3305,Gas,27/10/2016,0000203366,701.32,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3304,Network Software,27/10/2016,0000203370,1684.00,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,6518,Contract Costs,27/10/2016,0000203371,4922.60,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Legal,1208,Security Alarm,27/10/2016,0000203373,552.36,Revenue,Orbis Protect Ltd,06771
Rushmoor Borough Council,Community,2517,Prospect Trees,27/10/2016,0000203376,1046.67,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Community,2518,Payment to Artistes,27/10/2016,0000203381,519.36,Revenue,Stage Electrics,07262
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,27/10/2016,0000203384,447.85,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Community,2540,Temporary Traffic Order Advertisements,27/10/2016,0000203385,385.30,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Information Technology,3306,Temporary Staff,27/10/2016,0000203390,1202.76,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3306,Temporary Staff,27/10/2016,0000203392,902.07,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2537,Telecommunications,27/10/2016,0000203397,273.21,Revenue,O2 Uk Ltd,04540
Rushmoor Borough Council,Community,2538,Telecommunications,27/10/2016,0000203397,333.93,Revenue,O2 Uk Ltd,04540
Rushmoor Borough Council,Community,2549,Leasing Charges,27/10/2016,0000203398,1812.80,Revenue,Hampshire Transport Management,12676
Rushmoor Borough Council,Community,2517,Licences,27/10/2016,0000203399,5643.00,Revenue,Public Sector Software Ltd,05171
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,27/10/2016,0000203410,1500.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Community,2517,Car Park Widening,27/10/2016,0000203411,1900.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Strategy and Communiations,1415,Occupational Health,27/10/2016,0000203412,490.48,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Community,2517,Playground Apparatus,27/10/2016,0000203415,1744.99,Revenue,Sutcliffe Play Ltd,14337
Rushmoor Borough Council,Democratic Services,1327,Postages,27/10/2016,0000203422,1242.43,Revenue,Neopost Finance Limited,01283
Rushmoor Borough Council,Community,2518,Refreshment Purchases,27/10/2016,0000203425,421.23,Revenue,Consort Frozen Foods Ltd,00260
Rushmoor Borough Council,Information Technology,3304,Network Software,27/10/2016,0000203447,2184.00,Revenue,Organised Computer Systems Ltd,13751
Rushmoor Borough Council,Information Technology,3304,Computer Consumables,27/10/2016,0000203449,827.10,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,Gov Connect,27/10/2016,0000203452,2175.00,Revenue,Nta Monitor Limited,13953
Rushmoor Borough Council,Community,2549,Skilled Up Project Costs,27/10/2016,0000203461,283.92,Revenue,Jewsons,00520
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,27/10/2016,0000203464,798.00,Revenue,Barony Consulting Group,14341
Rushmoor Borough Council,Community,2518,Refreshment Purchases,27/10/2016,0000203470,513.90,Revenue,Bentons,12526
Rushmoor Borough Council,Planning,2611,Conferences and Seminars,27/10/2016,0000203473,1568.20,Revenue,Pos Enterprises Ltd,09614
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,06/10/2016,0080008176,462.54,Capital,In Touch,11912
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,06/10/2016,0080008177,3854.50,Capital,Spc Bathrooms Ltd,14307
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,06/10/2016,0080008184,3710.91,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,06/10/2016,0080008185,9505.00,Capital,R H Collings & Son,12238
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,06/10/2016,0080008186,1295.00,Capital,Liftability Limited,03780
Rushmoor Borough Council,Community,2551,Medical Reference Fees,06/10/2016,0080008188,2432.00,Revenue,Dr R W Ainsworth,01521
Rushmoor Borough Council,Community,2551,Organists Fees,06/10/2016,0080008189,1430.00,Revenue,S & J Lacey Ltd,01519
Rushmoor Borough Council,Community,2551,Organists Fees,06/10/2016,0080008190,1562.00,Revenue,Mr T Sturt,05535
Rushmoor Borough Council,Community,2513,Grant Towards Green Renewal,06/10/2016,0080008199,1000.00,Revenue,Farnborough Bowling Club,01797
Rushmoor Borough Council,Control Accounts,9343,Rowhill Samm Contributions,06/10/2016,0080008200,14571.00,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9377,Southwood 2 Samm Contributions,06/10/2016,0080008201,3457.00,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9378,Hawley Meadows Sang Contributions,06/10/2016,0080008202,195910.00,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9378,Hawley Meadows Sang Contributions,06/10/2016,0080008203,21428.31,Control Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Planning,2608,Building Control Fee Repaid,13/10/2016,0080008204,608.00,Revenue,Hart District Council,01423
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,13/10/2016,0080008215,3156.00,Capital,J P C Property Services Limited,13113
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,13/10/2016,0080008216,893.75,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,13/10/2016,0080008219,3580.00,Capital,Simon Hutchings Building And Maintenance,04786
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,13/10/2016,0080008220,4146.40,Capital,Spc Bathrooms Ltd,14307
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,13/10/2016,0080008221,770.40,Capital,Guardwell Securities,10684
Rushmoor Borough Council,Democratic Services,1327,Postages,13/10/2016,0080008228,1500.00,Revenue,Dx Network Services Limited,00441
Rushmoor Borough Council,Control Accounts,9350,Grant Towards Lamp Posts,13/10/2016,0080008229,2000.00,Control Accounts,Farnborough Street Residents Association,14323
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,13/10/2016,0080008239,1995.00,Capital,Handicare Accessibility Ltd,13797
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,13/10/2016,0080008240,3836.00,Capital,Harts Construction Ltd,14094
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,06/10/2016,0080008242,1492.50,Revenue,Chilli Residential,13416
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,06/10/2016,0080008242,995.00,Control Accounts,Chilli Residential,13416
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,20/10/2016,0080008245,4350.00,Capital,Mr S K Lunn,12915
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,20/10/2016,0080008246,522.00,Capital,In Touch,11912
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,20/10/2016,0080008247,460.32,Capital,In Touch,11912
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,20/10/2016,0080008257,1160.00,Capital,Handicare Accessibility Ltd,13797
Rushmoor Borough Council,Community,2537,Car Park Refunds,20/10/2016,0080008262,12189.50,Revenue,Shaftesbury Investments Ltd,13992
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,20/10/2016,0080008270,284.06,Capital,In Touch,11912
Rushmoor Borough Council,Community,2508,Grant for Storage Container,20/10/2016,0080008272,3133.68,Revenue,St Michaels Pre School,14332
Rushmoor Borough Council,Customer Services,3811,Rent Allowances,27/10/2016,0080008273,266.40,Revenue,Guildford Borough Council,06884
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,27/10/2016,0080008274,1238.00,Revenue,Romans Lettings,07217
Rushmoor Borough Council,Environmental Health and Housing,2206,H&S Course,27/10/2016,0080008281,500.00,Revenue,Mike Wilcock Consulting,14189
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,27/10/2016,0080008283,1480.00,Capital,Liftech Systems Ltd,14344
Rushmoor Borough Council,Community,2551,Abatement Provision,21/10/2016,0080008292,42744.00,Revenue,Cameo,13129
Rushmoor Borough Council,Community,6573,Contract Costs,21/10/2016,0080008293,54500.00,Capital,Hm Revenue & Customs,00489
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,27/10/2016,0080008297,3927.00,Capital,Kincliff Ltd,08941
Rushmoor Borough Council,Community,6580,Contract Costs,27/10/2016,0080008299,5750.00,Capital,Suez R & R,14343
Rushmoor Borough Council,Customer Services,3811,Rent Allowances,27/10/2016,0080008302,1885.00,Revenue,Hml Andertons,12425
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,25/10/2016,0080008303,1425.00,Revenue,Spicerhaart Residential Lettings,13690
Rushmoor Borough Council,Personnel & Payroll,1415,Health Care,04/10/2016,26,1711.84,Revenue,National Deposit,DD1
Rushmoor Borough Council,Community,2518,Access/Cardnet,17/10/2016,26,521.86,Revenue,Virtual Leasing,DD2
Rushmoor Borough Council,Community,2518,Access/Cardnet,26/10/2016,147,381.44,Revenue,Virtual Leasing,DD3
Rushmoor Borough Council,Financial Services,3805,Access/Cardnet,27/10/2016,63,694.69,Revenue,Capita,DD4
Rushmoor Borough Council,Financial Services,3805,Access/Cardnet,27/10/2016,48,397.46,Revenue,Capita,DD5
Rushmoor Borough Council,Democratic Services,1327,Telephones,25/10/2016,1919,300.17,Revenue,Hullabaloo,DD6
Rushmoor Borough Council,Community,2518,Databox Maintenance,18/10/2016,45,1617.34,Revenue,Spektrix,DD7
Rushmoor Borough Council,Financial Services,3403,Bank Charges,03/10/2016,55,943.94,Revenue,Lloyds Bank,DD8
Rushmoor Borough Council,Financial Services,3403,Bank Charges,31/10/2016,46,924.26,Revenue,Lloyds Bank,DD9
,,,,,,,,,
