Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code
Department of Health,NHS Business Services Authority,24/03/2023,NHS Cloud - Wintel,"Digital, Data & Technology",AGILISYS LIMITED,80138189,"28,668.68",Annual Variable Service Charges ,W12 7RZ
Department of Health,NHS Business Services Authority,24/03/2023,Colocate - Unix,"Digital, Data & Technology",AGILISYS LIMITED,80138189,"9,311.74","Colocate (Inc. Pensions Servers, Memory ",W12 7RZ
Department of Health,NHS Business Services Authority,24/03/2023,Cloud Storage,"Digital, Data & Technology",AGILISYS LIMITED,80138323,"164,250.74",AWS Cloud Brokerage Services for ,W12 7RZ
Department of Health,NHS Business Services Authority,24/03/2023,Colocate - Unix,"Digital, Data & Technology",AGILISYS LIMITED,80138374,"28,668.68","Colocate (Inc. Pensions Servers, Memory ",W12 7RZ
Department of Health,NHS Business Services Authority,28/03/2023,NHS Cloud - Wintel,"Digital, Data & Technology",AGILISYS LIMITED,80138461,"129,169.53",Annual Variable Service Charges ,W12 7RZ
Department of Health,NHS Business Services Authority,28/03/2023,Exemption Check Costs,Operations,INDESSER,80138336,"133,549.00",RESIDENCY CHECK & LICENCE FEE FEB 2023,LS1 4AP
Department of Health,NHS Business Services Authority,31/03/2023,Professional Fees,Operations,INDESSER,80138473,"24,510.58",COMMISSION DECS 28/01-24/02/2023,LS1 4AP
Department of Health,NHS Business Services Authority,10/03/2023,Consultants,Primary Care Services,TISSKI LIMITED,80137920,"30,000.00",B99222 SOW44 Provider Assurance NHS ,DE24 8HZ
Department of Health,NHS Business Services Authority,24/03/2023,Dilapidations,"Finance, Commercial & Estates",CHILDS CHARITABLE TRUST,80138200,"110,000.00",FINAL SETTLEMENT ST ANNES ROAD,TA6 4SH
Department of Health,NHS Business Services Authority,28/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80137582,"27,416.57",B08015 SOW005 Prescription Data ,EC4M 6XH
Department of Health,NHS Business Services Authority,28/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80137582,"6,525.00",B08015 Principle Data Scientist ,EC4M 6XH
Department of Health,NHS Business Services Authority,28/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80137582,"4,128.15",B08015 Senior Data Scientist (1) ,EC4M 6XH
Department of Health,NHS Business Services Authority,28/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80137582,"5,058.90",B08015 Project Manager ,EC4M 6XH
Department of Health,NHS Business Services Authority,28/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80137582,"2,583.43",B08015 SOW005 Prescription Data ,EC4M 6XH
Department of Health,NHS Business Services Authority,28/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80137582,"1,095.00",B08015 Technical Lead (Data Platform ,EC4M 6XH
Department of Health,NHS Business Services Authority,28/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80137582,"9,713.42",B08015 SOW005 Prescription Data ,EC4M 6XH
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80138068,"24,300.00",J01015 Phase 1 planning and Design ,EC4M 6XH
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,"Digital, Data & Technology",AVANADE UK LIMITED,80138069,"59,256.70",J01015 NHSBSA Management Information ,EC4M 6XH
Department of Health,NHS Business Services Authority,31/03/2023,Professional Fees,Primary Care Services,ZAIZI LTD,80138187,"72,114.75",SOW Ref: 003 Vaccine Damage Payment ,W6 7JP
Department of Health,NHS Business Services Authority,17/03/2023,Hard FM Contract,"Finance, Commercial & Estates",ROBERTSON FACILITIES MANAGEMENT LTD,80137736,"92,567.94",Total Facilities Management Planned and ,FK9 4TZ
Department of Health,NHS Business Services Authority,17/03/2023,Hard FM Contract,"Finance, Commercial & Estates",ROBERTSON FACILITIES MANAGEMENT LTD,80137736,"228,783.16",Total Facilities Management Planned and ,FK9 4TZ
Department of Health,NHS Business Services Authority,28/03/2023,Hard FM Contract,"Finance, Commercial & Estates",ROBERTSON FACILITIES MANAGEMENT LTD,80138092,"340,149.59",Total Facilities Management Planned and ,FK9 4TZ
Department of Health,NHS Business Services Authority,21/03/2023,Professional Fees,Primary Care Services,CRAWFORD & COMPANY ADJUSTERS LTD,80138195,"762,847.32",Vaccine Damage Payment Scheme ,MK9 2AH
Department of Health,NHS Business Services Authority,10/03/2023,Professional Fees,COVID 19,NETCOMPANY UK LIMITED,80137557,"484,755.00",Deed of Novation in relation to ,N1C 4AG
Department of Health,NHS Business Services Authority,21/03/2023,Professional Fees,Citizen Services,WIDER PLAN LIMITED,80138238,"25,504.38",Three-year contract for the provision ,B96 6EW
Department of Health,NHS Business Services Authority,07/03/2023,Professional Fees,"Digital, Data & Technology",DIGITAL CLARITY LIMITED,80137773,"13,500.00",Digital Marketplace Service ID: ,PR7 6DL
Department of Health,NHS Business Services Authority,07/03/2023,Professional Fees,"Digital, Data & Technology",DIGITAL CLARITY LIMITED,80137773,"26,500.00",Digital Marketplace Service ID: ,PR7 6DL
Department of Health,NHS Business Services Authority,03/03/2023,Legal Fees General,Workforce Transformation,GRANT THORNTON UK LLP,80137671,"84,690.00",PCR Regulation 32 and the need for ,EC2P 2YU
Department of Health,NHS Business Services Authority,31/03/2023,Leadership Development,People & Corporate Services,FIRST ASCENT GROUP LIMITED,80138533,"32,070.00",Provision of Completion of delivery of ,CB4 0WS
Department of Health,NHS Business Services Authority,10/03/2023,Software Licences,Portfolio Management,PHOENIX SOFTWARE LTD,80137893,"87,367.85",PO for 12 month contract term for Cora ,YO42 1NS
Department of Health,NHS Business Services Authority,24/03/2023,Professional Fees,COVID 19,MASON ADVISORY LIMITED,80138197,"88,000.00",Deed of Novation in relation to ,M1 4PB
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,COVID 19,ANSWER DIGITAL LTD,80137603,"93,660.00",Deed of Novation in relation to ,LS11 5DD
Department of Health,NHS Business Services Authority,24/03/2023,Professional Fees,COVID 19,ANSWER DIGITAL LTD,80138236,"79,020.00",Deed of Novation in relation to ,LS11 5DD
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,COVID 19,AKAMAI TECHNOLOGIES LIMITED,80138063,"44,168.62",Deed of Novation in relation to  ,W1B 5AD
Department of Health,NHS Business Services Authority,31/03/2023,CSIP Interco,Statutory Payments,CATHERINE JANE MURPHY,80138502,"30,000.00",EX-GRATIA SD63103556,BN43 6HN
Department of Health,NHS Business Services Authority,01/03/2023,Pensions Division,NHS Workforce Services,,,"2,090,489.22",Payments to Pensioners,
Department of Health,NHS Business Services Authority,01/03/2023,Dental Contractors,Primary Care Services,,,"219,057,021.00",Payments to Dental Contractors,
Department of Health,NHS Business Services Authority,09/03/2023,Pharmacy Contractors,Primary Care Services,,,"745,806,377.38",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/03/2023,Pharmacy Contractors,Primary Care Services,,,"151,923,789.23",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,31/03/2023,Pharmacy Contractors,Primary Care Services,,,"8,002,115.80",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/03/2023,Pharmacy Contractors,Primary Care Services,,,"3,504,964.21",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,27/03/2023,Pharmacy Contractors,Primary Care Services,,,"148,028.69",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,14/03/2023,Pharmacy Contractors,Primary Care Services,,,"110,688.60",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/03/2023,Pharmacy Contractors,Primary Care Services,,,"103,899.40",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,09/03/2023,Pharmacy Contractors,Primary Care Services,,,"89,048.27",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,22/03/2023,Pharmacy Contractors,Primary Care Services,,,"75,089.08",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,15/03/2023,Pharmacy Contractors,Primary Care Services,,,"52,845.50",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,16/03/2023,Pharmacy Contractors,Primary Care Services,,,"47,150.10",Payments to Pharmacy Contractors,
