"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"PSAAG13","JONATHAN NANCEKIVELL-SMITH","SCS2","Other.Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","COOG6","5366779","1.00","110000","114999","","","London","","1"
"COOG23","N/D","SCS1","Other.Deputy Director","Oranisational effectiveness","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG25","1044716","1.00","N/A","N/A","","","Wales","","1"
"COOG24","N/D","SCS1","Operation Delivery.Deputy Director","Finance Projects and Service Management","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG8","1342061","1.00","N/A","N/A","","","Wales","","1"
"HMCTS25","N/D","SCS1","Operational Research.Performance","North West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS55","359846","1.00","N/A","N/A","","","North East","","1"
"COOG25","Joanne Hicks","SCS2","Operation Delivery.Director","Directors Office - Strategy, Leadership & Belonging","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG55","7841724","1.00","110000","114999","","","Wales","","1"
"SDTG11","N/D","SCS1","Other.Deputy Director","Public Cloud Hosting","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Digital","020 3334 3555","general.queries@justice.gov.uk","SDTG4","7083413","1.00","N/A","N/A","","","London","","1"
"HMCTS26","N/D","SCS1","Operation Delivery.Deputy Director","RCJ Secretariat","Ministry of Justice","Her Majesty's Courts and Tribunals Service","RCJ","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","27248279","1.00","N/A","N/A","","","London","","1"
"COOG26","Adrian Hannell","SCS2","Finance.Director","Director's Office - Financial Management & Control","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG6","11973970","1.00","110000","114999","","","London","","1"
"SDTG12","N/D","SCS1","Other.Deputy Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG13","6242681","1.00","N/A","N/A","","","London","","1"
"PG36","N/D","SCS1","Policy Delivery.Deputy Director","Criminal and Family Justice Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG40","1299302","1.00","N/A","N/A","","","London","","1"
"PG37","N/D","SCS1","Other.Deputy Director","Performance and Business Support","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG68","2299873","1.00","N/A","N/A","","","London","","1"
"PG38","N/D","SCS1","Operation Delivery.Deputy Director","Safety, Security and Operation Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG52","1311162","1.00","N/A","N/A","","","London","","1"
"PG39","N/D","SCS1","Other.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG71","549993","1.00","N/A","N/A","","","London","","1"
"PG40","Ed Lidington","SCS2","Policy Delivery.Director","Criminal and Family Justice Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG25","4292547","1.00","95000","99999","","","London","","1"
"HMCTS27","N/D","SCS1","Operation Delivery.Deputy Director","South East RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT SE Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS16","0","1.00","N/A","N/A","","","South East","","1"
"PSAAG14","N/D","SCS1","Other.Deputy Director","Design102","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG1","3033676","1.00","N/A","N/A","","","London","","1"
"SDTG13","Mark Robinson","SCS2","Other.Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG4","15655265","1.00","120000","124999","","","London","","1"
"PSAAG15","N/D","SCS1","Other.Deputy Director","Data and Evidence as a Service, Courts and People (DESCP)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG16","2388983","0.80","N/A","N/A","","","London","","1"
"PG41","Daniel Flury","SCS2","Policy Delivery.Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG25","6309039","1.00","95000","99999","","","London","","1"
"HMCTS28","N/D","SCS1","Other.Deputy Director","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS61","575076","1.00","N/A","N/A","","","South East","","1"
"PG42","N/D","SCS1","Other.Deputy Director","Judicial Office - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG34","2151433","1.00","N/A","N/A","","","London","","1"
"PG43","N/D","SCS1","Other.Deputy Director","Judicial Office - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG34","2112470","1.00","N/A","N/A","","","London","","1"
"HMCTS29","N/D","SCS1","Human Resources.Deputy Director","HMCTS L&D Business Skills Delivery","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Human Resources","020 3334 3555","general.queries@justice.gov.uk","HMCTS1","2185680","1.00","N/A","N/A","","","London","","1"
"HMCTS30","N/D","SCS1","Programme and Project Management.Deputy Director","CFT Sub Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS68","636402","1.00","N/A","N/A","","","South East","","1"
"HMCTS31","N/D","SCS1","Other.Deputy Director","HMCTS Communications","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ HMCTS Communications","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","1151333","1.00","N/A","N/A","","","London","","1"
"HMCTS32","N/D","SCS1","Other.Deputy Director","Civil Team","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Development Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","554126","1.00","N/A","N/A","","","London","","1"
"PG44","N/D","SCS1","Other.Deputy Director","Reducing Re-Offending and Cross Cutting","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG52","1953021","1.00","N/A","N/A","","","London","","1"
"COOG27","N/D","SCS1","Finance.Deputy Director","Director's Office - Finance Business Partnering","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG39","860807","1.00","N/A","N/A","","","London","","1"
"COOG28","N/D","SCS1","Other.Personal Secretary","ALB Centre of Excellence","Ministry of Justice","Ministry of Justice Headquarters","DIR - Governance, Risk and Assurance","020 3334 3555","general.queries@justice.gov.uk","COOG15","1123355","1.00","N/A","N/A","","","London","","1"
"LAA3","N/D","SCS1","Other.Deputy Director","Agency Transformation Programme","Ministry of Justice","Legal Aid Agency","Legal Aid Agency Programme","020 3334 3555","general.queries@justice.gov.uk","LAA5","330471","0.67","N/A","N/A","","","London","","1"
"COOG29","Caroline Patterson","SCS2","Finance.Director","Director's Office - Finance Strategy & Planning","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Strategy and Planning","020 3334 3555","general.queries@justice.gov.uk","COOG6","0","1.00","105000","109999","","","London","","1"
"COOG30","N/D","SCS1","Other.Deputy Director","Risk and Assurance","Ministry of Justice","Ministry of Justice Headquarters","DIR - Governance, Risk and Assurance","020 3334 3555","general.queries@justice.gov.uk","COOG15","224885","0.92","N/A","N/A","","","London","","1"
"COOG31","N/D","SCS1","Other.Deputy Director","Privacy - Data Protection","Ministry of Justice","Ministry of Justice Headquarters","DIR - Security, Service & Information Governance","020 3334 3555","general.queries@justice.gov.uk","COOG13","1380848","1.00","N/A","N/A","","","London","","1"
"COOG32","N/D","SCS1","Other.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG49","3234625","1.00","N/A","N/A","","","East of England","","1"
"HMCTS33","N/D","SCS1","Programme and Project Management.Admin Assistant","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","372014","1.00","N/A","N/A","","","London","","1"
"HMCTS34","N/D","SCS1","Other.Deputy Director","Tribunals Development","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Development Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","1569644","1.00","N/A","N/A","","","North West","","1"
"HMCTS35","N/D","SCS1","Programme and Project Management.Project","CFT Sub Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS68","1700221","1.00","N/A","N/A","","","London","","1"
"COOG33","N/D","SCS1","Policy Delivery.Deputy Director","Sentencing Council","Ministry of Justice","Ministry of Justice Headquarters","DIR - Sentencing Council","020 3334 3555","general.queries@justice.gov.uk","PG46","1323379","1.00","N/A","N/A","","","London","","1"
"COOG34","N/D","SCS1","Human Resources.Deputy Director","Talent and Capability Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG25","2865919","1.00","N/A","N/A","","","West Midlands","","1"
"COOG35","N/D","SCS1","Finance.Deputy Director","Management Accounts & Business Insight","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG26","5174553","1.00","N/A","N/A","","","London","","1"
"HMCTS36","N/D","SCS1","Property Asset Management.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS43","0","1.00","N/A","N/A","","","London","","1"
"LAA4","N/D","SCS1","Finance.Deputy Director","Contract Management - General","Ministry of Justice","Legal Aid Agency","Legal Aid Contract Management and Assurance","020 3334 3555","general.queries@justice.gov.uk","LAA5","6143076","1.00","N/A","N/A","","","London","","1"
"PG45","N/D","SCS1","Other.Deputy Director","Women & Health Policy  (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG72","1303729","1.00","N/A","N/A","","","London","","1"
"PG46","Amy Randall","SCS2","Policy Delivery.Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG25","9240947","1.00","95000","99999","","","London","","1"
"HMCTS37","N/D","SCS1","Other.Deputy Director","Civil Money Claims","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","674776","1.00","N/A","N/A","","","South East","","1"
"HMCTS38","N/D","SCS1","Other.Deputy Director","Service Design Team","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","739723","1.00","N/A","N/A","","","South West","","1"
"PG47","N/D","SCS1","Policy Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","1093534","1.00","N/A","N/A","","","London","","1"
"PSAAG16","Amy Caldwell-Nichols","SCS2","Other.Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PG21","21574948","1.00","100000","104999","","","London","","1"
"LAA5","Jane Harbottle","SCS2","Other.Director","Executive Team","Ministry of Justice","Legal Aid Agency","LAA Chief Executive Office","020 3334 3555","general.queries@justice.gov.uk","HMPPS28","36992510","1.00","105000","109999","","","North East","","1"
"PG48","N/D","SCS1","Policy Delivery.Deputy Director","Court Recovery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG40","0","1.00","N/A","N/A","","","London","","1"
"PG49","N/D","SCS1","Policy Delivery.Deputy Director","SENTENCING POICY","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG72","1277189","1.00","N/A","N/A","","","London","","1"
"HMCTS39","N/D","SCS1","Other.Deputy Director","Business Strategy Team","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","545494","1.00","N/A","N/A","","","London","","1"
"HMCTS40","N/D","SCS1","Other.Deputy Director","Corporate Services","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","COOG39","667183","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"HMCTS41","N/D","SCS1","Operation Delivery.Deputy Director","Intelligent Client Capability","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","828551","1.00","N/A","N/A","","","London","","1"
"HMCTS42","N/D","SCS1","Other.Deputy Director","Reform Finance - Strategy and Benefits","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","1261851","1.00","N/A","N/A","","","South West","","1"
"COOG36","N/D","SCS1","Finance.Deputy Director","FBP LAA, OPG, CICA","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG39","1963980","1.00","N/A","N/A","","","Wales","","1"
"HMCTS43","Rupert Morgan","SCS2","Other.Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","4761654","1.00","120000","124999","","","Scotland","","1"
"PG50","N/D","SCS1","Policy Delivery.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG24","0","1.00","N/A","N/A","","","London","","1"
"HMCTS44","N/D","SCS1","Programme and Project Management.Deputy Director","Decommissioning and Legacy Risk Mitigation [DLRM]","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Change Portfolio","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","272964","1.00","N/A","N/A","","","London","","1"
"PG51","N/D","SCS1","Policy Delivery.Deputy Director","Prison Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG25","0","1.00","N/A","N/A","","","London","","1"
"CICA2","Linda Brown","SCS2","Other.Director","CICA (Prog)","Ministry of Justice","Criminal Injuries Compensation Authority","DIR - CICA","020 3334 3555","general.queries@justice.gov.uk","HMPPS28","8924342","1.00","100000","104999","","","Scotland","","1"
"COOG37","N/D","SCS1","Operation Delivery.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG49","5421105","1.00","N/A","N/A","","","London","","1"
"HMCTS45","N/D","SCS1","Operation Delivery.Director","Regional Directors Office - Wales Region","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT Wales Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","32128837","1.00","N/A","N/A","","","Wales","","1"
"PSAAG17","N/D","SCS1","Other.Deputy Director","Evidence, Engagement & Experimentation","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG16","0","0.68","N/A","N/A","","","London","","1"
"PG52","Marie Southgate","SCS2","Policy Delivery.Director","Prison Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG25","10300082","1.00","95000","99999","","","London","","1"
"COOG38","N/D","SCS1","Other.Deputy Director","Diversity, Inclusion & Wellbeing","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG25","1459939","0.93","N/A","N/A","","","London","","1"
"PG53","Ross Gribbin","SCS3","Policy Delivery.Director General","Performance and Business Support","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG1","0","0.93","125000","129999","","","London","","1"
"HMCTS46","N/D","SCS1","Other.Deputy Director","HMCTS Finance Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","0","1.00","N/A","N/A","","","London","","1"
"HMCTS47","N/D","SCS1","Other.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS43","594410","1.00","N/A","N/A","","","Wales","","1"
"LAA6","N/D","SCS1","Policy Delivery.Deputy Director","Service Development","Ministry of Justice","Legal Aid Agency","Legal Aid Commissioning and Service Development","020 3334 3555","general.queries@justice.gov.uk","LAA5","1557117","1.00","N/A","N/A","","","North West","","1"
"COOG39","Lorna Maden","SCS2","Finance.Director","Director's Office - Finance Business Partnering","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG6","10394659","1.00","115000","119999","","","West Midlands","","1"
"LAA7","N/D","SCS1","Other.Deputy Director","Civil Case Management - Newcastle","Ministry of Justice","Legal Aid Agency","Case Management","020 3334 3555","general.queries@justice.gov.uk","LAA5","20082790","1.00","N/A","N/A","","","East Midlands","","1"
"COOG40","N/D","SCS1","Other.Deputy Director","MoJ Business Partnering & HR Specialist","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG21","2241521","1.00","N/A","N/A","","","East of England","","1"
"PG54","N/D","SCS1","Other.Senior Manager","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG56","1417533","1.00","N/A","N/A","","","London","","1"
"COOG41","N/D","SCS1","Human Resources.Human Resources","SCS","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG21","535647","1.00","N/A","N/A","","","London","","1"
"HMCTS48","James Bangle","SCS2","Information Technology.Director","Digital Directorate Programme Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","517356","1.00","105000","109999","","","London","","1"
"HMCTS49","N/D","SCS1","Operation Delivery.Director","Regional Tier","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Courts & Tribunals Service Centres","020 3334 3555","general.queries@justice.gov.uk","HMCTS11","12213695","1.00","N/A","N/A","","","South East","","1"
"COOG42","N/D","SCS1","Knowledge and Information Management.Deputy Director","Digital Information & Records Management Team","Ministry of Justice","Ministry of Justice Headquarters","DIR - Security, Service & Information Governance","020 3334 3555","general.queries@justice.gov.uk","COOG13","3638645","1.00","N/A","N/A","","","London","","1"
"HMCTS50","N/D","SCS1","Operation Delivery.Director","Regional Directors Office - Midlands","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT Midlands Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","41091974","1.00","N/A","N/A","","","West Midlands","","1"
"COOG43","N/D","SCS1","Other.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG49","0","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"COOG44","Sylvia Diane Caddle","SCS2","Operation Delivery.Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG55","0","1.00","95000","99999","","","London","","1"
"COOG45","N/D","SCS1","Other.Human Resources","CSHR Casework","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG21","5372683","1.00","N/A","N/A","","","London","","1"
"PG55","N/D","SCS1","Other.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","380455","0.72","N/A","N/A","","","Yorkshire and The Humber","","1"
"HMCTS51","N/D","SCS1","Other.Deputy Director","Family Team","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Development Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","899210","1.00","N/A","N/A","","","East Midlands","","1"
"SDTG14","N/D","SCS1","Programme and Project Management.Deputy Director","HMPPS Digital - Probation","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Digital","020 3334 3555","general.queries@justice.gov.uk","SDTG4","1782548","1.00","N/A","N/A","","","London","","1"
"COOG46","N/D","SCS1","HQMP11.HR Head of NOMS-Specific Learning & Development","HMPPS Learning & Development","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG52","6612550","1.00","N/A","N/A","","","London","","1"
"PSAAG18","N/D","SCS1","Other.Deputy Director","Data and Evidence as aÂ Service - Prison, Probation and Reoffending (DES-PPR)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG16","2783603","0.86","N/A","N/A","","","Wales","","1"
"COOG47","N/D","SCS1","Finance.Deputy Director","Financial Transformation","Ministry of Justice","Ministry of Justice Headquarters","DIR - COOG - DG Office","020 3334 3555","general.queries@justice.gov.uk","COOG15","0","1.00","N/A","N/A","","","East Midlands","","1"
"PSAAG19","N/D","SCS1","Other.Deputy Director","News Division","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG1","1442437","1.00","N/A","N/A","","","London","","1"
"COOG48","N/D","SCS1","Human Resources.Deputy Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG52","9352944","1.00","N/A","N/A","","","London","","1"
"PSAAG20","N/D","SCS1","Other.Deputy Director","Modelling Hub","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG13","3104578","1.00","N/A","N/A","","","London","","1"
"HMCTS52","N/D","SCS1","Other.Deputy Director","Op Assurance & Compliance","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","1423983","1.00","N/A","N/A","","","London","","1"
"HMCTS53","N/D","SCS1","Other.Deputy Director","Portfolio Office (Non-Reform)","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CENTRALISED FRONTLINE","020 3334 3555","general.queries@justice.gov.uk","HMCTS59","1199264","1.00","N/A","N/A","","","London","","1"
"PG56","Matthew Shelley","SCS2","Policy Delivery.Director","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG25","3129826","1.00","95000","99999","","","London","","1"
"PG57","N/D","SCS1","Other.Deputy Director","Prison Policy Joint Unit","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG52","424900","1.00","N/A","N/A","","","London","","1"
"HMCTS54","N/D","SCS1","Other.Deputy Director","Regional Directors Office - Midlands","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT Midlands Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS50","342876","1.00","N/A","N/A","","","Wales","","1"
"PG58","N/D","SCS1","Other.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","452193","0.60","N/A","N/A","","","London","","1"
"OOTPG3","Amy Holmes","SCS2","Other.Director","Executive Support","Ministry of Justice","Office of the Public Guardian","Strategy Directorate","020 3334 3555","general.queries@justice.gov.uk","HMPPS28","41630770","1.00","105000","109999","","","West Midlands","","1"
"PG59","N/D","SCS1","Policy Delivery.Deputy Director","Legal Services Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG71","1356836","1.00","N/A","N/A","","","London","","1"
"HMCTS55","N/D","SCS1","Operation Delivery.Deputy Director","North West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","37615440","1.00","N/A","N/A","","","North West","","1"
"HMCTS56","N/D","SCS1","Operation Delivery.Director","London RSU 2","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT London Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","32019611","1.00","N/A","N/A","","","London","","1"
"HMCTS57","N/D","SCS1","Other.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS43","2627084","1.00","N/A","N/A","","","London","","1"
"COOG49","Andrew Mills","SCS2","Property Asset Management.Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG6","19802024","1.00","150000","154999","","","London","","1"
"HMCTS58","N/D","SCS1","Other.Head of Operations","North East RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NE Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS19","0","1.00","N/A","N/A","","","North East","","1"
"PG60","N/D","SCS1","Operation Delivery.Deputy Director","IMB Secretariat Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - IMB Secretariat","020 3334 3555","general.queries@justice.gov.uk","PG25","931417","1.00","N/A","N/A","","","London","","1"
"LAA8","N/D","SCS1","Operation Delivery.Deputy Director","Special Cases Unit SCU","Ministry of Justice","Legal Aid Agency","Case Management","020 3334 3555","general.queries@justice.gov.uk","LAA5","1893627","0.75","N/A","N/A","","","London","","1"
"LAA9","N/D","SCS1","Other.Deputy Director","Executive Team","Ministry of Justice","Legal Aid Agency","LAA Chief Executive Office","020 3334 3555","general.queries@justice.gov.uk","LAA5","2846788","1.00","N/A","N/A","","","London","","1"
"PG61","N/D","SCS1","Other.Admin Assistant","Prisons & Probation Ombudsman Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons & Probation Ombudsman","020 3334 3555","general.queries@justice.gov.uk","PG27","1474731","1.00","N/A","N/A","","","London","","1"
