Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Technology,AGILISYS LIMITED,0080124920,387.38,G10019 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,NHS Workforce Services,AGILISYS LIMITED,0080124920,"5,336.24",J01014 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124920,"16,168.49",P01001- Cloud Brokerage Services June - ,W12 7RZ
Department of Health,NHS Business Services Authority,28/09/2021,Wi-Fi Rental,Technology,VIRGIN MEDIA BUSINESS LTD,0080124837,"45,789.78",CORPORATE & GUEST WIFI,BD4 8PW
Department of Health,NHS Business Services Authority,24/09/2021,Wi-Fi Rental,Technology,VIRGIN MEDIA BUSINESS LTD,0080125007,"28,814.91",Purchase order to cover remaining ,BD4 8PW
Department of Health,NHS Business Services Authority,17/09/2021,Professional Fees,Citizen Services,INDESSER,0080124750,"446,690.30",EHIC RESIDENCY CHECK,LS1 4AP
Department of Health,NHS Business Services Authority,24/09/2021,External Staff Costs,Primary Care Services,TISSKI LIMITED,0080124637,"21,482.50",SOW25 Provider Assurance ¿ Email & ,CV8 2LG
Department of Health,NHS Business Services Authority,17/09/2021,Software Licences,NHS Workforce Services,AMIQUS RESOLUTION LIMITED,0080124815,"30,000.00",Digital Employee Checking Tool:,EH12 5HD
Department of Health,NHS Business Services Authority,14/09/2021,Cloud Storage,Technology,CDW LIMITED,0080124667,"86,516.09",PRODUCT CODE: TMP2036104 PRODUCT ,EC4M 9AF
Department of Health,NHS Business Services Authority,28/09/2021,Rent,Finance & Commercial,GOVERNMENT PROPERTY AGENCY,0080124592,"137,879.50",Rent 01 Oct - 31 Dec 21,B2 5LS
Department of Health,NHS Business Services Authority,28/09/2021,Service Charges General,Finance & Commercial,GOVERNMENT PROPERTY AGENCY,0080124592,"3,180.00",Management Fee 01 Oct - 31 Dec 21,B2 5LS
Department of Health,NHS Business Services Authority,01/08/2021,Pensions Division,NHS Workforce Services,,,"2,075,273.93",Payments to Pensioners,
Department of Health,NHS Business Services Authority,01/08/2021,Dental Contractors,Primary Care Services,,,"206,130,161.00",Payments to Dental Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"729,996,591.45",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"147,738,402.88",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"12,601,218.43",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"10,384,932.46",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,30/09/2021,Pharmacy Contractors,Primary Care Services,,,"7,253,300.68",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"2,962,914.59",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,02/09/2021,Pharmacy Contractors,Primary Care Services,,,"1,960,050.48",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,06/09/2021,Pharmacy Contractors,Primary Care Services,,,"1,242,613.42",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,10/09/2021,Pharmacy Contractors,Primary Care Services,,,"75,487.00",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,02/09/2021,Pharmacy Contractors,Primary Care Services,,,"35,035.73",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,13/09/2021,Pharmacy Contractors,Primary Care Services,,,"11,107.14",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,07/09/2021,Pharmacy Contractors,Primary Care Services,,,4.92,Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"132,186.23",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"11,977.06",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2021,Pharmacy Contractors,Primary Care Services,,,"4,937.23",Payments to Pharmacy Contractors,
