"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"HMCTS38","N/D","SCS1","Other.Deputy Director","Central Operations and Tribunals Scotland","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","4897810","1.00","N/A","N/A","","","West Midlands","","1"
"HMCTS39","N/D","SCS1","Information Technology.Head of Operations","Digital Directorate Programme Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","6074964","1.00","N/A","N/A","","","London","","1"
"PG27","N/D","SCS1","Policy Delivery.Deputy Director","Court Recovery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG39","1273937","1.00","N/A","N/A","","","London","","1"
"HMCTS40","N/D","SCS1","Operation Delivery.Deputy Director","Regional Tier","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Courts & Tribunals Service Centres","020 3334 3555","general.queries@justice.gov.uk","HMCTS44","4168507","1.00","N/A","N/A","","","West Midlands","","1"
"PG28","Marie Southgate","SCS2","Policy Delivery.Director","Prison Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG13","9870942","1.00","95000","99999","","","London","","1"
"COOG21","N/D","SCS1","Other.Deputy Director","Diversity, Inclusion & Wellbeing","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG38","1427082","0.93","N/A","N/A","","","London","","1"
"COOG22","N/D","SCS1","Policy Delivery.Deputy Director","Law Commission","Ministry of Justice","Ministry of Justice Headquarters","DIR - The Law Commission","020 3334 3555","general.queries@justice.gov.uk","PG68","2990557","1.00","N/A","N/A","","","London","","1"
"PSAAG10","Ross Gribbin","SCS2","Operation Delivery.Deputy Director","Strategy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy and Innovation","020 3334 3555","general.queries@justice.gov.uk","PG13","2669969","0.92","105000","109999","","","London","","1"
"HMCTS41","N/D","SCS1","Other.Deputy Director","Business Strategy Team","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","1369865","1.00","N/A","N/A","","","London","","1"
"COOG23","N/D","SCS1","Other.Deputy Director","MoJ Business Partnering & HR Specialist","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG34","2155567","1.00","N/A","N/A","","","East of England","","1"
"LAA4","N/D","SCS1","Policy Delivery.Deputy Director","Service Development","Ministry of Justice","Legal Aid Agency","Legal Aid Commissioning and Service Development","020 3334 3555","general.queries@justice.gov.uk","LAA10","1352896","1.00","N/A","N/A","","","North West","","1"
"LAA5","N/D","SCS1","Other.Deputy Director","Civil Case Management - Newcastle","Ministry of Justice","Legal Aid Agency","Case Management","020 3334 3555","general.queries@justice.gov.uk","LAA10","19412069","1.00","N/A","N/A","","","East Midlands","","1"
"HMCTS42","Louise Alexander","SCS2","Other.Director","HMCTS HR Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Human Resources","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","5626491","1.00","115000","119999","","","London","","1"
"COOG24","N/D","SCS1","Property Asset Management.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG15","1556526","1.00","N/A","N/A","","","London","","1"
"HMCTS43","N/D","SCS1","Programme and Project Management.Deputy Director","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS49","1233727","1.00","N/A","N/A","","","London","","1"
"PG29","Antonia Romeo","SCS4","Operation Delivery.Permanent Secretary","Permanent Secretary's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","XX","772287177","1.00","185000","189999","","","London","","1"
"COOG25","N/D","SCS1","Policy Delivery.Deputy Director","FBP Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG35","214183","1.00","N/A","N/A","","","London","","1"
"PSAAG11","Simon Barrett","SCS2","Communications and Marketing.Director","Corporate Communications","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PG17","9947370","1.00","110000","114999","","","London","","1"
"COOG26","N/D","SCS1","Other.Estates","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG15","3318934","1.00","N/A","N/A","","","London","","1"
"COOG27","N/D","SCS1","Other.Deputy Director","Probation & Wales FBP","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG35","2038084","1.00","N/A","N/A","","","West Midlands","","1"
"PSAAG12","N/D","SCS1","Economics.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","3079876","1.00","N/A","N/A","","","London","","1"
"PG30","N/D","SCS1","Other.Deputy Director","Parliamentary Branch Unit","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG13","0","1.00","N/A","N/A","","","London","","1"
"HMCTS44","Una Bennett","SCS2","Other.Director","Operations HQ Private Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","43554290","1.00","95000","99999","","","West Midlands","","1"
"HMCTS45","N/D","SCS1","Operation Delivery.Deputy Director","South West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT SW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","32822316","1.00","N/A","N/A","","","South West","","1"
"PG31","N/D","SCS1","Operation Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG24","456633","0.60","N/A","N/A","","","London","","1"
"COOG28","N/D","SCS1","Other.Deputy Director","Workforce Experience and People Insight","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG38","1820019","1.00","N/A","N/A","","","Wales","","1"
"SDTG10","N/D","SCS1","Information Technology.Deputy Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG9","3058441","1.00","N/A","N/A","","","London","","1"
"HMCTS46","N/D","SCS1","Programme and Project Management.Deputy Director","CFT Sub Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS66","277402","1.00","N/A","N/A","","","London","","1"
"COOG29","N/D","SCS1","Other.Deputy Director","Functional Director","Ministry of Justice","Ministry of Justice Headquarters","DIR - Functional Reform","020 3334 3555","general.queries@justice.gov.uk","COOG6","688921","1.00","N/A","N/A","","","London","","1"
"PSAAG13","N/D","SCS1","Operation Delivery.Deputy Director","Strategy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy and Innovation","020 3334 3555","general.queries@justice.gov.uk","PSAAG10","907050","1.00","N/A","N/A","","","London","","1"
"SDTG11","James Robinson","SCS2","Information Technology.Director","CDIO/COO","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","SDTG4","8575930","1.00","125000","129999","","","South West","","1"
"PG32","N/D","SCS1","Operation Delivery.Senior Personal Secretary","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG68","1360962","1.00","N/A","N/A","","","London","","1"
"COOG30","Alison Fowler","SCS2","Human Resources.Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG56","7144923","1.00","95000","99999","","","London","","1"
"COOG31","N/D","SCS1","Programme and Project Management.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG15","2135067","1.00","N/A","N/A","","","London","","1"
"LAA6","N/D","SCS1","Other.Deputy Director","Executive Team","Ministry of Justice","Legal Aid Agency","LAA Chief Executive Office","020 3334 3555","general.queries@justice.gov.uk","LAA10","2678221","1.00","N/A","N/A","","","London","","1"
"PG33","N/D","SCS1","Other.Admin Assistant","Prisons & Probation Ombudsman Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons & Probation Ombudsman","020 3334 3555","general.queries@justice.gov.uk","PG20","1430555","1.00","N/A","N/A","","","London","","1"
"COOG32","N/D","SCS1","Economics.Deputy Director","Cyber Security Team","Ministry of Justice","Ministry of Justice Headquarters","DIR - Security, Service & Information Governance","020 3334 3555","general.queries@justice.gov.uk","COOG13","622705","1.00","N/A","N/A","","","West Midlands","","1"
"HMCTS47","Gemma Hewison","SCS2","Operation Delivery.Director","Reform - Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","12358258","1.00","110000","114999","","","South East","","1"
"COOG33","N/D","SCS1","Other.Deputy Director","Pay, Reward & Employee Relations","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG18","2996243","1.00","N/A","N/A","","","West Midlands","","1"
"HMCTS48","N/D","SCS1","Operation Delivery.Director","Crime Operations BAU - Enforcement","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Enforcement","020 3334 3555","general.queries@justice.gov.uk","HMCTS9","22336061","1.00","N/A","N/A","","","East Midlands","","1"
"COOG34","Caroline Murray","SCS2","Human Resources.Director","Directors Office - Business Partnering & Change","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG56","20531651","1.00","100000","104999","","","London","","1"
"HMCTS49","Paula Potter","SCS2","Other.Director","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS47","3715657","1.00","95000","99999","","","London","","1"
"HMCTS50","N/D","SCS1","Finance.Deputy Director","Financial Accounts Team - HMCS HQ","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","3527603","1.00","N/A","N/A","","","London","","1"
"SDTG12","N/D","SCS1","Finance.Deputy Director","Change","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG17","586423","1.00","N/A","N/A","","","London","","1"
"PG34","N/D","SCS1","Human Resources.Admin Officer","Judicial Office - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG60","4236088","1.00","N/A","N/A","","","London","","1"
"HMCTS51","N/D","SCS1","Other.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS14","541471","1.00","N/A","N/A","","","Wales","","1"
"HMCTS52","N/D","SCS1","Operation Delivery.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS14","784582","1.00","N/A","N/A","","","East of England","","1"
"SDTG13","N/D","SCS1","Programme and Project Management.Deputy Director","Project Centre of Excellence","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG17","190900","1.00","N/A","N/A","","","Wales","","1"
"COOG35","Lorna Maden","SCS2","Finance.Director","Director's Office - Finance Business Partnering","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG6","9437488","1.00","115000","119999","","","West Midlands","","1"
"PSAAG14","JONATHAN NANCEKIVELL-SMITH","SCS2","Other.Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PG17","28520283","1.00","105000","109999","","","London","","1"
"COOG36","N/D","SCS1","Other.Deputy Director","Oranisational effectiveness","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG38","931997","1.00","N/A","N/A","","","Wales","","1"
"COOG37","N/D","SCS1","Operation Delivery.Deputy Director","Finance Projects and Service Management","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG18","1206913","1.00","N/A","N/A","","","Wales","","1"
"HMCTS53","N/D","SCS1","Operational Research.Performance","North West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS26","385786","1.00","N/A","N/A","","","North East","","1"
"COOG38","Joanne Hicks","SCS2","Operation Delivery.Director","Directors Office - Strategy, Leadership & Belonging","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG56","7677882","1.00","110000","114999","","","Wales","","1"
"SDTG14","N/D","SCS1","Other.Deputy Director","Public Cloud Hosting","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Digital","020 3334 3555","general.queries@justice.gov.uk","SDTG4","6739745","1.00","N/A","N/A","","","London","","1"
"HMCTS54","N/D","SCS1","Operation Delivery.Deputy Director","RCJ Secretariat","Ministry of Justice","Her Majesty's Courts and Tribunals Service","RCJ","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","26595878","1.00","N/A","N/A","","","London","","1"
"COOG39","Adrian Hannell","SCS2","Finance.Director","Director's Office - Financial Management & Control","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG6","11650286","1.00","110000","114999","","","London","","1"
"SDTG15","N/D","SCS1","Other.Deputy Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG9","5316605","1.00","N/A","N/A","","","London","","1"
"PG35","N/D","SCS1","Policy Delivery.Deputy Director","Court Recovery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG39","1154374","1.00","N/A","N/A","","","London","","1"
"PG36","N/D","SCS1","Other.Deputy Director","Performance and Business Support","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG53","1633295","1.00","N/A","N/A","","","London","","1"
"PG37","N/D","SCS1","Operation Delivery.Deputy Director","Safety, Security and Operation Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG28","1222049","1.00","N/A","N/A","","","London","","1"
"PG38","N/D","SCS1","Other.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG57","506346","1.00","N/A","N/A","","","London","","1"
"PG39","Ed Lidington","SCS2","Policy Delivery.Director","Criminal and Family Justice Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG13","4151794","1.00","95000","99999","","","London","","1"
"HMCTS55","N/D","SCS1","Other.Deputy Director","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS49","1026036","1.00","N/A","N/A","","","London","","1"
"PG40","N/D","SCS1","Other.Deputy Director","Prison Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG28","309189","1.00","N/A","N/A","","","London","","1"
"PG41","N/D","SCS1","Operation Delivery.Deputy Director","Future Prison Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","COOG12","1101746","1.00","N/A","N/A","","","London","","1"
"PSAAG15","N/D","SCS1","Other.Deputy Director","Design102","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG11","2967710","1.00","N/A","N/A","","","London","","1"
"PG42","N/D","SCS1","Other.Deputy Director","Reducing Re-Offending and Cross Cutting","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG28","1921266","1.00","N/A","N/A","","","London","","1"
"COOG40","N/D","SCS1","Finance.Deputy Director","Director's Office - Finance Business Partnering","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG35","741238","0.80","N/A","N/A","","","London","","1"
"COOG41","N/D","SCS1","Other.Personal Secretary","ALB Centre of Excellence","Ministry of Justice","Ministry of Justice Headquarters","DIR - Governance, Risk and Assurance","020 3334 3555","general.queries@justice.gov.uk","COOG50","0","1.00","N/A","N/A","","","London","","1"
"LAA7","N/D","SCS1","Other.Deputy Director","Agency Transformation Programme","Ministry of Justice","Legal Aid Agency","Legal Aid Agency Programme","020 3334 3555","general.queries@justice.gov.uk","LAA10","301394","0.66","N/A","N/A","","","London","","1"
"COOG42","Caroline Patterson","SCS2","Finance.Director","Director's Office - Finance Strategy & Planning","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Strategy and Planning","020 3334 3555","general.queries@justice.gov.uk","COOG6","554591","1.00","100000","104999","","","London","","1"
"LAA8","N/D","SCS1","Finance.Deputy Director","Contract Management - General","Ministry of Justice","Legal Aid Agency","Legal Aid Contract Management and Assurance","020 3334 3555","general.queries@justice.gov.uk","LAA10","6152488","1.00","N/A","N/A","","","London","","1"
"COOG43","N/D","SCS1","Other.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG15","3008985","1.00","N/A","N/A","","","East of England","","1"
"HMCTS56","N/D","SCS1","Programme and Project Management.Admin Assistant","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","0","1.00","N/A","N/A","","","London","","1"
"HMCTS57","N/D","SCS1","Other.Deputy Director","Tribunals Development","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Development Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS63","1543704","1.00","N/A","N/A","","","North West","","1"
"HMCTS58","N/D","SCS1","Programme and Project Management.Project","CFT Sub Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS66","1761688","1.00","N/A","N/A","","","London","","1"
"COOG44","N/D","SCS1","Policy Delivery.Deputy Director","Sentencing Council","Ministry of Justice","Ministry of Justice Headquarters","DIR - Sentencing Council","020 3334 3555","general.queries@justice.gov.uk","PG68","1268035","1.00","N/A","N/A","","","London","","1"
"COOG45","N/D","SCS1","Human Resources.Deputy Director","Talent and Capability Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG38","3040671","1.00","N/A","N/A","","","West Midlands","","1"
"COOG46","N/D","SCS1","Finance.Deputy Director","Management Accounts & Business Insight","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG39","5163407","1.00","N/A","N/A","","","London","","1"
"HMCTS59","N/D","SCS1","Property Asset Management.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS14","0","1.00","N/A","N/A","","","London","","1"
"HMCTS60","Nicholas Goodwin","SCS3","Other.Director General","CEO's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ CEO","020 3334 3555","general.queries@justice.gov.uk","PG29","482422029","1.00","125000","129999","","","West Midlands","","1"
"PG43","N/D","SCS1","Other.Deputy Director","Probation Programme - Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Policy - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG54","0","1.00","N/A","N/A","","","London","","1"
"PSAAG16","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","4624961","1.00","N/A","N/A","","","London","","1"
"COOG47","N/D","SCS1","Human Resources.Deputy Director","HR Change Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG34","2013882","1.00","N/A","N/A","","","London","","1"
"PSAAG17","N/D","SCS1","Information Technology.Deputy Director","BOLD Programme - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","693876","1.00","N/A","N/A","","","London","","1"
"PG44","N/D","SCS1","Other.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG68","0","1.00","N/A","N/A","","","London","","1"
"PG45","N/D","SCS1","Policy Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG24","795505","1.00","N/A","N/A","","","London","","1"
"PG46","N/D","SCS1","Policy Delivery.Deputy Director","Youth Justice Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG62","2027088","1.00","N/A","N/A","","","London","","1"
"HMCTS61","N/D","SCS1","Other.Deputy Director","Transition Director","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","772749","1.00","N/A","N/A","","","London","","1"
"COOG48","N/D","SCS1","Planning.Strategic & Planning","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG30","657251","1.00","N/A","N/A","","","East of England","","1"
"PSAAG18","N/D","SCS1","Communications and Marketing.Communications","Strategic Comms & Campaigns","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG11","2180848","1.00","N/A","N/A","","","London","","1"
"COOG49","N/D","SCS1","Human Resources.Deputy Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG30","0","1.00","N/A","N/A","","","South East","","1"
"PG47","N/D","SCS1","Policy Delivery.Deputy Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG53","1694419","1.00","N/A","N/A","","","London","","1"
"PG48","N/D","SCS1","Other.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG57","848869","1.00","N/A","N/A","","","London","","1"
"COOG50","Mark Ripley","SCS2","Finance.Governance","Risk and Assurance","Ministry of Justice","Ministry of Justice Headquarters","DIR - Governance, Risk and Assurance","020 3334 3555","general.queries@justice.gov.uk","COOG6","2275237","1.00","100000","104999","","","London","","1"
"PG49","N/D","SCS1","Policy Delivery.Deputy Director","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG4","0","1.00","N/A","N/A","","","London","","1"
"HMCTS62","N/D","SCS1","Operation Delivery.Deputy Director","South East RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT SE Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","40519525","1.00","N/A","N/A","","","South East","","1"
"COOG51","N/D","SCS1","Finance.Deputy Director","Financial Transformation","Ministry of Justice","Ministry of Justice Headquarters","DIR - COOG - DG Office","020 3334 3555","general.queries@justice.gov.uk","COOG50","0","1.00","N/A","N/A","","","East Midlands","","1"
"PG50","N/D","SCS1","Policy Delivery.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG68","1082699","1.00","N/A","N/A","","","London","","1"
"PG51","N/D","SCS1","Operation Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG24","561211","0.80","N/A","N/A","","","London","","1"
"COOG52","N/D","SCS1","Other.Senior Manager","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG15","1212855","1.00","N/A","N/A","","","London","","1"
"PG52","N/D","SCS1","Policy Delivery.Deputy Director","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG4","0","1.00","N/A","N/A","","","London","","1"
"PG53","James Dowler","SCS2","Policy Delivery.Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG13","6505707","1.00","95000","99999","","","London","","1"
"PG54","James Barton","SCS2","Policy Delivery.Director","Probation Programme - Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Policy - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG13","239278","1.00","100000","104999","","","West Midlands","","1"
"PG55","N/D","SCS1","Other.Deputy Director","Judicial Office - Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG60","3846359","1.00","N/A","N/A","","","London","","1"
"PG56","N/D","SCS1","Other.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG24","740785","0.60","N/A","N/A","","","London","","1"
"OOTPG2","Amy Holmes","SCS2","Programme and Project Management.Director","Recruitment","Ministry of Justice","Office of the Public Guardian","Strategy Directorate","020 3334 3555","general.queries@justice.gov.uk","HMPPS33","0","1.00","105000","109999","","","West Midlands","","1"
"HMCTS63","Jason Latham","SCS2","Other.Director","Civil, Family & Tribunals - Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Development Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","6360288","1.00","95000","99999","","","North West","","1"
