Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Democratic Services,1323,Stationery,26/11/2015,0000196982,290.00,Revenue,Oak Farm News,01964
Rushmoor Borough Council,Democratic Services,1322,Office Security,26/11/2015,0000196984,699.00,Revenue,Wot Security Group,01117
Rushmoor Borough Council,Financial Services,3401,Recruitment Advertising,26/11/2015,0000196991,3200.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,26/11/2015,0000196992,300.00,Revenue,Aloud Out,13909
Rushmoor Borough Council,Community,2555,Water,26/11/2015,0000196995,1416.61,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Democratic Services,1322,Water,26/11/2015,0000196996,2836.35,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Legal,1204,Books and Publications,26/11/2015,0000196999,295.00,Revenue,Rics Books,01030
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,19/11/2015,0000197001,463.00,Revenue,Acme Technical Services Limited,03569
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,26/11/2015,0000197004,475.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2538,Operational Equipment,26/11/2015,0000197005,477.89,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,26/11/2015,0000197012,1908.00,Revenue,Michael Page International Recruitment,12354
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,26/11/2015,0000197014,4500.00,Capital,Energon Global Ltd,13837
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,26/11/2015,0000197017,700.04,Revenue,Hays,02287
Rushmoor Borough Council,Holding Accounts,9404,Survey Work,26/11/2015,0000197018,750.00,Holding Accounts,Hays,02287
Rushmoor Borough Council,Community,2518,Publicity and Advertising,26/11/2015,0000197019,600.00,Revenue,Eyrie Communications,03134
Rushmoor Borough Council,Control Accounts,9361,Supporting Families Initiative,26/11/2015,0000197021,1210.00,Control Accounts,Rushmoor Healthy Living,06349
Rushmoor Borough Council,Community,2550,NI Burials,26/11/2015,0000197022,1347.00,Revenue,Ford Mears & Partners,00381
Rushmoor Borough Council,Democratic Services,1323,Postages,26/11/2015,0000197023,1001.22,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2549,Hire of Transport,26/11/2015,0000197024,484.00,Revenue,Hampshire Transport Management,12676
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,26/11/2015,0000197027,3000.00,Revenue,Jigsaw Promotions,09240
Rushmoor Borough Council,Community,6553,Contract Costs,26/11/2015,0000197031,11000.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Information Technology,3304,General Hardware,26/11/2015,0000197038,1804.92,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,26/11/2015,0000197042,3357.36,Revenue,Farnborough Gate Bowling Club,13377
Rushmoor Borough Council,Community,2517,Tree Maintenance,26/11/2015,0000197043,850.00,Revenue,P A Searle,00699
Rushmoor Borough Council,Community,2551,Replacement Commemorative Roses,26/11/2015,0000197044,1283.60,Revenue,Henry Street,00447
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,26/11/2015,0000197046,360.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Democratic Services,1322,General Repairs and Maintenance,26/11/2015,0000197047,480.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,26/11/2015,0000197048,406.15,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Community,2551,Operational Equipment,26/11/2015,0000197050,365.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1200,Legal Costs (Litigation),26/11/2015,0000197053,1749.84,Revenue,Local Government Association,00573
Rushmoor Borough Council,Democratic Services,1323,Postages,26/11/2015,0000197058,5870.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Democratic Services,1304,Charity Golf,26/11/2015,0000197072,1110.91,Revenue,The Pantry,11786
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,26/11/2015,0000197073,1350.00,Revenue,Hays,02287
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,26/11/2015,0000197074,2027.25,Revenue,Michael Page International Recruitment,12354
Rushmoor Borough Council,Community,2537,Telecommunications,26/11/2015,0000197075,265.07,Revenue,O2 Uk Ltd,04540
Rushmoor Borough Council,Community,2538,Telecommunications,26/11/2015,0000197075,351.37,Revenue,O2 Uk Ltd,04540
Rushmoor Borough Council,Community,2551,Miniature Book of Rememberance,26/11/2015,0000197084,491.38,Revenue,Hilton Cabinet Co Ltd,00024
Rushmoor Borough Council,Community,2551,Book of Remembrance,26/11/2015,0000197086,1230.38,Revenue,Hilton Cabinet Co Ltd,00024
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,26/11/2015,0000197088,284.64,Revenue,Edmundson Electrical Ltd,00328
Rushmoor Borough Council,Democratic Services,1322,Canteen Subsidy,26/11/2015,0000197091,1469.50,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Community,2551,Stationery,26/11/2015,0000197092,937.00,Revenue,Dash Information Systems,12285
Rushmoor Borough Council,Legal,1209,Legionela Maintenance,26/11/2015,0000197093,420.31,Revenue,Building Monitoring Services Ltd,08586
Rushmoor Borough Council,Community,2502,Water,26/11/2015,0000197098,764.58,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Community,2518,Refreshment Purchases,26/11/2015,0000197101,420.85,Revenue,Bentons,12526
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0000197104,3238.50,Revenue,Off The Kerb Productions,10639
Rushmoor Borough Council,Community,2543,Aldershot Promotions,26/11/2015,0000197105,410.40,Revenue,Craft Attak,13916
Rushmoor Borough Council,Community,2543,Aldershot Promotions,26/11/2015,0000197107,495.00,Revenue,Kidsrome,12325
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,26/11/2015,0000197114,1600.00,Revenue,Hillier Nurseries,06847
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0000197118,1156.98,Revenue,Neil Sands Productions,07978
Rushmoor Borough Council,Director of Resources,3106,Agency Staff,26/11/2015,0000197120,2927.40,Revenue,Tiaa Ltd,13449
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,26/11/2015,0000197126,307.56,Revenue,Ves Andover Ltd,08781
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0000197129,4769.07,Revenue,Mario Productions,13920
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,26/11/2015,0000197130,311.68,Revenue,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Web Developments,26/11/2015,0000197130,623.38,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,26/11/2015,0000197130,1870.12,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Project,26/11/2015,0000197130,1870.12,Holding Accounts,Uk Transform Ltd,11773
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,05/11/2015,0080006777,1607.28,Capital,In Touch,11912
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,05/11/2015,0080006778,5534.00,Capital,Terry Group Ltd,00974
Rushmoor Borough Council,Legal,1202,Data Protection Registration Renewal,05/11/2015,0080006795,500.00,Revenue,Information Commissioner,05812
Rushmoor Borough Council,Community,2551,Medical Reference Fees,05/11/2015,0080006796,2907.00,Revenue,Dr R W Ainsworth,01521
Rushmoor Borough Council,Community,2551,Organists Fees,05/11/2015,0080006797,1452.00,Revenue,S & J Lacey Ltd,01519
Rushmoor Borough Council,Community,2551,Organists Fees,05/11/2015,0080006798,2156.00,Revenue,Mr T Sturt,05535
Rushmoor Borough Council,Community,2551,Ministers Fees,05/11/2015,0080006799,1246.00,Revenue,Rev K Hodges,00803
Rushmoor Borough Council,Environmental Health and Housing,6400,Housing Renewal Grants,05/11/2015,0080006801,850.00,Capital,Mr S K Lunn,12915
Rushmoor Borough Council,Environmental Health and Housing,2402,Storage,05/11/2015,0080006803,357.33,Revenue,Redacted,13881
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,05/11/2015,0080006805,363.32,Capital,In Touch,11912
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,05/11/2015,0080006806,3027.71,Capital,Lifetime Construction Limited,05567
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,05/11/2015,0080006813,665.13,Revenue,Pamela Greenwood,13886
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,05/11/2015,0080006814,765.00,Control Accounts,Mrs Patricia Crowley,12855
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,05/11/2015,0080006819,12660.00,Capital,Mb Builders,13865
Rushmoor Borough Council,Community,2518,Payment to Artistes,05/11/2015,0080006821,2176.30,Revenue,Housefull Productions Ltd,04765
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,12/11/2015,0080006822,825.00,Revenue,Bridges Lettings,06657
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,12/11/2015,0080006823,637.60,Revenue,Mayhem Motorcycles,09497
Rushmoor Borough Council,Environmental Health and Housing,2402,Storage,12/11/2015,0080006825,350.00,Revenue,Ag Removals,12089
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/11/2015,0080006832,1902.66,Capital,Vistar Construction Ltd,03008
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/11/2015,0080006834,1363.30,Capital,In Touch,11912
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,12/11/2015,0080006835,600.00,Control Accounts,Mr Calogero Lo Bue,13498
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,12/11/2015,0080006836,337.00,Revenue,Mr Calogero Lo Bue,13893
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/11/2015,0080006841,3277.50,Capital,Vistar Construction Ltd,03008
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/11/2015,0080006842,3294.23,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,12/11/2015,0080006844,2500.00,Revenue,Bourkes,13552
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,12/11/2015,0080006844,1925.00,Control Accounts,Bourkes,13552
Rushmoor Borough Council,Democratic Services,1323,Postages,06/11/2015,0080006845,3500.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Environmental Health and Housing,2402,Non Statutory Homeless Rent Deposit,19/11/2015,0080006858,300.00,Revenue,Mr Mark Raggett,06505
Rushmoor Borough Council,Legal,1208,Repair and Maintenance Paved Areas,19/11/2015,0080006865,360.00,Revenue,Zurich Municipal,01129
Rushmoor Borough Council,Community,2510,Training Expenses,19/11/2015,0080006866,550.00,Revenue,Exact Training And Resources,13279
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,19/11/2015,0080006867,500.00,Revenue,Mr V Sritharan,13906
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,19/11/2015,0080006867,475.00,Control Accounts,Mr V Sritharan,13906
Rushmoor Borough Council,Community,2513,Apprenticeship Grants,19/11/2015,0080006870,918.00,Revenue,Rushmoor Gymnastics Academy,04360
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,26/11/2015,0080006872,1237.50,Revenue,Bridges Lettings,06657
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,26/11/2015,0080006873,765.09,Control Accounts,Mr Peter Forbes,13912
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,26/11/2015,0080006875,3154.02,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006883,880.00,Revenue,Hopkins Associates Ltd,12918
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,26/11/2015,0080006884,2453.00,Capital,Kincliff Ltd,08941
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006885,750.00,Revenue,Hopkins Associates Ltd,12404
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,26/11/2015,0080006886,420.32,Capital,In Touch,11912
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006887,700.00,Revenue,Hopkins Associates Ltd,12920
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,26/11/2015,0080006888,294.36,Capital,In Touch,11912
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006889,900.00,Revenue,Hopkins Associates Ltd,12399
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006890,600.00,Revenue,Hopkins Associates Ltd,13923
Rushmoor Borough Council,Control Accounts,9351,Community Cohesion Work,26/11/2015,0080006891,600.00,Control Accounts,Church Of The Good Shepherd,00710
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006892,600.00,Revenue,Hopkins Associates Ltd,13925
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006893,600.00,Revenue,Hopkins Associates Ltd,13924
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006894,800.00,Revenue,Hopkins Associates Ltd,12402
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006895,700.00,Revenue,Hopkins Associates Ltd,12917
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0080006896,500.00,Revenue,Hopkins Associates Ltd,12401
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,30/11/2015,0080006961,800.00,Control Accounts,Karen Wellington,12700
Rushmoor Borough Council,Personnel & Payroll,3601,Health Care,05/11/2015,38,1800.00,Revenue,National Deposit,DD1
Rushmoor Borough Council,Community,2518,Access/Cardnet,17/11/2015,16,708.18,Revenue,Virtual Leasing,DD2
Rushmoor Borough Council,Community,2518,Access/Cardnet,17/11/2015,15,637.15,Revenue,Virtual Leasing,DD3
Rushmoor Borough Council,All Services,9347,Staff Rail Warrants,11/11/2015,30,779.70,Revenue,Rail Settlement Plan,DD4
Rushmoor Borough Council,Customer Services,3814,Telephones,26/11/2015,67,417.08,Revenue,Hullabaloo,DD5
