Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Invoice Number,Invoice Distribution Amount,Account Code,Cost Centre
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ITLR HOSTING DEL P,ENTSERV UK LTD,6050079,"£37,560",5218102901,10389594
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£37,557",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£37,491",9115102900,10393860
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,HR EAP,OH ASSIST LTD,20016,"£37,490",5212100000,10396140
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£37,416",9115102900,10393860
DWP,CORPORATE,26-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,CHG UC PATHFINDER DELIVERY MANAGEMENT,IBM UNITED KINGDOM LTD,5801180804,"£37,371",5218102901,10386910
DWP,CORPORATE,16-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ADMS PROGRAMME,IBM UK LTD,5812171973,"£37,278",5218102901,10389010
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£37,127",9115102900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£37,122",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£37,121",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,994",9115102900,10393860
DWP,CORPORATE,18-Jan-18,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,FG CD OPS & CMG ESTATES NON-PRIME COSTS,COPELAND BOROUGH COUNCIL,6488446,"£36,869",5813102905,10393861
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,832",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,788",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,772",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,699",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,661",9115102900,10393860
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - BILLABLE EXTRAS PCM,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,TELEREAL TRILLIUM,995517,"£36,654",5215102901,10386171
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,458",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,436",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,420",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,366",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,363",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD LEEDS QUARRY HOUSE,TELEREAL TRILLIUM,995466,"£36,275",9115102900,10393830
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,264",9115102900,10393860
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP WORK CHOICE W LON C LON BARNET ENFIELD HARINGEY,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,100137,"£36,260",5213102915,10419095
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,253",9115102900,10393860
DWP,CORPORATE,26-Jan-18,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,DIG EUC DEVICE SERVICES CORE,CAPGEMINI UK PLC,2.60E+12,"£36,149",5117100000,10389530
DWP,CORPORATE,26-Jan-18,CA - OTHER RECEIVABLES - CRU PAYMENTS RECOVERIES,BALANCE SHEET,CAPSTICKS SOLICTORS LLP,FRH002-173545,"£36,085",1816902917,99999999
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,063",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£36,040",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,996",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,955",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,902",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD ACCOMMODATION CHARGES (VAT) FOR NON OGDs,TELEREAL TRILLIUM,995466,"£35,874",9115102900,10393855
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,FG CD DWP GAS & ELECTRICITY PAYMENTS / RECHARGES,BRITISH GAS BUSINESS SCC UTILITIES ONLY,952365920,"£35,844",5222500000,10393852
DWP,EUROPEAN SOCIAL FUND,15-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,LONDON ESF YOUTH PROGRAMME SUPPORT,23S17P02100/CL/17Q03/10,"£35,839",1816900000,10419400
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP CHOICE WALT FOR RBRID HAV BARK DAG C E LON,WORKING LINKS,99768,"£35,839",5213102918,10419094
DWP,CORPORATE,15-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - SOFTWARE LICENCES,DIG ENTERPRISE INFRASTRUCTURE CONTRACT CORE HOSTING DELP,SOFTCAT PLC,INV01799253,"£35,786",5218102909,10389676
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,665",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606643,"£35,662",5217100002,10392328
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,657",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,339",9115102900,10393860
DWP,CORPORATE,22-Jan-18,Exp - Purchase Of Goods/Services - Consultancy,STR LEGAL SERVICES,GOVERNMENT LEGAL DEPARTMENT,449161,"£35,253",5211200000,10382030
DWP,CORPORATE,26-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG PLATFORMS FRAUD & ERROR REFRESH SPEND,IBM GLOBAL SERVICES,5801180809,"£35,224",5218102901,10389382
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,206",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£35,171",9115102900,10393860
DWP,EMPLOYMENT PROGRAMMES,25-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG WP FG CEP ESF1420 DORSET,WORKING LINKS,100008,"£35,142",5213102914,10419319
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD ACCOMMODATION CHARGES (VAT) FOR NON OGDs,TELEREAL TRILLIUM,995466,"£34,920",9115102900,10393855
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,887",9115102900,10393860
DWP,CORPORATE,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RES'H/EVAL,CHG UC STAKEHOLDER & PARTNERS,IPSOS MORI,17002145,"£34,870",5214102902,10386928
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,833",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,706",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,680",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606643,"£34,502",5217100002,10392328
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,478",9115102900,10393860
DWP,CORPORATE,18-Jan-18,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,FG CD OPS & CMG ESTATES NON-PRIME COSTS,CHARNWOOD BOROUGH COUNCIL,59004681,"£34,401",5813102905,10393861
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,334",9115102900,10393860
DWP,EUROPEAN SOCIAL FUND,02-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,16S17C01934/CL/17Q02/13,"£34,298",1816900000,10419400
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,188",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£34,047",9115102900,10393860
DWP,CORPORATE,31-Jan-18,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,FG CD OPS & CMG ESTATES NON-PRIME COSTS,NORTH SOMERSET COUNCIL,800229913,"£33,883",5813102905,10393861
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,842",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,838",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,807",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,738",9115102900,10393860
DWP,CORPORATE,26-Jan-18,CA - OTHER RECEIVABLES - CRU PAYMENTS RECOVERIES,BALANCE SHEET,THE MEDICAL PROTECTION SOCIETY,JKO527-173559,"£33,515",1816902917,99999999
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,507",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,498",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,449",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,413",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,STR PENSION WISE,TELEREAL TRILLIUM,995466,"£33,407",9115102900,10382072
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606643,"£33,358",5217100002,10392328
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,267",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,249",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£33,227",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606643,"£33,093",5217100002,10392328
DWP,CORPORATE,17-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ADMS PROGRAMME,ENTSERV UK LTD,6050137,"£33,061",5813102901,10389010
DWP,CORPORATE,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ITLR HOSTING DEL P,ENTSERV UK LTD,6048306,"£33,006",5218102901,10389594
DWP,CORPORATE,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ITLR HOSTING DEL P,ENTSERV UK LTD,6050118,"£33,006",5218102901,10389594
DWP,CORPORATE,24-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,HR EYECARE,SPECSAVERS CORPORATE EYECARE,INVO/00051607,"£32,999",5212100000,10396143
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD PEEL PARK,TELEREAL TRILLIUM,995466,"£32,981",9115102900,10393800
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,970",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606648,"£32,883",5217100002,10392328
DWP,CORPORATE,15-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - DESKTOPS,DIG CHANNEL PLATFORMS ITLR SUSTAINABLE PRINT SERV DEL A,XEROX UK LTD 3W,2675420,"£32,737",5813102900,10389543
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,694",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,661",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,652",9115102900,10393860
DWP,CORPORATE,19-Jan-18,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,DIG ITLR - CONNECTIVITY - PSNC - DELA,BT GLOBAL SERVICES,460186,"£32,650",9115302900,10389147
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG WP FG CEP ESF1420 FAM LONDON CENTRAL,G4S REGIONAL MANAGEMENT UK & I LTD,100043,"£32,574",5213102915,10419344
DWP,CORPORATE,18-Jan-18,CL - OTHER PAYABLES - NHS INCENTIVISATION (EHIC COSTS),BALANCE SHEET,UNI HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,902,"£32,515",2617902901,99999999
DWP,CORPORATE,18-Jan-18,CL - OTHER PAYABLES - NHS INCENTIVISATION (EHIC COSTS),BALANCE SHEET,SOUTHAMPTON UNIVERSITY HOSPITAL NHS TRUST,711,"£32,463",2617902901,99999999
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,26S16C01311/CL/17Q02/13,"£32,327",1816900000,10419400
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,272",9115102900,10393860
DWP,CORPORATE,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - TELEPHONY,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,REACH DATA LTD,18037,"£32,269",5218102903,10389148
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,184",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,056",9115102900,10393860
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ADMS PROGRAMME,ENTSERV UK LTD,6048550,"£32,049",5218102901,10389010
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£32,012",9115102900,10393860
DWP,CORPORATE,18-Jan-18,CL - OTHER PAYABLES - NHS INCENTIVISATION (EHIC COSTS),BALANCE SHEET,HIGHLAND ACUTE HOSPITALS NHS TRUST,1037,"£32,010",2617902901,99999999
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£31,998",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606643,"£31,965",5217100002,10392328
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£31,946",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES -  MEDICAL - OPINIONS OTHER,FG CS HS HEALTH & WORK SERVICES CONTRACT,HEALTH MANAGEMENT LTD,86,"£31,935",5216102909,10394100
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£31,914",9115102900,10393860
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6049567,"£31,837",5813102901,10389589
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP NORTH WEST MERS HAL CUMB AND LANCS A4E,PEOPLEPLUS GROUP,100138,"£31,830",5213102918,10419147
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,24S17C02059/CL/17Q02/13,"£31,827",1816900000,10419400
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,37S17C01938/CL/17Q02/13,"£31,816",1816900000,10419400
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£31,795",9115102900,10393860
DWP,CORPORATE,23-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG IOS DATA OPERATIONS DEL P,CROWN HOSTING DATA CENTRES LTD,1378,"£31,740",5813102901,10389588
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,COMMS STATE PENSION PROGRAMME,CARAT LTD,373231,"£31,713",5214100000,10383040
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,38S16C01288/CL/17Q02/13,"£31,680",1816900000,10419400
DWP,CORPORATE,25-Jan-18,Exp - Purchase Of Goods/Services - Consultancy,OPS DS BENEFITS GROUP SUPPORT,CAPITA BUSINESS SERVICES LTD,6119000144A,"£33,706",5211200000,10401770
