Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
10/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Frazer-Nash Consultancy Ltd,542684,30376.84,DESNZ - Delivery of BEIS Energy Innovation-R & D Outsourced Other,RH4 1HJ,VENDOR
10/10/2023,Other IT Consultancy,DESNZ - Energy Markets & Supply - DESNZ - Analysis Directorate,Nixinfinity AI Ltd,542691,57000,DESNZ - Devolved Admin-Other IT Consultancy,DE23 4AZ,VENDOR
10/10/2023,Consultancy Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,4C Associates Ltd,542696,44050,DESNZ - Net Zero Costs - Admin-Consultancy Expenditure,W6 7JP,VENDOR
10/10/2023,Consultancy Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,4C Associates Ltd,542697,58850,DESNZ - Net Zero Costs - Admin-Consultancy Expenditure,W6 7JP,VENDOR
10/10/2023,Current Grants To Private Sector - NPISH,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,SALIX FINANCE LTD,542706,1213573.08,DESNZ - Low Carbon Skills Fund LCSF-Current Grants To Private Sector - NPISH,E14 4PU,GRANT
12/10/2023,Capital Grants to Private Sector - Companies,DESNZ - Energy Infrastructure - DESNZ - Energy Development,Global Underwater Hub Ltd,542708,350577.11,DESNZ - Global Underwater Hub-Capital Grants to Private Sector - Companies,AB32 6FE,VENDOR
10/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Office for Nuclear Regulation,542721,39529.71,DESNZ - Net Zero Innovation - Nuclear-R & D Outsourced Other,NP10 8FZ,VENDOR
12/10/2023,Current Grants To Private Sector - NPISH,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Elexon Ltd,542725,444173528.9,DESNZ - Energy Price Guarantee GB - Domestic AME-Current Grants To Private Sector - NPISH,NW1 3AW,VENDOR
10/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",MOTT MACDONALD LTD,542728,26977.48,DESNZ - Delivery of BEIS Energy Innovation-R & D Outsourced Other,CR0 2EE,VENDOR
10/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",MOTT MACDONALD LTD,542736,34303.3,DESNZ - Delivery of BEIS Energy Innovation-R & D Outsourced Other,CR0 2EE,VENDOR
10/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",MOTT MACDONALD LTD,542737,31684.26,DESNZ - Delivery of BEIS Energy Innovation-R & D Outsourced Other,CR0 2EE,VENDOR
11/10/2023,Consultancy Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,Softwire Technology Ltd,542740,144150,DESNZ - Industrial Energy Transformation scheme-Consultancy Expenditure,NW5 1TL,VENDOR
10/10/2023,Other IT Consultancy,ICS - Integrated Corporate Services - ICS - Digital,GARTNER UK LTD,542760,321360,DESNZ - Devolved Admin-Other IT Consultancy,TW20 9AH,VENDOR
11/10/2023,Other IT Consultancy,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,Astraeus Consulting Ltd,542939,28787.5,DESNZ - Business Energy Efficiency Delivery-Other IT Consultancy,HP4 2DF,VENDOR
11/10/2023,External Legal Advice and Service,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Ashurst LLP,542949,336518.75,DESNZ - Great British Nuclear-External Legal Advice and Service,E1 6PW,VENDOR
12/10/2023,Utilisation of Provisions - Early Departure,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",UK Atomic Energy Authority (UKAEA),542960,1635779.57,DESNZ - UKAEA Restructuring-Utilisation of Provisions - Early Departure,OX14 3DB,WGA ONLY
12/10/2023,Grant-In-Aid to Arms Length Bodies,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",UK Atomic Energy Authority (UKAEA),542960,21265134.43,DESNZ - UKAEA Financing-Grant-In-Aid to Arms Length Bodies,OX14 3DB,WGA ONLY
30/10/2023,PPM Consultancy,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Moorhouse Consulting Ltd,542979,183407.5,DESNZ - Energy Bill Discount Scheme DEL-Prog-PPM Consultancy,EC2M 1QS,VENDOR
11/10/2023,Business Rates,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",RICARDO-AEA LTD,542991,96766.63,DESNZ - Greenhouse Gas Emissions Inventory-Business Rates,OX11 0QR,VENDOR
11/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Brill Power Ltd,542992,72735,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,OX1 1HU,GRANT
11/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Heat Scheme Ltd,542997,47986,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,WC2H 9JG,GRANT
11/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Heat Scheme Ltd,542998,35642,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,WC2H 9JG,GRANT
16/10/2023,Technical Advice / Services & Support,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",Ove Arup and Partners Ltd,543007,75719,DESNZ - New Nuclear Sizewell C (Net Zero)-Technical Advice / Services & Support,W1T 4BJ,VENDOR
11/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",AECOM Ltd,543013,27213.78,DESNZ - Delivery of BEIS Energy Innovation-R & D Outsourced Other,WC1V 6QS,VENDOR
11/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",AECOM Ltd,543019,27921.76,DESNZ - Delivery of BEIS Energy Innovation-R & D Outsourced Other,WC1V 6QS,VENDOR
11/10/2023,Capital Grants to Private Sector - Companies,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,WEPA UK LTD,543027,98732.08,DESNZ - Industrial Energy Transformation scheme-Capital Grants to Private Sector - Companies,CF34 9RS,GRANT
11/10/2023,Outsourced Programme Management,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),543052,168213.36,DESNZ - Clean Heat SAP (Standard Assessment Procedure)-Outsourced Programme Management,WD25 9XX,VENDOR
12/10/2023,Subsidies to the Private Sector - Companies,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,Breedon Cement Ltd,543055,163996,DESNZ - Industrial Energy Transformation scheme-Subsidies to the Private Sector - Companies,DE73 8AP,GRANT
11/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",City Science Corporation Ltd,543218,53492.29,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,EX1 1TS,VENDOR
11/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",City Science Corporation Ltd,543219,51182.86,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,EX1 1TS,VENDOR
11/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Integrals Power Ltd,543223,40199.99,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,MK15 8JA,VENDOR
16/10/2023,Other Technical Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Smart Metering Implementation Programme,BARINGA PARTNERS LLP,543230,31056,DESNZ - Roll-out of Smart Meters-Other Technical Professional Services,SW1E 6AJ,VENDOR
12/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Teesdale Environmental Consulting Ltd,543236,35089,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,DL12 0QR,VENDOR
12/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",RICARDO-AEA LTD,543278,32084.27,DESNZ - Climate Science Capability-R & D Outsourced Other,OX11 0QR,VENDOR
12/10/2023,Rentals Under Non-PFI Operating Leases - Buildings,ICS - Integrated Corporate Services - ICS - Operations,Government Property Agency,543279,197000,DESNZ - Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,B2 2QQ,VENDOR
12/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Kellogg Company of Great Britain Ltd,543282,82351.29,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Outsourced Other,M50 2HF,GRANT
13/10/2023,Consultancy Expenditure,ICS - Integrated Corporate Services - ICS - Commercial,4C Associates Ltd,543290,34650,DESNZ - Shared Services CS Admin-Consultancy Expenditure,W6 7JP,VENDOR
12/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Chameleon Technology (UK) Ltd,543295,89437.59,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,HG2 8NA,GRANT
13/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Chameleon Technology (UK) Ltd,543296,95525.7,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,HG3 1UF,GRANT
12/10/2023,Outsourced Programme Management,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Triple Point Investment Management LLP,543300,50037.6,DESNZ - HNIP delivery programme expenditure-Outsourced Programme Management,EC4N 7AF,VENDOR
12/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Ultra Safe Nuclear Corporation UK Ltd (USNC-UK),543312,205943.68,DESNZ - Net Zero Innovation - Nuclear-R & D Outsourced Other,WA10 6BW,VENDOR
13/10/2023,R & D Economic Consultancy and Research,DESNZ - Energy Markets & Supply - DESNZ - Analysis Directorate,Kantar Public UK Ltd,543329,115495,DESNZ - Energy Statistics and Data-R & D Economic Consultancy and Research,SE1 2QY,VENDOR
12/10/2023,Other Professional Services,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Protection Directorate",NATIONAL NUCLEAR LABORATORY LTD,543333,196326.61,DESNZ - Nuclear Safeguards Programme-Other Professional Services,WA3 6AE,VENDOR
12/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",CAG CONSULT LLP T/A CAG CONSULTANTS,543355,39629.28,DESNZ - Net Zero Innovation - Hydrogen-R & D Outsourced Other,EC3N 1LS,VENDOR
12/10/2023,Legal Costs,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,BURGES SALMON LLP,543469,33688.44,DESNZ - HNDU pipeline and related expenditure-Legal Costs,BS2 0ZX,VENDOR
12/10/2023,Outsourced Programme Management,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Fair Heat Ltd,543470,32490,DESNZ - Heat Networks Efficiency Scheme (HNES)-Outsourced Programme Management,SE1 3QB,VENDOR
13/10/2023,Contractor Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,RICARDO-AEA LTD,543487,26584.86,DESNZ - Chp Quality Assurance Programme-Contractor Expenditure,OX11 0QR,VENDOR
13/10/2023,Procurement Consultancy,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy",Climate Policy Initiative,543495,35842,DESNZ - INZ - CARE Fund-Procurement Consultancy,CA 94105,VENDOR
13/10/2023,R & D Economic Consultancy and Research,DESNZ - Energy Markets & Supply - DESNZ - Analysis Directorate,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),543502,77242,DESNZ - Energy Statistics and Data-R & D Economic Consultancy and Research,WD25 9XX,VENDOR
13/10/2023,Other Goods/Services,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Chameleon Technology (UK) Ltd,543520,77076,DESNZ - Net Zero Innovation - Smart-Other Goods/Services,HG3 1UF,GRANT
13/10/2023,Subsidies to the Private Sector - Companies,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,Pioneer Foods (UK) Ltd,543524,56619,DESNZ - Industrial Energy Transformation scheme-Subsidies to the Private Sector - Companies,N8 4HB,GRANT
13/10/2023,Finance & Accounting Advice,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Deloitte LLP,543545,258663,DESNZ - Great British Nuclear-Finance & Accounting Advice,EC4A 3HQ,VENDOR
13/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Deloitte LLP,543546,216304.5,DESNZ - Great British Nuclear-Consultancy Expenditure,EC4A 3HQ,VENDOR
16/10/2023,Finance & Accounting Advice,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Deloitte LLP,543547,200639.9,DESNZ - Great British Nuclear-Finance & Accounting Advice,EC4A 3HQ,VENDOR
13/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Deloitte LLP,543548,62503.02,DESNZ - Great British Nuclear-Consultancy Expenditure,EC4A 3HQ,VENDOR
13/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Hive Composites Ltd,543578,210811.88,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Outsourced Other,LE11 3QF,VENDOR
13/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",MOTT MACDONALD LTD,543593,185665.17,DESNZ - Great British Nuclear-Consultancy Expenditure,CR0 2EE,VENDOR
13/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",MOTT MACDONALD LTD,543595,252814.97,DESNZ - Great British Nuclear-Consultancy Expenditure,CR0 2EE,VENDOR
13/10/2023,Finance & Accounting Advice,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Deloitte LLP,543601,396158.25,DESNZ - Great British Nuclear-Finance & Accounting Advice,EC4A 3HQ,VENDOR
13/10/2023,Finance & Accounting Advice,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Deloitte LLP,543603,529183.13,DESNZ - Great British Nuclear-Finance & Accounting Advice,EC4A 3HQ,VENDOR
16/10/2023,Hire of Interim Managers,DESNZ - Corporate Services - DESNZ - Finance Directorate,Alexander Mann Solutions Ltd,543762,84721.15,DESNZ - DESNZ Corporate Services Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
17/10/2023,Outsourced Programme Management,DESNZ - Energy Infrastructure - DESNZ - Hydrogen and Industrial Carbon Capture,TECHNOPOLIS LTD,543763,107525,DESNZ - Hydrogen and Industrial Energy Business Models-Outsourced Programme Management,BN1 1EE,VENDOR
16/10/2023,Current Grants To Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy","Ashden Sustainable Solutions, Better Lives",543775,130174,DESNZ - International Climate Finance (ICF)-Current Grants To Private Sector - NPISH,SW1V 1AP,VENDOR
17/10/2023,Clearing - Cost - Assets Under Construction - Internally Developed Software,DESNZ - Corporate Services - DESNZ - Implementation and Delivery Directorate,Storm ID Ltd,543790,37822.5,DESNZ - Finance Infrastructure and Maintenance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EH65BG,VENDOR
17/10/2023,Clearing - Cost - Assets Under Construction - Internally Developed Software,DESNZ - Corporate Services - DESNZ - Implementation and Delivery Directorate,Storm ID Ltd,543790,235717.5,DESNZ - Finance Infrastructure and Maintenance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EH65BG,VENDOR
17/10/2023,Clearing - Cost - Assets Under Construction - Internally Developed Software,DESNZ - Corporate Services - DESNZ - Implementation and Delivery Directorate,Storm ID Ltd,543792,265335,DESNZ - Finance Infrastructure and Maintenance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EH65BG,VENDOR
31/10/2023,Audit Services,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,FTI Consulting Ltd,543796,725925.98,DESNZ - Energy Price Guarantee - Domestic-Audit Services,EC1A 4HD,VENDOR
16/10/2023,Technical Advice / Services & Support,DESNZ - Energy Infrastructure - DESNZ - Carbon Capture Usage and Storage,WSP UK LTD,543797,554511.88,DESNZ - CCS Projects-Technical Advice / Services & Support,M15 4RP,VENDOR
16/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",OLYMPUS AUTOMATION LTD,543831,61172.12,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Current Grants to Private Sector - NPISH,PE2 6YN,GRANT
17/10/2023,HR Advice and Services,ICS - Integrated Corporate Services - ICS - Human Resources,Amiqus Resolution Ltd,543997,26000,DESNZ - Shared Services CS Admin-HR Advice and Services,EH12 5HD,VENDOR
17/10/2023,R & D Technical Advice/Services and Support,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,GL Industrial Services UK Ltd,544014,55256.44,DESNZ - Hydrogen Heating - CDEL expenditure-R & D Technical Advice/Services and Support,LE11 3GR,VENDOR
17/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Triple Point Investment Management LLP,544015,201064.72,DESNZ - Green Heat Networks Fund (GHNF)-Administration of Grants and Awards,EC4N 7AF,VENDOR
17/10/2023,Other Goods/Services,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",PRICEWATERHOUSECOOPERS LLP,544022,44400,DESNZ - Net Zero Innovation - Built-Other Goods/Services,WC2N 6RH,VENDOR
17/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",MOTT MACDONALD LTD,544024,122151.37,DESNZ - Great British Nuclear-Consultancy Expenditure,CR0 2EE,VENDOR
17/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",MOTT MACDONALD LTD,544032,30160,DESNZ - Greenhouse Gas Emissions Inventory-R & D Outsourced Other,CR0 2EE,VENDOR
17/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",MOTT MACDONALD LTD,544034,45800.7,DESNZ - Greenhouse Gas Emissions Inventory-R & D Outsourced Other,CR0 2EE,VENDOR
17/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",MCS Service Company Ltd,544042,31512,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,WA4 4AB,GRANT
17/10/2023,Consultancy Expenditure,ICS - Integrated Corporate Services - ICS - Commercial,4C Associates Ltd,544051,41800,DESNZ - Shared Services CS Admin-Consultancy Expenditure,W6 7JP,VENDOR
17/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Severn Wye Energy Agency Ltd,544053,565519.57,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,GL2 8DN,GRANT
17/10/2023,Consultancy Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,4C Associates Ltd,544058,36480,DESNZ - Net Zero Costs - Admin-Consultancy Expenditure,W6 7JP,VENDOR
17/10/2023,Consultancy Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,4C Associates Ltd,544059,32700,DESNZ - Net Zero Costs - Admin-Consultancy Expenditure,W6 7JP,VENDOR
17/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Alps Ecoscience UK Ltd,544297,66134.57,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,RG41 1QW,VENDOR
19/10/2023,Other Technical Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Smart Metering Implementation Programme,Gemserv Limited,544298,32640,DESNZ - Roll-out of Smart Meters-Other Technical Professional Services,EC3M 4AJ,VENDOR
18/10/2023,Guarding and Security Services,ICS - Integrated Corporate Services - ICS - Operations,Cabinet Office,544301,72000,DESNZ - Shared Services CS Admin-Guarding and Security Services,NP10 8FZ,WGA ONLY
17/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy",KPMG LLP,544314,26400,DESNZ - International Climate Finance (ICF)-Consultancy Expenditure,E14 5GL,VENDOR
20/10/2023,Current Grants To Private Sector - NPISH,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,ESB Independent Energy (NI) Ltd,544320,85110.58,DESNZ - Energy Price Guarantee NI - Domestic AME-Current Grants To Private Sector - NPISH,D02 KT92,GRANT
20/10/2023,Current Grants To Private Sector - NPISH,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,SSE Airtricity Energy Supply (NI) Ltd,544323,1216986.23,DESNZ - Energy Price Guarantee NI - Domestic AME-Current Grants To Private Sector - NPISH,BT2 7AQ,GRANT
18/10/2023,Outsourced Programme Management,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Deloitte LLP,544325,129569.63,DESNZ - Energy Bill Discount Scheme DEL-Prog-Outsourced Programme Management,MK9 1FD,VENDOR
24/10/2023,PPM Consultancy,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",PA Consulting Services Ltd,544331,214854.69,DESNZ - New Nuclear Sizewell C (Net Zero)-PPM Consultancy,SG8 6DP,VENDOR
24/10/2023,PPM Consultancy,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",PA Consulting Services Ltd,544338,89560,DESNZ - New Nuclear Sizewell C (Net Zero)-PPM Consultancy,SG8 6DP,VENDOR
18/10/2023,NCL - Accruals - ODA promissory notes,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy",BANK OF ENGLAND,544340,1850000,DESNZ - International Climate Finance (ICF)-NCL - Accruals - ODA promissory notes,EC2R 8AH,VENDOR
18/10/2023,Other Technical Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Smart Metering Implementation Programme,BARINGA PARTNERS LLP,544370,29817.6,DESNZ - Roll-out of Smart Meters-Other Technical Professional Services,SW1E 6AJ,VENDOR
18/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",New Energy Farms EU Ltd,544375,208751.4,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,SN8 1NE,VENDOR
19/10/2023,Other Technical Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Smart Metering Implementation Programme,BARINGA PARTNERS LLP,544384,30654,DESNZ - Roll-out of Smart Meters-Other Technical Professional Services,SW1E 6AJ,VENDOR
18/10/2023,Other Professional Services,DESNZ - Energy Infrastructure - DESNZ - Offshore Petroleum Regulator for Environment and Decommissioning,HARTLEY ANDERSON LTD,544525,35975.5,DESNZ - Offshore Energy Strategic Environmental Assessment-Other Professional Services,AB41 8ER,VENDOR
18/10/2023,Security Clearance Costs,ICS - Integrated Corporate Services - ICS - Operations,Cabinet Office,544527,460880,DESNZ - Shared Services CS Admin-Security Clearance Costs,NP10 8FZ,WGA ONLY
18/10/2023,Legal Services and Advice Agency,DESNZ - Energy Infrastructure - DESNZ - Carbon Capture Usage and Storage,Ashurst LLP,544530,559347.45,DESNZ - CCS Projects-Legal Services and Advice Agency,E1 6PW,VENDOR
18/10/2023,Other Professional Services,DESNZ - Energy Infrastructure - DESNZ - Energy Systems & Networks,BARINGA PARTNERS LLP,544535,192573,DESNZ - Reform of Energy System Operations-Other Professional Services,SW1E 6AJ,VENDOR
19/10/2023,Contractor Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,RICARDO-AEA LTD,544551,26304.48,DESNZ - Chp Quality Assurance Programme-Contractor Expenditure,OX11 0QR,VENDOR
19/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Thermoelectric Conversion Systems Ltd,544554,50414.76,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,G81 2QP,GRANT
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",LEEDS CITY COUNCIL,544560,25485.81,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,LS1 1UR,GRANT
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",LEEDS CITY COUNCIL,544565,76872.28,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,LS2 8JR,GRANT
20/10/2023,Finance & Accounting Advice,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",PRICEWATERHOUSECOOPERS LLP,544589,132884.38,DESNZ - New Nuclear Sizewell C (Net Zero)-Finance & Accounting Advice,WC2N 6RH,VENDOR
19/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",LINKLATERS LLP,544593,1037245.6,DESNZ - New Nuclear Sizewell C (Net Zero)-Consultancy Expenditure,EC2Y 8HQ,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544600,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1LF,VENDOR
19/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",RICARDO-AEA LTD,544619,32084.27,DESNZ - Climate Science Capability-R & D Outsourced Other,OX11 0QR,VENDOR
19/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Kew Projects Ltd,544623,25412.71,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Outsourced Other,B3 3HN,VENDOR
