Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,ZOOM.US 888-799-9666,Information and Communications Technology,Information Communication Technology  ,11.11.2020,16.12.2020,GPC11200000113,11.99
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,08.11.2020,16.12.2020,GPC11200000114,49.95
Stockport MBC,Services to People,Childrens & Educational Services,SENSORY DIRECT,Furniture and Equipment,Environmental Services Technical Equipment ,04.11.2020,16.12.2020,GPC11200000115,25.38
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Care Payments,Social Community Care Supplies & Services  ,02.11.2020,16.12.2020,GPC11200000116,53.90
Stockport MBC,Services to Place,Central Support Costs,GRESTYS FLORIST,Furniture and Equipment,Furniture & Soft Furnishings  ,25.11.2020,16.12.2020,GPC11200000117,52.00
Stockport MBC,Services to Place,Central Support Costs,GRESTYS FLORIST,Furniture and Equipment,Furniture & Soft Furnishings  ,25.11.2020,16.12.2020,GPC11200000118,-52.00
Stockport MBC,Services to People,Childrens & Educational Services,TUTORS & EXAMS,Fees and Charges,Human Resources Training & Conferences ,30.11.2020,16.12.2020,GPC11200000119,835.00
Stockport MBC,Services to People,Childrens & Educational Services,MENTIMETER,Information and Communications Technology,Information Communication Technology  ,22.11.2020,16.12.2020,GPC11200000120,112.01
Stockport MBC,Services to People,Childrens & Educational Services,MENTIMETER,Publicity and Promotion,Arts & Leisure Services  ,22.11.2020,16.12.2020,GPC11200000121,112.01
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000122,42.57
Stockport MBC,Services to People,Childrens & Educational Services,HOME BARGAINS,Furniture and Equipment,Environmental Services Technical Equipment ,24.11.2020,16.12.2020,GPC11200000123,2.96
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,23.11.2020,16.12.2020,GPC11200000124,41.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,09.11.2020,16.12.2020,GPC11200000125,46.39
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,05.11.2020,16.12.2020,GPC11200000126,10.26
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME MY7IZ3BF4,Fees and Charges,Financial Services  ,01.12.2020,16.12.2020,GPC11200000127,7.99
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  TECOBUY,Care Payments,Social Community Care Supplies & Services  ,30.11.2020,16.12.2020,GPC11200000128,-269.99
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  TECOBUY,Care Payments,Social Community Care Supplies & Services  ,29.11.2020,16.12.2020,GPC11200000129,269.99
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,25.11.2020,16.12.2020,GPC11200000130,78.58
