Entity,GL Date,Merchant name,Amount,Description,,,,
EA,02/05/2014,ADLER & ALLAN LTD,2595.60,Disposal of contaminated beach and unknown fly-tipped waste in drums,,,,
EA,16/05/2014,SAFETYSHOP,779.88,Shelving for workshop at Pevensey for more suitable storage of specialist equipment,,,,
EA,06/05/2014,TRUCK CRANE SRVS,1758.00,Replacement pallet forks for lorry-mounted cranes,,,,
EA,19/05/2014,RS COMPONENTS,745.99,Fish counter consumables for start of fish counting season and two temperature loggers for deployment on the lower River Test for validation of water temperature modelling relating to a major abstraction licence,,,,
EA,14/05/2014,WWW.PISCESCONSERVATION,960.00,Statistical review of salmon migration analysis and interpretation for review of conditions on a major abstraction licence,,,,
EA,12/05/2014,RS COMPONENTS,551.60,Parts for solar installs and spares for telemetry outstations,,,,
EA,14/05/2014,FARNELL ELECTRONIC,684.18,"Cable, waterproof connectors and enclosures for ten site rechargeable battery upgrades",,,,
EA,29/04/2014,SELECTSOLAR,1219.85,Four forty-watt solar panels and regulators for upgrades at four remote rain gauge sites,,,,
EA,29/04/2014,WWW.UK.RS-ONLINE.C,989.40,Ten rechargeable sealed lead-acid batteries to replace old batteries at remote sites,,,,
EA,15/05/2014,Hilti Centre Portsmout,523.73,Anchor resin for steel reinforcement and concrete work at Lepe Outfall - incident recovery work,,,,
EA,07/05/2014,RAYMOND BROWN AGGREGAT,612.00,Forty tonnes of crushed concrete Type 1 for Timsbury Weedboom site,,,,
EA,02/05/2014,JOHN BOURNE & CO LTD,1440.00,Clay for emergency bank repairs on the Kent ditch watercourse,,,,
EA,19/05/2014,JOHN BOURNE & CO LTD,1200.00,Clay for emergency bank repairs on the Kent ditch watercourse,,,,
EA,02/05/2014,JOHN BOURNE & CO LTD,960.00,Clay for emergency bank repairs on the Kent ditch watercourse,,,,
EA,07/05/2014,IMPRESS SENSORS & SYS,864.00,Sensors for Telemetry outstation replacement for Hamble Tide,,,,
EA,13/05/2014,GREENHAM TRADING LTD,902.35,Janitorial supplies for in-house work force at Thames Barrier and associated sites,,,,
EA,07/05/2014,DAVID J ATTFIELD L,565.25,Shepperton Lock - replacement brushcutter,,,,
EA,20/05/2014,WWW.MALCLEANSE.CO.UK,954.00,Teddington Lock - replacement power washer,,,,
EA,20/05/2014,HIRESTATION,4734.00,Three cable and services detectors,,,,
EA,08/05/2014,HONEY BROTHERS LTD,674.26,Lug-alls winching system to be used in tree removal operations on a day-to-day basis and in emergency response where space is at a premium,,,,
EA,30/04/2014,ELECTRAFISH LIMITE,1440.00,"Repairs to three faulty electric fishing control boxes used to carry out fish population surveys, plus mandatory quarterly electrical testing of all electric fishing equipment",,,,
EA,20/05/2014,D M CHAINSAWS LTD,836.53,"Service and repairs to strimmers and hedge cutters, plus new non-spill fuel cans for three vans and three silky saws for maintenance works",,,,
EA,15/05/2014,HAMMOND DRYSUITS LTD,725.50,Drysuit required for beach sampling and fish surveys,,,,
EA,01/05/2014,DHS TOOL SUPPLY CO LTD,907.63,"Steel fuel cans, spray paint, grease and lopping saws for Osney stores and Field Team members",,,,
EA,23/05/2014,DHS TOOL SUPPLY CO LTD,508.93,"Toilet cleaner, antibacterial soap, wheelbarrows and various sizes of water containers for Osney stores ",,,,
EA,23/05/2014,DHS TOOL SUPPLY CO LTD,934.87,Various sizes of rope for Osney stores ,,,,
EA,23/05/2014,DHS TOOL SUPPLY CO LTD,1013.53,Various sizes and thickness of rope for Osney stores ,,,,
EA,23/05/2014,DHS TOOL SUPPLY CO LTD,679.46,"Air fresheners, steel fuel cans and hand saws for Osney stores",,,,
EA,06/05/2014,DHS TOOL SUPPLY CO LTD,736.54,"Various sizes of paint brushes, wrenches, paint rollers, funnels, broom handles, batteries, drill bits and windscreen cleaner for Osney stores ",,,,
EA,06/05/2014,EMS CONSOLIDATED LTD,536.26,Honda pump service costs for Osney Depot,,,,
EA,02/05/2014,PRO-FACE (UK) LTD,2876.40,Units for gate inclinometers on Thames Barrier,,,,
EA,07/05/2014,ELECTRAFISH LIMITE,861.60,Servicing of electric fishing equipment at Osney Depot,,,,
EA,07/05/2014,TV CASES,585.00,Waterproof cases to house batteries and electrical components at rain gauge sites,,,,
EA,16/05/2014,HYDRO LOGIC LTD,4266.00,Five Hawk data loggers for recording water level measurements,,,,
EA,28/04/2014,WITHERLEY SERVICES LTD,525.60,Stone for flood defence works on the Lower Dove scheme,,,,
EA,12/05/2014,WITHERLEY SERVICES LTD,648.00,Stone for flood defence works on the Lower Dove scheme,,,,
EA,27/05/2014,UNIVAR-MOTO,678.49,Six drums of hydrogen peroxide 35% treatment for Tixall park pool pollution,,,,
EA,21/05/2014,GREENAWAY AMENITY LTD,684.00,Herbiside to control invasive species in water courses,,,,
EA,20/05/2014,DRUCK LTD,992.40,Druck DPI 610 Pressure Calibrator repair,,,,
EA,09/05/2014,DONALD COOKE LTD,620.00,Fish food for feeding Grayling Fry,,,,
EA,14/05/2014,COMPRESSORS LTD,675.53,Supply and fit two new oil and water separators for oxygen system compressor air dryers,,,,
EA,14/05/2014,COMPRESSORS LTD,629.40,Service and parts for two air compressors for oxygen generator,,,,
EA,08/05/2014,SAFETY-KLEEN UK LTD,894.00,"Pollution clean-up for Belper pollution, Derbyshire",,,,
EA,08/05/2014,M & W ENGINEERING,1075.29,Stainless bolts and nuts in toolbox,,,,
EA,02/05/2014,ADLER & ALLAN LTD,3688.40,"Oil containment, clean-up and waste disposal costs at Mythe on bank of River Severn after January flood event",,,,
EA,12/05/2014,CAMLAB LTD,507.35,Ammonia test strips and pH kits for field staff,,,,
EA,28/04/2014,BDBS SERVICES,679.80,Fabrication of safety stillages for excavator attachments held at Kidderminster,,,,
EA,27/05/2014,BDBS SERVICES,543.84,Steel for fabrication of crates for safe carriage of excavator attachments,,,,
EA,29/04/2014,MARVIN COX LUBRICANTS,666.00,Six drums of bio chain oil for team,,,,
EA,15/05/2014,FARMWAY TRADING LIMITE,591.38,Various consumables for the production of live fish at Calverton Fish Farm,,,,
EA,02/05/2014,WWW.PONDKEEPER.CO.UK,911.84,New and improved-style replacement automatic feeders for the continued production of Grayling at Calverton Fish Farm,,,,
EA,20/05/2014,FISHER SCIENTIFIC UK L,761.85,Chemicals for laboratory use plus equipment to aid in the spawning of fish,,,,
EA,02/05/2014,GUARDIAN SECURITY,648.80,Fifty stainless steel padlocks for Clyst Honiton stores,,,,
EA,23/05/2014,VUE NCS CITB HS&E TEST,1200.00,"Forty Health and Safety touch screen tests with the Construction Skills Certification Scheme, held at Taunton Depot ",,,,
EA,13/05/2014,WALTER BAILEY (PAR)LTD,519.25,Sixty litres of round-up spraying equipment for general use in Field Services West area,,,,
EA,06/05/2014,SOUTHERN MICROSCOPES,741.60,Annual clean and service of laboratory microscopes,,,,
EA,02/05/2014,QUICKPRINT (SOUTHWEST),529.40,"Printing of documents in support of the financial claim (number 6), submitted to our European funding body, Interreg",,,,
EA,28/04/2014,DORMAR PRODUCTS,3474.00,Steel storage unit for perishable materials at Dorchester Depot,,,,
EA,14/05/2014,DORMAR PRODUCTS,3173.70,Flexible steps for safe access on Swanage reservoir embankment to install new sand drains,,,,
EA,19/05/2014,JOHN DAVIDSON PIPE,3253.84,225mm and 600mm diameter twin wall plastic pipe and fittings for Swanage reservoir drainage improvement,,,,
EA,06/05/2014,COLLINS NETS LIMITED,840.60,Repair of eight drysuits which are used for electro fishing and bathing water surveys,,,,
EA,09/05/2014,D B CONCRETE LTD,835.20,Six square metres of concrete for the construction of a slab to cover a hole for operations public safety at a flood gate at Hutley Beach near Clacton-on-Sea,,,,
EA,07/05/2014,D B CONCRETE LTD,532.80,Four square metres of concrete for the construction of a slab to cover a hole for operations public safety at a flood gate at Hutley Beach near Clacton-on-Sea,,,,
EA,12/05/2014,D B CONCRETE LTD,532.80,Four square metres of concrete for the construction of a slab to cover a hole for operations public safety at a flood gate at Hutley Beach near Clacton-on-Sea,,,,
EA,30/04/2014,SGI INDUSTRIES LTD,968.39,Forty litres of resin paint for maintenance of fluvial and costal structures and assets in the Anglian Region,,,,
EA,12/05/2014,BOC GASES,663.67,Annual rental of gas bottles for Field Teams in the Essex area,,,,
EA,08/05/2014,JEWSON LTD,668.88,"Four tonnes of cement for restoration works to seawall at Burnham on Crouch, Essex",,,,
EA,19/05/2014,O S LOCKE LTD,2406.82,"Galvanised metal kee klamp safety fencing system used to secure an unguarded edge of a seawall for public safety on an area of Mersea Island seawall - Colchester, Essex",,,,
EA,14/05/2014,WWW.BBOFFICESUPPLIES.C,723.00,"Adapted chair for team member under Health, Safety and Wellbeing",,,,
EA,07/05/2014,DISPLAY GRAPHICS,1600.51,Supply of 2400x2400 Ordnance Survey maps of operational area mounted on board to provide visual aid and reference on the wall of Incident Response Room at the Ely Depot,,,,
EA,19/05/2014,SURVITEC LOWESTOFT,1180.81,Annual inspection and service of fifty lifejackets for Ouse Washes team members,,,,
EA,12/05/2014,LINCOLN SECURITY LTD,563.98,Abloy locks for chambers on the Ely Ouse to Essex Transfer Scheme to provide security to the pipeline.,,,,
EA,14/05/2014,WWW.DARCY.CO.UK,564.56,"Two one hundred-litre drip trays for pollution prevention at Haddiscoe Depot and on sites across Norfolk and Suffolk.  To provide safe bunded environment for oil, chemical and other liquid drums to collect any dripped or spilt liquid.",,,,
EA,29/04/2014,SAFETYSHOP,3400.80,104 x public safety signage for Happisburg to Winterton Beach frontage for every groyne (a structure which is either a low wall or timber barrier) built out into the sea from the beach to check erosion and drifting,,,,
EA,29/04/2014,WWW.EXTRANET.APLANT.CO,1098.75,Annual service of all handheld electric tools for the South Norfolk team,,,,
EA,12/05/2014,Trimble Europe B.V,2420.00,One-year software licence that enables Trimble Global Positioning System (GPS) to function. For use primarily in Norfolk and periodically in Suffolk and Essex areas.,,,,
EA,12/05/2014,WWW.S3I.CO.UK,912.59,"Stainless steel safety wires for Cley Village Flood Defences, North Norfolk. Wiring system is used to infill kee klamp fencing sections to reduce risk of public falling from height onto concrete.",,,,
EA,01/05/2014,OMNI INSTRUMENTS LIMIT,546.00,Antenna components for wireless Ethernet bridge remote sonar control and monitoring,,,,
EA,01/05/2014,A & W CUSHION LTD,767.66,Timber hand rails and posts for the construction of safety fencing along the Happisburgh and Winterton Beach front,,,,
EA,21/05/2014,ADAPTAINER LIMITED,2391.66,One steel storage container for storing tools and equipment at Sea Palling Compound for works between Happisburgh and Winterton Beach,,,,
EA,07/05/2014,KEYLINE,1219.37,Replacement of old concrete catch pit with new plastic catch pit on Mulbarton critical watercourse to stop future flooding,,,,
EA,29/04/2014,BRITISH METAL TREATMEN,554.70,Galvanising of posts that public warning signs are attached to on groynes along the Happisburg to Winterton beach frontage,,,,
EA,23/05/2014,LAMBERTS/NORWICH/LTD,1729.94,Assorted materials for the construction of a handrail to replace a safety fence along the Happisburg to Winterton beach frontage,,,,
EA,16/05/2014,YARMOUTH STL SVS LTD,695.48,Galvanising of posts that public warning signs are attached to on groynes along the Happisburg to Winterton beach frontage,,,,
EA,29/04/2014,BSS NORWICH,3501.72,Thirty galvanised kee klamp guardrails and assorted materials for the construction of a fence for public health and safety along the Happisburg to Winterton beach frontage,,,,
EA,06/05/2014,MIDDLETON AGGREGATES L,797.81,Reject stones for river features at Dillington Loop ,,,,
EA,16/05/2014,MIDDLETON AGGREGATES L,1026.43,200mm stone for river features at Dillington Loop ,,,,
EA,19/05/2014,MIDDLETON AGGREGATES L,829.01,Reject stone for river features for Dillington Loop ,,,,
EA,30/04/2014,PATTRICK & THOMPSONS L,2563.00,Selection of timber rails and posts for public safety works across sites in Norfolk,,,,
EA,16/05/2014,SALIX RIVER & WETLAND,810.00,Rock-filled gabions (nets to use as erosion protection on river bank in North Norfolk area),,,,
EA,15/05/2014,WWW.CERTASENERGY.C,561.44,Eight hundred litres of red diesel fuel delivered for a portable fuel bowser to supply several sites with fuel for their excavators and dumpers ,,,,
EA,19/05/2014,PROMAIN (UK) LTD,1138.57,White line paint and grit used for painting the edge of the River Nene Locks to distinguish the edge of the Lock Pen for public safety,,,,
EA,06/05/2014,XYLEM ANALYTICS UK LTD,804.00,Annual servicing of two Dissolved-Oxygen Meters used for checking the dissolved oxygen in the River Nene prior to any weed cutting taking place,,,,
EA,19/05/2014,COLES (BUILDERS MERCHA,1276.27,"Twenty planks of green treated wood ranging from 3-metre to 4.2-metre lengths for repairs to lock landing stages at Orton, Yarwell and Lower Barnwell",,,,
EA,27/05/2014,ESTUARY ENGINEERING CO,565.80,Replacement of parts for an automatic weed screen at Padholme Pumping Station,,,,
EA,08/05/2014,VP FABRICATION LTD,834.00,"Fabrication of bearings for the repair of main drive gearbox at Marsh Road Sluices, Spalding",,,,
EA,06/05/2014,WATERRA (UK) LTD,1328.40,Four battery-operated 12V groundwater sampling pumps for use at Helpston groundwater monitoring and treatment project,,,,
EA,20/05/2014,ARTHUR IBBETT LTD,1093.97,Portable adjustable pressure washer that is fitted into the watercourse at the lock used to clean lock sites in the Anglian Region,,,,
EA,16/05/2014,JACKSONS FENCING,764.64,Fencing and gate fittings to Brampton Lock,,,,
EA,23/05/2014,WWW.BBOFFICESUPPLIES.C,726.00,Purchase of desk for one person for use with Display Screen Assessment ,,,,
EA,16/05/2014,WWW.BBOFFICESUPPLIES.C,1418.80,Two specialist ergonomic chairs for the Brampton Office,,,,
EA,20/05/2014,PLATE AND LOCATE LTD,723.61,99 stainless steel identity plates for the 33 lock guillotine gate structures on the River Nene between Northampton and Peterborough to ensure compliance with the requirements of the Lifting Operations and Lifting Equipment Regulations (LOLER),,,,
EA,07/05/2014,PAYPAL ADVANCEITGR,2892.00,Four lone-alert man-down safety alarm units with multi-network SIM cards and chargers on a three-year contract for staff from the Lincoln area working alone in the field,,,,
EA,01/05/2014,MOLE COUNTRY STORES,625.40,Five bags of grass seed for repairs to damaged flood bank between Barton upon Humber and South Ferriby ,,,,
EA,27/05/2014,MANCHESTER SAFETY SERV,1134.00,24 road safety barriers and 36 barrier feet for field services team at Mablethorpe Depot,,,,
EA,13/05/2014,PAYPAL ADVANCEITGR,1446.00,Two lone-alert man-down safety alarm units with multi-network SIM cards and chargers on a three-year contract for staff from the Lincoln area working alone in the field,,,,
EA,08/05/2014,HITACHI CAPITAL,3192.00,34 one-ton concrete blocks for use as a temporary flood defence at Mablethorpe,,,,
EA,02/05/2014,ABB LIMITED,714.00,Calibration of five water abstraction meters at the pump station at Torksey Lock ,,,,
EA,30/04/2014,CITY ELECTRICAL FA,1345.23,"Assorted operational equipment for Field Services Team at Short Ferry Depot, West Lindsey",,,,
EA,07/05/2014,PAYPAL ADVANCEITGR,1446.00,Two lone-alert man-down safety alarm units with multi-network SIM cards and chargers on a three-year contract for staff from the Lincoln area working alone in the field,,,,
EA,30/04/2014,WWW.EXTRANET.APLANT.CO,631.70,"Two-month hire of portable lighting rig for South Ferriby Depot, Lincoln following damage to electricals at site after flooding event",,,,
EA,09/05/2014,CHISLETTS,904.93,"Four-day hire of boom lift and stabiliser pads, eight-day hire of water bowser, one-day hire of excavator and twelve-day hire of hydraulic breaker for various Flood and Coastal Risk Management field operations in the Anglian Region",,,,
EA,12/05/2014,CROWTHORNE BEDFORD,670.32,Securing and fitting of a boundary fence from the public access point to Brampton Lock (River Ouse). This work was completed for health and safety requirements.,,,,
EA,21/05/2014,SGI INDUSTRIES LTD,2260.45,"Toilet rolls, nitrile protective gloves, white clean-up rags, paper hand-drying towels and Marigold industrial protective work gloves for all Field Teams",,,,
EA,12/05/2014,TRAVIS PERKINS,1517.04,Non-slip timber decking for the refurbishment of existing navigation portage platforms used at Lamarsh Weir and Sudbury Croft Mill Gates on the River Stour in Essex and Suffolk,,,,
EA,20/05/2014,CITY ELECTRICAL FA,724.92,Replacement emergency lights for pump station basement destroyed after tidal surge.  Special Zone 1 lights intrinsically safe from explosive gases.,,,,
EA,19/05/2014,ROSSENDALE GROUP L,954.02,"Two hand/chain hoists with two-ton safe working load hook suspension with eight metre reach; and two three-ton safe working load bow shackles to replace condemned lifting equipment at Grand Sluice, Boston",,,,
EA,19/05/2014,BSS NORWICH,2223.72,Assorted materials for the construction of a fence for public health and safety at multiple flood defence structures in the South East Region,,,,
EA,12/05/2014,TRAVIS PERKINS,2017.25,"Non-slip timber decking for the refurbishment of existing navigation portage platforms at Pitmire Weir, Wormingford Weir, Shalford Weir and Friars Meadow launching site at Sudbury on the River Stour in Essex and Suffolk",,,,
EA,30/04/2014,VARIOHM EUROSENSOR LTD,995.18,Movement sensor for the computer controlling the structure at Colne Barrier - required to know if the gate is in motion and its position once stopped,,,,
EA,07/05/2014,PAYPAL ADVANCEITGR,2169.00,Three lone-alert man-down safety alarm units with multi-network SIM cards and chargers on a three-year contract for staff from the Lincoln area working alone in the field,,,,
EA,21/05/2014,ARCO LTD,516.82,Personal Protective Equipment - new supply of work gloves and hand cleaning materials for the workshop at Short Ferry Depot ,,,,
EA,12/05/2014,CITY ELECTRICAL FA,698.76,Health and Safety electrical issues to be rectified at Brandy Wharf Moorings - electrical parts to change the system for safety,,,,
EA,01/05/2014,WWW.RESPONSE-INVESTOR.,1890.00,Subscription for on-line pensions technical media resource for ten users,,,,
EA,30/04/2014,PPL AUSTIN COURT,582.00,Venue hire plus lunch for fifteen people attending a Creating Asset Management Capacity (CAMC) meeting to discuss how flood defence assets are maintained ,,,,
EA,01/05/2014,XMA LTD,649.47,Eight colour toners for the Chief Executive's office at Horizon House as printer not covered by the Canon contract,,,,
EA,15/05/2014,ARMADA HOUSE CONFERENC,511.20,Room and equipment hire plus refreshments for twelve people attending a Team Planning meeting held in Bristol,,,,
EA,09/05/2014,INSTITUTE OF PUBLIC RL,540.00,Fee for one person attending one-day Chartered Institute of Public Relations (CIPR) Strategic Internal Communications training course,,,,
EA,19/05/2014,UKELA,500.50,Fee for one person attending UK Environmental Law Association (UKELA) annual two-day conference,,,,
EA,19/05/2014,UKELA,985.50,Fees for two people attending UK Environmental Law Association (UKELA) annual two-day conference. ,,,,
EA,16/05/2014,UKELA,1945.00,Fees for four people attending UK Environmental Law Association (UKELA) annual two-day conference. ,,,,
EA,20/05/2014,UKELA,500.50,Fee for one person attending UK Environmental Law Association (UKELA) annual two-day conference. ,,,,
EA,19/05/2014,DEFRA,693.30,"Venue hire, lunch and refreshments for seventy people attending DNA Workshop to engage external stakeholders in a project to develop cross-working relationships.  Venue hire cost was split 50/50 with Fera (Food and Environment Research Agency).",,,,
EA,30/04/2014,IET SERVICES LTD,866.40,Hire of two rooms - one being used as a breakout room - plus refreshments for twenty people attending a Freedom of Information Work Support Group,,,,
EA,23/05/2014,PRIORY ROOMS (BULL STR,596.40,Room hire and lunch for fifteen people attending National Operations Change Programme meeting to discuss Change Programme being carried out across National Operations,,,,
EA,21/05/2014,CONS.INST.ORG,1223.85,"Annual corporate membership of The Consultation Institute - to promote public, stakeholder and employee consultation",,,,
EA,13/05/2014,WWW.PB.COM,787.62,"Ink and labels to be used in franking machine at Iceni House, Ipswich",,,,
EA,27/05/2014,UNITED UTILITIES,791.78,"Monthly water, wastewater and sewerage bill for Lutra House office in Preston",,,,
EA,22/05/2014,MILLENNIUM,2493.34,Accommodation for fourteen people for one night plus room hire for two days plus lunch for fourteen people attending Environment and Business Directorate Change Team Meeting ,,,,
EA,23/05/2014,CONFERENCE ASTON LTD,1017.60,Room hire plus accommodation for eight people for one night while attending National Laboratory Services Management Team Quarterly Meeting ,,,,
EA,02/05/2014,4214,1200.00,"One-month storage of equipment after the closure of Phoenix House, Leeds ",,,,
EA,24/05/2014,4214,1200.00,"One-month storage of equipment after the closure of Phoenix House, Leeds ",,,,
EA,29/04/2014,PRIORY ROOMS (BULL STR,633.60,Room hire for 22 people attending a Refuse Derived Fuel (RDF) workshop,,,,
EA,30/04/2014,AUTOMATRICS LIMITE,604.80,One-year service charge to provide mapping and upkeep of three tracking devices deployed to detect and prevent environmental crime,,,,
EA,15/05/2014,ADAMS MARK,542.20,"Surface water quality Operations Technical Leads network meeting at The Concept Centre in Birmingham with twenty attendees from around England, with lunch provided",,,,
EA,22/05/2014,JACTONE PRODUCTS LTD,1526.04,"Construction site information boards and signage for Northallerton Flood Alleviation Scheme, providing contact details and project information for members of the public, including two large information boards, two small information boards and ten perimeter signs and associated posts and fixings",,,,
EA,08/05/2014,RENDEZVOUS HOTEL,590.00,Room and equipment hire including lunch for fifteen people attending Skipton Tender Day Meeting with contractors for the Skipton Flood Alleviation Scheme project to show them the project and describe it to them in detail to allow them to submit a competitive tender price for the construction works,,,,
EA,29/04/2014,RABBIT,516.30,"Office waste collected and incinerated from Hafren House, Shrewsbury ",,,,
EA,27/05/2014,WWW.NEOPOST.CO.UK,515.00,"Franking machine postage credit for outgoing mail from Goldcrest House, Farnham",,,,
EA,28/04/2014,WWW.NEOPOST.CO.UK,515.00,"Franking machine postage credit for outgoing mail from Goldcrest House, Farnham",,,,
EA,09/05/2014,EMS CONSOLIDATED LTD,684.00,Amendments to the standard racking in the cargo area of new vans as required for Health and Safety,,,,
EA,08/05/2014,AT ENGINEERING,948.00,Supply of two engineers and van to move monitoring kiosk from Bridge Stock to Great Oakley for Catchment Sensitive Farming project,,,,
EA,15/05/2014,METEOR COMMUNICATIONS,1032.36,Additional data charges in respect of the telemetry (transmission) of data from water quality monitoring stations throughout the South and South East of England,,,,
EA,15/05/2014,METEOR COMMUNICATIONS,3055.32,Upgrade and repair works to Water Quality Monitoring units at Fobney Mead,,,,
EA,06/05/2014,WWW.THOMASTELFORD.ORG.,1200.00,Exhibiting and attendance fees for a stand at the Institute of Civil Engineers Flooding Conference 2014 ,,,,
EA,18/05/2014,VIKING HOTELLDRIFT AS,608.22,Accommodation for one person for five nights while attending European Standards meeting in Oslo,,,,
EA,23/05/2014,XYLEM ANALYTICS UK LTD,804.00,Repair of one acoustic doppler river flow meter power and communications box used by the National Monitoring Service in Oxford,,,,
EA,06/05/2014,WWW.BBOFFICESUPPLIES.C,916.20,"Ergonomic chair, roller mouse and writing support for one person to improve symptoms of repetitive strain injury caused by computer use",,,,
EA,16/05/2014,THISTLE BIRMINGHAM CIT,767.00,"Room, equipment hire, lunch and refreshments for 22 people attending Area Finance Business Partners Team Meeting",,,,
EA,21/05/2014,ALLPUMPSDIR,696.00,Two one-inch pumps for application of chemicals for invasive non-native fish eradication operations,,,,
EA,07/05/2014,MARRIOTT,682.00,Accommodation and evening meals in North London for seven people for one night for invasive non-native fish eradication,,,,
EA,16/05/2014,ROSHAL SPACE CONSU,750.00,Emergency call out due to break-in. To investigate and repair damage to sliding doors.,,,,
EA,28/04/2014,INCOM,620.09,"Twenty office telephones for Manley House, Exeter",,,,
EA,12/05/2014,BRITTANIA LEATHERBARRO,544.32,Off-site storage cost for six departments from Blandford Office,,,,
EA,06/05/2014,WWW.PB.COM,566.49,Six-month supply of ink and labels for franking machine at Guildbourne House,,,,
EA,02/05/2014,ARMOURY LOCKS AND ALAR,573.38,"Replace three lock barrels on new storage building units at the Pevensey office, master to current Mul-T-Lock key suiting system and provide 48 Mul-T-Lock keys",,,,
EA,27/05/2014,WWW.BBOFFICESUPPLIES.C,810.00,"Posture chair for one person at Templeborough office under Health, Safety and Wellbeing",,,,
EA,13/05/2014,BURLINGTON HOTEL,614.55,Hire of two rooms including lunch and refreshments for assessments in Birmingham to appoint two Executive Manager posts,,,,
EA,01/05/2014,ETC VENUES LTD,2604.00,"Room hire, refreshments and lunch for seventy people attending Extended Senior Permitting Officer team day ",,,,
EA,20/05/2014,ARMADA HOUSE CONFERENC,588.00,"Room hire plus lunch for eighteen people attending Design, Planning and Assurance Group meeting in Bristol",,,,
EA,20/05/2014,LANCASHIRE CC (M),808.35,"Order and advertisement of the temporary closure of two public rights of way in order to undertake works in Knott End, Lancashire safely",,,,
EA,21/05/2014,MARINE MANAGEMENT,700.00,"Application fee for the temporary closure of two public rights of way in order to undertake works in Knott End, Lancashire safely",,,,
EA,14/05/2014,AT BRISTOL LTD 3,600.00,Room hire for 35 people attending a Finance Operations team meeting ,,,,
EA,02/05/2014,WWW.BBOFFICESUPPLIES.C,834.00,Specialist chair and mouse for one person after assessment under Health Safety and Wellbeing,,,,
EA,07/05/2014,FRIENDS HOUSE,681.00,Venue hire for twelve people attending Facilities South East Team Leader Meeting,,,,
EA,02/05/2014,RED SNAPPER LTD,662.40,Temporary staff,,,,
EA,02/05/2014,RED SNAPPER LTD,714.16,Temporary staff,,,,
EA,29/04/2014,THISTLE BIRMINGHAM CIT,1783.80,Accommodation for seven people for one night plus two-day room hire for thirteen people attending National Team Meeting for illegal waste exports,,,,
EA,08/05/2014,CMS,600.00,Fees for four people attending Pollution Response in Emergencies: Marine Impact Assessment and Monitoring conference,,,,
EA,05/05/2014,HASLAR MARINA,600.53,"One-month berthing fees for Environment Agency vessel at Haslar Marina, Gosport",,,,
EA,21/05/2014,THE WHITE HART HOTEL,900.00,Accommodation plus dinner for nine people for one night attending a National Environmental Assessment Service Extended Management Team Meeting,,,,
EA,30/04/2014,THE STUDIO VENUE COMPA,577.73,Hire of two rooms on separate days plus lunch for meetings of nationally-spread teams,,,,
EA,14/05/2014,CHURCH HOUSE CONF,814.28,"Room hire, refreshments and lunch for sixteen people attending Waste Recovery team meeting ",,,,
EA,28/04/2014,ADLER & ALLAN LTD,1482.00,"Collection and disposal of hazardous waste from Rivers House, Blandford",,,,
EA,22/05/2014,PHEONIXHSC.CO.UK,587.89,Fee for one person attending an online National Examination Board in Occupational Safety and Health training course ,,,,
EA,07/05/2014,WWW.CARTRIDGESAVE.CO.U,632.18,"Two packs of printer toner for Yalding Depot, West Malling",,,,
EA,15/05/2014,WWW.OFFICEFURNITUREONL,979.20,"Two desks, four pedestals, two bookcases, one filing cabinet and two desk partition screens to replace furniture damaged during flooding at Yalding Depot, West Malling",,,,
EA,20/05/2014,WWW.JCA.BIZ,600.00,Fees for five people attending Emotional Intelligence training on improving performance and change,,,,
EA,30/04/2014,BAXTERSTOREY LTD,771.26,"Annual rental of a coffee machine for the staff canteen at Richard Fairclough House, Warrington",,,,
EA,29/04/2014,RED SNAPPER LTD,776.26,Temporary staff,,,,
EA,09/05/2014,SHEFFIELD CITY HALL,606.00,Two-day hire of audio-visual equipment needed to host the England River Prize and River Restoration Conference,,,,
EA,06/05/2014,COMPUTERWORLD TRAINING,870.00,Fee for one person attending a Projects in Controlled Environments Foundation Training Course including examination,,,,
EA,21/05/2014,WWW.INTELLIGENTHANDDRY,574.80,"One hand dryer for Orchard House, Kent",,,,
EA,13/05/2014,ANGLIAN WATER,680.00,"Six-month water and sewerage charge for Spalding site, Lincolnshire",,,,
EA,09/05/2014,GREYHOUND CHROM.,2078.23,50ml of a custom mixture of deuterated standards used in the development of a new test for chemical investigation projects for the Environmental Quality Standards Directive to reach detection of compounds at lower levels,,,,
EA,09/05/2014,RED SNAPPER LTD,703.80,Temporary staff,,,,
EA,09/05/2014,RED SNAPPER LTD,662.40,Temporary staff,,,,
EA,12/05/2014,COFFEEWORKS LTD,747.10,Supplies of tea and coffee for Bodmin office ,,,,
EA,01/05/2014,HILTON,981.00,"Venue hire, lunch and refreshments for forty people attending a workshop on Aquatic and Riparian Plant Management in York",,,,
EA,13/05/2014,HOLIDAY INN,2385.00,"Venue hire, lunch and refreshments for fifty people attending a workshop on Aquatic and Riparian Plant Management in London",,,,
EA,29/04/2014,WWW.HIGHSTAT.COM,600.00,Fee for one person attending Introduction to Data Analysis Programme Language training course,,,,
EA,24/05/2014,HOLIDAY INNS,5232.00,Accommodation for seventeen people for four nights while attending a block week for exams as part of studying for a Rivers and Coastal Engineering degree,,,,
EA,29/04/2014,PRINTWARE-AMEIVA,1174.90,Fifteen printer cartridges for Brampton Site for printers not supported by Canon National Contract,,,,
EA,01/05/2014,CUSHION (NOTTINGHAM) L,520.56,Annual supply of biological disposal bags for three kitchens at the Trentside Offices,,,,
