Minister,Date,Name of organisation or individual,Purpose of meeting
George Freeman,2021-12-01,"Tech UK, Universities UK International, Office for Students, Campaign for Science and Engineering, Heriot-Watt University, The Academy of Medical Sciences, The Wellcome Trust, Royal Society of Chemistry, Confederation of British Industries, Arts and Humanities Research Council, UK Research & Innovation, MillionPlus, Royal Academy of Engineering, The British Academy, The Russell Group, Royal Society, Royal Society Chemistry","Senior Stakeholder Group on Research, Innovation and European roundtable to discuss Horizon, research & development sector and roadmap"
George Freeman,2021-12-01,"Entertainment Retailers Association, Association of Independent Music, The Music Managers Forum, Complete Music Update Insights, British Phonographic Industry, Featured Artists Coalition, PRS for Music, UK Music, The Musicians Union, Music Publishers Association, Ivors Academy",To discuss Music Industry Contact Group on copyright and streaming
George Freeman,2021-12-01,"Italian Minister for Universities and Research, Ambassador to Italy and San Marino, Universities UK International, UK Research & Innovation, Italian National Research Council, Association of Italian Researchers in the UK",UK-Italy Bilateral Exchange in Science and Technology launch event and speech
George Freeman,2021-12-02,Oxford University ,To discuss vaccine developments and innovation
George Freeman,2021-12-02,SV Health Investors LLP,To discuss life sciences and Vaccine Manufacturing and Innovation Centre
George Freeman,2021-12-06,Imperial College London,Opening/ plaque unveiling and tour of new biomedical engineering facility
George Freeman,2021-12-06,"Royal Society, British Academy, Royal Academy of Engineering, Academy of Medical Science",National Academies Horizon Roundtable to discuss Horizon Europe and potential alternatives
George Freeman,2021-12-07,OneWeb,To discuss expanding operations and manufacture Gen 2 in the UK
George Freeman,2021-12-07,"Oxford University,?GlaxoSmithKline plc, SV Health Investors, UK Bioindustry Association, RTW Investments LP, Monograph Capital Partners, Redmile Group, Legal & General, Syncona Investment Management Ltd, Association of British HealthTech Industries, ScaleUp Institute, TheCityUK, The British Private Equity & Venture Capital Association, B&CE Pensions, Janus Henderson Investors, British In Vitro Diagnostics Association, PricewaterhouseCoopers",Life Sciences Scale-up Taskforce to discuss UK Life Sciences Growth Scheme
George Freeman,2021-12-07,Pfizer UK,To discuss Life Sciences Vision missions and Spending Review
George Freeman,2021-12-07,MDA - Space UK,To discuss investment opportunity and inward investment
George Freeman,2021-12-08,The Design Museum,To discuss the Future Observatory programme
George Freeman,2021-12-08,Fraunhofer UK,To discuss catapults review and replicating Fraunhofer model
George Freeman,2021-12-09,"BT Group, Alan Turing Institute & Royal Society, Queen’s College, Oxford, Edinburgh Centre for Robotics, Deepmind, Queen’s University, Belfast, Luminate, University of Cambridge, Loughborough University, Centre for Data Ethics and Innovation, Ocado Ltd, CENTURY Tech, NHS Digital Academy, CogX, University of Southampton",AI Council to discuss Science and Tech Superpower
George Freeman,2021-12-09,"University of Oxford, GlaxoSmithKline",To discuss the Life Sciences Vision
George Freeman,2021-12-09,Genomic England,To discuss their role in UK’s life sciences sector
George Freeman,2021-12-13,Royal Society of Chemistry,To discuss Horizon Europe alternative and attracting global talent
George Freeman,2021-12-14,Janssen Pharmaceutica NV,To discuss neuroscience opportunities in the UK
George Freeman,2021-12-14,"Bayer, BASF, UK Syngenta","To discuss GM authorisation, gene editing and Agri-Tech"
George Freeman,2021-12-14,Helsing,To discuss government procurement of Artificial Intelligence-AI
George Freeman,2021-12-14,Civil Aviation Authority,To discuss orbital licensing and 2022 UK launch
George Freeman,2021-12-15,The Francis Crick Institute Ltd,To discuss Horizon Europe
George Freeman,2021-12-15,The Wellcome Trust,To discuss Horizon Europe
George Freeman,2021-12-16,"Oxford Nanopore Technologies, AstraZeneca, Life Sciences Hub Wales, Origin Pharma, Health Innovation Research Alliance Northern Ireland",Build Back Better Panel: Life Sciences Vision to discuss UK’s life sciences sector future growth
George Freeman,2021-12-16,"Faculty of Medical Sciences at Newcastle University, Leeds City Region LEP, Northern Health Science Alliance, Bruntwood SciTech, Seqirus, Pharmaron, Tropical Medicine at Liverpool School of Tropical Medicine, Roche Diagnostics, University of Manchester, BIA, Cheshire and Warrington LEP, Innovate UK, Department for International Trade","Northern Health Science Alliance & NP11 Northern Lifesciences roundtable to discuss Life Sciences industry, research & development and levelling up"
Lee Rowley,2021-10-05,BAE Systems,"Introductory meeting to discuss aerospace, maritime and defence sectors"
Lee Rowley,2021-10-07,"Arup, STRAT7, Capgemini, Freshfields Bruckhaus Deringer, PriceWaterhouseCoopers, AECOM, Russell Reynolds Associates, Make Architects, Z/Yen, Institute of Chartered Accountants for England and Wales, The Law Society, McKinsey, Linklaters, Hymans Robertson, Allen & Overy, Clifford Chance, KPMG, Accenture, EY, The City of London Corporation, CityUK, Advertising Association, PageGroup, Norton Rose Fulbright, Confederation of British Industry, Professional Associations Research Network, Managing Partners’ Forum, Alinea Consulting, WPP, Chartered Institute of Public Relations, Royal Institute of British Architects, Association of Chartered Certified Accountants, British Services Association, Royal Institution of Chartered Surveyors, Recruitment and Employment Confederation, Mazars",To co-chair a meeting of the Professional and Business Services Council
Lee Rowley,2021-10-07,"Confederation of Paper Industries, Saica Pack, Arjowiggins, UPM, Weedon Group, James Cropper Colourform",Introductory roundtable with the paper and pulp sectors to discuss the impact of gas prices on industry
Lee Rowley,2021-10-11,BEIS Ministerial Stakeholder Reception,Stakeholder reception to discuss the work of the department
Lee Rowley,2021-10-11,Build UK,Introductory meeting to discuss the construction sector
Lee Rowley,2021-10-11,British Poultry Council,To discuss impact of carbon supply on food manufacturing sector
Lee Rowley,2021-10-11,UK Steel,To discuss energy
Lee Rowley,2021-10-11,UK Steel,Introductory meeting to discuss the steel sector
Lee Rowley,2021-10-11,Babcock,Introductory meeting to discuss the defence sector
Lee Rowley,2021-10-12,Thales Group,Introductory meeting to discuss the aerospace and defence sectors
Lee Rowley,2021-10-12,Rolls-Royce,Introductory meeting to discuss the civil aerospace sector
Lee Rowley,2021-10-12,Association of Events Organisers,To discuss impact of COVID-19 on events industry
Lee Rowley,2021-10-12,Community Union,Introductory meeting to discuss steel sector
Lee Rowley,2021-10-12,Chemical Industries Association,Introductory meeting to discuss chemicals sector
Lee Rowley,2021-10-12,"UK Steel, Make UK, Community Union, Unite, GMB Union, British Steel, Tata Steel Europe, Celsa, Liberty Steel UK, Outukumpu UK, Sheffield Forgemasters","Roundtable to discuss supply chains, energy prices, decarbonisation, procurement, and trade"
Lee Rowley,2021-10-14,Tata Steel,Visit to Port Talbot Steelworks
Lee Rowley,2021-10-15,Society of Motor Manufacturers and Traders,Introductory meeting to discuss automotive sector
Lee Rowley,2021-10-18,JCB,Visit to exhibition on hydrogen
Lee Rowley,2021-10-19,Business Services Association,Introductory meeting to discuss the professional and business services sector
Lee Rowley,2021-10-19,Confederation of British Industry,To discuss manufacturing and Net Zero Strategy
Lee Rowley,2021-10-19,Engineering Biology Leadership Council,Introductory meeting with the Chair to discuss chemicals sector
Lee Rowley,2021-10-19,Make UK,To discuss Net Zero Strategy
Lee Rowley,2021-10-19,British Chambers of Commerce,To discuss Net Zero Strategy
Lee Rowley,2021-10-20,Mayor of West Midlands,To discuss levelling up the West Midlands
Lee Rowley,2021-10-20,Engineering Biology Leadership Council,To discuss reports on Synthetic Biology and Engineering Biology for the UK
Lee Rowley,2021-10-20,"Society of Motor Manufacturers and Traders, ADS Group, Association of British Pharmaceutical Industry, Chemical Industries Association, Food and Drink Federation",To attend launch of Manufacturing Five Report: ‘Investing in Advanced Manufacturing is Investing in Levelling Up’
Lee Rowley,2021-10-21,"Mace, Argent, Etopia, Arup, Future Homes Taskforce, Infrastructure Exports UK, Scottish Futures Trust, Balfour Beatty, Infrastructure and Projects Authority, Federated Hermes, Skanska",Meeting of the Construct Zero Advisory Board to discuss how the construction sector can reach Net Zero
Lee Rowley,2021-10-25,"Construction Industry Training Board, Federation of Master Builders, Electrical Contractors’ Association, Carr & Carr, Transforming Construction Network+, UK Green Building Council, Arcadis, Construction Equipment Association, Chartered Institute of Building, Construction Innovation Hub","Roundtable to discuss skills, innovation, and the transition to Net Zero"
Lee Rowley,2021-10-26,Local Government Association,Introductory meeting to discuss local economic growth
Lee Rowley,2021-10-26,Made Smarter Commission,Meeting with the Chair to discuss Made Smarter Commission
Lee Rowley,2021-10-26,Management Consultancies Association,Introductory meeting to discuss professional and business services sector
Lee Rowley,2021-10-26,"Mineral Products Association, Confederation of Paper Industries, UK Steel, British Ceramic Confederation, British Glass, BOC UK, Chemical Industries Association",Roundtable with energy intensive industries to understand concerns around energy prices
Lee Rowley,2021-10-27,Recruitment and Employment Confederation,Introductory meeting to discuss professional and business services sector
Lee Rowley,2021-10-28,Made Smarter Commission,To discuss the Spending Review
Lee Rowley,2021-10-28,BASF,To discuss the Spending Review
Lee Rowley,2021-10-28,Chemical Industries Association ,To discuss the Spending Review
Lee Rowley,2021-10-28,Croda,To discuss the Spending Review
Lee Rowley,2021-10-28,Make UK,To discuss the Spending Review
Lee Rowley,2021-10-28,Unilever,To discuss the Spending Review
Lee Rowley,2021-10-28,Johnson Matthey,To discuss the Spending Review
Lee Rowley,2021-10-28,Arup,To discuss the Spending Review
Lee Rowley,2021-10-28,PriceWaterhouseCoopers,To discuss the Spending Review
Lee Rowley,2021-10-28,Aerospace Growth Partnership,To discuss the Spending Review
Lee Rowley,2021-11-02,D2N2 Local Enterprise Partnership,To discuss D2N2 Local Enterprise Partnership’s economic strategy
Lee Rowley,2021-11-03,INEOS,To discuss Spending Review
Lee Rowley,2021-11-03,EY,To discuss Spending Review
Lee Rowley,2021-11-03,Aluminium Federation,To discuss impact of energy prices on the metals sector
Lee Rowley,2021-10-04,"Manufacturing Technology Centre, Construction Innovation Hub, Potenza Technology, Lyra Electronics",Visit to manufacturing facilities in the West Midlands
Lee Rowley,2021-11-08,"Aero Research Partners, Stepnell Ltd, National Westminster Bank; West Northants County Council, Tarmac, Trent Construction Services, Power Planers Ltd, South East Midlands Local Enterprise Partnership, Hawkins Group, National Federation of Builders",Visit to Catesby Tunnel aerodynamic research testing facility
Lee Rowley,2021-11-09,"Texas Tech University, International Federation of the Red Cross and Red Crescent Societies, World Meteorological Organisation, Tsinghua University, University of Cambridge, Office of the United Arab Emirates Special Envoy, Global Climate Assembly, UN Climate Champions,",Speech to discuss the role of science and innovation in reaching net zero at COP26
Lee Rowley,2021-11-09,Hitachi Rail,To discuss decarbonisation of the rail sector at COP26
Lee Rowley,2021-11-09,Arup,To discuss decarbonisation of the events industry at COP26
Lee Rowley,2021-11-09,Fortescue Future Industries,To discuss decarbonisation of the metals sector at COP26
Lee Rowley,2021-11-09,"UK Steel, Community Union, Unite, GMB Union, British Steel, Tata Steel Europe; Celsa, Liberty Steel UK, Outokumpu UK, Sheffield Forgemasters","Roundtable with the steel sector to discuss supply chains, energy prices, decarbonisation, procurement, and trade"
Lee Rowley,2021-11-09,"United States Special Envoy for Climate, European Commission, Green Hydrogen Commissioner for Namibia, International Partnership for Hydrogen and Fuel Cells in the Economy, Breakthrough Energy Catalyst, Austrian Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology, Fortescue Future Industries, Student Energy, United States Department for Energy, International Energy Agency, International Renewable Energy Agency, Paul Monks, Chief Scientific Adviser, Department for Business, Energy and Industrial Strategy",Panel discussion on hydrogen and steel breakthroughs at COP26
Lee Rowley,2021-11-10,"Aerospace Growth Partnership, ADS Group, Airbus, Aerospace Technology Institute, BAE Systems, Collins Aerospace, Denroy, GE Aviation, GKN Aerospace, High Value Manufacturing Catapult; Leonardo, Regional Aerospace Alliances, Midlands Aerospace Alliances, Rolls-Royce, Safran, Spirit AeroSystems, Thales, Invest Northern Ireland, Scottish Enterprise, Welsh Government",Aerospace Growth Partnership Board to discuss R&D and net zero
Lee Rowley,2021-11-11,"Centre for Process Industries, High Value Manufacturing Catapult, Wilton Centre, Ensus",Visit to North East Technology Park
Lee Rowley,2021-11-15,Liberty Steel,Visit to Liberty Steel site in Rotherham
Lee Rowley,2021-11-16,Ferguson Marine,Introductory meeting to discuss shipbuilding and the marine industry
Lee Rowley,2021-11-17,"A&P Group, Cammel Laird",Introductory meeting to discuss shipbuilding and the marine industry
Lee Rowley,2021-11-18,"National Composites Centre, ORE Catapult, GKN Aerospace, Airbus",Visit to manufacturing facilities in the South West
Lee Rowley,2021-11-18,"Chemical Industries Association, Croda, Johnson Matthey, Synthomer, Victrex, INEOS",To give speech on challenges and opportunities facing the industry
Lee Rowley,2021-11-22,"Tideway, CBRE Group, Construction Leadership Council",Visit to Thames Tideway to discuss construction
Lee Rowley,2021-11-22,British Constructional Steelwork Association,To give speech on support for steel and construction sectors
Lee Rowley,2021-11-23,Confederation of British Industry Construction Council,To discuss the construction pipeline and supply of materials
Lee Rowley,2021-11-23,Sustainable Aviation/Airspace Change Organising Group Parliamentary Reception,To give speech on Net Zero
Lee Rowley,2021-11-24,"Tideway, Argent, Mace, Etopia, ICE Group, WSP Global, Arup, Buro Happold, Federated Hermes, Skanska, Balfour Beatty, Scottish Futures Trust, Infrastructure Exports UK,",Construct Zero Advisory Board to discuss COP26
Lee Rowley,2021-11-25,"Constructionarium Ltd, EDF Energy, Sunergos Partnership",Visit to Constructionarium to discuss infrastructure projects
Lee Rowley,2021-11-29,"HS2 Ltd, AlignJV",Visit to HS2 to discuss construction
Lee Rowley,2021-11-29,"Arup, STRAT7, Capgemini, Freshfields Bruckhaus Deringer, PriceWaterhouse Coopers, AECOM, Russell Reynolds Associates, Make Architects, Z/Yen, Institute of Chartered Accountants for England and Wales, The Law Society, McKinsey, Linklaters, Hymans Robertson, Allen & Overy, Clifford Chance, KPMG, Accenture; EY; The City of London Corporation, CityUK, Advertising Association, PageGroup, Norton Rose Fulbright, Confederation of British Industry, Professional Associations Research Network, Managing Partners’ Forum, Alinea Consulting, WPP, Chartered Institute of Public Relations, Royal Institute of British Architects, Association of Chartered Certified Accountants, British Services Association, Royal Institution of Chartered Surveyors, Recruitment and Employment Confederation, Mazars",To co-chair a meeting of the Professional and Business Services Council
Lee Rowley,2021-11-29,"Considerate Constructors Scheme, Royal Academy of Engineering, Tideway, Rider Levett Bucknall, Travis Perkins, National Home Improvement Council, Powell Dobson Architects, Federation of Master Builders, Chartered Institute of Building, Keltbray, Barratt Developments plc, Bennetts Associates, Skanska, Construction Industry Council, Mace, Costain, Cundall, Construction Employers Federation, Saint-Gobain, Infrastructure and Projects Authority, Institution of Civil Engineers, Atkins, UK Research and Innovation, Arcadis",To chair a meeting of the Construction Leadership Council
Lee Rowley,2021-11-30,"European Union Relationship and Industrial Strategy Group, BEAMA, GAMBICA, British Cable Association",To discuss global supply chains and international trade
Lee Rowley,2021-11-30,Princess Yachts,Introductory meeting to discuss shipbuilding and the marine industry
Lee Rowley,2021-11-30,The Civil Engineering Contractors Association,Inspiring Change Conference and Awards speech to discuss the economic recovery and decarbonisation in the construction sector
Lee Rowley,2021-11-30,British Plastics Federation Parliamentary Reception,Speech on role of plastics sector in net zero and levelling up
Lee Rowley,2021-12-01,Construction News Summit,Speech at Construction News Summit on construction
Lee Rowley,2021-12-01,Institution of Engineering and Technology,"Parliamentary Reception to discuss the pandemic response, Net Zero, and Government support for the pipeline of future engineering talent"
Lee Rowley,2021-12-01,CF Fertilisers,To discuss chemicals and government support
Lee Rowley,2021-12-02,Critical Minerals Expert Committee,To attend the first meeting of the Critical Minerals Expert Group
Lee Rowley,2021-12-02,Structural Timber Association,To give speech on construction
Lee Rowley,2021-12-02,"Considerate Constructors Scheme, Royal Academy of Engineering, Tideway, Rider Levett Bucknall, Travis Perkins, National Home Improvement Council, Powell Dobson Architects, Federation of Master Builders, Chartered Institute of Building, Keltbray, Barratt Developments plc, Bennetts Associates, Skanska, Construction Industry Council, Mace, Costain, Cundall, Construction Employers Federation, Saint-Gobain, Infrastructure and Projects Authority, Institution of Civil Engineers, Atkins, UK Research and Innovation, Arcadis",To chair a meeting of the Construction Leadership Council
Lee Rowley,2021-12-06,"Management Consultancies Association, Chartered Management Institute",To discuss the Chartered Management Consultancies Award
Lee Rowley,2021-12-06,Jet Zero Council,To discuss decarbonisation
Lee Rowley,2021-12-07,Balfour Beatty Construction Company,Introductory meeting to discuss the construction sector
Lee Rowley,2021-12-07,"Made Smarter Commission: Digital Catapult, CNC Robotics, Royal Academy of Engineering, High Value Manufacturing Catapult, Engineering Solutions, Accenture, Rolls-Royce, BAE Systems, ABB Ltd, Schneider Electric, Make UK, James Lister and Sons, Manchester Growth Company",Meeting of the Made Smarter Commission
Lee Rowley,2021-12-07,Chemicals EU Exit Group,To discuss the UK REACH proposal
Lee Rowley,2021-12-07,The Climate Group,To discuss Concrete Zero and Steel Zero
Lee Rowley,2021-12-08,InfraStrata plc,Introductory meeting to discuss shipbuilding and marine industry
Lee Rowley,2021-12-09,"Scottish Marine Technology Park, Spirit Aerosystems, Boeing Metallics Research Centre",Visit to businesses in Scotland to discuss shipbuilding and marine industry and aerospace
Lee Rowley,2021-12-13,GKN Automotive,Introductory meeting to discuss automotive sector
Lee Rowley,2021-12-13,City of London Corporation,To discuss Socio-Economic Diversity Taskforce
Lee Rowley,2021-12-13,Federation of Master Builders,Introductory meeting to discuss construction sector
Lee Rowley,2021-12-14,"Make UK, Oxford Instruments, Wilton Engineering, Playdale Playgrounds, VMD Health, BBN Nexus, Avingtrans, Domino Printing, Centurion Safety Products, Babcock, Caterpillar, Siemens Digital Industries, Thales, Marshalls, Celsa, Leonardo, Hone-All, l2r Packaging Solutions Ltd, BDO",Roundtable to discuss manufacturing
Lee Rowley,2021-12-14,"Business Services Association, Bouygues ES, Sodexo, Atos, Wates, ISS, Veolia, Amey, Turley, BT, Clyde & Co LLP, Pinsent Masons LLP, KBR, Shaw Trust, Ingeus, City FM, Sopra Steria, Serco, Elior, Capita Public Service, Kier, Fujitsu, Compass Group  ",Roundtable to discuss professional and business services sector
Lee Rowley,2021-12-14,"UK Steel, Community Union, Unite, GMB Union, British Steel, Tata Steel Europe, Celsa, Liberty Steel UK, Outokumpu UK, Sheffield Forgemasters","Roundtable with the steel sector to discuss supply chains, energy prices, decarbonisation, procurement, and trade"
Lee Rowley,2021-12-14,"Chemical Industries Association, Croda, The Society of Chemical Industry",Meeting of the Chemistry Council
Lee Rowley,2021-12-15,Chemicals Business Association,Introductory meeting to discuss the chemicals sector
Lee Rowley,2021-12-23,Northern Powerhouse,To discuss Made Smarter Commission
Paul Scully,2021-10-01,International Franchise Show,To provide an address at the International Franchise Show
Paul Scully,2021-10-07,Kingston University Business School,Visit to discuss Help to Grow Management
Paul Scully,2021-10-07,London Transport Museum,Visit to discuss Transport for London
Paul Scully,2021-10-07,"Issy’s Belgravia London Hair Salon, Rt Hon Caroline Nokes MP",Visit to discuss support for the personal care sector
Paul Scully,2021-10-07,"British Chambers of Commerce, Confederation of British Industry, Federation of Small Businesses, Logistics UK, Advertising Association, Airbus, Bosch, British Services Association, British Vehicle Rental and Leasing Association, Deloitte, EY, Freshfields, Greater Manchester Chamber of Commerce, Institute of Chartered Accountants in England and Wales, Institute of Chartered Accountants Scotland, GS1 UK, Law Society of Scotland, Recruitment and Employment Confederation, Royal Institute of Chartered Surveyors, TechUK, TheCityUK,",To discuss professional business services
Paul Scully,2021-10-07,Nimax Theatre (Vaudeville Theatre),Visit to discuss London reopening
Paul Scully,2021-10-08,London Research and Policy Partnership,Webinar Roundtable to discuss ‘Levelling up and London’
Paul Scully,2021-10-11,Mayor of London,To discuss London
Paul Scully,2021-10-11,"Scottish Financial Enterprise, Royal London, Charlotte Street Partners, Scottish National Investment Bank, NatWest Group, Tesco Bank, Barclays, abrdn, Baillie Gifford & Co, Lloyds Banking Group, Virgin Money, Pinsent Masons LLP, Phoenix Group, Shepherd & Wedderburn","To discuss support for small businesses, Net Zero and national connectivity"
Paul Scully,2021-10-11,West London Alliance,To discuss London’s economic recovery from COVID-19
Paul Scully,2021-10-11,"London Councils, Royal Borough of Kensington & Chelsea, Greater London Authority",To discuss London’s economic recovery from COVID-19
Paul Scully,2021-10-11,BEIS Ministerial Stakeholder Reception ,Stakeholder reception to discuss the work of the department
Paul Scully,2021-10-12,"Department for Business, Energy and Industrial Strategy’s ‘Your Business to Net Zero’ virtual panel",To attend ‘Your Business to Net Zero’ virtual panel to discuss net zero
Paul Scully,2021-10-12,Cities Restart,‘Meet the Minister: Paul Scully MP’ Event
Paul Scully,2021-10-12,"Marks & Spencer, WH Smith, ASDA, Primark, Kingfisher, British Retail Consortium, IFF Solutions, Association of Convenience Stores, Sainsbury's, WPP, Matalan, Amazon, Booksellers Association, Lincolnshire Cooperative, IKEA, Arcadia, ASOS, Superdrug, Retail Sector Council, Boots, Tesco, JD Sports",To discuss economic recovery from COVID-19
Paul Scully,2021-10-13,Chartered Trading Standards Institute,To discuss the Reforming Consumer and Competition Policy Consultation and the reintroduction of Imperial Measures
Paul Scully,2021-10-13,Deliveroo,To discuss the UK Labour Market
Paul Scully,2021-10-13,Nando’s,To discuss supply chains
Paul Scully,2021-10-13,The Crown Estate,To discuss London’s economic recovery from COVID-19
Paul Scully,2021-10-13,"Acas, Age UK, British Chambers of Commerce, Cabinet Office, Carers UK, Confederation of British Industry, Chartered Institute of Personnel and Development, Chartered Management Institute, Department for Business, Energy and Industrial Strategy, Department for Work and Pensions, Department of Health and Social Care, Equality and Human Rights Commission, Federation of Small Businesses, Government Equalities Office, HM Treasury, Institute of Directors, Make UK, Recruitment and Employment Confederation, Scope, Timewise, Trade Unions Congress, Working Families",Flexible Working Taskforce to discuss flexible working
Paul Scully,2021-10-13,British Beer and Pub Association Reception,To attend the British Beer and Pub Association Reception
Paul Scully,2021-10-15,Newark and Sherwood District Council,To provide an address at Newark Economic Growth Conference
Paul Scully,2021-10-18,Association of Convenience Stores,To provide an address at the Association of Convenience Stores ‘Heart of the Community’ parliamentary reception
Paul Scully,2021-10-18,Global Investment Summit,Global Investment Summit Welcome Dinner
Paul Scully,2021-10-19,Federation of Small Business,To discuss Net Zero Strategy
Paul Scully,2021-10-19,Institute of Directors,To discuss Net Zero Strategy
Paul Scully,2021-10-20,Retail Sector Council,To discuss retail strategy
Paul Scully,2021-10-20,Communication Workers Union,To discuss alternative models to franchising
Paul Scully,2021-10-20,Institute of Directors,To discuss support for SMEs
Paul Scully,2021-10-21,Liverpool City Region Combined Authority,To discuss local enterprise partnerships and business support
Paul Scully,2021-10-21,"Gino D’Acampo Restaurant, LEAF Group, Culture Liverpool, Liverpool Chamber of Commerce, Liverpool Business Improvement District, Liverpool City Council",Visit to discuss Liverpool Without Walls and economic recovery
Paul Scully,2021-10-21,"Castle Street Townhouse Restaurant, Culture Liverpool, Liverpool Chamber of Commerce, Liverpool Business Improvement District, Liverpool City Council",Visit to discuss Liverpool Without Walls and economic recovery
Paul Scully,2021-10-21,Hugh Baird College,To discuss skills and training for hospitality and catering industries
Paul Scully,2021-10-21,Top Rope Brewery,To discuss issues facing small and micro breweries
Paul Scully,2021-10-25,Hospitality Sector Council,To discuss hospitality strategy
Paul Scully,2021-10-25,Retail Sector Council,To discuss retail strategy and support for skills
Paul Scully,2021-10-26,"Match Group, Geradin Partners",To discuss digital competition
Paul Scully,2021-10-27,"UK Hospitality, British Beer & Pub Association, Mitchells & Butlers, McDonalds, Greene King, Deliveroo, Pizza Express, The Restaurant Group, Big Table Group, Azzurri, Hawksmoor, The Society of Independent Brewers, St Austells Brewery, Nationwide Caterers Association, British Takeaway Campaign, Fullers, JW Lees, Molson Coors, Loungers, Arc Inspirations, Marstons, Hospitality Ulster, Night Time Industries Association, REKOM, Stonegate Pub Company, Revolution, British Institute of Innkeeping, Prezzo",To discuss the Government response from COVID-19
Paul Scully,2021-10-27,British Chambers of Commerce,To discuss help to grow management
Paul Scully,2021-10-27,"Fashion Roundtable, Catherine West MP, Baroness Young of Hornsey",To discuss non-compliance in the garment industry
Paul Scully,2021-10-27,"Gareth Thomas MP, GMB Union, University Student",To discuss showing minimum salaries in adverts
Paul Scully,2021-10-27,Hospitality Sector Council,"To discuss recovery for the hospitality sector, high streets and environment sustainability"
Paul Scully,2021-10-29,"Waters Upton Post Office, Mark Pritchard MP",Visit to discuss Post Office services and rural branch networks
Paul Scully,2021-10-29,Business Banking Resolution Service,To discuss support for SMEs at Business Banking Resolution Service’s strategy event
Paul Scully,2021-11-01,Be the Business,To discuss the spending review
Paul Scully,2021-11-03,"Dishoom, KFC, New World Trading Company, Pizza Pilgrims, YO!, Hawksmoor at Home, Rosa's Thai, Itsu, Thunderbird Fried Chicken, Pizza Hut Restaurants, Wasabi, TGI Fridays UK, Corbin & King, Five Guys",To discuss the hospitality sector and economic recovery from COVID-19
Paul Scully,2021-11-03,"MCA (Finn Scott-Delany, Editor), Big Hospitality",To provide an address on hospitality at ‘The Restaurant Conference’
Paul Scully,2021-11-03,UK Weddings Taskforce,To discuss recovery from COVID-19
Paul Scully,2021-11-03,"UK Finance, Office for National Statistics, Centre for Research in  Ethnic Minority Entrepreneurship, All Party Parliamentary Group for BAME Business Owners, Maggie’s Exotic, Food and Drink Wales Industry Board, London Chamber of Commerce, Lloyds Bank, African Diaspora Network, Asian Resource Centre of Croydon, Matthew Nkemdirim, UK Curry Connect, Women Like Me, Sunrise Property, Proud to Be Me, Federation of Small Business, Brighton University, Naseem Talukdar - Plastic Pollution Awareness & Action Projects, Arts Heritage Circle Leeds, Sarah Olney MP, Sir Peter Bottomley MP, Mark Logan MP, Diane Abbot MP, Chi Onwurah MP, Christine Jardine MP, Henry Smith MP",To discuss access to finance by BAME business owners
Paul Scully,2021-11-03,Royal Mail,To discuss the postal universal service obligation
Paul Scully,2021-11-04,Post Office,To discuss the spending review
Paul Scully,2021-11-05,Recruitment and Employment Confederation,To speak at the Recruitment and Employment Confederation’s Recruitment Leaders Group on employment
Paul Scully,2021-11-08,Chartered Association of Business Schools,To provide an address at the Chartered Association of Business Schools Annual Conference on help to grow management
Paul Scully,2021-11-08,Metro Bank,To discuss community banking
Paul Scully,2021-11-08,United Kingdom Accreditation Service,To discuss accreditation
Paul Scully,2021-11-10,Global Counsel,Webinar to discuss “Adapting to a new normal: How small businesses have innovated in unprecedented times”
Paul Scully,2021-11-10,Queen’s Awards for Enterprise,To attend the Queen’s Awards for Enterprise royal reception
Paul Scully,2021-11-15,Post Office,To discuss the spending review
Paul Scully,2021-11-15,Institute of Chartered Accountants in England and Wales,To discuss help to grow management
Paul Scully,2021-11-15,Post Office,To discuss the spending review
Paul Scully,2021-11-16,Clearco,To discuss support for SMEs
Paul Scully,2021-11-17,International Communications Consultancy Organisation,To provide an address at ICCO Global Summit 2021
Paul Scully,2021-11-17,"Start Up Loans, British Business Bank",To provide an address at Start Up Loans and British Business Bank’s ‘Start Up Loans Ambassadors launch’ event
Paul Scully,2021-11-17,"UK Fashion and Textile Association, Burberry, Whirlpool, Leather UK, Bridge of Weir, National Association of Jewellers, British Footwear Association, British Toy and Hobby Association, Johnstons of Elgin, Ercol, John Smedley, Association of Manufacturers of Domestic Appliances",To discuss labour and supply chains
Paul Scully,2021-11-22,Mayor of London,To discuss London’s economic recovery from COVID-19
Paul Scully,2021-11-22,"NatWest Group, Barclays, HSBC, Lloyds Bank, Federation of Small Business, Confederation of British Industry, British Chambers of Commerce, Institute of Directors, Make UK, UK Finance, Institute of Chartered Accountants of England & Wales, Chartered Management Institute, Be the Business, PricewaterhouseCoopers",To discuss help to grow management
Paul Scully,2021-11-22," Small Business Britain, Institute for Family Business, Enterprise Nation, ScaleUp Institute, Startup Discovery School, Association for Independent Professionals and the Self Employed, Federation of Small Businesses, NatWest Group, Xero, Tees Components, Coltraco, Britishvolt, Terence O’Rourke",SME Action Group meeting to discuss support for SMEs
Paul Scully,2021-11-23,Business Banking Resolution Service,To discuss the Business Banking Resolution Service’s SME marketing campaign
